Neuron and StructuralCell SubClassOf Erythrocyte,  False.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and Neuron and SclerenchymaCell,  Here are
CellByDevelopmentStage SubClassOf ChondroCyte,  True\n
CellByDevelopmentStage SubClassOf AnimalCell and Cell and ChondroCyte and InMatureCell and MatureCell and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf AnimalCell and Cell and Erythrocyte and InMatureCell and MatureCell and SclerenchymaCell,  True:
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CirculatingCell and InMatureCell and MatureCell and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and PlantCell and SclerenchymaCell,  The answer
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and Miocyte and SclerenchymaCell,  Here are
Miocyte and StructuralCell SubClassOf LeafCell,  True.
Miocyte and StructuralCell SubClassOf SclerenchymaCell,  False.
Miocyte SubClassOf LeafCell,  False.
StructuralCell SubClassOf LeafCell,  False.
CellByDevelopmentStage and ChondroBlast SubClassOf Osteocyte,  False\n
Cell and MatureCell SubClassOf Osteocyte,  False.
CellByClass and InMatureCell SubClassOf AnimalCell,  False.
ChondroCyte and LeafCell SubClassOf Neuron,  False.
CirculatingCell and LeafCell SubClassOf Neuron,  False.
CellByOrganism and ChondroCyte SubClassOf AnimalCell,  True\n
CellByOrganism and ChondroCyte SubClassOf SclerenchymaCell,  False.
CellByOrganism and ChondroCyte SubClassOf LeafCell,  True\n
CellByOrganism SubClassOf LeafCell,  False.
ChondroCyte SubClassOf LeafCell,  True\n
ChondroCyte SubClassOf SclerenchymaCell,  False.
ChondroCyte SubClassOf Erythrocyte,  False.
ChondroCyte SubClassOf PhotosyntheticCell,  False.
ChondroCyte SubClassOf CirculatingCell,  False.
ChondroCyte SubClassOf PlantCell,  False.
ChondroCyte SubClassOf CellByClass,  True.
ChondroCyte SubClassOf CellByClass and LeafCell,  True.
ChondroCyte SubClassOf MatureCell,  True.
ChondroCyte SubClassOf CellByClass and LeafCell and MatureCell,  True.
ChondroCyte SubClassOf AnimalCell,  True\n
ChondroCyte SubClassOf AnimalCell and CellByClass and LeafCell and MatureCell,  True,
ChondroCyte SubClassOf Cell,  True.
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and LeafCell and MatureCell,  True,
ChondroCyte SubClassOf Miocyte,  False.
ChondroCyte SubClassOf InMatureCell,  True.
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and InMatureCell and LeafCell and MatureCell,  True:
ChondroCyte SubClassOf Osteocyte,  False.
ChondroCyte SubClassOf ChondroBlast,  True.
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and LeafCell and MatureCell,  True:
ChondroCyte SubClassOf MioBlast,  False.
ChondroCyte SubClassOf CellByDevelopmentStage,  True.
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and LeafCell and MatureCell,  True.
ChondroCyte SubClassOf PhotoreceptorCell,  False.
ChondroCyte SubClassOf CellByOrganism,  True.
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and LeafCell and MatureCell,  True for
ChondroCyte SubClassOf ElectricallyActiveCell,  False.
ChondroCyte SubClassOf StructuralCell,  True.
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and LeafCell and MatureCell and StructuralCell,  True for
ChondroCyte SubClassOf Neuron,  False.
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and InMatureCell and LeafCell and MatureCell,  True:
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and LeafCell and MatureCell,  True:
Osteocyte and SclerenchymaCell SubClassOf AnimalCell,  False.
InMatureCell and Miocyte SubClassOf PhotosyntheticCell,  False.
Cell and StructuralCell SubClassOf SclerenchymaCell,  True.
Cell SubClassOf SclerenchymaCell,  True.
Cell SubClassOf LeafCell,  True\n
Cell SubClassOf LeafCell and SclerenchymaCell,  True for
Cell SubClassOf Erythrocyte,  True.
Cell SubClassOf Erythrocyte and SclerenchymaCell,  Cell is
Cell SubClassOf PhotosyntheticCell,  True.
Cell SubClassOf PhotosyntheticCell and SclerenchymaCell,  Cell is
Cell SubClassOf CirculatingCell,  True,
Cell SubClassOf CirculatingCell and SclerenchymaCell,  For the
Cell SubClassOf PlantCell,  True.
Cell SubClassOf PlantCell and SclerenchymaCell,  Cell is
Cell SubClassOf CellByClass,  True\n
Cell SubClassOf CellByClass and SclerenchymaCell,  True.
Cell SubClassOf MatureCell,  True.
Cell SubClassOf CellByClass and MatureCell and SclerenchymaCell,  True.
Cell SubClassOf AnimalCell,  True.
Cell SubClassOf AnimalCell and CellByClass and MatureCell and SclerenchymaCell,  * Cell
Cell SubClassOf Miocyte,  True.
Cell SubClassOf CellByClass and MatureCell and Miocyte and SclerenchymaCell,  True,
Cell SubClassOf InMatureCell,  False.
Cell SubClassOf Osteocyte,  True.
Cell SubClassOf CellByClass and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True,
Cell SubClassOf ChondroBlast,  False.
Cell SubClassOf MioBlast,  False.
Cell SubClassOf CellByDevelopmentStage,  True.
Cell SubClassOf CellByClass and CellByDevelopmentStage and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf PhotoreceptorCell,  True.
Cell SubClassOf CellByClass and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and SclerenchymaCell,  True:
Cell SubClassOf CellByOrganism,  True.
Cell SubClassOf CellByClass and CellByOrganism and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf ElectricallyActiveCell,  True.
Cell SubClassOf CellByClass and ElectricallyActiveCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf StructuralCell,  True.
Cell SubClassOf CellByClass and MatureCell and Miocyte and Osteocyte and SclerenchymaCell and StructuralCell,  True:
Cell SubClassOf Neuron,  True.
Cell SubClassOf CellByClass and MatureCell and Miocyte and Neuron and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf ChondroCyte,  True.
Cell SubClassOf CellByClass and ChondroCyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf CellByClass and LeafCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf CellByClass and Erythrocyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True,
Cell SubClassOf CellByClass and Erythrocyte and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell,  True:
Cell SubClassOf CellByClass and CirculatingCell and Erythrocyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf CellByClass and Erythrocyte and MatureCell and Miocyte and Osteocyte and PlantCell and SclerenchymaCell,  True:
Cell SubClassOf AnimalCell and CellByClass and Erythrocyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  Cell Sub
Cell SubClassOf CellByClass and CellByDevelopmentStage and Erythrocyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  Cell sub
Cell SubClassOf CellByClass and Erythrocyte and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and SclerenchymaCell,  True:
Cell SubClassOf CellByClass and CellByOrganism and Erythrocyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf CellByClass and ElectricallyActiveCell and Erythrocyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  CellSub
Cell SubClassOf CellByClass and Erythrocyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell and StructuralCell,  True:
Cell SubClassOf CellByClass and Erythrocyte and MatureCell and Miocyte and Neuron and Osteocyte and SclerenchymaCell,  True:
Cell SubClassOf CellByClass and ChondroCyte and Erythrocyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
InMatureCell and StructuralCell SubClassOf ChondroCyte,  False.
AnimalCell and InMatureCell SubClassOf ChondroCyte,  False.
CellByClass and ChondroBlast SubClassOf ElectricallyActiveCell,  False.
InMatureCell and StructuralCell SubClassOf SclerenchymaCell,  False.
Cell and PhotoreceptorCell SubClassOf ElectricallyActiveCell,  True.
Cell and PhotoreceptorCell SubClassOf LeafCell,  False.
Cell and PhotoreceptorCell SubClassOf PhotosyntheticCell,  False.
Cell and PhotoreceptorCell SubClassOf CirculatingCell,  False.
Cell and PhotoreceptorCell SubClassOf PlantCell,  False.
Cell and PhotoreceptorCell SubClassOf AnimalCell,  False.
Cell and PhotoreceptorCell SubClassOf InMatureCell,  True\n
PhotoreceptorCell SubClassOf InMatureCell,  True\n
PhotoreceptorCell SubClassOf SclerenchymaCell,  False.
PhotoreceptorCell SubClassOf LeafCell,  False.
PhotoreceptorCell SubClassOf Erythrocyte,  False.
PhotoreceptorCell SubClassOf PhotosyntheticCell,  False.
PhotoreceptorCell SubClassOf CirculatingCell,  False.
PhotoreceptorCell SubClassOf PlantCell,  False.
PhotoreceptorCell SubClassOf CellByClass,  True.
PhotoreceptorCell SubClassOf CellByClass and InMatureCell,  True.
PhotoreceptorCell SubClassOf MatureCell,  True.
PhotoreceptorCell SubClassOf CellByClass and InMatureCell and MatureCell,  True.
PhotoreceptorCell SubClassOf AnimalCell,  False.
PhotoreceptorCell SubClassOf Cell,  True.
PhotoreceptorCell SubClassOf Cell and CellByClass and InMatureCell and MatureCell,  True,
PhotoreceptorCell SubClassOf Miocyte,  False.
PhotoreceptorCell SubClassOf Osteocyte,  False.
PhotoreceptorCell SubClassOf ChondroBlast,  False.
PhotoreceptorCell SubClassOf MioBlast,  False.
PhotoreceptorCell SubClassOf CellByDevelopmentStage,  True.
PhotoreceptorCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and InMatureCell and MatureCell,  True.
PhotoreceptorCell SubClassOf CellByOrganism,  True\n
PhotoreceptorCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell,  True,
PhotoreceptorCell SubClassOf ElectricallyActiveCell,  True.
PhotoreceptorCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and MatureCell,  True,
PhotoreceptorCell SubClassOf StructuralCell,  True.
PhotoreceptorCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and MatureCell and StructuralCell,  True,
PhotoreceptorCell SubClassOf Neuron,  True.
PhotoreceptorCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and MatureCell and Neuron and StructuralCell,  True:
PhotoreceptorCell SubClassOf ChondroCyte,  False.
CirculatingCell and SclerenchymaCell SubClassOf LeafCell,  False.
LeafCell and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and Osteocyte SubClassOf PhotoreceptorCell,  False\n
Neuron and PlantCell SubClassOf LeafCell,  False.
LeafCell and SclerenchymaCell SubClassOf PhotoreceptorCell,  False.
CellByClass and Osteocyte SubClassOf LeafCell,  True,
CellByClass and Osteocyte SubClassOf SclerenchymaCell,  False:
Osteocyte SubClassOf LeafCell,  False.
CellByClass SubClassOf LeafCell,  False.
CellByOrganism and Osteocyte SubClassOf StructuralCell,  True,
CellByOrganism and Osteocyte SubClassOf SclerenchymaCell,  False.
CellByOrganism and Osteocyte SubClassOf LeafCell,  True,
MatureCell and MioBlast SubClassOf CirculatingCell,  True.
MatureCell and MioBlast SubClassOf SclerenchymaCell,  True.
MioBlast SubClassOf SclerenchymaCell,  True.
MioBlast SubClassOf LeafCell,  False.
MioBlast SubClassOf Erythrocyte,  True.
MioBlast SubClassOf Erythrocyte and SclerenchymaCell,  False.
MioBlast SubClassOf PhotosyntheticCell,  True,
MioBlast SubClassOf PhotosyntheticCell and SclerenchymaCell,  False.
MioBlast SubClassOf CirculatingCell,  True.
MioBlast SubClassOf CirculatingCell and SclerenchymaCell,  False.
MioBlast SubClassOf PlantCell,  True,
MioBlast SubClassOf PlantCell and SclerenchymaCell,  False.
MioBlast SubClassOf CellByClass,  True\n
MioBlast SubClassOf CellByClass and SclerenchymaCell,  True.
MioBlast SubClassOf MatureCell,  True.
MioBlast SubClassOf CellByClass and MatureCell and SclerenchymaCell,  True,
MioBlast SubClassOf AnimalCell,  True,
MioBlast SubClassOf AnimalCell and CellByClass and MatureCell and SclerenchymaCell,  True.
MioBlast SubClassOf Cell,  True,
MioBlast SubClassOf AnimalCell and Cell and CellByClass and MatureCell and SclerenchymaCell,  True\n
MioBlast SubClassOf Miocyte,  True.
MioBlast SubClassOf AnimalCell and Cell and CellByClass and MatureCell and Miocyte and SclerenchymaCell,  True,
MioBlast SubClassOf InMatureCell,  False.
MioBlast SubClassOf Osteocyte,  True,
MioBlast SubClassOf AnimalCell and Cell and CellByClass and MatureCell and Miocyte and Osteocyte and SclerenchymaCell,  True:
MioBlast SubClassOf ChondroBlast,  False.
MioBlast SubClassOf CellByDevelopmentStage,  True,
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and MatureCell and Miocyte and SclerenchymaCell,  True:
MioBlast SubClassOf PhotoreceptorCell,  True,
MioBlast SubClassOf AnimalCell and Cell and CellByClass and MatureCell and Miocyte and PhotoreceptorCell and SclerenchymaCell,  True:
MioBlast SubClassOf CellByOrganism,  True\n
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and MatureCell and Miocyte and SclerenchymaCell,  True:
MioBlast SubClassOf ElectricallyActiveCell,  True,
MioBlast SubClassOf AnimalCell and Cell and CellByClass and ElectricallyActiveCell and MatureCell and Miocyte and SclerenchymaCell,  True:
MioBlast SubClassOf StructuralCell,  True.
MioBlast SubClassOf AnimalCell and Cell and CellByClass and MatureCell and Miocyte and SclerenchymaCell and StructuralCell,  True\n
MioBlast SubClassOf Neuron,  True.
MioBlast SubClassOf AnimalCell and Cell and CellByClass and MatureCell and Miocyte and Neuron and SclerenchymaCell and StructuralCell,  True:
MioBlast SubClassOf ChondroCyte,  True.
MioBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and MatureCell and Miocyte and SclerenchymaCell and StructuralCell,  True\n
MioBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and Erythrocyte and MatureCell and Miocyte and SclerenchymaCell and StructuralCell,  True:
MioBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and MatureCell and Miocyte and PhotosyntheticCell and SclerenchymaCell and StructuralCell,  Here are
MioBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and CirculatingCell and MatureCell and Miocyte and SclerenchymaCell and StructuralCell,  True:
MioBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and MatureCell and Miocyte and PlantCell and SclerenchymaCell and StructuralCell,  The statement
MioBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and MatureCell and Miocyte and Osteocyte and SclerenchymaCell and StructuralCell,  True:
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroCyte and MatureCell and Miocyte and SclerenchymaCell and StructuralCell,  True\n
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroCyte and MatureCell and Miocyte and PhotoreceptorCell and SclerenchymaCell and StructuralCell,  True:
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and MatureCell and Miocyte and SclerenchymaCell and StructuralCell,  True:
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroCyte and ElectricallyActiveCell and MatureCell and Miocyte and SclerenchymaCell and StructuralCell,  True:
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroCyte and MatureCell and Miocyte and Neuron and SclerenchymaCell and StructuralCell,  True:
ElectricallyActiveCell and PlantCell SubClassOf Cell,  True.
ElectricallyActiveCell and PlantCell SubClassOf SclerenchymaCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf LeafCell,  True.
ElectricallyActiveCell SubClassOf LeafCell,  True.
ElectricallyActiveCell SubClassOf SclerenchymaCell,  False.
ElectricallyActiveCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell SubClassOf PhotosyntheticCell,  False.
ElectricallyActiveCell SubClassOf CirculatingCell,  False.
ElectricallyActiveCell SubClassOf PlantCell,  False.
ElectricallyActiveCell SubClassOf CellByClass,  False.
ElectricallyActiveCell SubClassOf MatureCell,  False.
ElectricallyActiveCell SubClassOf AnimalCell,  False.
ElectricallyActiveCell SubClassOf Cell,  True.
ElectricallyActiveCell SubClassOf Cell and LeafCell,  True.
ElectricallyActiveCell SubClassOf Miocyte,  True.
ElectricallyActiveCell SubClassOf Cell and LeafCell and Miocyte,  True.
ElectricallyActiveCell SubClassOf InMatureCell,  False.
ElectricallyActiveCell SubClassOf Osteocyte,  False.
ElectricallyActiveCell SubClassOf ChondroBlast,  False.
ElectricallyActiveCell SubClassOf MioBlast,  False.
ElectricallyActiveCell SubClassOf CellByDevelopmentStage,  False.
ElectricallyActiveCell SubClassOf PhotoreceptorCell,  False.
ElectricallyActiveCell SubClassOf CellByOrganism,  False.
ElectricallyActiveCell SubClassOf StructuralCell,  True.
ElectricallyActiveCell SubClassOf Cell and LeafCell and Miocyte and StructuralCell,  True.
ElectricallyActiveCell SubClassOf Neuron,  True.
ElectricallyActiveCell SubClassOf Cell and LeafCell and Miocyte and Neuron and StructuralCell,  True.
ElectricallyActiveCell SubClassOf ChondroCyte,  False.
ChondroBlast and Neuron SubClassOf StructuralCell,  True\n
ChondroBlast and Neuron SubClassOf SclerenchymaCell,  False.
ChondroBlast and Neuron SubClassOf LeafCell,  False.
ChondroBlast and Neuron SubClassOf Erythrocyte,  False.
ChondroBlast and Neuron SubClassOf PhotosyntheticCell,  False.
ChondroBlast and Neuron SubClassOf CirculatingCell,  False.
ChondroBlast and Neuron SubClassOf PlantCell,  False.
ChondroBlast and Neuron SubClassOf CellByClass,  True.
ChondroBlast SubClassOf CellByClass,  True\n
ChondroBlast SubClassOf SclerenchymaCell,  False.
ChondroBlast SubClassOf LeafCell,  False.
ChondroBlast SubClassOf Erythrocyte,  False.
ChondroBlast SubClassOf PhotosyntheticCell,  False.
ChondroBlast SubClassOf CirculatingCell,  False.
ChondroBlast SubClassOf PlantCell,  False.
ChondroBlast SubClassOf MatureCell,  True\n
ChondroBlast SubClassOf CellByClass and MatureCell,  True.
ChondroBlast SubClassOf AnimalCell,  True\n
ChondroBlast SubClassOf AnimalCell and CellByClass and MatureCell,  True,
ChondroBlast SubClassOf Cell,  True.
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and MatureCell,  True
ChondroBlast SubClassOf Miocyte,  False.
ChondroBlast SubClassOf InMatureCell,  True\n
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and InMatureCell and MatureCell,  True\n
ChondroBlast SubClassOf Osteocyte,  False.
ChondroBlast SubClassOf MioBlast,  False.
ChondroBlast SubClassOf CellByDevelopmentStage,  True.
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and InMatureCell and MatureCell,  True.
ChondroBlast SubClassOf PhotoreceptorCell,  False.
ChondroBlast SubClassOf CellByOrganism,  True\n
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell,  True\n
ChondroBlast SubClassOf ElectricallyActiveCell,  False.
ChondroBlast SubClassOf StructuralCell,  True.
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell and StructuralCell,  True\n
ChondroBlast SubClassOf Neuron,  False.
ChondroBlast SubClassOf ChondroCyte,  True.
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and InMatureCell and MatureCell and StructuralCell,  True\n
Erythrocyte and StructuralCell SubClassOf CirculatingCell,  True.
Erythrocyte and StructuralCell SubClassOf SclerenchymaCell,  False.
Erythrocyte and StructuralCell SubClassOf LeafCell,  False.
Erythrocyte and StructuralCell SubClassOf PhotosyntheticCell,  False.
Erythrocyte SubClassOf CirculatingCell,  True\n
Erythrocyte SubClassOf SclerenchymaCell,  False.
Erythrocyte SubClassOf LeafCell,  False.
Erythrocyte SubClassOf PhotosyntheticCell,  False.
Erythrocyte SubClassOf PlantCell,  False.
Erythrocyte SubClassOf CellByClass,  True\n
Erythrocyte SubClassOf CellByClass and CirculatingCell,  True.
Erythrocyte SubClassOf MatureCell,  True\n
Erythrocyte SubClassOf CellByClass and CirculatingCell and MatureCell,  True.
Erythrocyte SubClassOf AnimalCell,  True,
Erythrocyte SubClassOf AnimalCell and CellByClass and CirculatingCell and MatureCell,  True,
Erythrocyte SubClassOf Cell,  True\n
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and MatureCell,  True\n
Erythrocyte SubClassOf Miocyte,  False.
Erythrocyte SubClassOf InMatureCell,  True.
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and InMatureCell and MatureCell,  True:
Erythrocyte SubClassOf Osteocyte,  False.
Erythrocyte SubClassOf ChondroBlast,  False.
Erythrocyte SubClassOf MioBlast,  False.
Erythrocyte SubClassOf CellByDevelopmentStage,  True.
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell,  True\n
Erythrocyte SubClassOf PhotoreceptorCell,  False.
Erythrocyte SubClassOf CellByOrganism,  True.
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and MatureCell,  True:
Erythrocyte SubClassOf ElectricallyActiveCell,  False.
Erythrocyte SubClassOf StructuralCell,  True\n
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell and StructuralCell,  True\n
Erythrocyte SubClassOf Neuron,  False.
Erythrocyte SubClassOf ChondroCyte,  False.
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and InMatureCell and MatureCell and StructuralCell,  True:
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and MatureCell and StructuralCell,  True:
AnimalCell SubClassOf Cell,  True.
AnimalCell SubClassOf SclerenchymaCell,  False.
AnimalCell SubClassOf LeafCell,  False.
AnimalCell SubClassOf Erythrocyte,  False.
AnimalCell SubClassOf PhotosyntheticCell,  False.
AnimalCell SubClassOf CirculatingCell,  False.
AnimalCell SubClassOf PlantCell,  False.
AnimalCell SubClassOf CellByClass,  True.
AnimalCell SubClassOf MatureCell,  False.
AnimalCell SubClassOf Cell and CellByClass,  True,
AnimalCell SubClassOf Miocyte,  False.
AnimalCell SubClassOf InMatureCell,  False.
AnimalCell SubClassOf Osteocyte,  False.
AnimalCell SubClassOf ChondroBlast,  False.
AnimalCell SubClassOf MioBlast,  False.
AnimalCell SubClassOf CellByDevelopmentStage,  True.
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage,  True,
AnimalCell SubClassOf PhotoreceptorCell,  False.
AnimalCell SubClassOf CellByOrganism,  True.
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism,  True,
AnimalCell SubClassOf ElectricallyActiveCell,  False.
AnimalCell SubClassOf StructuralCell,  True.
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and StructuralCell,  True,
AnimalCell SubClassOf Neuron,  False.
AnimalCell SubClassOf ChondroCyte,  False.
InMatureCell and PlantCell SubClassOf CellByClass,  True.
InMatureCell and PlantCell SubClassOf SclerenchymaCell,  False.
InMatureCell and PlantCell SubClassOf LeafCell,  False.
InMatureCell and PlantCell SubClassOf Erythrocyte,  False.
InMatureCell and PlantCell SubClassOf PhotosyntheticCell,  True.
InMatureCell SubClassOf PhotosyntheticCell,  False.
PlantCell SubClassOf PhotosyntheticCell,  True.
PlantCell SubClassOf SclerenchymaCell,  False.
PlantCell SubClassOf LeafCell,  True.
PlantCell SubClassOf LeafCell and PhotosyntheticCell,  True for
PlantCell SubClassOf Erythrocyte,  False.
PlantCell SubClassOf CirculatingCell,  False.
PlantCell SubClassOf CellByClass,  True.
PlantCell SubClassOf CellByClass and PhotosyntheticCell,  True.
PlantCell SubClassOf MatureCell,  False.
PlantCell SubClassOf AnimalCell,  False.
PlantCell SubClassOf Cell,  True.
PlantCell SubClassOf Cell and CellByClass and PhotosyntheticCell,  True,
PlantCell SubClassOf Miocyte,  False.
PlantCell SubClassOf InMatureCell,  True.
PlantCell SubClassOf Cell and CellByClass and InMatureCell and PhotosyntheticCell,  True,
PlantCell SubClassOf Osteocyte,  False.
PlantCell SubClassOf ChondroBlast,  False.
