Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, \nFalse
Can Animal be considered a subcategory of 'Water'?, \nFalse
Can Animal be considered a subcategory of 'Plant'?, \nFalse
Can Animal be considered a subcategory of 'Vertebrate'?, \nTrue
Can Plant that is also Vertebrate be considered a subcategory of 'Fish'?, \nFalse
Can Fish that is also Mammal be considered a subcategory of 'Wing'?, \nFalse
Can something that eats some Fish be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Mammal'?, \nFalse
Can Meat that is also Vertebrate be considered a subcategory of 'Animal'?, \nFalse
Can Animal that is also Egg be considered a subcategory of 'Elephant'?, \nFalse
Can Water that is also Wing be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Wing be considered a subcategory of 'Leg'?, \nFalse
Can Bird that is also Plant be considered a subcategory of 'Fish'?, \nFalse
Can Elephant that is also Plant be considered a subcategory of 'Water'?, \nFalse
Can Elephant that is also Fish be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Cat be considered a subcategory of 'Mammal'?, \nIn
Can Backbone that is also Plant be considered a subcategory of 'Bird'?, \nFalse
Can Egg that is also Fish be considered a subcategory of 'Elephant'?, \nFalse
Can Fish that is also Herbivore be considered a subcategory of 'Leg'?, \nFalse
Can Bird that is also Carnivore be considered a subcategory of 'Animal'?, \nIn
Can Cat that is also Herbivore be considered a subcategory of 'Fish'?, \nFalse
Can something that has_part some Vertebrate be considered a subcategory of 'Elephant'?, \nFalse
Can Carnivore that is also Leg be considered a subcategory of 'Meat'?, \nIn
Can Mammal that is also Meat be considered a subcategory of 'Animal'?, \nFalse
Can Animal that is also Cat be considered a subcategory of 'Bird'?, \nFalse
Can Cat be considered a subcategory of 'something that lives_in some Bird'?, \nFalse
Can Leg that is also Wing be considered a subcategory of 'Reptile'?, \nIn
Can Backbone that is also Elephant be considered a subcategory of 'Egg'?, \nFalse
Can Backbone that is also Mammal be considered a subcategory of 'Animal'?, \nIn
Can Animal that is also Fish be considered a subcategory of 'Bird'?, \nFalse
Can Leg be considered a subcategory of 'something that lays some Reptile'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Bird'?, \nIn
Can Cat that is also Meat be considered a subcategory of 'Water'?, \nFalse
Can Elephant be considered a subcategory of 'Plant'?, \nFalse
Can Mammal that is also Plant be considered a subcategory of 'Bird'?, \nFalse
Can Bird that is also Mammal be considered a subcategory of 'Fish'?, \nFalse
Can Meat that is also Plant be considered a subcategory of 'Elephant'?, \nFalse
Can Egg be considered a subcategory of 'Water'?, \nFalse
Can Vertebrate be considered a subcategory of 'something that lays some Leg'?, \nFalse
Can something that lives_in some Egg be considered a subcategory of 'Reptile'?, \nFalse
Can Herbivore be considered a subcategory of 'something that lays some Mammal'?, \nIn
Can Animal that is also Wing be considered a subcategory of 'Meat'?, \nFalse
Can Egg that is also Fish be considered a subcategory of 'Water'?, \nFalse
Can Fish that is also Leg be considered a subcategory of 'Reptile'?, \nFalse
Can something that has_part some Animal be considered a subcategory of 'Leg'?, \nFalse
Can Plant be considered a subcategory of 'Fish'?, \nFalse
Can Backbone that is also Cat be considered a subcategory of 'Mammal'?, \nIn
Can Bird that is also Carnivore be considered a subcategory of 'Fish'?, \nFalse
Can Meat that is also Plant be considered a subcategory of 'Bird'?, \nFalse
Can Fish that is also Vertebrate be considered a subcategory of 'Reptile'?, \nFalse
Can Bird that is also Wing be considered a subcategory of 'Animal'?, \nIn
Can Vertebrate be considered a subcategory of 'Fish'?, \nFalse
Can Leg that is also Plant be considered a subcategory of 'Mammal'?, \nFalse
Can Elephant that is also Fish be considered a subcategory of 'Mammal'?, \nFalse
Can Bird that is also Cat be considered a subcategory of 'Fish'?, \nFalse
Can Plant that is also Reptile be considered a subcategory of 'Bird'?, \nFalse
Can Animal be considered a subcategory of 'something that has_part some Bird'?, \nFalse
Can something that has_part some Wing be considered a subcategory of 'Elephant'?, \nIn
Can Carnivore that is also Reptile be considered a subcategory of 'Egg'?, \nFalse
Can Elephant that is also Water be considered a subcategory of 'Leg'?, \nFalse
Can Carnivore be considered a subcategory of 'something that lays some Bird'?, \nFalse
Can Carnivore be considered a subcategory of 'something that eats some Water'?, \nThe
Can Egg that is also Elephant be considered a subcategory of 'Mammal'?, \nFalse
Can Vertebrate be considered a subcategory of 'something that has_part some Bird'?, \nMan
Can Bird be considered a subcategory of 'something that eats some Reptile'?, \nIn
Can Backbone that is also Elephant be considered a subcategory of 'Leg'?, \nFalse
Can Egg be considered a subcategory of 'something that lives_in some Elephant'?, \nFalse
Can Meat that is also Wing be considered a subcategory of 'Herbivore'?, \nFalse
Can Reptile be considered a subcategory of 'something that eats some Carnivore'?, \nFalse
Can Elephant that is also Plant be considered a subcategory of 'Fish'?, \nFalse
Can Leg be considered a subcategory of 'something that has_part some Leg'?, \nIn
Can something that has_part some Wing be considered a subcategory of 'Bird'?, \nIn
Can Plant be considered a subcategory of 'something that lays some Elephant'?, \nFalse
Can Elephant that is also Water be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Herbivore be considered a subcategory of 'Cat'?, \nFalse
Can Meat be considered a subcategory of 'something that lays some Water'?, \nFalse
Can Vertebrate be considered a subcategory of 'something that has_part some Egg'?, \nIn
Can Elephant that is also Herbivore be considered a subcategory of 'Cat'?, \nFalse
Can Backbone that is also Elephant be considered a subcategory of 'Reptile'?, \nFalse
Can Herbivore be considered a subcategory of 'something that has_part some Fish'?, \nFalse
Can something that lives_in some Leg be considered a subcategory of 'Animal'?, \nFalse
Can Reptile be considered a subcategory of 'something that lays some Water'?, \nFalse
Can Animal that is also Backbone be considered a subcategory of 'Elephant'?, \nFalse
Can something that eats some Water be considered a subcategory of 'Water'?, \nFalse
Can something that lays some Herbivore be considered a subcategory of 'Mammal'?, \nFalse
Can Elephant that is also Meat be considered a subcategory of 'Egg'?, \nFalse
Can Carnivore that is also Wing be considered a subcategory of 'Vertebrate'?, \nFalse
Can Mammal that is also Water be considered a subcategory of 'Reptile'?, \nFalse
Can Carnivore be considered a subcategory of 'something that lives_in some Fish'?, \nFalse
Can Cat that is also Egg be considered a subcategory of 'Fish'?, \nFalse
Can Elephant that is also Water be considered a subcategory of 'Carnivore'?, \nFalse
Can Wing be considered a subcategory of 'something that lives_in some Leg'?, \nOW
Can Wing be considered a subcategory of 'something that has_part some Elephant'?, \nFalse
Can Cat be considered a subcategory of 'something that lives_in some Fish'?, \nFalse
Can Backbone that is also Cat be considered a subcategory of 'Meat'?, \nFalse
Can Animal be considered a subcategory of 'something that has_part some Elephant'?, \nFalse
Can something that has_part some Herbivore be considered a subcategory of 'Water'?, \nFalse
Can Herbivore that is also Reptile be considered a subcategory of 'Elephant'?, \nFalse
Can something that lives_in some Animal be considered a subcategory of 'Meat'?, \nFalse
Can Plant that is also Reptile be considered a subcategory of 'Carnivore'?, \nFalse
Can Carnivore be considered a subcategory of 'something that eats some Carnivore'?, \nFalse
Can Egg that is also Elephant be considered a subcategory of 'Fish'?, \nFalse
Can Vertebrate be considered a subcategory of 'something that lives_in some Elephant'?, \nFalse
Can Elephant that is also Herbivore be considered a subcategory of 'Water'?, \nFalse
Can Wing be considered a subcategory of 'something that eats some Leg'?, \nFalse
Can Herbivore that is also Mammal be considered a subcategory of 'Vertebrate'?, \nIn
Can Herbivore that is also Leg be considered a subcategory of 'Reptile'?, \nFalse
Can Reptile be considered a subcategory of 'something that eats some Mammal'?, \nFalse
Can Bird that is also Reptile be considered a subcategory of 'Wing'?, \nFalse
Can Plant be considered a subcategory of 'something that has_part some Meat'?, \nFalse
Can Vertebrate that is also Wing be considered a subcategory of 'Cat'?, \nFalse
Can Elephant be considered a subcategory of 'something that lays some Animal'?, \nFalse
Can Animal that is also Reptile be considered a subcategory of 'Plant'?, \nFalse
Can Meat be considered a subcategory of 'something that has_part some Backbone'?, \nIn
Can Herbivore that is also Wing be considered a subcategory of 'Vertebrate'?, \nFalse
Can Leg be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Carnivore that is also Elephant be considered a subcategory of 'Herbivore'?, \nFalse
Can Egg be considered a subcategory of 'something that has_part some Meat'?, \nFalse
Can Animal that is also Wing be considered a subcategory of 'Cat'?, \nFalse
Can Mammal that is also Meat be considered a subcategory of 'Plant'?, \nFalse
Can something that lives_in some Bird be considered a subcategory of 'Plant'?, \nFalse
Can Backbone be considered a subcategory of 'something that has_part some Cat'?, \nIn
Can something that lives_in some Wing be considered a subcategory of 'Vertebrate'?, \nIn
Can Mammal be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Plant be considered a subcategory of 'Herbivore'?, \nFalse
Can Vertebrate that is also Wing be considered a subcategory of 'Backbone'?, \nFalse
Can Elephant be considered a subcategory of 'something that lays some Cat'?, \nFalse
Can something that lays some Bird be considered a subcategory of 'Plant'?, \nFalse
Can Herbivore that is also Wing be considered a subcategory of 'Meat'?, \nFalse
Can Cat be considered a subcategory of 'something that lays some Vertebrate'?, \nFalse
Can Bird that is also Carnivore be considered a subcategory of 'Wing'?, \nFalse
Can Egg be considered a subcategory of 'something that has_part some Herbivore'?, \nFalse
Can Egg that is also Leg be considered a subcategory of 'Meat'?, \nFalse
Can Carnivore be considered a subcategory of 'something that eats some Mammal'?, \nIn
Can Backbone be considered a subcategory of 'something that has_part some Backbone'?, \nFalse
Can something that lives_in some Wing be considered a subcategory of 'Meat'?, \nFalse
Can Mammal be considered a subcategory of 'something that lays some Vertebrate'?, \nIn
Can Cat that is also Herbivore be considered a subcategory of 'Meat'?, \nFalse
Can Plant be considered a subcategory of 'something that eats some Mammal'?, \nFalse
Can Fish that is also Water be considered a subcategory of 'Animal'?, \nFalse
Can Elephant be considered a subcategory of 'something that lives_in some Herbivore'?, \nIn
Can something that lays some Herbivore be considered a subcategory of 'Backbone'?, \nFalse
Can Meat be considered a subcategory of 'something that eats some Animal'?, \nOW
Can Water be considered a subcategory of 'Plant'?, \nFalse
Can something that has_part some Wing be considered a subcategory of 'Cat'?, \nIn
Can Carnivore that is also Herbivore be considered a subcategory of 'Meat'?, \nFalse
Can Bird be considered a subcategory of 'something that eats some Vertebrate'?, \nIn
Can Animal that is also Water be considered a subcategory of 'Bird'?, \nFalse
Can Herbivore that is also Wing be considered a subcategory of 'Cat'?, \nFalse
Can Backbone that is also Reptile be considered a subcategory of 'Animal'?, \nIn
Can something that lives_in some Water be considered a subcategory of 'Plant'?, \nFalse
Can Carnivore that is also Meat be considered a subcategory of 'Egg'?, \nFalse
Can Elephant that is also Reptile be considered a subcategory of 'Herbivore'?, \nFalse
Can Fish that is also Wing be considered a subcategory of 'Animal'?, \nIn
Can Elephant be considered a subcategory of 'something that lays some Wing'?, \nFalse
Can Reptile that is also Vertebrate be considered a subcategory of 'Leg'?, \nFalse
Can Meat be considered a subcategory of 'something that has_part some Cat'?, \nThe
Can Fish be considered a subcategory of 'something that eats some Bird'?, \nFalse
Can Bird be considered a subcategory of 'something that has_part some Mammal'?, \nFalse
Can Herbivore that is also Wing be considered a subcategory of 'Backbone'?, \nFalse
Can Backbone be considered a subcategory of 'something that eats some Cat'?, \nFalse
Can something that lives_in some Wing be considered a subcategory of 'Plant'?, \nIn
Can Animal that is also Egg be considered a subcategory of 'Backbone'?, \nFalse
Can Cat that is also Meat be considered a subcategory of 'Mammal'?, \nFalse
Can something that lays some Backbone be considered a subcategory of 'Plant'?, \nFalse
Can Fish that is also Water be considered a subcategory of 'Herbivore'?, \nFalse
Can Herbivore be considered a subcategory of 'something that lives_in some Meat'?, \nFalse
Can something that has_part some Meat be considered a subcategory of 'Animal'?, \nIn
Can Backbone that is also Meat be considered a subcategory of 'Bird'?, \nFalse
Can Mammal that is also Meat be considered a subcategory of 'Carnivore'?, \nIn
Can Leg be considered a subcategory of 'something that lives_in some Cat'?, \nFalse
Can Mammal that is also Meat be considered a subcategory of 'Fish'?, \nFalse
Can Bird that is also Leg be considered a subcategory of 'Vertebrate'?, \nIn
Can Egg that is also Water be considered a subcategory of 'Herbivore'?, \nFalse
Can something that eats some Reptile be considered a subcategory of 'Meat'?, \nFalse
Can Carnivore that is also Wing be considered a subcategory of 'Animal'?, \nIn
Can Reptile be considered a subcategory of 'Bird'?, \nFalse
Can Reptile that is also Vertebrate be considered a subcategory of 'Cat'?, \nFalse
Can Fish that is also Water be considered a subcategory of 'Bird'?, \nFalse
Can something that has_part some Herbivore be considered a subcategory of 'Cat'?, \nFalse
Can Backbone that is also Meat be considered a subcategory of 'Animal'?, \nFalse
Can Egg that is also Leg be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Meat be considered a subcategory of 'Mammal'?, \nIn
Can Backbone that is also Bird be considered a subcategory of 'Plant'?, \nFalse
Can Egg that is also Water be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore be considered a subcategory of 'something that has_part some Herbivore'?, \nIn
Can Meat that is also Wing be considered a subcategory of 'Animal'?, \nThe
Can Backbone that is also Reptile be considered a subcategory of 'Bird'?, \nFalse
Can Elephant that is also Plant be considered a subcategory of 'Herbivore'?, \nFalse
Can Bird that is also Egg be considered a subcategory of 'Carnivore'?, \nFalse
Can Meat be considered a subcategory of 'Herbivore'?, \nFalse
Can something that lives_in some Animal be considered a subcategory of 'Animal'?, \nIn
Can Mammal that is also Plant be considered a subcategory of 'Meat'?, \nFalse
Can Cat that is also Herbivore be considered a subcategory of 'Mammal'?, \nFalse
Can something that has_part some Carnivore be considered a subcategory of 'Bird'?, \nFalse
Can Carnivore that is also Leg be considered a subcategory of 'Herbivore'?, \nFalse
Can Fish that is also Water be considered a subcategory of 'Backbone'?, \nFalse
Can something that lays some Reptile be considered a subcategory of 'Reptile'?, \nIn
Can something that lives_in some Cat be considered a subcategory of 'Fish'?, \nFalse
Can Leg that is also Reptile be considered a subcategory of 'Meat'?, \nFalse
Can Backbone that is also Mammal be considered a subcategory of 'Cat'?, \nFalse
Can Cat that is also Vertebrate be considered a subcategory of 'Animal'?, \nTrue
Can Cat that is also Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can Cat that is also Vertebrate be considered a subcategory of 'Meat'?, \nFalse
Can Cat that is also Vertebrate be considered a subcategory of 'Carnivore'?, \nFalse
Can Cat that is also Vertebrate be considered a subcategory of 'Water'?, \nFalse
Can Cat be considered a subcategory of 'Animal'?, \nFalse
Can Vertebrate be considered a subcategory of 'Animal'?, \nTrue
Can Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can Vertebrate be considered a subcategory of 'Meat'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore'?, \nFalse
Can Vertebrate be considered a subcategory of 'Water'?, \nFalse
Can Vertebrate be considered a subcategory of 'Reptile'?, \nFalse
Can Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can Vertebrate be considered a subcategory of 'Cat'?, \nFalse
Can Vertebrate be considered a subcategory of 'Mammal'?, \nTrue
Can Vertebrate be considered a subcategory of 'Animal that is also Mammal'?, \nFalse
Can Vertebrate be considered a subcategory of 'Herbivore'?, \nFalse
Can Vertebrate be considered a subcategory of 'Leg'?, \nFalse
Can Vertebrate be considered a subcategory of 'Elephant'?, \nFalse
Can Vertebrate be considered a subcategory of 'Bird'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone'?, \nFalse
Can Vertebrate be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Cat be considered a subcategory of 'Plant'?, \nFalse
Can something that lays some Herbivore be considered a subcategory of 'Plant'?, \nIn
Can Carnivore that is also Reptile be considered a subcategory of 'Elephant'?, \nFalse
Can something that eats some Backbone be considered a subcategory of 'Fish'?, \nFalse
Can Carnivore that is also Mammal be considered a subcategory of 'Plant'?, \nFalse
Can Carnivore that is also Meat be considered a subcategory of 'Plant'?, \nFalse
Can Egg that is also Mammal be considered a subcategory of 'Meat'?, \nFalse
Can something that eats some Cat be considered a subcategory of 'Mammal'?, \nFalse
Can Carnivore that is also Elephant be considered a subcategory of 'Bird'?, \nFalse
Can Reptile be considered a subcategory of 'Herbivore'?, \nFalse
Can Backbone that is also Mammal be considered a subcategory of 'Reptile'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Fish'?, \nIn
Can Bird that is also Wing be considered a subcategory of 'Water'?, \nFalse
Can Mammal be considered a subcategory of 'something that eats some Water'?, \nFalse
Can Bird that is also Water be considered a subcategory of 'Carnivore'?, \nFalse
Can Fish be considered a subcategory of 'something that lives_in some Egg'?, \nFalse
Can Herbivore be considered a subcategory of 'Elephant'?, \nFalse
Can Reptile that is also Water be considered a subcategory of 'Leg'?, \nFalse
Can Reptile that is also Vertebrate be considered a subcategory of 'Backbone'?, \nFalse
Can something that lays some Meat be considered a subcategory of 'Reptile'?, \nFalse
Can Backbone that is also Cat be considered a subcategory of 'Carnivore'?, \nIn
Can something that lays some Water be considered a subcategory of 'Vertebrate'?, \nFalse
Can Backbone that is also Egg be considered a subcategory of 'Wing'?, \nFalse
Can something that lives_in some Carnivore be considered a subcategory of 'Water'?, \nFalse
Can something that has_part some Reptile be considered a subcategory of 'Backbone'?, \nFalse
Can Herbivore that is also Vertebrate be considered a subcategory of 'Fish'?, \nFalse
Can Backbone that is also Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can Bird that is also Elephant be considered a subcategory of 'Carnivore'?, \nFalse
Can Herbivore be considered a subcategory of 'Wing'?, \nFalse
Can Plant that is also Water be considered a subcategory of 'Fish'?, \nFalse
Can Water be considered a subcategory of 'something that lives_in some Fish'?, \nFalse
Can Backbone that is also Fish be considered a subcategory of 'Reptile'?, \nFalse
Can Cat be considered a subcategory of 'something that eats some Water'?, \nFalse
Can something that lays some Water be considered a subcategory of 'Carnivore'?, \nFalse
Can Egg be considered a subcategory of 'something that lives_in some Egg'?, \nFalse
Can something that eats some Herbivore be considered a subcategory of 'Wing'?, \nFalse
Can Meat that is also Water be considered a subcategory of 'Leg'?, \nFalse
Can Carnivore that is also Fish be considered a subcategory of 'Elephant'?, \nFalse
Can Carnivore that is also Fish be considered a subcategory of 'Backbone'?, \nFalse
Can Mammal that is also Reptile be considered a subcategory of 'Vertebrate'?, \nFalse
Can Cat that is also Mammal be considered a subcategory of 'Wing'?, \nFalse
Can Cat that is also Plant be considered a subcategory of 'Herbivore'?, \nFalse
Can Elephant that is also Reptile be considered a subcategory of 'Leg'?, \nFalse
Can Meat that is also Reptile be considered a subcategory of 'Wing'?, \nFalse
Can Herbivore be considered a subcategory of 'something that lays some Water'?, \nThe
Can Animal that is also Carnivore be considered a subcategory of 'Cat'?, \nFalse
Can Leg that is also Reptile be considered a subcategory of 'Vertebrate'?, \nFalse
Can Egg that is also Wing be considered a subcategory of 'Water'?, \nFalse
Can Cat that is also Egg be considered a subcategory of 'Water'?, \nFalse
