Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
ElectricallyActiveCell SubClassOf CellByOrganism, \nTrue
ElectricallyActiveCell SubClassOf Cell and CellByOrganism and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PhotosyntheticCell, \nHere
ElectricallyActiveCell SubClassOf StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf Cell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf Neuron, \nTrue
ElectricallyActiveCell SubClassOf Cell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf ChondroCyte, \nTrue
ElectricallyActiveCell SubClassOf Cell and ChondroCyte and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf Cell and ChondroCyte and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nFalse
ElectricallyActiveCell SubClassOf Cell and ChondroCyte and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and StructuralCell, \nFalse
ElectricallyActiveCell SubClassOf Cell and ChondroBlast and ChondroCyte and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nFalse
ElectricallyActiveCell SubClassOf Cell and CellByDevelopmentStage and ChondroCyte and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nFalse
ElectricallyActiveCell SubClassOf Cell and CellByOrganism and ChondroCyte and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nTrue
CellByDevelopmentStage and InMatureCell SubClassOf Osteocyte, \nFalse
Miocyte and StructuralCell SubClassOf LeafCell, \nFalse
CellByDevelopmentStage and LeafCell SubClassOf AnimalCell, \nTrue
CellByDevelopmentStage and LeafCell SubClassOf SclerenchymaCell, \nFalse
CellByDevelopmentStage and LeafCell SubClassOf Erythrocyte, \nTrue
LeafCell SubClassOf Erythrocyte, \nTrue
LeafCell SubClassOf SclerenchymaCell, \nTrue
LeafCell SubClassOf Erythrocyte and SclerenchymaCell, \nTrue
LeafCell SubClassOf PhotosyntheticCell, \nTrue
LeafCell SubClassOf Erythrocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf CirculatingCell, \nFalse
LeafCell SubClassOf PlantCell, \nTrue
LeafCell SubClassOf Erythrocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf CellByClass, \nTrue
LeafCell SubClassOf CellByClass and Erythrocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nThe
LeafCell SubClassOf MatureCell, \nTrue
LeafCell SubClassOf Erythrocyte and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf AnimalCell, \nFalse
LeafCell SubClassOf Cell, \nTrue
LeafCell SubClassOf Cell and Erythrocyte and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
LeafCell SubClassOf Miocyte, \nTrue
LeafCell SubClassOf Erythrocyte and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf InMatureCell, \nTrue
LeafCell SubClassOf Erythrocyte and InMatureCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf Osteocyte, True
LeafCell SubClassOf Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf ChondroBlast, \nTrue
LeafCell SubClassOf ChondroBlast and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf MioBlast, \nFalse
LeafCell SubClassOf CellByDevelopmentStage, \nFalse
LeafCell SubClassOf PhotoreceptorCell, \nTrue
LeafCell SubClassOf ChondroBlast and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
LeafCell SubClassOf CellByOrganism, \nFalse
LeafCell SubClassOf ElectricallyActiveCell, \nTrue
LeafCell SubClassOf ChondroBlast and ElectricallyActiveCell and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
LeafCell SubClassOf StructuralCell, \nTrue
LeafCell SubClassOf ChondroBlast and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf Neuron, \nTrue
LeafCell SubClassOf ChondroBlast and Erythrocyte and InMatureCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
LeafCell SubClassOf ChondroCyte, \nTrue
LeafCell SubClassOf ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf CellByClass and ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
LeafCell SubClassOf Cell and ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf Cell and ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf Cell and ChondroBlast and ChondroCyte and ElectricallyActiveCell and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
LeafCell SubClassOf Cell and ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage and ChondroBlast SubClassOf Osteocyte, \nFalse
Cell and MatureCell SubClassOf Osteocyte, \nFalse
CellByClass and InMatureCell SubClassOf AnimalCell, \nFalse
CellByOrganism and ChondroCyte SubClassOf AnimalCell, \nFalse
Osteocyte and SclerenchymaCell SubClassOf AnimalCell, \nFalse
InMatureCell and Miocyte SubClassOf PhotosyntheticCell, \nTrue
InMatureCell and Miocyte SubClassOf SclerenchymaCell, \nFalse
InMatureCell and Miocyte SubClassOf LeafCell, \nThe
InMatureCell and Miocyte SubClassOf Erythrocyte, \nTrue
Miocyte SubClassOf Erythrocyte, \nTrue
Miocyte SubClassOf SclerenchymaCell, \nTrue
Miocyte SubClassOf Erythrocyte and SclerenchymaCell, \nFalse
Miocyte SubClassOf LeafCell, True
Miocyte SubClassOf Erythrocyte and LeafCell, \nTrue
Miocyte SubClassOf PhotosyntheticCell, \nTrue
Miocyte SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf CirculatingCell, \nTrue
Miocyte SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf PlantCell, \nTrue
Miocyte SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell, \nFalse
Miocyte SubClassOf CellByClass, \nTrue
Miocyte SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf MatureCell, \nTrue
Miocyte SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf AnimalCell, \nTrue
Miocyte SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell, \nFalse
Miocyte SubClassOf Cell, \nTrue
Miocyte SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf InMatureCell, False
Miocyte SubClassOf Osteocyte, \nTrue
Miocyte SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Osteocyte and PhotosyntheticCell, \nTrue
Miocyte SubClassOf ChondroBlast, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Osteocyte and PhotosyntheticCell, \nTrue
Miocyte SubClassOf MioBlast, True
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Osteocyte and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByDevelopmentStage, False
Miocyte SubClassOf PhotoreceptorCell, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Osteocyte and PhotoreceptorCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf CellByOrganism, \nFalse
Miocyte SubClassOf ElectricallyActiveCell, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and Osteocyte and PhotoreceptorCell and PhotosyntheticCell, \nFalse
Miocyte SubClassOf StructuralCell, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nFalse
Miocyte SubClassOf Neuron, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf ChondroCyte, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell, \nFalse
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nFalse
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nHere
Miocyte SubClassOf AnimalCell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nHere
Cell and StructuralCell SubClassOf SclerenchymaCell, \nTrue
Cell SubClassOf SclerenchymaCell, \nTrue
Cell SubClassOf LeafCell, \nFalse
Cell SubClassOf Erythrocyte, \nTrue
Cell SubClassOf Erythrocyte and SclerenchymaCell, \nFalse
Cell SubClassOf PhotosyntheticCell, \nTrue
Cell SubClassOf PhotosyntheticCell and SclerenchymaCell, \nTrue
Cell SubClassOf CirculatingCell, \nTrue
Cell SubClassOf CirculatingCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Cell SubClassOf PlantCell, \nTrue
Cell SubClassOf CirculatingCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf CellByClass, False
Cell SubClassOf MatureCell, \nTrue
Cell SubClassOf CirculatingCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf AnimalCell, \nTrue
Cell SubClassOf AnimalCell and CirculatingCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nThe
Cell SubClassOf Miocyte, \nTrue
Cell SubClassOf CirculatingCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
Cell SubClassOf InMatureCell, \nFalse
Cell SubClassOf Osteocyte, \nTrue
Cell SubClassOf CirculatingCell and MatureCell and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
Cell SubClassOf ChondroBlast, \nTrue
Cell SubClassOf ChondroBlast and CirculatingCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
Cell SubClassOf MioBlast, \nTrue
Cell SubClassOf CirculatingCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf CellByDevelopmentStage, \nFalse
Cell SubClassOf PhotoreceptorCell, \nTrue
Cell SubClassOf CirculatingCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
Cell SubClassOf CellByOrganism, False
Cell SubClassOf ElectricallyActiveCell, \nTrue
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
Cell SubClassOf StructuralCell, \nTrue
Cell SubClassOf CirculatingCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell SubClassOf Neuron, True
Cell SubClassOf CirculatingCell and MatureCell and MioBlast and Neuron and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
Cell SubClassOf ChondroCyte, \nFalse
Cell SubClassOf CirculatingCell and Erythrocyte and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell SubClassOf AnimalCell and CirculatingCell and Erythrocyte and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell SubClassOf AnimalCell and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell SubClassOf AnimalCell and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
Cell SubClassOf AnimalCell and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell SubClassOf AnimalCell and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
Cell SubClassOf AnimalCell and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
Cell SubClassOf AnimalCell and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Neuron and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
InMatureCell and StructuralCell SubClassOf ChondroCyte, \nTrue
InMatureCell and StructuralCell SubClassOf SclerenchymaCell, \nTrue
InMatureCell SubClassOf SclerenchymaCell, \nTrue
InMatureCell SubClassOf LeafCell, \nTrue
InMatureCell SubClassOf LeafCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Erythrocyte, \nFalse
InMatureCell SubClassOf PhotosyntheticCell, \nTrue
InMatureCell SubClassOf LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CirculatingCell, \nTrue
InMatureCell SubClassOf CirculatingCell and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nFalse
InMatureCell SubClassOf PlantCell, \nTrue
InMatureCell SubClassOf LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CellByClass, \nFalse
InMatureCell SubClassOf MatureCell, \nTrue
InMatureCell SubClassOf LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf AnimalCell, \nTrue
InMatureCell SubClassOf AnimalCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Cell, True
InMatureCell SubClassOf AnimalCell and Cell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
InMatureCell SubClassOf Miocyte, \nTrue
InMatureCell SubClassOf AnimalCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Osteocyte, \nTrue
InMatureCell SubClassOf AnimalCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
InMatureCell SubClassOf ChondroBlast, False
InMatureCell SubClassOf MioBlast, \nTrue
InMatureCell SubClassOf AnimalCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
InMatureCell SubClassOf CellByDevelopmentStage, True
InMatureCell SubClassOf AnimalCell and CellByDevelopmentStage and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nThe
InMatureCell SubClassOf PhotoreceptorCell, \nTrue
InMatureCell SubClassOf AnimalCell and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CellByOrganism, \nFalse
InMatureCell SubClassOf ElectricallyActiveCell, \nTrue
InMatureCell SubClassOf AnimalCell and ElectricallyActiveCell and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf StructuralCell, \nTrue
InMatureCell SubClassOf AnimalCell and ElectricallyActiveCell and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
InMatureCell SubClassOf Neuron, \nFalse
InMatureCell SubClassOf ChondroCyte, \nFalse
InMatureCell SubClassOf AnimalCell and CirculatingCell and ElectricallyActiveCell and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
InMatureCell SubClassOf AnimalCell and Cell and CirculatingCell and ElectricallyActiveCell and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
InMatureCell SubClassOf AnimalCell and CirculatingCell and ElectricallyActiveCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nThe
InMatureCell SubClassOf AnimalCell and CirculatingCell and ElectricallyActiveCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nThe
InMatureCell SubClassOf AnimalCell and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
CellByClass and ChondroBlast SubClassOf ElectricallyActiveCell, \nTrue
CellByClass and ChondroBlast SubClassOf SclerenchymaCell, \nFalse
CellByClass and ChondroBlast SubClassOf LeafCell, \nFalse
CellByClass and ChondroBlast SubClassOf Erythrocyte, \nTrue
ChondroBlast SubClassOf Erythrocyte, \nFalse
CellByClass SubClassOf Erythrocyte, \nTrue
CellByClass SubClassOf SclerenchymaCell, \nTrue
CellByClass SubClassOf Erythrocyte and SclerenchymaCell, \nFalse
CellByClass SubClassOf LeafCell, \nTrue
CellByClass SubClassOf Erythrocyte and LeafCell, \nFalse
CellByClass SubClassOf PhotosyntheticCell, \nTrue
CellByClass SubClassOf Erythrocyte and PhotosyntheticCell, \nFalse
CellByClass SubClassOf CirculatingCell, \nTrue
CellByClass SubClassOf CirculatingCell and Erythrocyte, \nTrue
CellByClass SubClassOf PlantCell, False
CellByClass SubClassOf MatureCell, \nTrue
CellByClass SubClassOf CirculatingCell and Erythrocyte and MatureCell, \nTrue
CellByClass SubClassOf AnimalCell, \nTrue
CellByClass SubClassOf AnimalCell and CirculatingCell and Erythrocyte and MatureCell, \nTrue
CellByClass SubClassOf Cell, False
CellByClass SubClassOf Miocyte, \nTrue
CellByClass SubClassOf AnimalCell and CirculatingCell and Erythrocyte and MatureCell and Miocyte, \nTrue
CellByClass SubClassOf InMatureCell, \nTrue
CellByClass SubClassOf AnimalCell and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and Miocyte, \nTrue
CellByClass SubClassOf Osteocyte, \nFalse
CellByClass SubClassOf ChondroBlast, False
CellByClass SubClassOf MioBlast, \nFalse
CellByClass SubClassOf CellByDevelopmentStage, \nTrue
CellByClass SubClassOf AnimalCell and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and Miocyte, \nTrue
CellByClass SubClassOf PhotoreceptorCell, \nFalse
CellByClass SubClassOf CellByOrganism, \nTrue
CellByClass SubClassOf AnimalCell and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and Miocyte, \nTrue
CellByClass SubClassOf ElectricallyActiveCell, \nTrue
CellByClass SubClassOf AnimalCell and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and MatureCell and Miocyte, \nFalse
CellByClass SubClassOf StructuralCell, \nFalse
CellByClass SubClassOf Neuron, \nFalse
CellByClass SubClassOf ChondroCyte, \nFalse
CellByClass SubClassOf AnimalCell and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and Miocyte and SclerenchymaCell, \nFalse
CellByClass SubClassOf AnimalCell and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte, \nTrue
CellByClass SubClassOf AnimalCell and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell, \nTrue
CellByClass SubClassOf AnimalCell and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell, \nTrue
CirculatingCell and SclerenchymaCell SubClassOf LeafCell, \nTrue
SclerenchymaCell SubClassOf LeafCell, \nTrue
SclerenchymaCell SubClassOf Erythrocyte, \nFalse
SclerenchymaCell SubClassOf PhotosyntheticCell, \nTrue
SclerenchymaCell SubClassOf LeafCell and PhotosyntheticCell, \nTrue
SclerenchymaCell SubClassOf CirculatingCell, \nTrue
SclerenchymaCell SubClassOf CirculatingCell and LeafCell and PhotosyntheticCell, \nTrue
SclerenchymaCell SubClassOf PlantCell, \nTrue
SclerenchymaCell SubClassOf CirculatingCell and LeafCell and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf CellByClass, \nFalse
SclerenchymaCell SubClassOf MatureCell, \nFalse
SclerenchymaCell SubClassOf AnimalCell, \nFalse
SclerenchymaCell SubClassOf Cell, \nTrue
SclerenchymaCell SubClassOf Cell and CirculatingCell and LeafCell and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf Miocyte, \nTrue
SclerenchymaCell SubClassOf Cell and CirculatingCell and LeafCell and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
