Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, **False
Can Bird be considered a subcategory of 'Mammal'?, False
Can Bird be considered a subcategory of 'Herbivore'?, **False
Can Bird be considered a subcategory of 'Leg'?, FALSE
Can Bird be considered a subcategory of 'Elephant'?, **FALSE
Can Bird be considered a subcategory of 'Backbone'?, **FALSE
Can Bird be considered a subcategory of 'Wing'?, **False
Can Backbone that is also Fish be considered a subcategory of 'Water'?, False
Can Elephant that is also Water be considered a subcategory of 'Vertebrate'?, FALSE
Can Reptile that is also Wing be considered a subcategory of 'Egg'?, False
Can Backbone that is also Meat be considered a subcategory of 'Elephant'?, FALSE
Can Backbone that is also Water be considered a subcategory of 'Reptile'?, **False
Can Fish that is also Leg be considered a subcategory of 'Vertebrate'?, False
Can Egg that is also Mammal be considered a subcategory of 'Backbone'?, **False
Can Egg that is also Leg be considered a subcategory of 'Vertebrate'?, **False
Can something that has_part some Cat be considered a subcategory of 'Water'?, **False
Can Meat that is also Vertebrate be considered a subcategory of 'Carnivore'?, **False
Can Backbone that is also Leg be considered a subcategory of 'Egg'?, **False
Can Mammal that is also Vertebrate be considered a subcategory of 'Wing'?, FALSE
Can Cat that is also Mammal be considered a subcategory of 'Backbone'?, **False
Can Bird that is also Vertebrate be considered a subcategory of 'Leg'?, FALSE
Can Cat that is also Egg be considered a subcategory of 'Mammal'?, **FALSE
Can Animal be considered a subcategory of 'something that lays some Vertebrate'?, TRUE
Can Animal be considered a subcategory of 'Egg'?, FALSE
Can Animal be considered a subcategory of 'Meat'?, **FALSE
Can Animal be considered a subcategory of 'Carnivore'?, **FALSE
Can Animal be considered a subcategory of 'Water'?, False
Can Animal be considered a subcategory of 'Reptile'?, **False
Can Animal be considered a subcategory of 'Plant'?, **False
Can Animal be considered a subcategory of 'Vertebrate'?, FALSE
Can Animal be considered a subcategory of 'Cat'?, False
Can Animal be considered a subcategory of 'Fish'?, **False
Can Animal be considered a subcategory of 'Mammal'?, False
Can Animal be considered a subcategory of 'Herbivore'?, **False
Can Animal be considered a subcategory of 'Leg'?, **False
Can Animal be considered a subcategory of 'Elephant'?, **FALSE
Can Animal be considered a subcategory of 'Bird'?, FALSE
Can Animal be considered a subcategory of 'Backbone'?, False
Can Animal be considered a subcategory of 'Wing'?, FALSE
Can Egg be considered a subcategory of 'something that lays some Vertebrate'?, FALSE
Can Meat be considered a subcategory of 'something that lays some Vertebrate'?, FALSE
Can Carnivore be considered a subcategory of 'something that lays some Vertebrate'?, **False
Can Water be considered a subcategory of 'something that lays some Vertebrate'?, FALSE
Can something that lays some Vertebrate be considered a subcategory of 'something that lays some Vertebrate'?, **False
Can Animal be considered a subcategory of 'Animal'?, FALSE
Can Egg be considered a subcategory of 'Vertebrate'?, False
Can Meat be considered a subcategory of 'Vertebrate'?, **False
Can Carnivore be considered a subcategory of 'Vertebrate'?, TRUE
Can Carnivore be considered a subcategory of 'Egg'?, **FALSE
Can Carnivore be considered a subcategory of 'Meat'?, False
Can Carnivore be considered a subcategory of 'Water'?, False
Can Carnivore be considered a subcategory of 'Animal'?, TRUE
Can Carnivore be considered a subcategory of 'Animal that is also Vertebrate'?, TRUE
Can Carnivore be considered a subcategory of 'Reptile'?, False
Can Carnivore be considered a subcategory of 'Plant'?, False
Can Carnivore be considered a subcategory of 'Cat'?, False
Can Carnivore be considered a subcategory of 'Fish'?, False
Can Carnivore be considered a subcategory of 'Mammal'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Mammal that is also Vertebrate'?, **TRUE
Can Carnivore be considered a subcategory of 'Herbivore'?, False
Can Carnivore be considered a subcategory of 'Leg'?, **FALSE
Can Carnivore be considered a subcategory of 'Elephant'?, False
Can Carnivore be considered a subcategory of 'Bird'?, **False
Can Carnivore be considered a subcategory of 'Backbone'?, FALSE
Can Carnivore be considered a subcategory of 'Wing'?, False
Can Animal that is also Elephant be considered a subcategory of 'Water'?, False
Can Reptile that is also Vertebrate be considered a subcategory of 'Carnivore'?, False
Can Leg that is also Water be considered a subcategory of 'Egg'?, False
Can Animal that is also Mammal be considered a subcategory of 'Wing'?, **False
Can Animal that is also Cat be considered a subcategory of 'Backbone'?, FALSE
Can something that lays some Vertebrate be considered a subcategory of 'Leg'?, FALSE
Can Cat that is also Egg be considered a subcategory of 'Carnivore'?, False
Can Animal that is also Leg be considered a subcategory of 'Bird'?, **False
Can something that has_part some Reptile be considered a subcategory of 'Elephant'?, **False
Can something that lives_in some Leg be considered a subcategory of 'Leg'?, FALSE
Can Mammal that is also Vertebrate be considered a subcategory of 'Egg'?, **False
Can Bird that is also Vertebrate be considered a subcategory of 'Wing'?, FALSE
Can Bird that is also Carnivore be considered a subcategory of 'Backbone'?, FALSE
Can something that lays some Wing be considered a subcategory of 'Herbivore'?, False
Can Cat that is also Wing be considered a subcategory of 'Elephant'?, **FALSE
Can Elephant that is also Water be considered a subcategory of 'Meat'?, FALSE
Can something that lays some Vertebrate be considered a subcategory of 'Reptile'?, **False
Can Cat that is also Elephant be considered a subcategory of 'Leg'?, False
Can something that lives_in some Fish be considered a subcategory of 'Backbone'?, TRUE
Can something that lives_in some Fish be considered a subcategory of 'Egg'?, False
Can something that lives_in some Fish be considered a subcategory of 'Meat'?, FALSE
Can something that lives_in some Fish be considered a subcategory of 'Carnivore'?, TRUE
Can Fish be considered a subcategory of 'Carnivore'?, FALSE
Can Thing be considered a subcategory of 'something that lives_in some Fish'?, FALSE
Can Fish be considered a subcategory of 'Egg'?, False
Can Fish be considered a subcategory of 'Meat'?, False
Can Fish be considered a subcategory of 'Water'?, False
Can Fish be considered a subcategory of 'Animal'?, TRUE
Can something that has_part some Animal be considered a subcategory of 'Carnivore'?, **False
Can Backbone that is also Bird be considered a subcategory of 'Wing'?, **False
Can Fish that is also Plant be considered a subcategory of 'Water'?, False
Can Egg that is also Mammal be considered a subcategory of 'Cat'?, False
Can Fish that is also Wing be considered a subcategory of 'Egg'?, **False
Can something that has_part some Backbone be considered a subcategory of 'Reptile'?, False
Can Herbivore that is also Plant be considered a subcategory of 'Backbone'?, **False
Can Egg that is also Elephant be considered a subcategory of 'Vertebrate'?, False
Can Fish that is also Reptile be considered a subcategory of 'Plant'?, **FALSE
Can Bird that is also Meat be considered a subcategory of 'Herbivore'?, False
Can Animal that is also Plant be considered a subcategory of 'Carnivore'?, **False
Can something that lays some Water be considered a subcategory of 'Plant'?, **False
Can something that has_part some Plant be considered a subcategory of 'Backbone'?, False
Can Backbone that is also Leg be considered a subcategory of 'Wing'?, **False
Can Fish that is also Vertebrate be considered a subcategory of 'Water'?, FALSE
Can Animal that is also Mammal be considered a subcategory of 'Backbone'?, FALSE
Can something that lays some Fish be considered a subcategory of 'Fish'?, FALSE
Can Animal that is also Elephant be considered a subcategory of 'Carnivore'?, False
Can Leg that is also Water be considered a subcategory of 'Wing'?, False
Can Animal that is also Fish be considered a subcategory of 'Water'?, **False
Can Animal that is also Leg be considered a subcategory of 'Cat'?, **FALSE
Can something that lays some Vertebrate be considered a subcategory of 'Egg'?, FALSE
Can something that lives_in some Plant be considered a subcategory of 'Cat'?, False
Can something that eats some Wing be considered a subcategory of 'Plant'?, False
Can Plant that is also Reptile be considered a subcategory of 'Elephant'?, False
Can Backbone that is also Bird be considered a subcategory of 'Carnivore'?, FALSE
Can Fish be considered a subcategory of 'something that has_part some Vertebrate'?, TRUE
Can Fish be considered a subcategory of 'Reptile'?, FALSE
Can Fish be considered a subcategory of 'Plant'?, **FALSE
Can Fish be considered a subcategory of 'Vertebrate'?, TRUE
Can Fish be considered a subcategory of 'Animal that is also Vertebrate'?, TRUE
Can Fish be considered a subcategory of 'Cat'?, **False
Can Fish be considered a subcategory of 'Mammal'?, False
Can Fish be considered a subcategory of 'Herbivore'?, False
Can Fish be considered a subcategory of 'Leg'?, **FALSE
Can Fish be considered a subcategory of 'Elephant'?, False
Can Fish be considered a subcategory of 'Bird'?, FALSE
Can Fish be considered a subcategory of 'Backbone'?, **False
Can Fish be considered a subcategory of 'Wing'?, False
Can Vertebrate that is also Wing be considered a subcategory of 'Egg'?, FALSE
Can Wing be considered a subcategory of 'something that lays some Herbivore'?, **False
Can Bird that is also Plant be considered a subcategory of 'Backbone'?, **False
Can Water be considered a subcategory of 'something that has_part some Animal'?, **False
Can Elephant that is also Wing be considered a subcategory of 'Plant'?, **FALSE
Can Bird that is also Water be considered a subcategory of 'Meat'?, False
Can Bird that is also Meat be considered a subcategory of 'Carnivore'?, False
Can Egg be considered a subcategory of 'something that has_part some Vertebrate'?, TRUE
Can Egg be considered a subcategory of 'Meat'?, **False
Can Egg be considered a subcategory of 'Carnivore'?, False
Can Egg be considered a subcategory of 'Water'?, **False
Can Egg be considered a subcategory of 'Animal'?, TRUE
Can Egg be considered a subcategory of 'Reptile'?, FALSE
Can Egg be considered a subcategory of 'Plant'?, **False
Can Egg be considered a subcategory of 'Cat'?, **False
Can Egg be considered a subcategory of 'Fish'?, **False
Can Egg be considered a subcategory of 'Mammal'?, False
Can Egg be considered a subcategory of 'Herbivore'?, False
Can Egg be considered a subcategory of 'Leg'?, **FALSE
Can Egg be considered a subcategory of 'Elephant'?, False
Can Egg be considered a subcategory of 'Bird'?, **FALSE
Can Egg be considered a subcategory of 'Backbone'?, False
Can Egg be considered a subcategory of 'Wing'?, **FALSE
Can something that lays some Elephant be considered a subcategory of 'Carnivore'?, False
Can something that lives_in some Plant be considered a subcategory of 'Backbone'?, False
Can something that eats some Egg be considered a subcategory of 'Vertebrate'?, False
Can Carnivore be considered a subcategory of 'something that lays some Plant'?, FALSE
Can Backbone that is also Bird be considered a subcategory of 'Herbivore'?, FALSE
Can Fish that is also Plant be considered a subcategory of 'Carnivore'?, FALSE
Can Wing be considered a subcategory of 'something that lays some Wing'?, TRUE
Can Wing be considered a subcategory of 'Egg'?, **False
Can Wing be considered a subcategory of 'Meat'?, FALSE
Can Wing be considered a subcategory of 'Carnivore'?, FALSE
Can Wing be considered a subcategory of 'Water'?, FALSE
Can Wing be considered a subcategory of 'Animal'?, FALSE
Can Wing be considered a subcategory of 'Reptile'?, FALSE
Can Wing be considered a subcategory of 'Plant'?, **False
Can Wing be considered a subcategory of 'Vertebrate'?, False
Can Wing be considered a subcategory of 'Cat'?, **False
Can Wing be considered a subcategory of 'Fish'?, **FALSE
Can Wing be considered a subcategory of 'Mammal'?, FALSE
Can Wing be considered a subcategory of 'Herbivore'?, FALSE
Can Wing be considered a subcategory of 'Leg'?, FALSE
Can Wing be considered a subcategory of 'Elephant'?, **False
Can Wing be considered a subcategory of 'Bird'?, **False
Can Wing be considered a subcategory of 'Backbone'?, **False
Can Egg be considered a subcategory of 'something that lays some Wing'?, **False
Can Meat be considered a subcategory of 'something that lays some Wing'?, FALSE
Can Carnivore be considered a subcategory of 'something that lays some Wing'?, False
Can Water be considered a subcategory of 'something that lays some Wing'?, FALSE
Can Animal be considered a subcategory of 'something that lays some Wing'?, FALSE
Can Reptile be considered a subcategory of 'something that lays some Wing'?, **FALSE
Can Plant be considered a subcategory of 'something that lays some Wing'?, False
Can Vertebrate be considered a subcategory of 'something that lays some Wing'?, **False
Can Cat be considered a subcategory of 'something that lays some Wing'?, **False
Can Fish be considered a subcategory of 'something that lays some Wing'?, **FALSE
Can Mammal be considered a subcategory of 'something that lays some Wing'?, **False
Can Herbivore be considered a subcategory of 'something that lays some Wing'?, False
Can Leg be considered a subcategory of 'something that lays some Wing'?, FALSE
Can Elephant be considered a subcategory of 'something that lays some Wing'?, FALSE
Can Bird be considered a subcategory of 'something that lays some Wing'?, False.
Can Backbone be considered a subcategory of 'something that lays some Wing'?, False
Can something that lays some Wing be considered a subcategory of 'something that lays some Wing'?, **FALSE
Can Wing be considered a subcategory of 'Wing'?, TRUE
Can Meat be considered a subcategory of 'Wing'?, **False
Can Water be considered a subcategory of 'Wing'?, **False
Can Reptile be considered a subcategory of 'Wing'?, **FALSE
Can Plant be considered a subcategory of 'Wing'?, False
Can Vertebrate be considered a subcategory of 'Wing'?, False
Can Cat be considered a subcategory of 'Wing'?, **False
Can Mammal be considered a subcategory of 'Wing'?, False
Can Herbivore be considered a subcategory of 'Wing'?, **False
Can Leg be considered a subcategory of 'Wing'?, False
Can Elephant be considered a subcategory of 'Wing'?, FALSE
Can Plant that is also Water be considered a subcategory of 'Cat'?, **FALSE
Can Cat be considered a subcategory of 'something that eats some Egg'?, FALSE
Can Animal that is also Plant be considered a subcategory of 'Vertebrate'?, False
Can Leg that is also Wing be considered a subcategory of 'Egg'?, False
Can Backbone that is also Herbivore be considered a subcategory of 'Wing'?, **False
Can something that lays some Cat be considered a subcategory of 'Elephant'?, **False
Can something that lays some Animal be considered a subcategory of 'Reptile'?, False
Can Plant that is also Vertebrate be considered a subcategory of 'Fish'?, **False
Can Fish that is also Mammal be considered a subcategory of 'Wing'?, **False
Can something that eats some Fish be considered a subcategory of 'Meat'?, FALSE
Can Animal that is also Carnivore be considered a subcategory of 'Mammal'?, TRUE
Can Animal that is also Carnivore be considered a subcategory of 'Egg'?, False
Can Animal that is also Carnivore be considered a subcategory of 'Meat'?, FALSE
Can Animal that is also Carnivore be considered a subcategory of 'Water'?, **False
Can Animal that is also Carnivore be considered a subcategory of 'Reptile'?, FALSE
Can Animal that is also Carnivore be considered a subcategory of 'Plant'?, **FALSE
Can Animal that is also Carnivore be considered a subcategory of 'Cat'?, False
Can Animal that is also Carnivore be considered a subcategory of 'Fish'?, False
Can Carnivore be considered a subcategory of 'Animal that is also Mammal'?, TRUE
Can Meat that is also Vertebrate be considered a subcategory of 'Animal'?, False
Can Animal that is also Egg be considered a subcategory of 'Elephant'?, False
Can Water that is also Wing be considered a subcategory of 'Meat'?, **FALSE
Can Animal that is also Wing be considered a subcategory of 'Leg'?, **FALSE
Can Bird that is also Plant be considered a subcategory of 'Fish'?, **FALSE
Can Elephant that is also Plant be considered a subcategory of 'Water'?, False
Can Elephant that is also Fish be considered a subcategory of 'Meat'?, FALSE
Can Animal that is also Cat be considered a subcategory of 'Mammal'?, **False
Can Backbone that is also Plant be considered a subcategory of 'Bird'?, FALSE
Can Egg that is also Fish be considered a subcategory of 'Elephant'?, FALSE
Can Fish that is also Herbivore be considered a subcategory of 'Leg'?, False
Can Cat that is also Herbivore be considered a subcategory of 'Fish'?, **False
Can something that has_part some Vertebrate be considered a subcategory of 'Elephant'?, FALSE
Can Carnivore that is also Leg be considered a subcategory of 'Meat'?, FALSE
Can Mammal that is also Meat be considered a subcategory of 'Animal'?, **FALSE
Can Animal that is also Cat be considered a subcategory of 'Bird'?, **False
Can Cat be considered a subcategory of 'something that lives_in some Bird'?, **False
Can Leg that is also Wing be considered a subcategory of 'Reptile'?, False
Can Backbone that is also Elephant be considered a subcategory of 'Egg'?, FALSE
Can Backbone that is also Mammal be considered a subcategory of 'Animal'?, TRUE
Can Backbone that is also Mammal be considered a subcategory of 'Egg'?, FALSE
Can Backbone that is also Mammal be considered a subcategory of 'Meat'?, FALSE
Can Backbone that is also Mammal be considered a subcategory of 'Carnivore'?, FALSE
Can Backbone that is also Mammal be considered a subcategory of 'Water'?, False
Can Mammal be considered a subcategory of 'Animal'?, TRUE
Can Mammal be considered a subcategory of 'Egg'?, **FALSE
Can Mammal be considered a subcategory of 'Meat'?, False
Can Mammal be considered a subcategory of 'Carnivore'?, **False
Can Mammal be considered a subcategory of 'Water'?, **FALSE
Can Mammal be considered a subcategory of 'Reptile'?, False
Can Mammal be considered a subcategory of 'Plant'?, **False
Can Mammal be considered a subcategory of 'Vertebrate'?, TRUE
Can Mammal be considered a subcategory of 'Animal that is also Vertebrate'?, FALSE
Can Mammal be considered a subcategory of 'Cat'?, **False
Can Mammal be considered a subcategory of 'Fish'?, **FALSE
Can Mammal be considered a subcategory of 'Herbivore'?, FALSE
Can Mammal be considered a subcategory of 'Leg'?, False
Can Mammal be considered a subcategory of 'Elephant'?, **False
Can Mammal be considered a subcategory of 'Bird'?, **False
Can Mammal be considered a subcategory of 'Backbone'?, False
Can Animal that is also Fish be considered a subcategory of 'Bird'?, **FALSE
Can Leg be considered a subcategory of 'something that lays some Reptile'?, TRUE
Can Leg be considered a subcategory of 'Egg'?, **False
Can Leg be considered a subcategory of 'Meat'?, False
Can Leg be considered a subcategory of 'Carnivore'?, False
Can Leg be considered a subcategory of 'Water'?, False
Can Leg be considered a subcategory of 'Animal'?, FALSE
Can Leg be considered a subcategory of 'Reptile'?, FALSE
Can Leg be considered a subcategory of 'Plant'?, FALSE
Can Leg be considered a subcategory of 'Vertebrate'?, False
Can Leg be considered a subcategory of 'Cat'?, False
Can Leg be considered a subcategory of 'Fish'?, **False
Can Leg be considered a subcategory of 'Mammal'?, FALSE
Can Leg be considered a subcategory of 'Herbivore'?, False
Can Leg be considered a subcategory of 'Elephant'?, **FALSE
Can Leg be considered a subcategory of 'Bird'?, **False
Can Leg be considered a subcategory of 'Backbone'?, **False
Can Egg be considered a subcategory of 'something that lays some Reptile'?, FALSE
Can Meat be considered a subcategory of 'something that lays some Reptile'?, **FALSE
Can Carnivore be considered a subcategory of 'something that lays some Reptile'?, FALSE
Can Water be considered a subcategory of 'something that lays some Reptile'?, **False
Can Animal be considered a subcategory of 'something that lays some Reptile'?, FALSE
Can Reptile be considered a subcategory of 'something that lays some Reptile'?, FALSE
Can Plant be considered a subcategory of 'something that lays some Reptile'?, False
Can Vertebrate be considered a subcategory of 'something that lays some Reptile'?, False
Can Cat be considered a subcategory of 'something that lays some Reptile'?, FALSE
Can Fish be considered a subcategory of 'something that lays some Reptile'?, **False
Can Mammal be considered a subcategory of 'something that lays some Reptile'?, False
Can Herbivore be considered a subcategory of 'something that lays some Reptile'?, FALSE
Can something that lays some Reptile be considered a subcategory of 'something that lays some Reptile'?, TRUE
Can Meat be considered a subcategory of 'Reptile'?, FALSE
Can Water be considered a subcategory of 'Reptile'?, False
Can Plant be considered a subcategory of 'Reptile'?, False
Can Vertebrate be considered a subcategory of 'Reptile'?, **False
Can Cat be considered a subcategory of 'Reptile'?, FALSE
Can Herbivore be considered a subcategory of 'Reptile'?, **False
Can Elephant be considered a subcategory of 'Reptile'?, **False
Can Leg be considered a subcategory of 'Leg'?, False.
Can something that has_part some Bird be considered a subcategory of 'Bird'?, False
Can Cat that is also Meat be considered a subcategory of 'Water'?, False
Can Elephant be considered a subcategory of 'Plant'?, False
Can Mammal that is also Plant be considered a subcategory of 'Bird'?, FALSE
Can Bird that is also Mammal be considered a subcategory of 'Fish'?, **False
Can Meat that is also Plant be considered a subcategory of 'Elephant'?, **False
Can Vertebrate be considered a subcategory of 'something that lays some Leg'?, **FALSE
Can something that lives_in some Egg be considered a subcategory of 'Reptile'?, TRUE
Can something that lives_in some Egg be considered a subcategory of 'Egg'?, False
Can something that lives_in some Egg be considered a subcategory of 'Meat'?, FALSE
Can something that lives_in some Egg be considered a subcategory of 'Carnivore'?, FALSE
Can something that lives_in some Egg be considered a subcategory of 'Water'?, **False
Can something that lives_in some Egg be considered a subcategory of 'Animal'?, TRUE
Can Thing be considered a subcategory of 'something that lives_in some (Animal that is also Egg)'?, FALSE
Can Animal that is also Egg be considered a subcategory of 'Meat'?, False
Can Animal that is also Egg be considered a subcategory of 'Carnivore'?, False
Can Animal that is also Egg be considered a subcategory of 'Water'?, False
Can Animal that is also Egg be considered a subcategory of 'Reptile'?, False
Can Animal that is also Egg be considered a subcategory of 'Plant'?, FALSE
Can Animal that is also Egg be considered a subcategory of 'Vertebrate'?, **FALSE
Can Animal that is also Egg be considered a subcategory of 'Cat'?, FALSE
Can Animal that is also Egg be considered a subcategory of 'Fish'?, **False
Can Animal that is also Egg be considered a subcategory of 'Mammal'?, False
Can Animal that is also Egg be considered a subcategory of 'Herbivore'?, FALSE
Can Animal that is also Egg be considered a subcategory of 'Leg'?, False
Can Animal that is also Egg be considered a subcategory of 'Bird'?, FALSE
Can Animal that is also Egg be considered a subcategory of 'Backbone'?, FALSE
Can Animal that is also Egg be considered a subcategory of 'Wing'?, False.
Can something that (lives_in some Animal) that is also something that (lives_in some Egg) be considered a subcategory of 'something that lives_in some (Animal that is also Egg)'?, False.
Can something that (lives_in some Animal) that is also something that (lives_in some Egg) be considered a subcategory of 'Animal'?, False
Can something that lives_in some (Animal that is also Egg) be considered a subcategory of 'something that lives_in some (Animal that is also Egg)'?, False
Can something that lives_in some (Animal that is also Egg) be considered a subcategory of 'Animal'?, True
Can something that lives_in some Thing be considered a subcategory of 'Animal'?, TRUE
Can Herbivore be considered a subcategory of 'something that lays some Mammal'?, FALSE
Can Animal that is also Wing be considered a subcategory of 'Meat'?, FALSE
Can Egg that is also Fish be considered a subcategory of 'Water'?, FALSE
Can Fish that is also Leg be considered a subcategory of 'Reptile'?, **False
Can something that has_part some Animal be considered a subcategory of 'Leg'?, FALSE
Can Plant be considered a subcategory of 'Fish'?, False
Can Backbone that is also Cat be considered a subcategory of 'Mammal'?, FALSE
Can Bird that is also Carnivore be considered a subcategory of 'Fish'?, False
Can Meat that is also Plant be considered a subcategory of 'Bird'?, **False
Can Fish that is also Vertebrate be considered a subcategory of 'Reptile'?, False
Can Vertebrate be considered a subcategory of 'Fish'?, False
Can Leg that is also Plant be considered a subcategory of 'Mammal'?, False
Can Elephant that is also Fish be considered a subcategory of 'Mammal'?, **FALSE
Can Bird that is also Cat be considered a subcategory of 'Fish'?, **FALSE
Can Plant that is also Reptile be considered a subcategory of 'Bird'?, **False
Can Animal be considered a subcategory of 'something that has_part some Bird'?, FALSE
Can something that has_part some Wing be considered a subcategory of 'Elephant'?, FALSE
Can Carnivore that is also Reptile be considered a subcategory of 'Egg'?, False
Can Elephant that is also Water be considered a subcategory of 'Leg'?, False
Can Carnivore be considered a subcategory of 'something that lays some Bird'?, **False
Can Carnivore be considered a subcategory of 'something that eats some Water'?, False
Can Egg that is also Elephant be considered a subcategory of 'Mammal'?, **False
Can Vertebrate be considered a subcategory of 'something that has_part some Bird'?, FALSE
Can Bird be considered a subcategory of 'something that eats some Reptile'?, False.
Can Backbone that is also Elephant be considered a subcategory of 'Leg'?, **False
Can Egg be considered a subcategory of 'something that lives_in some Elephant'?, False
Can Meat that is also Wing be considered a subcategory of 'Herbivore'?, FALSE
Can Reptile be considered a subcategory of 'something that eats some Carnivore'?, FALSE
Can Elephant that is also Plant be considered a subcategory of 'Fish'?, FALSE
Can Leg be considered a subcategory of 'something that has_part some Leg'?, True
Can Egg be considered a subcategory of 'something that has_part some Leg'?, **False
Can Meat be considered a subcategory of 'something that has_part some Leg'?, False
Can Carnivore be considered a subcategory of 'something that has_part some Leg'?, FALSE
Can Water be considered a subcategory of 'something that has_part some Leg'?, FALSE
Can Animal be considered a subcategory of 'something that has_part some Leg'?, TRUE
Can Thing that is also something that (has_part some Leg) be considered a subcategory of 'Thing that is also something that (has_part some Leg)'?, False
Can Meat be considered a subcategory of 'Leg'?, **False
Can Water be considered a subcategory of 'Leg'?, FALSE
Can Reptile be considered a subcategory of 'Leg'?, False
Can Plant be considered a subcategory of 'Leg'?, **False
Can Vertebrate be considered a subcategory of 'Leg'?, **False
Can Cat be considered a subcategory of 'Leg'?, FALSE
Can Herbivore be considered a subcategory of 'Leg'?, False
Can Elephant be considered a subcategory of 'Leg'?, **False
Can Thing that is also something that (has_part some (Leg that is also Thing)) be considered a subcategory of 'Thing that is also something that (has_part some (Leg that is also Thing))'?, **False
Can Egg be considered a subcategory of 'Leg that is also Thing'?, **FALSE
Can Meat be considered a subcategory of 'Leg that is also Thing'?, **False
Can Carnivore be considered a subcategory of 'Leg that is also Thing'?, False
Can Water be considered a subcategory of 'Leg that is also Thing'?, False
Can Animal be considered a subcategory of 'Leg that is also Thing'?, FALSE
