teaches some Researcher SubClassOf Professor,  False.
Can Researcher that is also University be considered a subcategory of 'Teacher'?,  I.
Can Professor that is also Teacher be considered a subcategory of 'Module'?,  I cannot
Can something that manages some University be considered a subcategory of 'Person'?,  False.
Can Person be considered a subcategory of 'Module'?,  False.
Can Person that is also Researcher be considered a subcategory of 'Teacher'?, False.
Can Researcher be considered a subcategory of 'something that teaches some Teacher'?,  I.
Can University be considered a subcategory of 'something that teaches some Professor'?,  I.
Can something that manages some Module be considered a subcategory of 'Teacher'?,  I.
Can something that teaches some University be considered a subcategory of 'Project'?,  I.
Can Professor that is also University be considered a subcategory of 'Module'?,  I.
Can Teacher be considered a subcategory of 'something that manages some Researcher'?,  False.
Can Project that is also Teacher be considered a subcategory of 'University'?,  I.
Can something that teaches some Module be considered a subcategory of 'Researcher'?,  False.
Can Professor be considered a subcategory of 'something that employed_by some Professor'?,  I.
Can something that employed_by some Professor be considered a subcategory of 'Project'?,  I.
Can Professor that is also Project be considered a subcategory of 'Teacher'?,  I.
Can something that employed_by some Researcher be considered a subcategory of 'Module'?,  I.
Can Professor that is also Researcher be considered a subcategory of 'Person'?,  True.
Can Professor that is also Researcher be considered a subcategory of 'University'?,  I.
Can Professor that is also Researcher be considered a subcategory of 'Project'?,  I.
Can Professor that is also Researcher be considered a subcategory of 'Module'?,  I.
Can Professor that is also Researcher be considered a subcategory of 'Teacher'?,  Based on
Can Professor be considered a subcategory of 'Person'?,  True.
Can Professor be considered a subcategory of 'University'?,  False.
Can Professor be considered a subcategory of 'Project'?,  False.
Can Professor be considered a subcategory of 'Module'?,  False.
Can Professor be considered a subcategory of 'Teacher'?,  False.
Can Professor be considered a subcategory of 'Researcher'?,  I.
Can Person be considered a subcategory of 'something that teaches some Researcher'?,  False.
Can University be considered a subcategory of 'something that teaches some Project'?,  I.
Can something that employed_by some Module be considered a subcategory of 'Module'?,  I.
Can Project be considered a subcategory of 'something that manages some Person'?,  I.
Can Person that is also University be considered a subcategory of 'Researcher'?,  False.
Can something that manages some Teacher be considered a subcategory of 'Module'?,  False.
Can Professor that is also University be considered a subcategory of 'Project'?,  I.
Can Professor be considered a subcategory of 'something that teaches some Researcher'?,  I.
Can something that manages some Researcher be considered a subcategory of 'Professor'?,  I.
Can Professor that is also Teacher be considered a subcategory of 'Project'?,  False.
Can Module that is also Researcher be considered a subcategory of 'University'?,  I.
Can Teacher be considered a subcategory of 'something that teaches some Teacher'?,  I.
Can something that employed_by some Module be considered a subcategory of 'Person'?,  I.
Can something that employed_by some Project be considered a subcategory of 'Researcher'?,  I.
Can something that manages some Module be considered a subcategory of 'Project'?,  I.
Can Project that is also Researcher be considered a subcategory of 'University'?,  I.
Can something that teaches some Researcher be considered a subcategory of 'Researcher'?,  False.
Can University be considered a subcategory of 'something that employed_by some Module'?,  I.
Can something that teaches some Professor be considered a subcategory of 'Project'?,  I.
Can Researcher be considered a subcategory of 'Project'?,  False.
Can Person that is also Professor be considered a subcategory of 'Module'?,  I cannot
Can something that employed_by some Researcher be considered a subcategory of 'Project'?,  I.
Can Teacher be considered a subcategory of 'something that teaches some University'?,  I.
Can Project that is also Teacher be considered a subcategory of 'Researcher'?,  I.
Can Person be considered a subcategory of 'something that manages some Researcher'?,  I.
Can something that employed_by some Project be considered a subcategory of 'Professor'?,  False.
Can Person that is also Researcher be considered a subcategory of 'Project'?,  False.
Can something that manages some University be considered a subcategory of 'Teacher'?,  False.
Can Project that is also University be considered a subcategory of 'Researcher'?,  False.
Can Person be considered a subcategory of 'something that manages some Person'?,  False.
Can something that manages some Professor be considered a subcategory of 'Professor'?,  False.
Can Person be considered a subcategory of 'something that employed_by some Person'?,  False.
Can something that manages some Module be considered a subcategory of 'Researcher'?,  False.
Can Module that is also University be considered a subcategory of 'Professor'?,  False.
Can something that teaches some Researcher be considered a subcategory of 'Teacher'?,  I.
Can Module that is also Person be considered a subcategory of 'University'?,  False.
Can something that employed_by some Module be considered a subcategory of 'Teacher'?,  I.
Can Researcher be considered a subcategory of 'something that teaches some Module'?,  I.
Can Professor be considered a subcategory of 'something that employed_by some Teacher'?,  I.
Can Module that is also University be considered a subcategory of 'Project'?,  I.
Can Module that is also Person be considered a subcategory of 'Project'?,  False.
Can Person that is also Researcher be considered a subcategory of 'University'?,  False.
Can Person be considered a subcategory of 'Professor'?,  False.
Can Professor that is also University be considered a subcategory of 'Researcher'?,  I.
Can something that employed_by some Project be considered a subcategory of 'Teacher'?,  False.
Can Project that is also University be considered a subcategory of 'Person'?,  False.
Can Teacher be considered a subcategory of 'something that manages some Project'?,  I.
Can Professor that is also Project be considered a subcategory of 'Researcher'?,  I.
Can University be considered a subcategory of 'something that manages some University'?,  False.
Can Person be considered a subcategory of 'Project'?,  False.
Can something that manages some Project be considered a subcategory of 'Teacher'?,  False.
Can Module that is also University be considered a subcategory of 'Teacher'?,  I.
Can Researcher that is also Teacher be considered a subcategory of 'Professor'?,  True.
Can Researcher that is also Teacher be considered a subcategory of 'University'?,  I.
Can Researcher that is also Teacher be considered a subcategory of 'Project'?,  I.
Can Researcher that is also Teacher be considered a subcategory of 'Module'?,  False.
Can Researcher be considered a subcategory of 'Professor'?,  I.
Can Person that is also Teacher be considered a subcategory of 'Project'?,  False.
Can Person that is also Project be considered a subcategory of 'Teacher'?,  False.
Can something that employed_by some Teacher be considered a subcategory of 'University'?,  False.
Can Researcher that is also University be considered a subcategory of 'Professor'?,  I.
Can Researcher be considered a subcategory of 'something that teaches some Professor'?,  I.
Can something that manages some Person be considered a subcategory of 'Researcher'?,  I.
Can Person that is also University be considered a subcategory of 'Professor'?,  False.
Can Teacher be considered a subcategory of 'something that employed_by some Researcher'?,  I.
Can Project be considered a subcategory of 'something that manages some Researcher'?,  I.
Can something that employed_by some University be considered a subcategory of 'University'?,  I.
Can something that teaches some Professor be considered a subcategory of 'Teacher'?,  I.
