Parent and Person SubClassOf Father,  False.
hasChild some Person SubClassOf Person,  False.
Sex SubClassOf hasSibling some Man,  False.
OffSpring and Sister SubClassOf Daughter,  False.
Brother and GrandParent SubClassOf GrandFather,  False.
Daughter SubClassOf hasParent some GrandFather,  False.
Child and Person SubClassOf GrandMother,  False.
GrandFather SubClassOf hasSibling some Woman,  False.
Person and Sister SubClassOf Parent,  False.
Daughter and GrandFather SubClassOf Male,  False.
Daughter and GrandMother SubClassOf Man,  False.
GrandFather and Man SubClassOf Daughter,  False.
Male and Sister SubClassOf Child,  False.
OffSpring and Sibling SubClassOf Man,  False.
Man SubClassOf hasSibling some Sister,  False.
GrandParent and Sister SubClassOf GrandMother,  False.
hasChild some Brother SubClassOf Father,  False.
GrandMother and Woman SubClassOf Sister,  False.
OffSpring SubClassOf GrandFather,  False.
Son SubClassOf GrandFather,  False.
Daughter and Man SubClassOf GrandMother,  False.
GrandFather and GrandParent SubClassOf Daughter,  False.
GrandMother and OffSpring SubClassOf Son,  False.
Child and Daughter SubClassOf Woman,  False.
Daughter SubClassOf hasSex some Child,  False.
Mother SubClassOf hasChild some Son,  False.
GrandMother and Woman SubClassOf Parent,  False.
Father SubClassOf hasSibling some Parent,  False.
Parent and Sex SubClassOf OffSpring,  False.
hasParent some Brother SubClassOf OffSpring,  False.
GrandParent and Sex SubClassOf Child,  False.
Brother and OffSpring SubClassOf Son,  False.
GrandParent and Sister SubClassOf Male,  False.
Man and Sibling SubClassOf Child,  False.
Daughter and GrandFather SubClassOf Woman,  False.
Father and Female SubClassOf Sister,  False.
GrandFather and Man SubClassOf Woman,  False.
Child and Woman SubClassOf Sex,  False.
Child and Parent SubClassOf Female,  False.
Brother and OffSpring SubClassOf Mother,  False.
Father and GrandParent SubClassOf Woman,  False.
hasChild some Sister SubClassOf Female,  False.
GrandMother and Man SubClassOf Woman,  False.
Brother SubClassOf hasSex some Mother,  False.
GrandFather and Son SubClassOf Child,  False.
Sibling and Son SubClassOf Brother,  False.
Male and Sex SubClassOf Brother,  False.
hasSibling some Sex SubClassOf Son,  False.
Father and Parent SubClassOf Woman,  False.
Male and Person SubClassOf Child,  False.
hasParent some Daughter SubClassOf Son,  False.
hasSibling some GrandFather SubClassOf Father,  False.
Father and Person SubClassOf Sister,  False.
Male and Parent SubClassOf Man,  False.
hasParent some Father SubClassOf Father,  False.
Female and Parent SubClassOf GrandParent,  False.
Brother SubClassOf hasParent some GrandParent,  False.
Daughter and GrandFather SubClassOf Sibling,  False.
Child and Sibling SubClassOf Person,  False.
hasSex some Female SubClassOf Female,  False.
hasSibling some Mother SubClassOf Daughter,  False.
Woman SubClassOf hasSibling some GrandFather,  False.
Male and Sibling SubClassOf GrandFather,  False.
Daughter and Father SubClassOf Brother,  False.
Sister SubClassOf hasSex some Daughter,  False.
Man SubClassOf hasChild some Sibling,  False.
hasSex some Sibling SubClassOf Brother,  False.
hasChild some Female SubClassOf Mother,  True.
hasChild some Female SubClassOf GrandMother,  False.
hasChild some Female SubClassOf Son,  False.
hasChild some Female SubClassOf Female,  False.
hasChild some Female SubClassOf Father,  False.
hasChild some Female SubClassOf Child,  False.
hasChild some Female SubClassOf Person,  False.
hasChild some Female SubClassOf Brother,  False.
hasChild some Female SubClassOf Parent,  False.
hasChild some Female SubClassOf Daughter,  False.
hasChild some Female SubClassOf Man,  False.
Female SubClassOf Mother,  False.
Thing SubClassOf hasChild some Female,  False.
Thing SubClassOf GrandMother,  False.
Thing SubClassOf Son,  False.
Thing SubClassOf Female,  False.
Thing SubClassOf Father,  False.
Thing SubClassOf Child,  False.
Thing SubClassOf Person,  False.
Thing SubClassOf Brother,  False.
Thing SubClassOf Parent,  False.
Thing SubClassOf Daughter,  False.
Thing SubClassOf Man,  False.
Thing SubClassOf Mother,  False.
Thing SubClassOf GrandParent,  False.
Thing SubClassOf Sex,  False.
Thing SubClassOf Sister,  False.
Thing SubClassOf OffSpring,  False.
Thing SubClassOf Woman,  False.
Thing SubClassOf Male,  False.
Thing SubClassOf Sibling,  False.
Thing SubClassOf GrandFather,  False.
Female SubClassOf GrandMother,  False.
Female SubClassOf Son,  False.
Female SubClassOf Father,  False.
Female SubClassOf Child,  False.
Female SubClassOf Person,  False.
Female SubClassOf Brother,  False.
Female SubClassOf Parent,  False.
Female SubClassOf Daughter,  False.
Female SubClassOf Man,  False.
Female SubClassOf GrandParent,  False.
Female SubClassOf Sex,  False.
Female SubClassOf Sister,  False.
Female SubClassOf OffSpring,  False.
Female SubClassOf Woman,  True.
Woman SubClassOf hasParent some OffSpring,  False.
Child and GrandParent SubClassOf OffSpring,  False.
Person SubClassOf hasChild some Child,  False.
Daughter and GrandMother SubClassOf Son,  False.
Man SubClassOf hasSex some Child,  False.
Brother and Son SubClassOf OffSpring,  False.
Daughter and Mother SubClassOf Woman,  False.
OffSpring and Sex SubClassOf Woman,  False.
Father and Man SubClassOf Male,  False.
GrandParent SubClassOf Child,  False.
Female and GrandMother SubClassOf Sibling,  False.
GrandMother and Sister SubClassOf Male,  False.
Man SubClassOf hasSex some GrandFather,  False.
GrandParent SubClassOf hasChild some Man,  False.
hasChild some Female SubClassOf GrandParent,  False.
GrandMother and Mother SubClassOf GrandFather,  False.
Brother and Sex SubClassOf Sibling,  False.
Brother and Son SubClassOf Sibling,  False.
Daughter and GrandMother SubClassOf Female,  False.
Father and Sex SubClassOf Daughter,  False.
hasSibling some Sister SubClassOf Mother,  False.
Father and Man SubClassOf Sex,  False.
Male and Woman SubClassOf Person,  False.
hasParent some Child SubClassOf Brother,  False.
Female and Son SubClassOf Daughter,  False.
Brother and Parent SubClassOf Woman,  False.
GrandFather and GrandParent SubClassOf Sex,  False.
OffSpring and Sibling SubClassOf Female,  False.
GrandParent SubClassOf hasSex some Sibling,  False.
Brother and Daughter SubClassOf GrandParent,  False.
Father and Man SubClassOf GrandMother,  False.
Sister and Son SubClassOf Man,  False.
Man and Parent SubClassOf Father,  False.
Sex and Woman SubClassOf GrandFather,  False.
Child and OffSpring SubClassOf Man,  False.
Father and Son SubClassOf Person,  False.
GrandFather and Male SubClassOf Person,  False.
hasParent some GrandParent SubClassOf Father,  False.
hasSibling some Sibling SubClassOf Sibling,  False.
Brother and Person SubClassOf GrandFather,  False.
Daughter and Woman SubClassOf Female,  True.
Daughter and Woman SubClassOf GrandMother,  False.
Daughter and Woman SubClassOf Son,  False.
Woman SubClassOf Female,  True.
Woman SubClassOf GrandMother,  False.
Woman SubClassOf Thing,  False.
Woman SubClassOf Son,  False.
Woman SubClassOf Father,  False.
Woman SubClassOf Child,  False.
Woman SubClassOf Person,  False.
Woman SubClassOf Brother,  False.
Woman SubClassOf Parent,  False.
Woman SubClassOf Daughter,  False.
Woman SubClassOf Man,  False.
Woman SubClassOf Mother,  False.
Woman SubClassOf GrandParent,  False.
Woman SubClassOf Sex,  False.
Woman SubClassOf Sister,  False.
Woman SubClassOf OffSpring,  False.
Woman SubClassOf Male,  False.
Woman SubClassOf Sibling,  False.
Woman SubClassOf GrandFather,  False.
Sibling SubClassOf hasSex some GrandParent,  False.
Female SubClassOf hasChild some GrandFather,  False.
GrandFather and Parent SubClassOf Sibling,  False.
GrandParent and Person SubClassOf Brother,  False.
OffSpring and Sibling SubClassOf Son,  False.
Female and Woman SubClassOf Sibling,  False.
hasSibling some Daughter SubClassOf Parent,  False.
Child and Sister SubClassOf GrandMother,  False.
Female and Sibling SubClassOf Parent,  False.
hasSex some Person SubClassOf Parent,  False.
Daughter and Sex SubClassOf Parent,  False.
Female and Woman SubClassOf Sister,  False.
Person SubClassOf hasSex some OffSpring,  False.
GrandMother and Sibling SubClassOf Brother,  False.
OffSpring and Parent SubClassOf Father,  False.
Daughter and Father SubClassOf Parent,  False.
GrandFather and Sister SubClassOf Sibling,  False.
Child and Mother SubClassOf Father,  False.
Daughter and Son SubClassOf Child,  False.
Male and Sex SubClassOf Son,  False.
GrandFather and Sex SubClassOf Male,  False.
Brother and Person SubClassOf Child,  False.
Child and Mother SubClassOf Son,  False.
GrandFather and Sister SubClassOf Parent,  False.
hasParent some Parent SubClassOf Woman,  False.
GrandParent SubClassOf hasSibling some OffSpring,  False.
Mother and OffSpring SubClassOf Male,  False.
Woman SubClassOf hasChild some Child,  False.
Female and Person SubClassOf Parent,  False.
Female and Mother SubClassOf Male,  False.
GrandParent SubClassOf OffSpring,  False.
GrandFather and Sibling SubClassOf Father,  False.
Daughter and Woman SubClassOf Sister,  False.
Man and Person SubClassOf Sibling,  False.
GrandMother and Sister SubClassOf Sibling,  False.
Male and Sex SubClassOf Female,  False.
Child and GrandParent SubClassOf Sister,  False.
Brother and Daughter SubClassOf Mother,  False.
Mother and Woman SubClassOf Sex,  False.
Father and Man SubClassOf Brother,  False.
Person and Sex SubClassOf Brother,  False.
Man and Parent SubClassOf Woman,  False.
hasChild some GrandParent SubClassOf Woman,  False.
Child and OffSpring SubClassOf Sex, False.
Child and Sister SubClassOf Female,  False.
GrandParent and Male SubClassOf Brother,  False.
Sibling SubClassOf hasSex some Mother,  False.
GrandMother and Sibling SubClassOf OffSpring,  False.
Father and Son SubClassOf OffSpring,  False.
Brother and Sister SubClassOf Man,  False.
GrandFather and Woman SubClassOf Father,  False.
hasSex some Sister SubClassOf GrandFather,  False.
hasSibling some Man SubClassOf Man,  False.
Man and Mother SubClassOf Person,  False.
GrandParent and OffSpring SubClassOf Person,  False.
Child and Person SubClassOf Daughter,  False.
Daughter and Sister SubClassOf Sibling,  False.
hasChild some Male SubClassOf Sex,  False.
GrandMother SubClassOf hasSex some Female,  False.
Child and Sibling SubClassOf GrandParent,  False.
Parent and Son SubClassOf Mother,  False.
Sex SubClassOf OffSpring,  False.
Man SubClassOf hasChild some Female,  False.
GrandParent and Person SubClassOf Daughter,  False.
Daughter and Parent SubClassOf Sister,  False.
Man and Sex SubClassOf GrandMother,  False.
Person and Woman SubClassOf OffSpring,  False.
Child and GrandParent SubClassOf Parent,  False.
Daughter SubClassOf hasParent some Father,  False.
GrandMother and Person SubClassOf OffSpring,  False.
GrandFather and Person SubClassOf Father,  False.
Daughter and Sibling SubClassOf Sister,  False.
GrandMother SubClassOf hasSex some Man,  False.
Father SubClassOf hasChild some Father,  False.
Woman SubClassOf hasParent some GrandParent,  False.
Male SubClassOf hasSibling some GrandParent,  False.
Female and Sex SubClassOf Sister,  False.
Brother SubClassOf GrandMother,  False.
GrandFather SubClassOf hasChild some GrandParent,  False.
Person and Sibling SubClassOf Sex,  False.
hasSibling some Male SubClassOf Person,  False.
Father SubClassOf hasSex some GrandParent,  False.
Parent and Woman SubClassOf Daughter,  False.
Male SubClassOf hasParent some Daughter,  False.
Daughter and Female SubClassOf Sex,  False.
Brother and Sex SubClassOf Female,  False.
Female and Sister SubClassOf Brother,  False.
Female and GrandFather SubClassOf GrandParent,  False.
hasChild some Sister SubClassOf Brother,  False.
GrandMother and Mother SubClassOf Female,  False.
Father and OffSpring SubClassOf Son,  False.
OffSpring and Person SubClassOf Mother,  False.
Daughter and Son SubClassOf Sex,  False.
Mother SubClassOf Man,  False.
OffSpring and Woman SubClassOf Father,  False.
Sibling SubClassOf Woman,  False.
hasChild some Father SubClassOf GrandMother,  False.
Child SubClassOf hasChild some Sister,  False.
GrandMother and Parent SubClassOf Sister,  False.
Child and Daughter SubClassOf GrandFather,  False.
Sex and Sister SubClassOf Man,  False.
Brother and Man SubClassOf GrandParent,  False.
GrandParent and Woman SubClassOf GrandFather,  False.
hasParent some Son SubClassOf Sibling,  False.
Man and OffSpring SubClassOf Father,  False.
GrandParent and Son SubClassOf Father,  False.
GrandParent and Sex SubClassOf GrandMother,  False.
GrandParent and Son SubClassOf Person,  False.
Female SubClassOf hasChild some Child,  False.
Daughter and Sister SubClassOf Male,  False.
Child and Daughter SubClassOf Male,  False.
Man and Parent SubClassOf Sister,  False.
Father and Person SubClassOf GrandParent,  False.
Person and Sibling SubClassOf Mother,  False.
Sibling SubClassOf hasParent some Mother,  False.
Daughter and Sibling SubClassOf Mother,  False.
GrandParent and Man SubClassOf GrandMother,  False.
Daughter and GrandParent SubClassOf GrandMother,  False.
GrandMother and Person SubClassOf Father,  False.
Parent SubClassOf hasSex some Man,  False.
hasParent some Woman SubClassOf OffSpring,  False.
Child and GrandMother SubClassOf Brother,  False.
Child and GrandFather SubClassOf Woman,  False.
Parent and Person SubClassOf Woman,  False.
GrandParent and Sibling SubClassOf Child,  False.
Sex and Sibling SubClassOf Child,  False.
Father and Parent SubClassOf Brother,  False.
GrandParent and Man SubClassOf Male,  False.
Male SubClassOf hasSex some Woman,  False.
GrandMother and Sibling SubClassOf Male,  False.
Brother and Female SubClassOf Son,  False.
GrandFather and Mother SubClassOf Parent,  False.
OffSpring and Person SubClassOf Male,  False.
Female and Sex SubClassOf GrandMother,  False.
Female and Sister SubClassOf Parent,  False.
GrandMother and GrandParent SubClassOf Daughter,  False.
Man and Sibling SubClassOf Daughter,  False.
Parent SubClassOf Sex,  False.
GrandFather and Man SubClassOf Mother,  False.
Sex SubClassOf hasSex some Brother,  False.
Brother SubClassOf hasChild some Mother,  False.
Female and GrandParent SubClassOf OffSpring,  False.
Mother and Sibling SubClassOf OffSpring,  False.
hasParent some Sex SubClassOf Son,  False.
hasSibling some Brother SubClassOf Son,  False.
GrandMother and Son SubClassOf Mother,  False.
Daughter and Male SubClassOf Sex,  False.
Father and Person SubClassOf OffSpring,  False.
Female and GrandFather SubClassOf Brother,  False.
Brother and Sibling SubClassOf GrandMother,  False.
Female SubClassOf hasParent some Person,  False.
Daughter and Father SubClassOf Sister,  False.
GrandFather and Sex SubClassOf Sister,  False.
Male and Man SubClassOf GrandFather,  False.
hasSex some Mother SubClassOf Man,  False.
Brother SubClassOf hasSibling some GrandParent,  False.
Sister and Woman SubClassOf GrandFather,  False.
GrandMother and Man SubClassOf Sibling,  False.
Father and Person SubClassOf Sibling,  False.
hasSibling some OffSpring SubClassOf Man,  False.
Sister and Son SubClassOf Daughter,  False.
OffSpring and Woman SubClassOf Mother,  False.
Child SubClassOf Sex,  False.
Daughter and GrandFather SubClassOf Person,  False.
Mother and Person SubClassOf GrandParent,  False.
Female and Man SubClassOf Father,  False.
Brother and Mother SubClassOf Sister,  False.
GrandParent and Sister SubClassOf Person,  False.
Person SubClassOf hasParent some Person,  False.
Sibling SubClassOf Brother,  False.
OffSpring and Woman SubClassOf GrandMother,  False.
Male and Son SubClassOf GrandMother,  False.
Daughter and Person SubClassOf Man,  False.
Child and Female SubClassOf Father,  False.
GrandFather and Person SubClassOf Man,  False.
Child and GrandParent SubClassOf Person,  False.
Parent and Sibling SubClassOf Person,  False.
Mother and Parent SubClassOf Father,  False.
OffSpring SubClassOf hasParent some Sister,  False.
Child SubClassOf Male,  False.
hasSex some Parent SubClassOf Child,  False.
Mother and Person SubClassOf Parent,  False.
GrandParent SubClassOf hasSex some Brother,  False.
Person SubClassOf Brother,  False.
hasChild some Man SubClassOf Son,  False.
GrandParent and Sister SubClassOf Son,  False.
OffSpring SubClassOf hasChild some Parent,  False.
GrandMother and Son SubClassOf Male,  False.
Daughter and Female SubClassOf Parent,  False.
Sex SubClassOf hasSex some Parent,  False.
Female and Mother SubClassOf Sister,  False.
Sex and Son SubClassOf GrandMother,  False.
Person and Woman SubClassOf Brother,  False.
Daughter and Sister SubClassOf Parent,  False.
OffSpring and Parent SubClassOf GrandFather,  False.
Son SubClassOf hasParent some Man,  False.
Sex SubClassOf hasChild some Sex,  False.
Daughter and Mother SubClassOf Child,  False.
hasSibling some Female SubClassOf Sister,  False.
Father and Mother SubClassOf Sister,  False.
GrandParent and Parent SubClassOf Father,  False.
hasParent some Sibling SubClassOf Father,  False.
Female and Sister SubClassOf GrandParent,  False.
Brother and Man SubClassOf GrandFather,  False.
GrandFather SubClassOf hasSex some Person,  False.
Sibling SubClassOf hasChild some GrandParent,  False.
hasSex some Son SubClassOf Daughter,  False.
hasSibling some GrandMother SubClassOf Daughter,  False.
Mother and Woman SubClassOf Man,  False.
Male and OffSpring SubClassOf Female,  False.
hasSex some Daughter SubClassOf Parent,  False.
hasSibling some Sex SubClassOf Parent,  False.
Female SubClassOf hasParent some Female,  False.
Sex and Sister SubClassOf Son,  False.
Child and Sex SubClassOf Son,  False.
GrandParent and Sibling SubClassOf GrandMother,  False.
Brother and Sister SubClassOf Male,  False.
GrandFather SubClassOf hasParent some Male,  False.
Daughter and Man SubClassOf Sex,  False.
Son SubClassOf hasParent some Person,  False.
Child and Sibling SubClassOf GrandFather,  False.
GrandFather and Man SubClassOf GrandMother,  False.
Daughter and Mother SubClassOf GrandFather,  False.
hasChild some Male SubClassOf Sister,  False.
Father and GrandMother SubClassOf Sister,  False.
Daughter and Woman SubClassOf Child,  False.
Father and Sister SubClassOf OffSpring,  False.
Brother and Male SubClassOf Son,  False.
hasParent some Woman SubClassOf Son,  False.
Female and OffSpring SubClassOf Male,  False.
Mother and Son SubClassOf Male,  False.
GrandFather and Man SubClassOf OffSpring,  False.
GrandParent and Person SubClassOf Parent,  False.
hasSex some GrandFather SubClassOf Son,  False.
Male and Woman SubClassOf Child,  False.
OffSpring SubClassOf Sister,  False.
Daughter SubClassOf hasParent some Parent,  False.
Daughter SubClassOf hasParent some Sex,  False.
Female and Sibling SubClassOf Child,  False.
Daughter and Woman SubClassOf Mother,  False.
Father and Sister SubClassOf Sibling,  False.
GrandFather and Man SubClassOf Person,  False.
Child SubClassOf hasParent some Female,  False.
GrandParent and Parent SubClassOf Female,  False.
OffSpring and Parent SubClassOf Sex,  False.
hasChild some Sibling SubClassOf Daughter,  False.
Brother and Daughter SubClassOf Sex,  False.
Sex and Son SubClassOf Child,  False.
Sibling SubClassOf hasChild some Brother,  False.
GrandMother and Sex SubClassOf Mother,  False.
Daughter SubClassOf hasParent some Sister,  False.
GrandParent and Mother SubClassOf Sibling,  False.
Child and GrandFather SubClassOf Father,  False.
Mother and Parent SubClassOf GrandParent,  False.
OffSpring and Sibling SubClassOf Person,  False.
Child and Female SubClassOf GrandParent,  False.
Father and GrandParent SubClassOf Daughter,  False.
GrandMother SubClassOf hasChild some Sex,  False.
GrandMother and Man SubClassOf Female,  False.
Child and Son SubClassOf Brother,  False.
Male and Sister SubClassOf Mother,  False.
Brother and Woman SubClassOf Person,  False.
Female SubClassOf hasChild some Sex,  False.
Father and Sex SubClassOf Child,  False.
Sex SubClassOf hasSibling some Male,  False.
OffSpring and Sibling SubClassOf GrandMother,  False.
Daughter and Man SubClassOf GrandFather,  False.
Male and Sex SubClassOf GrandFather,  False.
Child and Person SubClassOf GrandParent,  False.
Brother and Woman SubClassOf GrandMother,  False.
Male and Woman SubClassOf GrandMother,  False.
Sex and Sibling SubClassOf Sister,  False.
Brother and Female SubClassOf Sister,  False.
hasSibling some Person SubClassOf GrandFather,  False.
Daughter and Sister SubClassOf Man,  False.
hasSex some GrandFather SubClassOf GrandFather,  False.
GrandMother and Parent SubClassOf Male,  False.
hasParent some Father SubClassOf Male,  False.
Daughter and GrandMother SubClassOf Mother,  False.
Son SubClassOf hasChild some Parent,  False.
GrandFather and GrandParent SubClassOf Woman,  False.
Person and Son SubClassOf GrandParent,  False.
GrandFather and GrandMother SubClassOf Child,  False.
Brother and Father SubClassOf Child,  False.
Female and Sex SubClassOf Child,  False.
Male and Sibling SubClassOf Parent,  False.
Daughter and Person SubClassOf Mother,  False.
Daughter SubClassOf hasChild some Mother,  False.
Female and Sister SubClassOf Male,  False.
hasSex some Child SubClassOf GrandMother,  False.
hasSibling some Parent SubClassOf GrandMother,  False.
Father and OffSpring SubClassOf Female,  False.
GrandFather and Son SubClassOf Female,  False.
hasParent some Man SubClassOf Mother,  False.
hasSibling some GrandParent SubClassOf Sex,  False.
GrandFather and Mother SubClassOf OffSpring,  False.
Male and Sibling SubClassOf Woman,  False.
Female SubClassOf hasSex some OffSpring,  False.
hasChild some Parent SubClassOf Child,  False.
Sister SubClassOf hasParent some Child,  False.
Child and Daughter SubClassOf Brother,  False.
hasSex some Sex SubClassOf Mother,  False.
Mother SubClassOf OffSpring,  False.
Man SubClassOf hasSibling some Son,  False.
Person and Sibling SubClassOf Son,  False.
Father and Mother SubClassOf Parent,  False.
GrandParent and Parent SubClassOf Woman,  False.
hasParent some Sibling SubClassOf OffSpring,  False.
GrandMother and Sex SubClassOf Child,  False.
GrandParent SubClassOf hasSex some Parent,  False.
Sibling SubClassOf hasChild some Male,  False.
GrandFather and Sex SubClassOf OffSpring,  False.
Sister SubClassOf hasParent some Sister,  False.
Man and Sister SubClassOf Sibling,  False.
GrandParent and Person SubClassOf GrandMother,  False.
Female and OffSpring SubClassOf GrandMother,  False.
Child SubClassOf hasSibling some Son,  False.
GrandFather and Man SubClassOf Parent,  False.
Sibling SubClassOf hasChild some Mother,  False.
Female and GrandMother SubClassOf Sex,  False.
Father and Mother SubClassOf Person,  False.
GrandFather SubClassOf hasSex some Mother,  False.
Brother and Male SubClassOf Woman,  False.
hasSex some Woman SubClassOf Woman,  False.
Brother and Father SubClassOf Female,  False.
Man SubClassOf Brother,  False.
GrandParent and Person SubClassOf Mother,  False.
hasChild some Child SubClassOf OffSpring,  False.
Sister SubClassOf Brother,  False.
Male and OffSpring SubClassOf Son,  False.
Child SubClassOf hasParent some Son,  False.
Daughter and Sibling SubClassOf Male,  False.
Mother and Son SubClassOf Child,  False.
Brother and Female SubClassOf Person,  False.
Father and GrandFather SubClassOf Sibling,  False.
hasSex some Man SubClassOf Sex,  False.
hasSibling some GrandParent SubClassOf Female,  False.
Child and Woman SubClassOf GrandParent,  False.
Male and Parent SubClassOf GrandFather,  False.
Male and Person SubClassOf Sibling,  False.
Daughter SubClassOf hasSex some Sibling,  False.
Sibling and Sister SubClassOf Daughter,  False.
Child and Daughter SubClassOf Mother,  False.
Mother SubClassOf hasChild some Brother,  False.
Sister SubClassOf hasSex some Father,  False.
hasSibling some Person SubClassOf OffSpring,  False.
GrandFather SubClassOf Brother,  False.
Man and Sex SubClassOf Father,  False.
GrandParent and Parent SubClassOf Sister,  False.
hasChild some Person SubClassOf Man,  False.
Daughter and GrandMother SubClassOf Father,  False.
OffSpring and Sibling SubClassOf GrandParent,  False.
Female and Son SubClassOf GrandFather,  False.
Daughter SubClassOf hasParent some GrandMother,  False.
Sex SubClassOf hasSibling some GrandMother,  False.
GrandMother SubClassOf hasChild some Man,  False.
Mother and Parent SubClassOf GrandFather,  False.
hasParent some OffSpring SubClassOf Man,  False.
hasSex some Sex SubClassOf Child,  False.
Man and OffSpring SubClassOf GrandParent,  False.
Person and Woman SubClassOf Parent,  False.
Man and Sex SubClassOf Woman,  False.
GrandFather and Woman SubClassOf OffSpring,  False.
Father and GrandMother SubClassOf Daughter,  False.
Son SubClassOf Sister,  False.
Male SubClassOf hasSibling some Man,  False.
Male and Sibling SubClassOf GrandMother,  False.
GrandParent and Woman SubClassOf Man,  False.
hasSibling some Sister SubClassOf Sex,  False.
hasChild some OffSpring SubClassOf Sex,  False.
GrandMother SubClassOf hasChild some Son,  False.
Child and Son SubClassOf Male,  False.
Sex and Sibling SubClassOf OffSpring,  False.
hasSibling some GrandParent SubClassOf Son,  False.
Father and Sibling SubClassOf Son,  False.
hasParent some Man SubClassOf Child,  False.
hasSibling some Parent SubClassOf Father,  I.
Mother SubClassOf hasChild some Parent,  False.
GrandFather and Son SubClassOf Woman,  False.
Child and Daughter SubClassOf OffSpring,  False.
GrandParent and Woman SubClassOf Sex,  False.
Child and Daughter SubClassOf Female,  False.
GrandMother and Man SubClassOf GrandParent,  False.
Brother and Man SubClassOf Sex,  False.
GrandParent and Son SubClassOf OffSpring,  False.
Male and Sibling SubClassOf OffSpring,  False.
Parent and Sex SubClassOf Daughter,  False.
Brother and Man SubClassOf Daughter,  False.
Father SubClassOf hasSex some Mother,  False.
GrandFather SubClassOf hasChild some Sex,  False.
hasParent some Son SubClassOf Brother,  False.
hasSibling some Male SubClassOf Mother,  False.
Brother and Sex SubClassOf Woman,  False.
Person and Sibling SubClassOf Child,  False.
Daughter and Female SubClassOf Son,  False.
Brother and Man SubClassOf Father,  False.
GrandParent and Woman SubClassOf Sister,  False.
Child and Sibling SubClassOf Man,  False.
Female and Parent SubClassOf Father,  False.
hasSibling some Male SubClassOf GrandParent,  False.
Sister SubClassOf hasSex some GrandParent,  False.
hasSex some Female SubClassOf Person,  False.
Daughter and Female SubClassOf Man,  False.
Mother and Sex SubClassOf Daughter,  False.
GrandFather SubClassOf hasChild some GrandFather,  False.
GrandMother and Person SubClassOf Man,  False.
Parent SubClassOf hasSibling some Person,  False.
hasChild some Sister SubClassOf Person,  False.
Brother and OffSpring SubClassOf Sibling,  False.
Child SubClassOf hasParent some Sibling,  False.
Daughter and Person SubClassOf Brother,  False.
Man SubClassOf hasSex some OffSpring,  False.
Person SubClassOf hasChild some Brother,  False.
Parent SubClassOf hasParent some Son,  False.
GrandFather SubClassOf hasSex some Male,  False.
Brother and Child SubClassOf Sex,  False.
GrandParent and Mother SubClassOf OffSpring,  False.
OffSpring and Sibling SubClassOf Brother,  False.
GrandMother and Sister SubClassOf Woman,  False.
Father and Female SubClassOf OffSpring,  False.
Father and Son SubClassOf Child,  False.
GrandFather and Male SubClassOf Child,  False.
Sex and Son SubClassOf Parent,  False.
Brother and GrandMother SubClassOf Male,  False.
OffSpring and Son SubClassOf GrandFather,  False.
Parent SubClassOf hasChild some Man,  False.
Female and Sex SubClassOf GrandParent,  False.
