Can Crop that is also MarinePlant be considered a subcategory of 'Arthropod'?, **False
Can Mollusk that is also Protist be considered a subcategory of 'Macrophyte'?, False
Can Centipede that is also Plant be considered a subcategory of 'Plankton'?, FALSE
Can Fern that is also Microbiota be considered a subcategory of 'Crop'?, FALSE
Can MarineMicrobiota that is also Yeast be considered a subcategory of 'Livestock'?, False
Can Ciliate that is also Macrophyte be considered a subcategory of 'Coral'?, False
Can Amphibian that is also Microalgae be considered a subcategory of 'Crustacean'?, False
Can Liverwort that is also MarineMammal be considered a subcategory of 'Ciliate'?, **False
Can Conifer that is also Flagellate be considered a subcategory of 'FungiTaxonomy'?, FALSE
Can FloweringPlant that is also Lichen be considered a subcategory of 'DeciduousVegetation'?, **False
Can Crown that is also Echinoderm be considered a subcategory of 'Nutrient'?, **False
Can Canopy that is also MicrobiotaTaxonomy be considered a subcategory of 'Pollen'?, **False
Can Macrophyte that is also Plant be considered a subcategory of 'MarineMammal'?, **FALSE
Can Crop that is also Litter be considered a subcategory of 'Moss'?, FALSE
Can Fish that is also Macroalgae be considered a subcategory of 'Arthropod'?, **False
Can Anemone that is also Protist be considered a subcategory of 'Invertebrate'?, False
Can Litter that is also Sporozoan be considered a subcategory of 'Human'?, **False
Can Human that is also TreeRing be considered a subcategory of 'Canopy'?, False.
Can MarinePlant that is also Millipede be considered a subcategory of 'Microbiota'?, FALSE
Can Crown that is also Insect be considered a subcategory of 'Diatom'?, False
Can FungiTaxonomy that is also VegetationCover be considered a subcategory of 'MicrobiotaTaxonomy'?, **False
Can Jellyfish that is also SegmentedWorm be considered a subcategory of 'FloweringPlant'?, **False
Can Amphibian that is also Mammal be considered a subcategory of 'MarineBird'?, **False
Can Amoebae that is also Canopy be considered a subcategory of 'Arachnid'?, **False
Can IndigenousSpecies that is also Sponge be considered a subcategory of 'SlimeMold'?, FALSE
Can Animal that is also Dairy be considered a subcategory of 'Conifer'?, **False
Can Leaf be considered a subcategory of 'Pollen'?, False
Can Ciliate that is also Lichen be considered a subcategory of 'Litter'?, **False
Can Amphibian that is also Bacteria be considered a subcategory of 'IndigenousVegetation'?, **False
Can Amoebae that is also Fungi be considered a subcategory of 'MarineMammal'?, **False
Can Fish that is also Invertebrate be considered a subcategory of 'Microalgae'?, **FALSE
Can Chlorophyll that is also MarinePlant be considered a subcategory of 'ExoticSpecies'?, False
Can Conifer that is also ExoticSpecies be considered a subcategory of 'Fish'?, **FALSE
Can Poultry that is also VegetationCover be considered a subcategory of 'Arthropod'?, **FALSE
Can BlueGreenAlgae that is also Yeast be considered a subcategory of 'MarineInvertebrate'?, **FALSE
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Invertebrate'?, TRUE
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'VegetationCover'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Microalgae'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Fungi'?, **FALSE
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Arachnid'?, False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'VegetationSpecies'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Livestock'?, FALSE
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Sponge'?, FALSE
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Flatworm'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Diatom'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'FungiTaxonomy'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'MarinePlant'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Moss'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Vertebrate'?, FALSE
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Radiolarian'?, **False
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Human'?, **FALSE
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'MarineMicrobiota'?, TRUE
Can MarineInvertebrate be considered a subcategory of 'MarineMicrobiota'?, **False
Can MicrobiotaTaxonomy be considered a subcategory of 'MarineMicrobiota'?, **False
Can Coccolithophore that is also Litter be considered a subcategory of 'MicrobiotaTaxonomy'?, False.
Can Crop that is also Plant be considered a subcategory of 'Reptile'?, **FALSE
Can Fern that is also Flatworm be considered a subcategory of 'Animal'?, FALSE
Can Anemone that is also MarineMicrobiota be considered a subcategory of 'DominantSpecies'?, False
Can Arachnid that is also Conifer be considered a subcategory of 'Vertebrate'?, **False
Can Animal that is also Crustacean be considered a subcategory of 'Sporozoan'?, FALSE
Can Animal that is also Dairy be considered a subcategory of 'BlueGreenAlgae'?, **FALSE
Can Yeast that is also Zooplankton be considered a subcategory of 'VegetationCover'?, **FALSE
Can EvergreenVegetation that is also MarineInvertebrate be considered a subcategory of 'Sponge'?, **FALSE
Can Fungi that is also Millipede be considered a subcategory of 'Phytoplankton'?, **False
Can Algae that is also Fish be considered a subcategory of 'VegetationSpecies'?, False
Can Fern that is also Plankton be considered a subcategory of 'Lichen'?, **False
Can MarineMicrobiota that is also Nutrient be considered a subcategory of 'Flatworm'?, False
Can Insect that is also Poultry be considered a subcategory of 'Yeast'?, False
Can Coccolithophore that is also ExoticVegetation be considered a subcategory of 'Algae'?, False
Can MarineMammal that is also VegetationSpecies be considered a subcategory of 'Fern'?, **False
Can Algae that is also Fungi be considered a subcategory of 'Dairy'?, **FALSE
Can Mollusk that is also Sporozoan be considered a subcategory of 'Amphibian'?, **False
Can DominantSpecies that is also Plant be considered a subcategory of 'Centipede'?, FALSE
Can Microalgae that is also Radiolarian be considered a subcategory of 'Reptile'?, False
Can Human that is also Mushroom be considered a subcategory of 'SlimeMold'?, False
Can Conifer that is also MarineBird be considered a subcategory of 'DominantSpecies'?, **False
Can DeciduousVegetation that is also Microphyte be considered a subcategory of 'MicrobiotaTaxonomy'?, **False
Can Arachnid that is also Crop be considered a subcategory of 'FloweringPlant'?, FALSE
Can Microbiota that is also Millipede be considered a subcategory of 'SegmentedWorm'?, False
Can Animal that is also Liverwort be considered a subcategory of 'Millipede'?, **FALSE
Can Diatom that is also Roundworm be considered a subcategory of 'Fungi'?, FALSE
Can Coral that is also Fern be considered a subcategory of 'Mammal'?, FALSE
Can Insect that is also Zooplankton be considered a subcategory of 'Poultry'?, **FALSE
Can Algae that is also Coccolithophore be considered a subcategory of 'Radiolarian'?, False
Can MarineInvertebrate that is also Roundworm be considered a subcategory of 'Insect'?, FALSE
Can Invertebrate that is also Pollen be considered a subcategory of 'Vegetation'?, FALSE
Can Plankton that is also Vegetation be considered a subcategory of 'Mold'?, FALSE
Can Amphibian that is also Centipede be considered a subcategory of 'Leaf'?, **FALSE
Can DominantSpecies that is also Vegetation be considered a subcategory of 'MarineAnimal'?, False.
Can Bacteria that is also Sponge be considered a subcategory of 'Centipede'?, False
Can Arthropod that is also SegmentedWorm be considered a subcategory of 'Fern'?, False
Can Bird that is also Coral be considered a subcategory of 'ExoticSpecies'?, **FALSE
Can Livestock that is also SlimeMold be considered a subcategory of 'Conifer'?, FALSE
Can Moss that is also Vertebrate be considered a subcategory of 'Microalgae'?, False
Can EvergreenVegetation that is also Microbiota be considered a subcategory of 'MarineInvertebrate'?, **False
Can ExoticVegetation that is also Nutrient be considered a subcategory of 'DeciduousVegetation'?, False
Can Anemone that is also Macroalgae be considered a subcategory of 'MarineMammal'?, **FALSE
Can Arachnid that is also Centipede be considered a subcategory of 'Diatom'?, FALSE
Can Liverwort that is also Microphyte be considered a subcategory of 'Animal'?, **False
Can MicrobiotaTaxonomy that is also Yeast be considered a subcategory of 'Invertebrate'?, **False
Can IndigenousVegetation that is also Protist be considered a subcategory of 'Arthropod'?, FALSE
Can MarineAnimal that is also Reptile be considered a subcategory of 'Amphibian'?, FALSE
Can Fish that is also Microphyte be considered a subcategory of 'Flatworm'?, FALSE
Can Poultry that is also Roundworm be considered a subcategory of 'Lichen'?, FALSE
Can Foraminifer that is also Litter be considered a subcategory of 'Echinoderm'?, FALSE
Can Arthropod that is also Radiolarian be considered a subcategory of 'Fern'?, FALSE
Can Human that is also MarinePlant be considered a subcategory of 'IndigenousVegetation'?, False
Can DeciduousVegetation that is also MarineBird be considered a subcategory of 'IndigenousSpecies'?, **False
Can Crustacean that is also FungiTaxonomy be considered a subcategory of 'Dairy'?, **False
Can Crop that is also SegmentedWorm be considered a subcategory of 'Chlorophyll'?, **False
Can IndigenousSpecies that is also Microbiota be considered a subcategory of 'Pollen'?, **False
Can Liverwort that is also Reptile be considered a subcategory of 'MarineAnimal'?, False
Can Flagellate that is also VegetationSpecies be considered a subcategory of 'Mollusk'?, False
Can Coral that is also Livestock be considered a subcategory of 'Nutrient'?, False
Can TreeRing that is also Zooplankton be considered a subcategory of 'Ciliate'?, FALSE
Can Plankton that is also Vegetation be considered a subcategory of 'MarineMammal'?, **FALSE
Can Flatworm that is also Mollusk be considered a subcategory of 'Microalgae'?, FALSE
Can Fungi that is also MarineBird be considered a subcategory of 'Microphyte'?, **False
Can Crustacean that is also Lichen be considered a subcategory of 'Crown'?, FALSE
Can DominantSpecies that is also Reptile be considered a subcategory of 'Macrophyte'?, **False
Can Microphyte that is also VegetationSpecies be considered a subcategory of 'Livestock'?, **False
Can Leaf that is also Liverwort be considered a subcategory of 'ExoticVegetation'?, False
Can Diatom that is also Foraminifer be considered a subcategory of 'Mushroom'?, False
Can Bacteria that is also Radiolarian be considered a subcategory of 'Amoebae'?, **FALSE
Can Human that is also Mammal be considered a subcategory of 'Crustacean'?, **FALSE
Can Invertebrate that is also Plankton be considered a subcategory of 'Phytoplankton'?, False
Can BlueGreenAlgae that is also FloweringPlant be considered a subcategory of 'Vertebrate'?, **False
Can Crop that is also ExoticSpecies be considered a subcategory of 'Human'?, **False
Can Amoebae that is also Microbiota be considered a subcategory of 'BlueGreenAlgae'?, False
Can Bird that is also BlueGreenAlgae be considered a subcategory of 'VegetationCover'?, **False
Can Flatworm that is also Vegetation be considered a subcategory of 'Flagellate'?, FALSE
Can Coral that is also MicrobiotaTaxonomy be considered a subcategory of 'Plant'?, False
Can VegetationCover that is also Zooplankton be considered a subcategory of 'Canopy'?, FALSE
Can Jellyfish that is also Zooplankton be considered a subcategory of 'Mold'?, **False
Can Fern that is also IndigenousVegetation be considered a subcategory of 'Crop'?, False
Can Amoebae that is also Millipede be considered a subcategory of 'Poultry'?, **False
Can Echinoderm that is also IndigenousSpecies be considered a subcategory of 'EvergreenVegetation'?, False
Can Crown that is also Sponge be considered a subcategory of 'Coccolithophore'?, FALSE
Can MarineInvertebrate that is also Microalgae be considered a subcategory of 'ExoticSpecies'?, False
Can Insect that is also Phytoplankton be considered a subcategory of 'Livestock'?, **False
Can Chlorophyll that is also Pollen be considered a subcategory of 'Macrophyte'?, False
Can Canopy that is also Centipede be considered a subcategory of 'Crustacean'?, FALSE
Can Human that is also Lichen be considered a subcategory of 'Crown'?, **False
Can DominantSpecies that is also FungiTaxonomy be considered a subcategory of 'Coral'?, False
Can Mammal that is also Pollen be considered a subcategory of 'Macroalgae'?, False
Can Leaf that is also VegetationCover be considered a subcategory of 'Phytoplankton'?, **False
Can Litter that is also MarineBird be considered a subcategory of 'Invertebrate'?, **False
Can Bacteria that is also Vertebrate be considered a subcategory of 'Human'?, **FALSE
Can Diatom that is also Phytoplankton be considered a subcategory of 'Animal'?, False
Can Chlorophyll that is also Vertebrate be considered a subcategory of 'Diatom'?, **False
Can BlueGreenAlgae that is also Coral be considered a subcategory of 'MarineInvertebrate'?, **False
Can ExoticVegetation that is also Mammal be considered a subcategory of 'Moss'?, **False
Can Lichen that is also Radiolarian be considered a subcategory of 'MarineMicrobiota'?, **False
Can Centipede that is also FungiTaxonomy be considered a subcategory of 'Arachnid'?, **FALSE
Can SlimeMold that is also Sponge be considered a subcategory of 'Jellyfish'?, **False
Can Macrophyte that is also Yeast be considered a subcategory of 'DominantSpecies'?, FALSE
Can Litter that is also Microphyte be considered a subcategory of 'Sponge'?, False
Can Microalgae that is also Vertebrate be considered a subcategory of 'Bird'?, **FALSE
Can Centipede that is also Mold be considered a subcategory of 'SlimeMold'?, FALSE
Can Conifer that is also Sporozoan be considered a subcategory of 'FloweringPlant'?, False
Can Roundworm that is also TreeRing be considered a subcategory of 'Anemone'?, False
Can Echinoderm that is also Plant be considered a subcategory of 'Vegetation'?, **False
Can Mushroom that is also Pollen be considered a subcategory of 'Algae'?, **False
Can Jellyfish that is also VegetationCover be considered a subcategory of 'Radiolarian'?, FALSE
Can Flagellate that is also MarineMammal be considered a subcategory of 'Microalgae'?, FALSE
Can Algae that is also SegmentedWorm be considered a subcategory of 'MarineInvertebrate'?, False
Can Phytoplankton that is also Pollen be considered a subcategory of 'Fish'?, **False
Can Bird that is also Reptile be considered a subcategory of 'TreeRing'?, False
Can Animal that is also Mollusk be considered a subcategory of 'ExoticVegetation'?, FALSE
Can Coccolithophore that is also Leaf be considered a subcategory of 'Animal'?, FALSE
Can IndigenousSpecies that is also Invertebrate be considered a subcategory of 'Ciliate'?, **False
Can Amphibian that is also EvergreenVegetation be considered a subcategory of 'FungiTaxonomy'?, False
Can ExoticVegetation that is also Fungi be considered a subcategory of 'MarinePlant'?, False
Can DeciduousVegetation that is also Diatom be considered a subcategory of 'Vertebrate'?, False.
Can Reptile that is also TreeRing be considered a subcategory of 'DominantSpecies'?, **FALSE
Can Conifer that is also Nutrient be considered a subcategory of 'Jellyfish'?, FALSE
Can Lichen that is also Poultry be considered a subcategory of 'Bird'?, FALSE
Can Diatom that is also Radiolarian be considered a subcategory of 'Sponge'?, **False
Can Radiolarian that is also Vertebrate be considered a subcategory of 'Arachnid'?, **False
Can MarineInvertebrate that is also SlimeMold be considered a subcategory of 'Fungi'?, **False
Can Amoebae that is also Moss be considered a subcategory of 'Canopy'?, FALSE
Can IndigenousSpecies that is also Moss be considered a subcategory of 'Microbiota'?, FALSE
Can Foraminifer that is also TreeRing be considered a subcategory of 'VegetationSpecies'?, False
Can Echinoderm that is also MarineMammal be considered a subcategory of 'VegetationCover'?, False
Can Arachnid that is also VegetationCover be considered a subcategory of 'Flatworm'?, FALSE
Can Bird that is also Chlorophyll be considered a subcategory of 'Amphibian'?, FALSE
Can BlueGreenAlgae that is also Jellyfish be considered a subcategory of 'Millipede'?, False
Can IndigenousVegetation that is also MarineMicrobiota be considered a subcategory of 'Lichen'?, **False
Can Lichen that is also Liverwort be considered a subcategory of 'Dairy'?, False
Can FungiTaxonomy that is also MarineAnimal be considered a subcategory of 'Litter'?, **False
Can Flatworm that is also Sponge be considered a subcategory of 'Protist'?, **False
Can Microalgae that is also Poultry be considered a subcategory of 'Zooplankton'?, False
Can Crustacean that is also Litter be considered a subcategory of 'Insect'?, False
Can Arthropod that is also Vertebrate be considered a subcategory of 'Chlorophyll'?, **False
Can Centipede that is also Macrophyte be considered a subcategory of 'IndigenousVegetation'?, **FALSE
Can DeciduousVegetation that is also DominantSpecies be considered a subcategory of 'Conifer'?, False
Can IndigenousVegetation that is also Millipede be considered a subcategory of 'SegmentedWorm'?, False
Can ExoticSpecies that is also Foraminifer be considered a subcategory of 'Yeast'?, FALSE
Can Amphibian that is also MicrobiotaTaxonomy be considered a subcategory of 'Fungi'?, FALSE
Can Livestock that is also Mammal be considered a subcategory of 'Bird'?, **False
Can Bacteria that is also Moss be considered a subcategory of 'Poultry'?, False
Can Arthropod that is also BlueGreenAlgae be considered a subcategory of 'Vegetation'?, FALSE
Can MarineMammal that is also SegmentedWorm be considered a subcategory of 'Algae'?, False
Can Amoebae that is also Mushroom be considered a subcategory of 'Bacteria'?, FALSE
Can Bird that is also MarineAnimal be considered a subcategory of 'Leaf'?, False
Can Protist that is also SlimeMold be considered a subcategory of 'MarineAnimal'?, False
Can Canopy that is also Microbiota be considered a subcategory of 'Fern'?, **False
Can MarineAnimal that is also Nutrient be considered a subcategory of 'Crown'?, FALSE
Can Anemone that is also Macrophyte be considered a subcategory of 'ExoticSpecies'?, **False
Can Crown that is also Poultry be considered a subcategory of 'Livestock'?, False.
Can Liverwort that is also Protist be considered a subcategory of 'Microphyte'?, FALSE
Can Plant that is also SegmentedWorm be considered a subcategory of 'Chlorophyll'?, FALSE
Can Millipede that is also Mushroom be considered a subcategory of 'Fish'?, FALSE
Can Arachnid that is also Jellyfish be considered a subcategory of 'Conifer'?, False
Can ExoticSpecies that is also Roundworm be considered a subcategory of 'Pollen'?, FALSE
Can Fern that is also Mold be considered a subcategory of 'MarineInvertebrate'?, FALSE
Can Canopy that is also Crop be considered a subcategory of 'Invertebrate'?, **False
Can Bacteria that is also Echinoderm be considered a subcategory of 'TreeRing'?, **FALSE
Can Anemone that is also Arthropod be considered a subcategory of 'Microalgae'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Animal'?, TRUE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'VegetationCover'?, FALSE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Microalgae'?, FALSE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Fungi'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Arachnid'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'VegetationSpecies'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Livestock'?, FALSE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Sponge'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Flatworm'?, **FALSE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Diatom'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'FungiTaxonomy'?, **FALSE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'MarinePlant'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Moss'?, **FALSE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Vertebrate'?, FALSE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Radiolarian'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Human'?, FALSE
Can Crown that is also MarineInvertebrate be considered a subcategory of 'MarineMicrobiota'?, FALSE
Can Crown be considered a subcategory of 'Animal'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Animal'?, TRUE
Can MarineInvertebrate be considered a subcategory of 'VegetationCover'?, False
Can MarineInvertebrate be considered a subcategory of 'Microalgae'?, **FALSE
Can MarineInvertebrate be considered a subcategory of 'Fungi'?, False
Can MarineInvertebrate be considered a subcategory of 'Arachnid'?, False
Can MarineInvertebrate be considered a subcategory of 'VegetationSpecies'?, **False
Can MarineInvertebrate be considered a subcategory of 'Livestock'?, **False
Can MarineInvertebrate be considered a subcategory of 'Sponge'?, **False
Can MarineInvertebrate be considered a subcategory of 'Flatworm'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Diatom'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'FungiTaxonomy'?, **False
Can MarineInvertebrate be considered a subcategory of 'MarinePlant'?, False
Can MarineInvertebrate be considered a subcategory of 'Moss'?, **FALSE
Can MarineInvertebrate be considered a subcategory of 'Vertebrate'?, False
Can MarineInvertebrate be considered a subcategory of 'Radiolarian'?, **FALSE
Can MarineInvertebrate be considered a subcategory of 'Human'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Flagellate'?, False
Can MarineInvertebrate be considered a subcategory of 'Poultry'?, **False
Can MarineInvertebrate be considered a subcategory of 'MarineMammal'?, False
Can MarineInvertebrate be considered a subcategory of 'Amphibian'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Millipede'?, **False
Can MarineInvertebrate be considered a subcategory of 'Plankton'?, **False
Can MarineInvertebrate be considered a subcategory of 'Roundworm'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Microphyte'?, **False
Can MarineInvertebrate be considered a subcategory of 'SlimeMold'?, **FALSE
Can MarineInvertebrate be considered a subcategory of 'Microbiota'?, **False
Can MarineInvertebrate be considered a subcategory of 'MicrobiotaTaxonomy'?, False
Can MarineInvertebrate be considered a subcategory of 'Coccolithophore'?, **False
Can MarineInvertebrate be considered a subcategory of 'Lichen'?, False
Can MarineInvertebrate be considered a subcategory of 'Leaf'?, **False
Can MarineInvertebrate be considered a subcategory of 'Pollen'?, **False
Can MarineInvertebrate be considered a subcategory of 'Mushroom'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Fish'?, **FALSE
Can MarineInvertebrate be considered a subcategory of 'Reptile'?, **False
Can MarineInvertebrate be considered a subcategory of 'MarineAnimal'?, True
Can MarineInvertebrate be considered a subcategory of 'Animal that is also MarineAnimal'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Macroalgae'?, False
Can MarineInvertebrate be considered a subcategory of 'Foraminifer'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Dairy'?, False
Can MarineInvertebrate be considered a subcategory of 'Liverwort'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Crustacean'?, False
Can MarineInvertebrate be considered a subcategory of 'Canopy'?, **FALSE
Can MarineInvertebrate be considered a subcategory of 'Coral'?, **False
Can MarineInvertebrate be considered a subcategory of 'ExoticVegetation'?, False
Can MarineInvertebrate be considered a subcategory of 'Macrophyte'?, **FALSE
Can MarineInvertebrate be considered a subcategory of 'SegmentedWorm'?, False
Can MarineInvertebrate be considered a subcategory of 'LivingThing'?, **True
Can MarineInvertebrate be considered a subcategory of 'Bird'?, **False
Can MarineInvertebrate be considered a subcategory of 'Fern'?, **False
Can MarineInvertebrate be considered a subcategory of 'DominantSpecies'?, **False
Can MarineInvertebrate be considered a subcategory of 'BlueGreenAlgae'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'EvergreenVegetation'?, **False
Can MarineInvertebrate be considered a subcategory of 'TreeRing'?, **FALSE
Can MarineInvertebrate be considered a subcategory of 'Vegetation'?, **False
Can MarineInvertebrate be considered a subcategory of 'ExoticSpecies'?, False
Can MarineInvertebrate be considered a subcategory of 'Litter'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Crown'?, FALSE
Can MarineInvertebrate be considered a subcategory of 'Jellyfish'?, False
