HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure,  False.
SimilarRemissionOddsRatio SubClassOf HighReductionInChildDepressionScore,  I cannot
SimilarRemissionOddsRatio SubClassOf ZeroRemission,  False.
SimilarRemissionOddsRatio SubClassOf DoseFrequency,  False.
SimilarRemissionOddsRatio SubClassOf HamiltonAnxietyScoreDifference,  False.
SimilarRemissionOddsRatio SubClassOf DrugEfficacy,  True.
SimilarRemissionOddsRatio SubClassOf DrugEfficacy and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf WeightMeasure,  False.
SimilarRemissionOddsRatio SubClassOf CoagulationProfile,  False.
SimilarRemissionOddsRatio SubClassOf LowReductionInHamiltonDepressionScore,  I cannot
SimilarRemissionOddsRatio SubClassOf BloodPressure,  False.
SimilarRemissionOddsRatio SubClassOf PulmonaryFunctionMeasure,  False.
SimilarRemissionOddsRatio SubClassOf SatietyIncrease,  False.
SimilarRemissionOddsRatio SubClassOf DiseaseSusceptibilityOdds,  True.
SimilarRemissionOddsRatio SubClassOf DiseaseSusceptibilityOdds and RemissionMeasure,  False.
SimilarRemissionOddsRatio SubClassOf LowHamiltonDepressionScore,  False.
SimilarRemissionOddsRatio SubClassOf BoneMineralDensity,  I cannot
SimilarRemissionOddsRatio SubClassOf NormalGeneExpression,  False.
SimilarRemissionOddsRatio SubClassOf ReninAngiotensinSystemMeasure,  False.
SimilarRemissionOddsRatio SubClassOf BloodSerumProteinCount,  False.
SimilarRemissionOddsRatio SubClassOf AnxietyMeasure,  False.
SimilarRemissionOddsRatio SubClassOf HamiltonDepressionScore,  False.
SimilarRemissionOddsRatio SubClassOf SideEffectRate,  False.
SimilarRemissionOddsRatio SubClassOf DepressionMeasure,  True.
SimilarRemissionOddsRatio SubClassOf DepressionMeasure and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf GeneExpression,  False.
SimilarRemissionOddsRatio SubClassOf Dose,  False.
SimilarRemissionOddsRatio SubClassOf SatietyMeasure,  False.
SimilarRemissionOddsRatio SubClassOf LowerDiseaseSusceptibilityOdds,  False.
SimilarRemissionOddsRatio SubClassOf SideEffectFrequency,  False.
SimilarRemissionOddsRatio SubClassOf MyocardialInfarctionFrequency,  False.
SimilarRemissionOddsRatio SubClassOf ZeroDrugEfficacy,  False.
SimilarRemissionOddsRatio SubClassOf Satiety,  False.
SimilarRemissionOddsRatio SubClassOf ClinicalOutcomeMeasure,  True.
SimilarRemissionOddsRatio SubClassOf ClinicalOutcomeMeasure and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf LipidProfile,  False.
SimilarRemissionOddsRatio SubClassOf BodyMassIndexDecrease,  False.
SimilarRemissionOddsRatio SubClassOf HighDrugEfficacy,  False.
SimilarRemissionOddsRatio SubClassOf BodyMassIndexIncrease,  False.
SimilarRemissionOddsRatio SubClassOf _24HourBloodPressure,  False.
SimilarRemissionOddsRatio SubClassOf HighReductionInHamiltonDepressionScore,  I'
SimilarRemissionOddsRatio SubClassOf BodyMassIndex,  False.
SimilarRemissionOddsRatio SubClassOf DrugEfficacyMeasure,  True.
SimilarRemissionOddsRatio SubClassOf DrugEfficacyMeasure and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf BiophysicalMeasure,  False.
SimilarRemissionOddsRatio SubClassOf ChildDepressionScoreDifference,  False.
SimilarRemissionOddsRatio SubClassOf LowReductionInHamiltonAnxietyScore,  I cannot
SimilarRemissionOddsRatio SubClassOf ChildDepressionMeasure,  False.
SimilarRemissionOddsRatio SubClassOf HamiltonDepressionScoreDifference,  False.
SimilarRemissionOddsRatio SubClassOf HighRemissionOddsRatio,  False.
SimilarRemissionOddsRatio SubClassOf LowDrugEfficacy,  I cannot
SimilarRemissionOddsRatio SubClassOf ErythromycinClearanceMeasure,  False.
SimilarRemissionOddsRatio SubClassOf LowReductionInMontgomeryAsbergDepressionRating,  I cannot
SimilarRemissionOddsRatio SubClassOf ModerateReductionInChildDepressionScore,  False.
SimilarRemissionOddsRatio SubClassOf ASAAConcentration,  False.
SimilarRemissionOddsRatio SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
SimilarRemissionOddsRatio SubClassOf EventFreeSurvivalTime,  True.
SimilarRemissionOddsRatio SubClassOf EventFreeSurvivalTime and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf LowRemissionOddsRatio,  False.
SimilarRemissionOddsRatio SubClassOf HomocysteineLevel,  False.
SimilarRemissionOddsRatio SubClassOf SideEffectMeasure,  False.
SimilarRemissionOddsRatio SubClassOf RemissionOddsRatio,  False.
CognitiveMeasure and HighHamiltonDepressionScore SubClassOf ChildDepressionScore,  I cannot
HighReductionInChildDepressionScore and MontgomeryAsbergDepressionRatingDifference SubClassOf BloodSerumProteinCount,  False.
DepressionMeasure and HighReductionInHamiltonAnxietyScore SubClassOf ElectrocardiogramQTInterval,  False.
BodyMassIndexDecrease and ModerateMontgomeryAsbergDepressionRating SubClassOf LowRemissionOddsRatio,  I cannot
AirwayResponsivenessUsingMethacholine and HamiltonDepressionMeasure SubClassOf ErythromycinClearanceMeasure,  False.
HamiltonDepressionScoreDifference and IncreasedGeneExpression SubClassOf QualityOfLife,  False.
HighReductionInChildDepressionScore and SatietyFrequency SubClassOf CoagulationProfile,  False.
HigherDiseaseSusceptibiltyOdds and ModerateReductionInMontgomeryAsbergDepressionRating SubClassOf BodyMassIndexIncrease,  False.
BodyMassIndexIncrease and Race SubClassOf AsthmaFrequency,  False.
DiseaseSusceptibilityOdds and SatietyMeasure SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
PharmacokineticMeasure and TaxonomicMeasure SubClassOf HomocysteineLevel,  False.
LowReductionInHamiltonAnxietyScore and _24HourBloodPressure SubClassOf BodyMassIndexMeasure,  False.
DrugClearance and SatietyDecrease SubClassOf HighReductionInChildDepressionScore,  I'
GeneExpressionMeasure and SideEffectFrequency SubClassOf LowReductionInHamiltonDepressionScore,  False.
DrugEfficacyMeasure and SideEffectRate SubClassOf ForcedExperiatoryVolume,  False.
ClinicalOutcomeMeasure and WeigthDifference SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
DiseaseSusceptibilityOdds and DrugEfficacy SubClassOf LowDrugEfficacy,  False.
ASAAConcentration and ModerateReductionInHamiltonAnxietyScore SubClassOf PulmonaryFunctionMeasure,  False.
HamiltonDepressionScore and PathogenCount SubClassOf LipidProfile,  False.
BoneMineralDensity and HighHamiltonDepressionScore SubClassOf ExerciseResponse,  False.
GeneExpression and ModerateReductionInChildDepressionScore SubClassOf NormalGeneExpression,  False.
DrugClearance and HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure,  True.
DrugClearance and HighReductionInHamiltonDepressionScore SubClassOf ChildDepressionScore,  False.
DrugClearance and HighReductionInHamiltonDepressionScore SubClassOf MolecularMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf MolecularMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf ChildDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf RemissionFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf SatietyFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf ASAAConcentrationIncrease,  False.
HighReductionInHamiltonDepressionScore SubClassOf ERVisitFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf ForcedExperiatoryVolume,  False.
HighReductionInHamiltonDepressionScore SubClassOf DailyBloodPressure,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighRemission,  False.
HighReductionInHamiltonDepressionScore SubClassOf WeigthDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf GeneExpressionDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf ExerciseResponse,  False.
HighReductionInHamiltonDepressionScore SubClassOf NeoplasmFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf GenotypeMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf QualityOfLife,  True.
HighReductionInHamiltonDepressionScore SubClassOf MolecularMeasure and QualityOfLife,  True for
HighReductionInHamiltonDepressionScore SubClassOf AirwayResponsivenessUsingMethacholine,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighReductionInHamiltonAnxietyScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf ModerateHamiltonDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowReductionInChildDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf BodyMassIndexDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighHamiltonDepressionScore,  True.
HighReductionInHamiltonDepressionScore SubClassOf HighHamiltonDepressionScore and MolecularMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf HigherDiseaseSusceptibiltyOdds,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf ForcedVitalCapacity,  False.
HighReductionInHamiltonDepressionScore SubClassOf HamiltonDepressionMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf HamiltonDepressionMeasure and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf PlasmaDrugConcentration,  False.
HighReductionInHamiltonDepressionScore SubClassOf ElectrocardiogramQTInterval,  False.
HighReductionInHamiltonDepressionScore SubClassOf PharmacokineticMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowMontgomeryAsbergDepressionRating,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf RemissionMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf MolecularMeasure and RemissionMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and MolecularMeasure,  True,
HighReductionInHamiltonDepressionScore SubClassOf GeneExpressionMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf CellCount,  False.
HighReductionInHamiltonDepressionScore SubClassOf ASAAMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf ASAAMeasure and BiologicalMeasure and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf PopulationVariation,  False.
HighReductionInHamiltonDepressionScore SubClassOf MetabolicMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf TaxonomicMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and MolecularMeasure and TaxonomicMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf LowRemission,  False.
HighReductionInHamiltonDepressionScore SubClassOf DrugClearance,  False.
HighReductionInHamiltonDepressionScore SubClassOf ASAAConcentrationDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionRatingDifference,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf ASAAConcentrationDecrease,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf ModerateMontgomeryAsbergDepressionRating,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf BodyMassIndexMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf IncreasedGeneExpression,  False.
HighReductionInHamiltonDepressionScore SubClassOf PathogenCount,  False.
HighReductionInHamiltonDepressionScore SubClassOf SimilarDiseaseSusceptibilityOdds,  False.
HighReductionInHamiltonDepressionScore SubClassOf SatietyDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf DiseaseFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf CognitiveMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and CognitiveMeasure and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf HighMontgomeryAsbergDepressionRating,  False.
HighReductionInHamiltonDepressionScore SubClassOf WeightLoss,  False.
HighReductionInHamiltonDepressionScore SubClassOf Gender,  False.
HighReductionInHamiltonDepressionScore SubClassOf HamiltonAnxietyScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf SatietyDecrease,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf Weigth,  False.
HighReductionInHamiltonDepressionScore SubClassOf Race,  False.
HighReductionInHamiltonDepressionScore SubClassOf WeigthGain,  False.
HighReductionInHamiltonDepressionScore SubClassOf AsthmaFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf DecreasedGeneExpression,  False.
HighReductionInHamiltonDepressionScore SubClassOf PharmacodynamicMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and MolecularMeasure and PharmacodynamicMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf ModerateRemission,  False.
HighReductionInHamiltonDepressionScore SubClassOf TissueMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionRating,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf HighReductionInChildDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf ZeroRemission,  False.
HighReductionInHamiltonDepressionScore SubClassOf DoseFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf HamiltonAnxietyScoreDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf DrugEfficacy,  False.
HighReductionInHamiltonDepressionScore SubClassOf WeightMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf CoagulationProfile,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowReductionInHamiltonDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf BloodPressure,  False.
HighReductionInHamiltonDepressionScore SubClassOf PulmonaryFunctionMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf SatietyIncrease,  False.
HighReductionInHamiltonDepressionScore SubClassOf DiseaseSusceptibilityOdds,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowHamiltonDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf BoneMineralDensity,  False.
HighReductionInHamiltonDepressionScore SubClassOf NormalGeneExpression,  False.
HighReductionInHamiltonDepressionScore SubClassOf ReninAngiotensinSystemMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf BloodSerumProteinCount,  False.
HighReductionInHamiltonDepressionScore SubClassOf AnxietyMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf HamiltonDepressionScore,  True.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and HamiltonDepressionScore and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf SideEffectRate,  False.
HighReductionInHamiltonDepressionScore SubClassOf DepressionMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and DepressionMeasure and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf GeneExpression,  False.
HighReductionInHamiltonDepressionScore SubClassOf Dose,  False.
HighReductionInHamiltonDepressionScore SubClassOf SatietyMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowerDiseaseSusceptibilityOdds,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf SideEffectFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf MyocardialInfarctionFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf ZeroDrugEfficacy,  False.
HighReductionInHamiltonDepressionScore SubClassOf Satiety,  False.
HighReductionInHamiltonDepressionScore SubClassOf ClinicalOutcomeMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and ClinicalOutcomeMeasure and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf LipidProfile,  False.
HighReductionInHamiltonDepressionScore SubClassOf BodyMassIndexDecrease,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighDrugEfficacy,  False.
HighReductionInHamiltonDepressionScore SubClassOf BodyMassIndexIncrease,  False.
HighReductionInHamiltonDepressionScore SubClassOf _24HourBloodPressure,  False.
HighReductionInHamiltonDepressionScore SubClassOf BodyMassIndex,  False.
HighReductionInHamiltonDepressionScore SubClassOf DrugEfficacyMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf BiophysicalMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf ChildDepressionScoreDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowReductionInHamiltonAnxietyScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf ChildDepressionMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and ChildDepressionMeasure and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf HamiltonDepressionScoreDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighRemissionOddsRatio,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf LowDrugEfficacy,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf ErythromycinClearanceMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowReductionInMontgomeryAsbergDepressionRating,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf ModerateReductionInChildDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf ASAAConcentration,  False.
HighReductionInHamiltonDepressionScore SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf SimilarRemissionOddsRatio,  False.
HighReductionInHamiltonDepressionScore SubClassOf EventFreeSurvivalTime,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowRemissionOddsRatio,  I cannot
HighReductionInHamiltonDepressionScore SubClassOf HomocysteineLevel,  False.
HighReductionInHamiltonDepressionScore SubClassOf SideEffectMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf RemissionOddsRatio,  False.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and MolecularMeasure and QualityOfLife,  True for
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and HighHamiltonDepressionScore and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and HamiltonDepressionMeasure and MolecularMeasure,  True for
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure and MolecularMeasure and RemissionMeasure,  True for
MolecularMeasure and SimilarRemissionOddsRatio SubClassOf HamiltonDepressionScoreDifference,  False.
