Neuron and StructuralCell SubClassOf Erythrocyte,  False.
CellByClass and ChondroBlast SubClassOf ElectricallyActiveCell,  False.
CellByDevelopmentStage and Miocyte SubClassOf SclerenchymaCell,  False.
InMatureCell and StructuralCell SubClassOf SclerenchymaCell,  False.
Cell and PhotoreceptorCell SubClassOf ElectricallyActiveCell,  True.
Cell and PhotoreceptorCell SubClassOf SclerenchymaCell,  False.
Cell and PhotoreceptorCell SubClassOf LeafCell,  False.
Cell and PhotoreceptorCell SubClassOf Erythrocyte,  False.
Cell and PhotoreceptorCell SubClassOf PhotosyntheticCell,  False.
Cell and PhotoreceptorCell SubClassOf CirculatingCell,  False.
Cell and PhotoreceptorCell SubClassOf PlantCell,  False.
Cell and PhotoreceptorCell SubClassOf CellByClass,  True.
Cell SubClassOf CellByClass,  False.
PhotoreceptorCell SubClassOf CellByClass,  True.
PhotoreceptorCell SubClassOf SclerenchymaCell,  False.
PhotoreceptorCell SubClassOf LeafCell,  False.
PhotoreceptorCell SubClassOf Erythrocyte,  False.
PhotoreceptorCell SubClassOf PhotosyntheticCell,  False.
PhotoreceptorCell SubClassOf CirculatingCell,  False.
PhotoreceptorCell SubClassOf PlantCell,  False.
PhotoreceptorCell SubClassOf MatureCell,  False.
PhotoreceptorCell SubClassOf AnimalCell,  True.
PhotoreceptorCell SubClassOf AnimalCell and CellByClass,  I.
PhotoreceptorCell SubClassOf Cell,  True.
PhotoreceptorCell SubClassOf Cell and CellByClass,  I.
PhotoreceptorCell SubClassOf Miocyte,  False.
PhotoreceptorCell SubClassOf InMatureCell,  False.
PhotoreceptorCell SubClassOf Osteocyte,  False.
PhotoreceptorCell SubClassOf ChondroBlast,  False.
PhotoreceptorCell SubClassOf MioBlast,  False.
PhotoreceptorCell SubClassOf CellByDevelopmentStage,  I.
PhotoreceptorCell SubClassOf CellByOrganism,  False.
PhotoreceptorCell SubClassOf ElectricallyActiveCell,  True.
PhotoreceptorCell SubClassOf CellByClass and ElectricallyActiveCell,  I.
PhotoreceptorCell SubClassOf StructuralCell,  False.
PhotoreceptorCell SubClassOf Neuron,  True.
PhotoreceptorCell SubClassOf CellByClass and Neuron,  False.
PhotoreceptorCell SubClassOf ChondroCyte,  False.
CirculatingCell and SclerenchymaCell SubClassOf LeafCell,  False.
LeafCell and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and Osteocyte SubClassOf PhotoreceptorCell,  False.
ChondroCyte SubClassOf PhotoreceptorCell,  False.
Neuron and PlantCell SubClassOf LeafCell,  False.
LeafCell and SclerenchymaCell SubClassOf PhotoreceptorCell,  False.
CellByClass and Osteocyte SubClassOf LeafCell,  False.
CellByOrganism and Osteocyte SubClassOf StructuralCell,  True.
CellByOrganism and Osteocyte SubClassOf SclerenchymaCell,  False.
CellByOrganism and Osteocyte SubClassOf LeafCell,  False.
CellByOrganism and Osteocyte SubClassOf Erythrocyte,  False.
CellByOrganism and Osteocyte SubClassOf PhotosyntheticCell,  False.
CellByOrganism and Osteocyte SubClassOf CirculatingCell,  False.
CellByOrganism and Osteocyte SubClassOf PlantCell,  False.
CellByOrganism and Osteocyte SubClassOf CellByClass,  False.
CellByOrganism and Osteocyte SubClassOf MatureCell,  True.
Osteocyte SubClassOf MatureCell,  True (
MatureCell and MioBlast SubClassOf CirculatingCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf Cell,  True.
ElectricallyActiveCell and PlantCell SubClassOf SclerenchymaCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf LeafCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and PlantCell SubClassOf PhotosyntheticCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf CirculatingCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf CellByClass,  True.
ElectricallyActiveCell SubClassOf CellByClass,  I.
PlantCell SubClassOf CellByClass,  True.
PlantCell SubClassOf SclerenchymaCell,  False.
PlantCell SubClassOf LeafCell,  False.
PlantCell SubClassOf Erythrocyte,  False.
PlantCell SubClassOf PhotosyntheticCell,  False.
PlantCell SubClassOf CirculatingCell,  False.
PlantCell SubClassOf MatureCell,  False.
PlantCell SubClassOf AnimalCell,  False.
PlantCell SubClassOf Cell,  True.
PlantCell SubClassOf Cell and CellByClass,  True (
PlantCell SubClassOf Miocyte,  False.
PlantCell SubClassOf InMatureCell,  False.
PlantCell SubClassOf Osteocyte,  False.
PlantCell SubClassOf ChondroBlast,  False.
PlantCell SubClassOf MioBlast,  False.
PlantCell SubClassOf CellByDevelopmentStage,  False.
PlantCell SubClassOf PhotoreceptorCell,  False.
PlantCell SubClassOf CellByOrganism,  False.
PlantCell SubClassOf ElectricallyActiveCell,  False.
PlantCell SubClassOf StructuralCell,  False.
PlantCell SubClassOf Neuron,  False.
PlantCell SubClassOf ChondroCyte,  False.
ChondroBlast and Neuron SubClassOf StructuralCell,  False.
ChondroBlast and SclerenchymaCell SubClassOf StructuralCell,  False.
Erythrocyte and StructuralCell SubClassOf CirculatingCell,  True.
Erythrocyte and StructuralCell SubClassOf SclerenchymaCell,  False.
Erythrocyte and StructuralCell SubClassOf LeafCell,  False.
Erythrocyte and StructuralCell SubClassOf PhotosyntheticCell,  False.
Erythrocyte SubClassOf CirculatingCell,  True.
Erythrocyte SubClassOf SclerenchymaCell,  False.
Erythrocyte SubClassOf LeafCell,  False.
Erythrocyte SubClassOf PhotosyntheticCell,  False.
Erythrocyte SubClassOf PlantCell,  False.
Erythrocyte SubClassOf CellByClass,  True.
Erythrocyte SubClassOf CellByClass and CirculatingCell,  True.
Erythrocyte SubClassOf MatureCell,  True.
Erythrocyte SubClassOf CellByClass and CirculatingCell and MatureCell,  True.
Erythrocyte SubClassOf AnimalCell,  True.
Erythrocyte SubClassOf AnimalCell and CellByClass and CirculatingCell and MatureCell,  I.
Erythrocyte SubClassOf Cell,  True.
Erythrocyte SubClassOf Cell and CellByClass and CirculatingCell and MatureCell,  I.
Erythrocyte SubClassOf Miocyte,  False.
Erythrocyte SubClassOf InMatureCell, False.
Erythrocyte SubClassOf Osteocyte,  False.
Erythrocyte SubClassOf ChondroBlast,  False.
Erythrocyte SubClassOf MioBlast,  False.
Erythrocyte SubClassOf CellByDevelopmentStage,  False.
Erythrocyte SubClassOf PhotoreceptorCell,  False.
Erythrocyte SubClassOf CellByOrganism,  False.
Erythrocyte SubClassOf ElectricallyActiveCell,  False.
Erythrocyte SubClassOf StructuralCell,  True.
Erythrocyte SubClassOf CellByClass and CirculatingCell and MatureCell and StructuralCell,  I.
Erythrocyte SubClassOf Neuron,  False.
Erythrocyte SubClassOf ChondroCyte,  False.
AnimalCell SubClassOf Cell,  True.
AnimalCell SubClassOf SclerenchymaCell,  False.
AnimalCell SubClassOf LeafCell,  False.
AnimalCell SubClassOf Erythrocyte,  False.
AnimalCell SubClassOf PhotosyntheticCell,  False.
AnimalCell SubClassOf CirculatingCell,  False.
AnimalCell SubClassOf PlantCell,  False.
AnimalCell SubClassOf CellByClass,  True.
AnimalCell SubClassOf MatureCell,  False.
AnimalCell SubClassOf Cell and CellByClass,  I.
AnimalCell SubClassOf Miocyte,  False.
AnimalCell SubClassOf InMatureCell,  False.
AnimalCell SubClassOf Osteocyte,  False.
AnimalCell SubClassOf ChondroBlast,  False.
AnimalCell SubClassOf MioBlast,  False.
AnimalCell SubClassOf CellByDevelopmentStage,  False.
AnimalCell SubClassOf PhotoreceptorCell,  False.
AnimalCell SubClassOf CellByOrganism,  False.
AnimalCell SubClassOf ElectricallyActiveCell,  False.
AnimalCell SubClassOf StructuralCell,  False.
AnimalCell SubClassOf Neuron,  False.
AnimalCell SubClassOf ChondroCyte,  False.
ElectricallyActiveCell and LeafCell SubClassOf Cell,  True.
ElectricallyActiveCell and LeafCell SubClassOf SclerenchymaCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and LeafCell SubClassOf PhotosyntheticCell,  I.
ElectricallyActiveCell and LeafCell SubClassOf CirculatingCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf PlantCell,  I.
ElectricallyActiveCell and LeafCell SubClassOf CellByClass,  False.
ElectricallyActiveCell and LeafCell SubClassOf MatureCell,  I.
ElectricallyActiveCell and LeafCell SubClassOf AnimalCell,  False.
LeafCell SubClassOf Cell,  False.
ElectricallyActiveCell SubClassOf Cell,  True.
ElectricallyActiveCell SubClassOf SclerenchymaCell,  False.
ElectricallyActiveCell SubClassOf LeafCell,  False.
ElectricallyActiveCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell SubClassOf PhotosyntheticCell,  False.
ElectricallyActiveCell SubClassOf CirculatingCell,  False.
ElectricallyActiveCell SubClassOf PlantCell,  False.
ElectricallyActiveCell SubClassOf MatureCell,  I.
ElectricallyActiveCell SubClassOf AnimalCell,  False.
ElectricallyActiveCell SubClassOf Miocyte,  I.
ElectricallyActiveCell SubClassOf InMatureCell,  False.
ElectricallyActiveCell SubClassOf Osteocyte,  False.
ElectricallyActiveCell SubClassOf ChondroBlast,  False.
ElectricallyActiveCell SubClassOf MioBlast,  False.
ElectricallyActiveCell SubClassOf CellByDevelopmentStage,  False.
ElectricallyActiveCell SubClassOf PhotoreceptorCell,  False.
ElectricallyActiveCell SubClassOf CellByOrganism,  I.
ElectricallyActiveCell SubClassOf StructuralCell,  False.
ElectricallyActiveCell SubClassOf Neuron,  True.
ElectricallyActiveCell SubClassOf Cell and Neuron,  I.
ElectricallyActiveCell SubClassOf ChondroCyte,  False.
CellByDevelopmentStage and PhotoreceptorCell SubClassOf MatureCell,  False.
CellByOrganism and PhotoreceptorCell SubClassOf ChondroBlast,  False.
AnimalCell and ElectricallyActiveCell SubClassOf MatureCell,  False.
Cell and PhotosyntheticCell SubClassOf MatureCell,  True.
Cell and PhotosyntheticCell SubClassOf SclerenchymaCell,  False.
Cell and PhotosyntheticCell SubClassOf LeafCell,  False.
Cell and PhotosyntheticCell SubClassOf Erythrocyte,  False.
Cell and PhotosyntheticCell SubClassOf CirculatingCell,  False.
Cell and PhotosyntheticCell SubClassOf PlantCell,  True.
Cell SubClassOf PlantCell,  False.
PhotosyntheticCell SubClassOf PlantCell,  True.
PhotosyntheticCell SubClassOf SclerenchymaCell,  False.
PhotosyntheticCell SubClassOf LeafCell,  False.
PhotosyntheticCell SubClassOf Erythrocyte,  False.
PhotosyntheticCell SubClassOf CirculatingCell,  False.
PhotosyntheticCell SubClassOf CellByClass,  True.
PhotosyntheticCell SubClassOf CellByClass and PlantCell,  I.
PhotosyntheticCell SubClassOf MatureCell,  I.
PhotosyntheticCell SubClassOf AnimalCell,  False.
PhotosyntheticCell SubClassOf Cell,  True.
PhotosyntheticCell SubClassOf Cell and PlantCell,  True.
PhotosyntheticCell SubClassOf Miocyte,  False.
PhotosyntheticCell SubClassOf InMatureCell,  I.
PhotosyntheticCell SubClassOf Osteocyte,  False.
PhotosyntheticCell SubClassOf ChondroBlast,  False.
PhotosyntheticCell SubClassOf MioBlast,  False.
PhotosyntheticCell SubClassOf CellByDevelopmentStage,  False.
PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
PhotosyntheticCell SubClassOf CellByOrganism,  I.
PhotosyntheticCell SubClassOf ElectricallyActiveCell,  False.
PhotosyntheticCell SubClassOf StructuralCell,  False.
PhotosyntheticCell SubClassOf Neuron,  False.
PhotosyntheticCell SubClassOf ChondroCyte,  False.
PhotosyntheticCell SubClassOf Cell and CellByClass and PlantCell,  I.
StructuralCell SubClassOf PlantCell,  False.
CirculatingCell and Neuron SubClassOf PhotosyntheticCell,  False.
Erythrocyte and Miocyte SubClassOf PhotosyntheticCell,  False.
MioBlast and StructuralCell SubClassOf InMatureCell,  I.
LeafCell and MioBlast SubClassOf Miocyte,  False.
ElectricallyActiveCell and MatureCell SubClassOf InMatureCell,  False.
ChondroBlast and MatureCell SubClassOf PlantCell,  False.
AnimalCell and PhotoreceptorCell SubClassOf Miocyte,  False.
ChondroCyte and Erythrocyte SubClassOf Miocyte,  False.
CellByDevelopmentStage and ElectricallyActiveCell SubClassOf Miocyte,  I.
CellByOrganism and ElectricallyActiveCell SubClassOf PlantCell,  False.
PhotoreceptorCell and PhotosyntheticCell SubClassOf StructuralCell,  False.
CellByClass and PlantCell SubClassOf CellByOrganism,  False.
AnimalCell and Cell SubClassOf CellByOrganism,  False.
AnimalCell and PhotosyntheticCell SubClassOf CellByOrganism,  False.
CellByOrganism and MatureCell SubClassOf ChondroCyte,  I.
ChondroBlast and Osteocyte SubClassOf ElectricallyActiveCell,  False.
CirculatingCell and LeafCell SubClassOf ElectricallyActiveCell,  False.
ChondroBlast and MatureCell SubClassOf SclerenchymaCell,  False.
ChondroCyte and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
SclerenchymaCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and ChondroCyte SubClassOf SclerenchymaCell,  False.
ChondroCyte and CirculatingCell SubClassOf SclerenchymaCell,  False.
Erythrocyte and Osteocyte SubClassOf PhotoreceptorCell,  False.
MioBlast and Neuron SubClassOf LeafCell,  False.
CellByClass and LeafCell SubClassOf SclerenchymaCell,  False.
Miocyte and Osteocyte SubClassOf PhotoreceptorCell,  False.
ElectricallyActiveCell and Miocyte SubClassOf LeafCell,  False.
MatureCell and StructuralCell SubClassOf LeafCell,  False.
InMatureCell and StructuralCell SubClassOf LeafCell,  False.
InMatureCell and Neuron SubClassOf Erythrocyte,  False.
MatureCell and Osteocyte SubClassOf CellByClass,  True.
MatureCell and Osteocyte SubClassOf SclerenchymaCell,  False.
MatureCell and Osteocyte SubClassOf LeafCell,  False.
MatureCell and Osteocyte SubClassOf Erythrocyte,  False.
MatureCell and Osteocyte SubClassOf PhotosyntheticCell,  False.
MatureCell and Osteocyte SubClassOf CirculatingCell,  False.
MatureCell and Osteocyte SubClassOf PlantCell,  False.
Osteocyte SubClassOf CellByClass,  True.
Osteocyte SubClassOf SclerenchymaCell,  False.
Osteocyte SubClassOf LeafCell,  False.
Osteocyte SubClassOf Erythrocyte,  False.
Osteocyte SubClassOf PhotosyntheticCell,  False.
Osteocyte SubClassOf CirculatingCell,  False.
Osteocyte SubClassOf PlantCell,  False.
Osteocyte SubClassOf AnimalCell,  False.
Osteocyte SubClassOf Cell,  True.
Osteocyte SubClassOf Cell and CellByClass,  I.
Osteocyte SubClassOf Miocyte,  False.
Osteocyte SubClassOf InMatureCell,  False.
Osteocyte SubClassOf ChondroBlast,  False.
Osteocyte SubClassOf MioBlast,  False.
Osteocyte SubClassOf CellByDevelopmentStage,  False.
Osteocyte SubClassOf PhotoreceptorCell,  False.
Osteocyte SubClassOf CellByOrganism,  False.
Osteocyte SubClassOf ElectricallyActiveCell,  False.
Osteocyte SubClassOf StructuralCell,  False.
Osteocyte SubClassOf Neuron,  False.
Osteocyte SubClassOf ChondroCyte,  False.
MatureCell and MioBlast SubClassOf ChondroBlast,  False.
CellByOrganism and ChondroBlast SubClassOf MatureCell,  False.
CirculatingCell and Miocyte SubClassOf CellByClass,  I.
ElectricallyActiveCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
CellByClass and ElectricallyActiveCell SubClassOf ChondroBlast,  False.
ChondroBlast and CirculatingCell SubClassOf CellByDevelopmentStage,  False.
MioBlast and PhotosyntheticCell SubClassOf CellByDevelopmentStage,  False.
AnimalCell and CellByDevelopmentStage SubClassOf MioBlast,  False.
AnimalCell and StructuralCell SubClassOf ChondroCyte,  False.
PhotoreceptorCell and PlantCell SubClassOf CellByDevelopmentStage,  False.
CellByOrganism and InMatureCell SubClassOf ChondroCyte,  I'
AnimalCell and PhotosyntheticCell SubClassOf MioBlast,  False.
ElectricallyActiveCell and PlantCell SubClassOf MioBlast,  False.
CellByDevelopmentStage and LeafCell SubClassOf InMatureCell,  I.
CellByDevelopmentStage and ChondroCyte SubClassOf PlantCell,  False.
Cell and MatureCell SubClassOf PhotosyntheticCell,  True.
Cell SubClassOf PhotosyntheticCell,  False.
MatureCell SubClassOf PhotosyntheticCell,  I have
CellByClass and PlantCell SubClassOf PhotosyntheticCell,  True.
CellByClass and PlantCell SubClassOf SclerenchymaCell,  False.
CellByClass and PlantCell SubClassOf LeafCell,  False.
CellByClass and PlantCell SubClassOf Erythrocyte,  False.
CellByClass SubClassOf PhotosyntheticCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf InMatureCell,  I.
Cell and LeafCell SubClassOf PlantCell,  False.
AnimalCell and SclerenchymaCell SubClassOf InMatureCell,  False.
ChondroBlast and InMatureCell SubClassOf CellByOrganism,  False.
InMatureCell and Osteocyte SubClassOf Miocyte,  False.
Neuron and PhotoreceptorCell SubClassOf Miocyte,  False.
Cell and CirculatingCell SubClassOf CellByOrganism,  False.
Cell and Neuron SubClassOf StructuralCell,  False.
MioBlast and StructuralCell SubClassOf CellByOrganism,  False.
CellByClass and CellByDevelopmentStage SubClassOf Osteocyte,  False.
Cell and InMatureCell SubClassOf Erythrocyte,  True.
Cell and InMatureCell SubClassOf SclerenchymaCell,  False.
Cell and InMatureCell SubClassOf LeafCell,  False.
InMatureCell SubClassOf Erythrocyte,  False.
Cell and LeafCell SubClassOf Osteocyte,  False.
Cell and SclerenchymaCell SubClassOf AnimalCell,  False.
LeafCell and PhotosyntheticCell SubClassOf AnimalCell,  False.
AnimalCell and ChondroCyte SubClassOf Erythrocyte,  False.
ChondroCyte SubClassOf Osteocyte,  False.
Miocyte and Neuron SubClassOf AnimalCell,  False.
Erythrocyte and InMatureCell SubClassOf Neuron,  False.
Osteocyte and PhotoreceptorCell SubClassOf Neuron,  False.
CellByClass and Osteocyte SubClassOf Neuron,  False.
Neuron and StructuralCell SubClassOf InMatureCell,  I.
Cell and SclerenchymaCell SubClassOf Neuron,  False.
InMatureCell and MioBlast SubClassOf Neuron,  False.
CirculatingCell and Miocyte SubClassOf PhotosyntheticCell,  False.
ChondroBlast and LeafCell SubClassOf StructuralCell,  False.
InMatureCell and SclerenchymaCell SubClassOf CellByOrganism,  False.
LeafCell and SclerenchymaCell SubClassOf CellByOrganism,  False.
CirculatingCell and InMatureCell SubClassOf StructuralCell,  False.
Miocyte and PhotosyntheticCell SubClassOf CirculatingCell,  False.
Neuron and Osteocyte SubClassOf CirculatingCell,  False.
ChondroCyte and Neuron SubClassOf StructuralCell,  False.
Cell and Miocyte SubClassOf MatureCell,  False.
CellByClass and Erythrocyte SubClassOf Cell,  False.
Miocyte and SclerenchymaCell SubClassOf Cell,  True.
Miocyte and SclerenchymaCell SubClassOf LeafCell,  False.
Miocyte and SclerenchymaCell SubClassOf Erythrocyte,  False.
Miocyte and SclerenchymaCell SubClassOf PhotosyntheticCell,  False.
Miocyte and SclerenchymaCell SubClassOf CirculatingCell,  False.
Miocyte and SclerenchymaCell SubClassOf PlantCell,  False.
Miocyte and SclerenchymaCell SubClassOf CellByClass,  I.
Miocyte and SclerenchymaCell SubClassOf MatureCell,  False.
Miocyte and SclerenchymaCell SubClassOf AnimalCell,  False.
SclerenchymaCell SubClassOf Cell,  False.
Miocyte SubClassOf Cell,  True.
Miocyte SubClassOf SclerenchymaCell,  False.
Miocyte SubClassOf LeafCell,  False.
Miocyte SubClassOf Erythrocyte,  False.
Miocyte SubClassOf PhotosyntheticCell,  False.
Miocyte SubClassOf CirculatingCell,  False.
Miocyte SubClassOf PlantCell,  False.
Miocyte SubClassOf CellByClass,  I.
Miocyte SubClassOf MatureCell,  I.
Miocyte SubClassOf AnimalCell,  False.
Miocyte SubClassOf InMatureCell,  False.
Miocyte SubClassOf Osteocyte,  False.
Miocyte SubClassOf ChondroBlast,  False.
Miocyte SubClassOf MioBlast,  False.
Miocyte SubClassOf CellByDevelopmentStage,  I.
Miocyte SubClassOf PhotoreceptorCell,  False.
Miocyte SubClassOf CellByOrganism,  False.
Miocyte SubClassOf ElectricallyActiveCell,  False.
Miocyte SubClassOf StructuralCell,  False.
Miocyte SubClassOf Neuron,  False.
Miocyte SubClassOf ChondroCyte,  False.
CellByClass and StructuralCell SubClassOf Cell,  False.
ChondroCyte and Neuron SubClassOf MatureCell,  True.
ChondroCyte and Neuron SubClassOf SclerenchymaCell,  False.
ChondroCyte and Neuron SubClassOf LeafCell,  False.
ChondroCyte and Neuron SubClassOf Erythrocyte,  False.
ChondroCyte and Neuron SubClassOf PhotosyntheticCell,  False.
ChondroCyte and Neuron SubClassOf CirculatingCell,  False.
ChondroCyte and Neuron SubClassOf PlantCell,  False.
ChondroCyte and Neuron SubClassOf CellByClass,  True.
Neuron SubClassOf CellByClass,  False.
ChondroCyte SubClassOf CellByClass,  True.
ChondroCyte SubClassOf SclerenchymaCell,  False.
ChondroCyte SubClassOf LeafCell,  False.
ChondroCyte SubClassOf Erythrocyte,  False.
ChondroCyte SubClassOf PhotosyntheticCell,  False.
ChondroCyte SubClassOf CirculatingCell,  False.
ChondroCyte SubClassOf PlantCell,  False.
ChondroCyte SubClassOf MatureCell,  True.
ChondroCyte SubClassOf CellByClass and MatureCell,  True (
ChondroCyte SubClassOf AnimalCell,  True.
ChondroCyte SubClassOf AnimalCell and CellByClass,  I.
ChondroCyte SubClassOf Cell,  True.
ChondroCyte SubClassOf Cell and CellByClass,  I.
ChondroCyte SubClassOf Miocyte,  False.
ChondroCyte SubClassOf InMatureCell,  I.
ChondroCyte SubClassOf ChondroBlast,  False.
ChondroCyte SubClassOf MioBlast,  False.
ChondroCyte SubClassOf CellByDevelopmentStage,  False.
ChondroCyte SubClassOf CellByOrganism,  False.
ChondroCyte SubClassOf ElectricallyActiveCell,  False.
ChondroCyte SubClassOf StructuralCell,  True.
ChondroCyte SubClassOf CellByClass and StructuralCell,  I.
ChondroCyte SubClassOf Neuron,  False.
ElectricallyActiveCell and SclerenchymaCell SubClassOf CellByClass,  False.
CellByClass and MioBlast SubClassOf Cell,  False.
CellByDevelopmentStage and StructuralCell SubClassOf MatureCell,  False.
Miocyte and PhotoreceptorCell SubClassOf InMatureCell,  False.
Erythrocyte and Osteocyte SubClassOf PlantCell,  False.
ElectricallyActiveCell and PhotoreceptorCell SubClassOf PhotosyntheticCell,  False.
ChondroBlast and PhotoreceptorCell SubClassOf InMatureCell,  False.
AnimalCell and MioBlast SubClassOf PhotosyntheticCell,  False.
CirculatingCell and PhotosyntheticCell SubClassOf InMatureCell,  False.
CirculatingCell and Erythrocyte SubClassOf PlantCell,  False.
CellByDevelopmentStage and MatureCell SubClassOf Miocyte,  False.
CellByClass and CellByOrganism SubClassOf Miocyte,  I.
CirculatingCell and PlantCell SubClassOf InMatureCell,  False.
ElectricallyActiveCell and MioBlast SubClassOf StructuralCell,  False.
Cell and ChondroCyte SubClassOf Miocyte,  False.
ChondroBlast and StructuralCell SubClassOf Miocyte,  False.
AnimalCell and ChondroBlast SubClassOf CellByOrganism,  False.
Osteocyte and PlantCell SubClassOf SclerenchymaCell,  False.
LeafCell and Neuron SubClassOf ChondroCyte,  False.
LeafCell and SclerenchymaCell SubClassOf ElectricallyActiveCell,  False.
MatureCell and Osteocyte SubClassOf ElectricallyActiveCell,  True\n
MatureCell and Osteocyte SubClassOf AnimalCell,  I.
MatureCell and Osteocyte SubClassOf Cell,  True.
AnimalCell and Miocyte SubClassOf SclerenchymaCell,  False.
ChondroCyte and StructuralCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and InMatureCell SubClassOf ElectricallyActiveCell,  I.
CellByOrganism and Miocyte SubClassOf SclerenchymaCell,  False.
CellByDevelopmentStage and ChondroBlast SubClassOf PhotoreceptorCell,  False.
Cell SubClassOf PhotoreceptorCell,  False.
CellByClass and InMatureCell SubClassOf SclerenchymaCell,  False.
MioBlast and SclerenchymaCell SubClassOf Erythrocyte,  False.
ChondroCyte and Miocyte SubClassOf LeafCell,  False.
Osteocyte and SclerenchymaCell SubClassOf Erythrocyte,  False.
MatureCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
InMatureCell and LeafCell SubClassOf MatureCell,  False.
ChondroCyte and Miocyte SubClassOf CellByDevelopmentStage,  I.
Cell and Miocyte SubClassOf ChondroBlast,  False.
CellByOrganism and Neuron SubClassOf ChondroBlast,  False.
AnimalCell and InMatureCell SubClassOf CellByDevelopmentStage,  True.
AnimalCell and InMatureCell SubClassOf SclerenchymaCell,  False.
AnimalCell and InMatureCell SubClassOf LeafCell,  False.
AnimalCell and InMatureCell SubClassOf Erythrocyte,  False.
AnimalCell and InMatureCell SubClassOf PhotosyntheticCell,  False.
AnimalCell and InMatureCell SubClassOf CirculatingCell,  False.
AnimalCell and InMatureCell SubClassOf PlantCell,  False.
AnimalCell and InMatureCell SubClassOf MatureCell,  Based on
AnimalCell and InMatureCell SubClassOf Cell,  True.
InMatureCell SubClassOf Cell,  True.
InMatureCell SubClassOf SclerenchymaCell,  False.
InMatureCell SubClassOf LeafCell,  False.
InMatureCell SubClassOf PhotosyntheticCell,  False.
InMatureCell SubClassOf CirculatingCell,  False.
