BallGame and FootballTeam SubClassOf Player,  False.
BallGame and Game and Team and Thing SubClassOf Player,  False for
BallGame and Game and Team and Thing SubClassOf FootballTeam,  False.
BallGame and Game and Team and Thing SubClassOf FootballPlayer,  False.
BallGame and Game and Team and Thing SubClassOf Football,  False for
BallGame and Game and Team and Thing SubClassOf Person,  False.
Thing and (plays_for some BallGame) and (plays_for some (Game and Team and Thing)) SubClassOf Thing and (plays_for some (BallGame and Game and Team and Thing)),  False.
Thing and (plays_for some BallGame) and (plays_for some (Game and Team and Thing)) SubClassOf Team,  False.
Thing and (plays_for some (BallGame and Game and Team and Thing)) SubClassOf Thing and (plays_for some (BallGame and Game and Team and Thing)),  False.
Thing and (plays_for some (BallGame and Game and Team and Thing)) SubClassOf Team,  False.
Thing and (plays_for some (Game and Team and Thing)) SubClassOf Team,  False.
Thing and (plays_for some (BallGame and Team and Thing)) SubClassOf Team,  False.
Thing and (plays_for some (BallGame and Game and Thing)) SubClassOf Team,  False.
BallGame and Team SubClassOf Player,  False.
FootballPlayer and FootballTeam SubClassOf Manager,  False.
Football and Manager SubClassOf Game,  True.
Football and Manager SubClassOf Team,  True.
Manager SubClassOf Team,  False.
Football SubClassOf Team,  True.
Football SubClassOf Thing,  True.
Football SubClassOf Team and Thing,  True,
Football SubClassOf Manager,  False.
Football SubClassOf Player,  True.
Football SubClassOf Player and Team and Thing,  Football is
Football SubClassOf FootballTeam,  True.
Football SubClassOf FootballTeam and Team and Thing,  True for
Football SubClassOf Game,  True.
Football SubClassOf Game and Team and Thing,  True,
Football SubClassOf FootballPlayer,  False.
Football SubClassOf Person,  False.
Football SubClassOf BallGame,  True.
Football SubClassOf BallGame and Game and Team and Thing,  Here are
Football SubClassOf Game and Player and Team and Thing,  Here are
Football SubClassOf FootballTeam and Game and Team and Thing,  Here are
Football and Team SubClassOf FootballTeam,  True.
Football and Team SubClassOf Manager,  False.
Football and Team SubClassOf Player,  False.
Team SubClassOf FootballTeam,  True.
Team SubClassOf Thing,  True.
Team SubClassOf FootballTeam and Thing,  False,
Team SubClassOf Manager,  False.
Team SubClassOf Player,  False.
Team SubClassOf Game,  False.
Team SubClassOf FootballPlayer,  True.
Team SubClassOf FootballPlayer and FootballTeam,  False for
Team SubClassOf Person,  False.
Team SubClassOf BallGame,  False.
FootballTeam SubClassOf managed_by some Team,  True.
FootballTeam SubClassOf BallGame and Thing,  True,
FootballTeam SubClassOf BallGame and Team and Thing,  True,
FootballTeam SubClassOf BallGame and Game and Team and Thing,  True for
FootballTeam SubClassOf BallGame and Football and Team and Thing,  True for
FootballTeam and Team SubClassOf Person,  False.
FootballPlayer SubClassOf managed_by some Player,  True.
Thing SubClassOf managed_by some Player,  False.
Manager SubClassOf managed_by some Player,  False.
Team SubClassOf managed_by some Player,  False.
Player SubClassOf managed_by some Player,  False.
FootballTeam SubClassOf managed_by some Player,  True.
Thing and (managed_by some Player) SubClassOf Thing and (managed_by some Player),  False.
Thing SubClassOf Thing and (managed_by some Player),  False,
FootballTeam SubClassOf FootballTeam,  True.
Game SubClassOf FootballTeam,  False.
Game SubClassOf Thing and (managed_by some Player),  True,
Game SubClassOf Thing,  True.
Game SubClassOf Manager,  False.
Game SubClassOf Team,  False.
Game SubClassOf Player,  False.
Game SubClassOf Game,  True.
Game SubClassOf FootballPlayer,  False.
Game SubClassOf Football,  False.
Game SubClassOf Person,  False.
Game SubClassOf BallGame,  True.
Manager SubClassOf Player,  False.
Football SubClassOf Player and Thing,  Football is
Football SubClassOf Player and Team,  True for
Football SubClassOf FootballTeam and Player,  False:
Football SubClassOf Game and Player,  True for
Football SubClassOf BallGame and Player,  True for
Football SubClassOf FootballTeam and Game and Player and Team and Thing,  Here are
Football SubClassOf BallGame and Game and Player and Team and Thing,  Here are
Person SubClassOf Team,  False.
Football and Game SubClassOf Manager,  False.
FootballTeam and Player SubClassOf Manager,  False.
managed_by some Person SubClassOf FootballTeam,  False.
managed_by some Team SubClassOf Player,  False.
Football SubClassOf managed_by some FootballTeam,  True.
Thing SubClassOf managed_by some FootballTeam,  False.
Manager SubClassOf managed_by some FootballTeam,  False.
Team SubClassOf managed_by some FootballTeam,  False.
Player SubClassOf managed_by some FootballTeam,  False.
FootballTeam SubClassOf managed_by some FootballTeam,  False.
Game SubClassOf managed_by some FootballTeam,  False.
FootballPlayer SubClassOf managed_by some FootballTeam,  False.
Thing and (managed_by some FootballTeam) SubClassOf Thing and (managed_by some FootballTeam),  False.
Thing SubClassOf Thing and (managed_by some FootballTeam),  False,
Team SubClassOf Thing and (managed_by some FootballTeam),  True for
Player SubClassOf Football,  True.
Game SubClassOf Thing and (managed_by some FootballTeam),  True for
Football SubClassOf Football,  True.
BallGame SubClassOf Thing and (managed_by some FootballTeam),  True for
Manager SubClassOf FootballTeam,  False.
Player SubClassOf FootballTeam,  False.
Person SubClassOf FootballTeam,  False.
Football SubClassOf Team and Thing and (managed_by some FootballTeam),  True for
Football SubClassOf Player and Thing and (managed_by some FootballTeam),  True for
Football SubClassOf FootballTeam and Thing and (managed_by some FootballTeam),  True for
Football SubClassOf Game and Thing and (managed_by some FootballTeam),  True for
Football SubClassOf BallGame and Thing and (managed_by some FootballTeam),  True for
Football SubClassOf Thing and (managed_by some (FootballTeam and Thing)),  True for
Football SubClassOf Thing and (managed_by some (FootballTeam and Team)),  True for
Football SubClassOf Thing and (managed_by some (FootballTeam and Player)),  True for
Football SubClassOf Thing and (managed_by some (FootballTeam and Game)),  True for
Football SubClassOf Thing and (managed_by some (Football and FootballTeam)),  True for
Football SubClassOf Thing and (managed_by some (BallGame and FootballTeam)),  True for
Thing and (managed_by some (FootballTeam and Thing)) SubClassOf Thing and (managed_by some (FootballTeam and Thing)),  True (
Thing SubClassOf Thing and (managed_by some (FootballTeam and Thing)),  False for
Team SubClassOf Thing and (managed_by some (FootballTeam and Thing)),  True for
Game SubClassOf Thing and (managed_by some (FootballTeam and Thing)),  True for
BallGame SubClassOf Thing and (managed_by some (FootballTeam and Thing)),  True for
Thing SubClassOf FootballTeam and Thing,  True,
Player and Team SubClassOf Person,  True for
plays some Football SubClassOf FootballPlayer,  True.
plays some Football SubClassOf Manager,  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing SubClassOf BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)),  Here are
BallGame and Football and FootballTeam and Game and Player and Team and Thing SubClassOf Manager,  False for
BallGame and Football and FootballTeam and Game and Player and Team and Thing SubClassOf FootballPlayer,  False for
BallGame and Football and FootballTeam and Game and Player and Team and Thing SubClassOf Person,  False for
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some BallGame) and (plays some (Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)),  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some BallGame) and (plays some (Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)),  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Player and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (Football and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and FootballTeam and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and Game and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Player and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Team and Thing)) SubClassOf FootballPlayer,  False.
BallGame and Football and FootballTeam and Game and Player and Team and Thing and (plays some (BallGame and Football and FootballTeam and Game and Player and Thing)) SubClassOf FootballPlayer,  False.
Game SubClassOf managed_by some FootballPlayer,  False.
Football SubClassOf managed_by some Player,  True.
Game SubClassOf BallGame and Thing and (managed_by some Player),  Game is
Game SubClassOf Thing and (managed_by some (Player and Thing)),  True for
Game SubClassOf Thing and (managed_by some (Game and Player)),  True for
Game SubClassOf Thing and (managed_by some (BallGame and Player)),  True for
Team and Thing and (managed_by some Player) SubClassOf Team and Thing and (managed_by some Player),  False.
Thing SubClassOf Team and Thing and (managed_by some Player),  I cannot
Player and Team and Thing and (managed_by some Player) SubClassOf Player and Team and Thing and (managed_by some Player),  False.
Thing SubClassOf Player and Team and Thing and (managed_by some Player),  True for
Game SubClassOf BallGame and Player and Team and Thing and (managed_by some Player),  Here are
Game SubClassOf Player and Team and Thing and (managed_by some (Player and Thing)),  Here are
Game SubClassOf Player and Team and Thing and (managed_by some (Game and Player)),  Here are
Game SubClassOf Player and Team and Thing and (managed_by some (BallGame and Player)),  Here are
FootballTeam and Player and Team and Thing and (managed_by some Player) SubClassOf FootballTeam and Player and Team and Thing and (managed_by some Player),  False.
Thing SubClassOf FootballTeam and Player and Team and Thing and (managed_by some Player),  Here are
Player SubClassOf managed_by some FootballPlayer,  False.
Player SubClassOf plays some Football,  I cannot
Person SubClassOf plays some BallGame,  False.
Football SubClassOf plays some Person,  True.
Thing SubClassOf plays some Person,  False.
Manager SubClassOf plays some Person,  False.
Team SubClassOf plays some Person,  False.
Player SubClassOf plays some Person,  True.
Thing and (plays some Person) SubClassOf Thing and (plays some Person),  False.
Player SubClassOf Thing,  True.
Thing SubClassOf Thing and (plays some Person),  False for
Player SubClassOf Manager,  False.
Player SubClassOf Team,  False.
Player SubClassOf Player,  True.
Player SubClassOf Game,  True.
Game SubClassOf Thing and (plays some Person),  True for
Player SubClassOf FootballPlayer,  True.
Player SubClassOf Person,  True.
Person SubClassOf Player,  False.
Person SubClassOf Thing and (plays some Person),  True for
Player SubClassOf BallGame,  False.
Player SubClassOf Person and Thing,  True for
Player SubClassOf Game and Person,  True,
Player SubClassOf FootballPlayer and Game and Person,  True for
Player SubClassOf Football and Game and Person,  True for
Player SubClassOf Game and Person and Thing,  True,
Player SubClassOf FootballPlayer and Game and Person and Thing,  Here are
Player SubClassOf Football and Game and Person and Thing,  True,
Game SubClassOf plays some Football,  False.
Manager SubClassOf plays some BallGame,  False.
FootballPlayer and Person SubClassOf Manager,  False.
Player SubClassOf FootballPlayer and Thing,  Player is
Player SubClassOf FootballPlayer and Game,  I cannot
Player SubClassOf Football and FootballPlayer,  True,
Player SubClassOf Football and FootballPlayer and Person,  True for
Football SubClassOf plays some FootballPlayer,  True.
Thing SubClassOf plays some FootballPlayer,  False.
Manager SubClassOf plays some FootballPlayer,  False.
Team SubClassOf plays some FootballPlayer,  False.
Player SubClassOf plays some FootballPlayer,  True.
Thing and (plays some FootballPlayer) SubClassOf Thing and (plays some FootballPlayer),  True for
Thing SubClassOf Thing and (plays some FootballPlayer),  False.
Game SubClassOf Thing and (plays some FootballPlayer),  True,
Game SubClassOf BallGame and Thing and (plays some FootballPlayer),  I cannot
Game SubClassOf Thing and (plays some (FootballPlayer and Thing)),  True for
Game SubClassOf Thing and (plays some (FootballPlayer and Game)),  True for
Game SubClassOf Thing and (plays some (BallGame and FootballPlayer)),  True for
Manager and Thing and (plays some FootballPlayer) SubClassOf Manager and Thing and (plays some FootballPlayer),  False.
Thing SubClassOf Manager and Thing and (plays some FootballPlayer),  I.
FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) SubClassOf FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer),  Here are
Thing SubClassOf FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player),  Here are
Game SubClassOf BallGame and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer),  Here are
Game SubClassOf FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some (Player and Thing)) and (plays some FootballPlayer),  Here are
Game SubClassOf FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some (Game and Player)) and (plays some FootballPlayer),  Here are
Game SubClassOf FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some (BallGame and Player)) and (plays some FootballPlayer),  Here are
Game SubClassOf FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some (FootballPlayer and Thing)),  Here are
Game SubClassOf FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some (FootballPlayer and Game)),  Here are
Game SubClassOf FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some (BallGame and FootballPlayer)),  Here are
FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) SubClassOf FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer),  Here are
Thing SubClassOf FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player),  Here are
Person SubClassOf plays_for some Player,  True.
Thing SubClassOf plays_for some Player,  False.
Manager SubClassOf plays_for some Player,  False.
Team SubClassOf plays_for some Player,  False.
Player SubClassOf plays_for some Player,  True.
Thing and (plays_for some Player) SubClassOf Thing and (plays_for some Player),  False.
Thing SubClassOf Thing and (plays_for some Player),  False,
Game SubClassOf Thing and (plays_for some Player),  True,
Game SubClassOf BallGame and Thing and (plays_for some Player),  True for
Game SubClassOf Thing and (plays_for some (Player and Thing)),  True for
Game SubClassOf Thing and (plays_for some (Game and Player)),  True for
Game SubClassOf Thing and (plays_for some (BallGame and Player)),  True for
Manager and Thing and (plays_for some Player) SubClassOf Manager and Thing and (plays_for some Player),  False.
Thing SubClassOf Manager and Thing and (plays_for some Player),  False for
Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer) and (plays_for some Player),  Here are
Game SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer) and (plays_for some Player),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some (FootballPlayer and Thing)) and (plays_for some Player),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some (FootballPlayer and Game)) and (plays_for some Player),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some (BallGame and FootballPlayer)) and (plays_for some Player),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some (Player and Thing)) and (plays some FootballPlayer) and (plays_for some Player),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some (Game and Player)) and (plays some FootballPlayer) and (plays_for some Player),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some (BallGame and Player)) and (plays some FootballPlayer) and (plays_for some Player),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer) and (plays_for some (Player and Thing)),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer) and (plays_for some (Game and Player)),  Here are
Game SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer) and (plays_for some (BallGame and Player)),  Here are
Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing and (managed_by some Player) SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing and (managed_by some Player) and (plays some FootballPlayer) and (plays_for some Player),  Here are
Can BallGame that is also FootballTeam be considered a subcategory of 'Player'?,  False.
Can something that plays_for some BallGame be considered a subcategory of 'Team'?,  True,
Can something that plays_for some BallGame be considered a subcategory of 'Manager'?,  False.
Can BallGame be considered a subcategory of 'Team'?,  False.
Can Thing be considered a subcategory of 'something that plays_for some BallGame'?,  False.
Can Thing be considered a subcategory of 'Manager'?,  False.
Can Thing be considered a subcategory of 'Team'?,  False.
Can Thing be considered a subcategory of 'Player'?,  False.
Can Thing be considered a subcategory of 'FootballTeam'?,  False.
Can Thing be considered a subcategory of 'Game'?,  False.
Can Thing be considered a subcategory of 'FootballPlayer'?,  False.
Can Thing be considered a subcategory of 'Football'?,  False.
Can Thing be considered a subcategory of 'Person'?,  False.
Can Thing be considered a subcategory of 'BallGame'?,  False.
Can BallGame be considered a subcategory of 'Manager'?,  False.
Can BallGame be considered a subcategory of 'Player'?,  False.
Can BallGame be considered a subcategory of 'FootballTeam'?,  False.
Can BallGame be considered a subcategory of 'Game'?,  True.
Can BallGame that is also FootballTeam be considered a subcategory of 'Person'?,  False.
Can FootballPlayer that is also Person be considered a subcategory of 'Game'?,  False.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Football'?,  True,
Can BallGame that is also FootballPlayer be considered a subcategory of 'Manager'?,  False.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Team'?,  False.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Player'?,  True.
Can FootballPlayer be considered a subcategory of 'Player'?,  True.
Can FootballPlayer be considered a subcategory of 'Thing'?,  True.
Can FootballPlayer be considered a subcategory of 'Player that is also Thing'?,  True.
Can FootballPlayer be considered a subcategory of 'Manager'?,  False.
Can FootballPlayer be considered a subcategory of 'Team'?,  False.
Can FootballPlayer be considered a subcategory of 'FootballTeam'?,  False.
Can FootballPlayer be considered a subcategory of 'Game'?,  False.
Can FootballPlayer be considered a subcategory of 'Football'?,  True.
Can FootballPlayer be considered a subcategory of 'Football that is also Player that is also Thing'?,  True.
Can FootballPlayer be considered a subcategory of 'Person'?,  True.
Can FootballPlayer be considered a subcategory of 'Football that is also Person that is also Player that is also Thing'?,  True.
Can FootballPlayer be considered a subcategory of 'BallGame'?,  True,
Can FootballPlayer be considered a subcategory of 'BallGame that is also Football that is also Person that is also Player that is also Thing'?,  True.
Can something that managed_by some BallGame be considered a subcategory of 'FootballPlayer'?,  False.
Can FootballTeam that is also Team be considered a subcategory of 'FootballPlayer'?,  False.
