Crop and MarinePlant SubClassOf Arthropod,  False.
Flatworm SubClassOf Crustacean,  False.
Flatworm SubClassOf Canopy,  False.
Flatworm SubClassOf Coral,  False.
Flatworm SubClassOf ExoticVegetation,  False.
Flatworm SubClassOf Macrophyte,  False.
Flatworm SubClassOf SegmentedWorm,  False.
Flatworm SubClassOf LivingThing,  True.
Flatworm SubClassOf Animal and LivingThing,  True.
Flatworm SubClassOf Bird,  False.
Flatworm SubClassOf Fern,  False.
Flatworm SubClassOf DominantSpecies,  False.
Flatworm SubClassOf BlueGreenAlgae,  False.
Flatworm SubClassOf EvergreenVegetation,  False.
Flatworm SubClassOf TreeRing,  False.
Flatworm SubClassOf Vegetation,  False.
Flatworm SubClassOf ExoticSpecies,  False.
Flatworm SubClassOf Litter,  False.
Flatworm SubClassOf Crown,  False.
Flatworm SubClassOf Jellyfish,  False.
Flatworm SubClassOf Invertebrate,  True.
Flatworm SubClassOf Animal and Invertebrate and LivingThing,  True,
Flatworm SubClassOf Anemone,  False.
Flatworm SubClassOf Ciliate,  False.
Flatworm SubClassOf Zooplankton,  False.
Flatworm SubClassOf FloweringPlant,  False.
Flatworm SubClassOf Sporozoan,  False.
Flatworm SubClassOf IndigenousVegetation,  False.
Flatworm SubClassOf Nutrient,  False.
Flatworm SubClassOf IndigenousSpecies,  False.
Flatworm SubClassOf MarineInvertebrate,  True,
Flatworm SubClassOf Animal and Invertebrate and LivingThing and MarineInvertebrate,  True,
Flatworm SubClassOf Conifer,  False.
Flatworm SubClassOf Yeast,  False.
Flatworm SubClassOf Mammal,  False.
Flatworm SubClassOf Protist,  False.
Flatworm SubClassOf Centipede,  False.
Flatworm SubClassOf Crop,  False.
Flatworm SubClassOf Algae,  False.
Flatworm SubClassOf Arthropod,  False.
Flatworm SubClassOf MarineBird,  False.
Flatworm SubClassOf Chlorophyll,  False.
Flatworm SubClassOf Mollusk,  False.
Flatworm SubClassOf Echinoderm,  False.
Flatworm SubClassOf Plant,  False.
Flatworm SubClassOf Amoebae,  False.
Flatworm SubClassOf Insect,  False.
Flatworm SubClassOf Mold,  False.
Flatworm SubClassOf Bacteria,  False.
Flatworm SubClassOf DeciduousVegetation,  False.
Flatworm SubClassOf Phytoplankton,  False.
Anemone and MarineMicrobiota SubClassOf DominantSpecies,  False.
Arachnid and Conifer SubClassOf Vertebrate,  False.
Animal and Crustacean SubClassOf Sporozoan,  False.
Animal and Dairy SubClassOf BlueGreenAlgae,  False.
Yeast and Zooplankton SubClassOf VegetationCover,  False.
EvergreenVegetation and MarineInvertebrate SubClassOf Sponge,  False.
Fungi and Millipede SubClassOf Phytoplankton,  False.
Algae and Fish SubClassOf VegetationSpecies,  False.
Fern and Plankton SubClassOf Lichen,  False.
MarineMicrobiota and Nutrient SubClassOf Flatworm,  False.
Insect and Poultry SubClassOf Yeast,  False.
Coccolithophore and ExoticVegetation SubClassOf Algae,  True.
Coccolithophore and ExoticVegetation SubClassOf VegetationCover,  True.
ExoticVegetation SubClassOf VegetationCover,  True.
ExoticVegetation SubClassOf Microalgae,  False.
ExoticVegetation SubClassOf Fungi,  False.
ExoticVegetation SubClassOf Arachnid,  False.
ExoticVegetation SubClassOf VegetationSpecies,  True.
ExoticVegetation SubClassOf VegetationCover and VegetationSpecies,  False.
ExoticVegetation SubClassOf Livestock,  False.
ExoticVegetation SubClassOf Sponge,  False.
ExoticVegetation SubClassOf Flatworm,  False.
ExoticVegetation SubClassOf Diatom,  False.
ExoticVegetation SubClassOf FungiTaxonomy,  False.
ExoticVegetation SubClassOf MarinePlant,  False.
ExoticVegetation SubClassOf Moss,  False.
ExoticVegetation SubClassOf Vertebrate,  False.
ExoticVegetation SubClassOf Radiolarian,  False.
ExoticVegetation SubClassOf Human,  False.
ExoticVegetation SubClassOf MarineMicrobiota,  False.
ExoticVegetation SubClassOf Animal,  False.
ExoticVegetation SubClassOf Flagellate,  False.
ExoticVegetation SubClassOf Poultry,  False.
ExoticVegetation SubClassOf MarineMammal,  False.
ExoticVegetation SubClassOf Amphibian,  False.
ExoticVegetation SubClassOf Millipede,  False.
ExoticVegetation SubClassOf Plankton,  False.
ExoticVegetation SubClassOf Roundworm,  False.
ExoticVegetation SubClassOf Microphyte,  False.
ExoticVegetation SubClassOf SlimeMold,  False.
ExoticVegetation SubClassOf Microbiota,  False.
ExoticVegetation SubClassOf MicrobiotaTaxonomy,  False.
ExoticVegetation SubClassOf Coccolithophore,  False.
ExoticVegetation SubClassOf Lichen,  False.
ExoticVegetation SubClassOf Leaf,  False.
ExoticVegetation SubClassOf Pollen,  False.
ExoticVegetation SubClassOf Mushroom,  False.
ExoticVegetation SubClassOf Fish,  False.
ExoticVegetation SubClassOf Reptile,  False.
ExoticVegetation SubClassOf MarineAnimal,  False.
ExoticVegetation SubClassOf Macroalgae,  False.
ExoticVegetation SubClassOf Foraminifer,  False.
ExoticVegetation SubClassOf Dairy,  False.
ExoticVegetation SubClassOf Liverwort,  True.
ExoticVegetation SubClassOf Liverwort and VegetationCover,  False.
ExoticVegetation SubClassOf Crustacean,  False.
ExoticVegetation SubClassOf Canopy,  True.
ExoticVegetation SubClassOf Canopy and VegetationCover,  True.
ExoticVegetation SubClassOf Coral,  False.
ExoticVegetation SubClassOf Macrophyte,  True.
ExoticVegetation SubClassOf Canopy and Macrophyte and VegetationCover,  False.
ExoticVegetation SubClassOf SegmentedWorm,  False.
ExoticVegetation SubClassOf LivingThing,  True.
ExoticVegetation SubClassOf Canopy and LivingThing and VegetationCover,  True.
ExoticVegetation SubClassOf Bird,  False.
ExoticVegetation SubClassOf Fern,  True.
ExoticVegetation SubClassOf Canopy and Fern and LivingThing and VegetationCover,  True\n
ExoticVegetation SubClassOf DominantSpecies,  False.
ExoticVegetation SubClassOf BlueGreenAlgae,  False.
ExoticVegetation SubClassOf EvergreenVegetation,  True.
ExoticVegetation SubClassOf Canopy and EvergreenVegetation and Fern and LivingThing and VegetationCover,  True.
ExoticVegetation SubClassOf TreeRing,  False.
ExoticVegetation SubClassOf Vegetation,  True.
ExoticVegetation SubClassOf Canopy and EvergreenVegetation and Fern and LivingThing and Vegetation and VegetationCover,  True.
ExoticVegetation SubClassOf ExoticSpecies,  True.
ExoticVegetation SubClassOf Canopy and EvergreenVegetation and ExoticSpecies and Fern and LivingThing and Vegetation and VegetationCover,  The answer
ExoticVegetation SubClassOf Litter,  True.
ExoticVegetation SubClassOf Canopy and EvergreenVegetation and Fern and Litter and LivingThing and Vegetation and VegetationCover,  True.
ExoticVegetation SubClassOf Crown,  False.
ExoticVegetation SubClassOf Jellyfish,  False.
ExoticVegetation SubClassOf Invertebrate,  False.
ExoticVegetation SubClassOf Anemone,  False.
ExoticVegetation SubClassOf Ciliate,  False.
ExoticVegetation SubClassOf Zooplankton,  False.
ExoticVegetation SubClassOf FloweringPlant,  True.
ExoticVegetation SubClassOf Canopy and EvergreenVegetation and Fern and FloweringPlant and Litter and LivingThing and Vegetation and VegetationCover,  True.
ExoticVegetation SubClassOf Sporozoan,  False.
ExoticVegetation SubClassOf IndigenousVegetation,  False.
ExoticVegetation SubClassOf Nutrient,  False.
ExoticVegetation SubClassOf IndigenousSpecies,  False.
ExoticVegetation SubClassOf MarineInvertebrate,  False.
ExoticVegetation SubClassOf Conifer,  False.
ExoticVegetation SubClassOf Yeast,  False.
ExoticVegetation SubClassOf Mammal,  False.
ExoticVegetation SubClassOf Protist,  False.
ExoticVegetation SubClassOf Centipede,  False.
ExoticVegetation SubClassOf Crop,  True.
ExoticVegetation SubClassOf Canopy and Crop and EvergreenVegetation and Fern and FloweringPlant and Litter and LivingThing and Vegetation and VegetationCover,  True.
ExoticVegetation SubClassOf Algae,  False.
ExoticVegetation SubClassOf Arthropod,  False.
ExoticVegetation SubClassOf MarineBird,  False.
ExoticVegetation SubClassOf Chlorophyll,  True.
ExoticVegetation SubClassOf Canopy and Chlorophyll and Crop and EvergreenVegetation and Fern and FloweringPlant and Litter and LivingThing and Vegetation and VegetationCover,  True\n
ExoticVegetation SubClassOf Mollusk,  False.
ExoticVegetation SubClassOf Echinoderm,  False.
ExoticVegetation SubClassOf Plant,  True.
ExoticVegetation SubClassOf Canopy and Chlorophyll and Crop and EvergreenVegetation and Fern and FloweringPlant and Litter and LivingThing and Plant and Vegetation and VegetationCover,  True.
ExoticVegetation SubClassOf Amoebae,  False.
ExoticVegetation SubClassOf Insect,  False.
ExoticVegetation SubClassOf Mold,  False.
ExoticVegetation SubClassOf Bacteria,  False.
ExoticVegetation SubClassOf DeciduousVegetation,  False.
ExoticVegetation SubClassOf Phytoplankton,  False.
ExoticVegetation SubClassOf Canopy and Chlorophyll and Crop and EvergreenVegetation and Fern and FloweringPlant and Litter and LivingThing and Plant and Vegetation and VegetationCover and VegetationSpecies,  True.
ExoticVegetation SubClassOf Canopy and Chlorophyll and Crop and EvergreenVegetation and Fern and FloweringPlant and Litter and Liverwort and LivingThing and Plant and Vegetation and VegetationCover and VegetationSpecies,  True.
ExoticVegetation SubClassOf Canopy and Chlorophyll and Crop and EvergreenVegetation and Fern and FloweringPlant and Litter and Liverwort and LivingThing and Macrophyte and Plant and Vegetation and VegetationCover and VegetationSpecies,  True.
ExoticVegetation SubClassOf Canopy and Chlorophyll and Crop and EvergreenVegetation and ExoticSpecies and Fern and FloweringPlant and Litter and Liverwort and LivingThing and Macrophyte and Plant and Vegetation and VegetationCover and VegetationSpecies,  True:
MarineMammal and VegetationSpecies SubClassOf Fern,  False.
Algae and Fungi SubClassOf Dairy,  False.
Mollusk and Sporozoan SubClassOf Amphibian,  False.
DominantSpecies and Plant SubClassOf Centipede,  False.
Microalgae and Radiolarian SubClassOf Reptile,  False.
Human and Mushroom SubClassOf SlimeMold,  False.
Conifer and MarineBird SubClassOf DominantSpecies,  False.
DeciduousVegetation and Microphyte SubClassOf MicrobiotaTaxonomy,  False.
Arachnid and Crop SubClassOf FloweringPlant,  False.
Microbiota and Millipede SubClassOf SegmentedWorm,  False.
Animal and Liverwort SubClassOf Millipede,  False.
Diatom and Roundworm SubClassOf Fungi,  False.
Coral and Fern SubClassOf Mammal,  False.
Insect and Zooplankton SubClassOf Poultry,  False.
Algae and Coccolithophore SubClassOf Radiolarian,  False.
MarineInvertebrate and Roundworm SubClassOf Insect,  False.
Invertebrate and Pollen SubClassOf Vegetation,  False.
Plankton and Vegetation SubClassOf Mold,  False.
Amphibian and Centipede SubClassOf Leaf,  False.
DominantSpecies and Vegetation SubClassOf MarineAnimal,  False.
Bacteria and Sponge SubClassOf Centipede,  False.
Arthropod and SegmentedWorm SubClassOf Fern,  False.
Bird and Coral SubClassOf ExoticSpecies,  True\n
Bird and Coral SubClassOf VegetationCover,  False.
Bird and Coral SubClassOf Microalgae,  False.
Bird and Coral SubClassOf Fungi,  False.
Bird and Coral SubClassOf Arachnid,  False.
Bird and Coral SubClassOf VegetationSpecies,  False.
Bird and Coral SubClassOf Livestock,  False.
Bird and Coral SubClassOf Sponge,  False.
Bird and Coral SubClassOf Flatworm,  False.
Bird and Coral SubClassOf Diatom,  False.
Bird and Coral SubClassOf FungiTaxonomy,  False.
Bird and Coral SubClassOf MarinePlant,  False.
Bird and Coral SubClassOf Moss,  False.
Bird and Coral SubClassOf Vertebrate,  False.
Bird and Coral SubClassOf Radiolarian,  False.
Bird and Coral SubClassOf Human,  False.
Bird and Coral SubClassOf MarineMicrobiota,  False.
Bird and Coral SubClassOf Animal,  True.
Bird SubClassOf Animal,  True.
Bird SubClassOf VegetationCover,  False.
Bird SubClassOf Microalgae,  False.
Bird SubClassOf Fungi,  False.
Bird SubClassOf Arachnid,  False.
Bird SubClassOf VegetationSpecies,  False.
Bird SubClassOf Livestock,  False.
Bird SubClassOf Sponge,  False.
Bird SubClassOf Flatworm,  False.
Bird SubClassOf Diatom,  False.
Bird SubClassOf FungiTaxonomy,  False.
Bird SubClassOf MarinePlant,  False.
Bird SubClassOf Moss,  False.
Bird SubClassOf Vertebrate,  True.
Bird SubClassOf Animal and Vertebrate,  True.
Bird SubClassOf Radiolarian,  False.
Bird SubClassOf Human,  False.
Bird SubClassOf MarineMicrobiota,  False.
Bird SubClassOf Flagellate,  False.
Bird SubClassOf Poultry,  False.
Bird SubClassOf MarineMammal,  False.
Bird SubClassOf Amphibian,  False.
Bird SubClassOf Millipede,  False.
Bird SubClassOf Plankton,  False.
Bird SubClassOf Roundworm,  False.
Bird SubClassOf Microphyte,  False.
Bird SubClassOf SlimeMold,  False.
Bird SubClassOf Microbiota,  False.
Bird SubClassOf MicrobiotaTaxonomy,  False.
Bird SubClassOf Coccolithophore,  False.
Bird SubClassOf Lichen,  False.
Bird SubClassOf Leaf,  False.
Bird SubClassOf Pollen,  False.
Bird SubClassOf Mushroom,  False.
Bird SubClassOf Fish,  False.
Bird SubClassOf Reptile,  False.
Bird SubClassOf MarineAnimal,  False.
Bird SubClassOf Macroalgae,  False.
Bird SubClassOf Foraminifer,  False.
Bird SubClassOf Dairy,  False.
Bird SubClassOf Liverwort,  False.
Bird SubClassOf Crustacean,  False.
Bird SubClassOf Canopy,  False.
Bird SubClassOf Coral,  False.
Bird SubClassOf ExoticVegetation,  False.
Bird SubClassOf Macrophyte,  False.
Bird SubClassOf SegmentedWorm,  False.
Bird SubClassOf LivingThing,  True\n
Bird SubClassOf Animal and LivingThing and Vertebrate,  True,
Bird SubClassOf Fern,  False.
Bird SubClassOf DominantSpecies,  False.
Bird SubClassOf BlueGreenAlgae,  False.
Bird SubClassOf EvergreenVegetation,  False.
Bird SubClassOf TreeRing,  False.
Bird SubClassOf Vegetation,  False.
Bird SubClassOf ExoticSpecies,  False.
Bird SubClassOf Litter,  False.
Bird SubClassOf Crown,  False.
Bird SubClassOf Jellyfish,  False.
Bird SubClassOf Invertebrate,  False.
Bird SubClassOf Anemone,  False.
Bird SubClassOf Ciliate,  False.
Bird SubClassOf Zooplankton,  False.
Bird SubClassOf FloweringPlant,  False.
Bird SubClassOf Sporozoan,  False.
Bird SubClassOf IndigenousVegetation,  False.
Bird SubClassOf Nutrient,  False.
Bird SubClassOf IndigenousSpecies,  False.
Bird SubClassOf MarineInvertebrate,  False.
Bird SubClassOf Conifer,  False.
Bird SubClassOf Yeast,  False.
Bird SubClassOf Mammal,  False.
Bird SubClassOf Protist,  False.
Bird SubClassOf Centipede,  False.
Bird SubClassOf Crop,  False.
Bird SubClassOf Algae,  False.
Bird SubClassOf Arthropod,  False.
Bird SubClassOf MarineBird,  False.
Bird SubClassOf Chlorophyll,  False.
Bird SubClassOf Mollusk,  False.
Bird SubClassOf Echinoderm,  False.
Bird SubClassOf Plant,  False.
Bird SubClassOf Amoebae,  False.
Bird SubClassOf Insect,  False.
Bird SubClassOf Mold,  False.
Bird SubClassOf Bacteria,  False.
Bird SubClassOf DeciduousVegetation,  False.
Bird SubClassOf Phytoplankton,  False.
Livestock and SlimeMold SubClassOf Conifer,  False.
Moss and Vertebrate SubClassOf Microalgae,  False.
EvergreenVegetation and Microbiota SubClassOf MarineInvertebrate,  False.
ExoticVegetation and Nutrient SubClassOf DeciduousVegetation,  False.
Anemone and Macroalgae SubClassOf MarineMammal,  False.
Arachnid and Centipede SubClassOf Diatom,  False.
Liverwort and Microphyte SubClassOf Animal,  False.
MicrobiotaTaxonomy and Yeast SubClassOf Invertebrate,  False.
IndigenousVegetation and Protist SubClassOf Arthropod,  False.
MarineAnimal and Reptile SubClassOf Amphibian,  False.
Fish and Microphyte SubClassOf Flatworm,  False.
Poultry and Roundworm SubClassOf Lichen,  False.
Foraminifer and Litter SubClassOf Echinoderm,  Foramin
Arthropod and Radiolarian SubClassOf Fern,  False.
Human and MarinePlant SubClassOf IndigenousVegetation,  False.
DeciduousVegetation and MarineBird SubClassOf IndigenousSpecies,  True for
Crustacean and FungiTaxonomy SubClassOf Dairy,  False.
Crop and SegmentedWorm SubClassOf Chlorophyll,  False.
IndigenousSpecies and Microbiota SubClassOf Pollen,  False.
Liverwort and Reptile SubClassOf MarineAnimal,  False.
Flagellate and VegetationSpecies SubClassOf Mollusk,  False.
Coral and Livestock SubClassOf Nutrient,  False.
TreeRing and Zooplankton SubClassOf Ciliate,  False.
Plankton and Vegetation SubClassOf MarineMammal,  False.
Flatworm and Mollusk SubClassOf Microalgae,  False.
Fungi and MarineBird SubClassOf Microphyte,  False.
Crustacean and Lichen SubClassOf Crown,  False.
DominantSpecies and Reptile SubClassOf Macrophyte,  False.
Microphyte and VegetationSpecies SubClassOf Livestock,  False.
Leaf and Liverwort SubClassOf ExoticVegetation,  False.
Diatom and Foraminifer SubClassOf Mushroom,  False.
Bacteria and Radiolarian SubClassOf Amoebae,  False.
Human and Mammal SubClassOf Crustacean,  False.
Invertebrate and Plankton SubClassOf Phytoplankton,  False.
BlueGreenAlgae and FloweringPlant SubClassOf Vertebrate,  False.
Crop and ExoticSpecies SubClassOf Human,  False.
Amoebae and Microbiota SubClassOf BlueGreenAlgae,  False.
Bird and BlueGreenAlgae SubClassOf VegetationCover,  False.
Flatworm and Vegetation SubClassOf Flagellate,  False.
Coral and MicrobiotaTaxonomy SubClassOf Plant,  False.
VegetationCover and Zooplankton SubClassOf Canopy,  False.
Jellyfish and Zooplankton SubClassOf Mold,  False.
Fern and IndigenousVegetation SubClassOf Crop,  False.
Amoebae and Millipede SubClassOf Poultry,  False.
Echinoderm and IndigenousSpecies SubClassOf EvergreenVegetation,  False.
Crown and Sponge SubClassOf Coccolithophore,  True.
Crown and Sponge SubClassOf VegetationCover,  False.
Crown and Sponge SubClassOf Microalgae,  True.
Sponge SubClassOf Microalgae,  False.
Crown SubClassOf Microalgae,  True.
Crown SubClassOf VegetationCover,  False.
Crown SubClassOf Fungi,  True.
Crown SubClassOf Fungi and Microalgae,  False.
Crown SubClassOf Arachnid,  True.
Crown SubClassOf Arachnid and Microalgae,  False:
Crown SubClassOf VegetationSpecies,  False.
Crown SubClassOf Livestock,  True,
Crown SubClassOf Livestock and Microalgae,  False.
Crown SubClassOf Sponge,  False.
Crown SubClassOf Flatworm,  False.
Crown SubClassOf Diatom,  False.
Crown SubClassOf FungiTaxonomy,  True.
Crown SubClassOf FungiTaxonomy and Microalgae,  False.
Crown SubClassOf MarinePlant,  False.
Crown SubClassOf Moss,  False.
Crown SubClassOf Vertebrate,  True.
Crown SubClassOf Microalgae and Vertebrate,  False.
Crown SubClassOf Radiolarian,  False.
Crown SubClassOf Human,  True.
Crown SubClassOf Human and Microalgae,  False.
Crown SubClassOf MarineMicrobiota,  True.
Crown SubClassOf MarineMicrobiota and Microalgae,  False.
Crown SubClassOf Animal,  True.
Crown SubClassOf Animal and Microalgae,  False:
Crown SubClassOf Flagellate,  False.
Crown SubClassOf Poultry,  True.
Crown SubClassOf Microalgae and Poultry,  False.
Crown SubClassOf MarineMammal,  True.
Crown SubClassOf MarineMammal and Microalgae,  False,
Crown SubClassOf Amphibian,  True.
Crown SubClassOf Amphibian and Microalgae,  False.
Crown SubClassOf Millipede,  False.
Crown SubClassOf Plankton,  False.
Crown SubClassOf Roundworm,  False.
Crown SubClassOf Microphyte,  False.
Crown SubClassOf SlimeMold,  False.
Crown SubClassOf Microbiota,  False.
Crown SubClassOf MicrobiotaTaxonomy,  False.
Crown SubClassOf Coccolithophore,  True,
Crown SubClassOf Coccolithophore and Microalgae,  True.
Crown SubClassOf Lichen,  False.
Crown SubClassOf Leaf,  False.
Crown SubClassOf Pollen,  False.
