Crop and MarinePlant SubClassOf Arthropod, \nFalse
Moss SubClassOf TreeRing, False
Moss SubClassOf Vegetation, \nTrue
Moss SubClassOf ExoticVegetation and FungiTaxonomy and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Moss SubClassOf ExoticSpecies, \nFalse
Moss SubClassOf Litter, \nFalse
Moss SubClassOf Crown, \nFalse
Moss SubClassOf Jellyfish, \nFalse
Moss SubClassOf Invertebrate, \nFalse
Moss SubClassOf Anemone, \nFalse
Moss SubClassOf Ciliate, \nFalse
Moss SubClassOf Zooplankton, \nFalse
Moss SubClassOf FloweringPlant, \nFalse
Moss SubClassOf Sporozoan, \nFalse
Moss SubClassOf IndigenousVegetation, \nTrue
Moss SubClassOf ExoticVegetation and FungiTaxonomy and IndigenousVegetation and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf Nutrient, \nFalse
Moss SubClassOf IndigenousSpecies, \nTrue
Moss SubClassOf ExoticVegetation and FungiTaxonomy and IndigenousSpecies and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf MarineInvertebrate, \nFalse
Moss SubClassOf Conifer, \nFalse
Moss SubClassOf Yeast, \nFalse
Moss SubClassOf Mammal, \nFalse
Moss SubClassOf Protist, \nFalse
Moss SubClassOf Centipede, \nFalse
Moss SubClassOf Crop, False
Moss SubClassOf Algae, \nTrue
Moss SubClassOf Algae and ExoticVegetation and FungiTaxonomy and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf Arthropod, \nFalse
Moss SubClassOf MarineBird, False
Moss SubClassOf Chlorophyll, \nFalse
Moss SubClassOf Mollusk, \nFalse
Moss SubClassOf Echinoderm, \nFalse
Moss SubClassOf Plant, \nTrue
Moss SubClassOf ExoticVegetation and FungiTaxonomy and Macrophyte and MarinePlant and Microphyte and Plant and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf Amoebae, \nFalse
Moss SubClassOf Insect, \nFalse
Moss SubClassOf Mold, \nFalse
Moss SubClassOf Bacteria, \nFalse
Moss SubClassOf DeciduousVegetation, \nFalse
Moss SubClassOf Phytoplankton, \nFalse
Moss SubClassOf ExoticVegetation and FungiTaxonomy and Macrophyte and MarinePlant and MicrobiotaTaxonomy and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf ExoticVegetation and FungiTaxonomy and LivingThing and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Moss SubClassOf EvergreenVegetation and ExoticVegetation and FungiTaxonomy and LivingThing and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf ExoticVegetation and FungiTaxonomy and IndigenousVegetation and LivingThing and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf ExoticVegetation and FungiTaxonomy and IndigenousSpecies and LivingThing and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf Algae and ExoticVegetation and FungiTaxonomy and LivingThing and Macrophyte and MarinePlant and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf ExoticVegetation and FungiTaxonomy and LivingThing and Macrophyte and MarinePlant and Microphyte and Plant and Vegetation and VegetationCover and VegetationSpecies, \nHere
Macroalgae and Microphyte SubClassOf Radiolarian, \nFalse
Chlorophyll and Coccolithophore SubClassOf Bacteria, \nFalse
FloweringPlant and Microphyte SubClassOf Poultry, \nFalse
Crop and Dairy SubClassOf Yeast, \nFalse
MarineMicrobiota and Mold SubClassOf Algae, \nFalse
Invertebrate and Jellyfish SubClassOf EvergreenVegetation, \nFalse
Roundworm and Vegetation SubClassOf Leaf, \nFalse
Ciliate and MarineMammal SubClassOf Vegetation, \nFalse
Algae and Mushroom SubClassOf Centipede, \nFalse
Echinoderm and Reptile SubClassOf Microphyte, \nFalse
Anemone and Microphyte SubClassOf Pollen, \nFalse
Animal and Plant SubClassOf MarineAnimal, \nTrue
Animal and Plant SubClassOf VegetationCover, \nTrue
Animal SubClassOf VegetationCover, \nFalse
Plant SubClassOf VegetationCover, \nTrue
Plant SubClassOf Microalgae, False
Plant SubClassOf Fungi, \nFalse
Plant SubClassOf Arachnid, \nFalse
Plant SubClassOf VegetationSpecies, \nTrue
Plant SubClassOf VegetationCover and VegetationSpecies, \nTrue
Plant SubClassOf Livestock, \nFalse
Plant SubClassOf Sponge, \nFalse
Plant SubClassOf Flatworm, \nFalse
Plant SubClassOf Diatom, \nFalse
Plant SubClassOf FungiTaxonomy, \nFalse
Plant SubClassOf MarinePlant, \nTrue
Plant SubClassOf MarinePlant and VegetationCover and VegetationSpecies, \nTrue
Plant SubClassOf Moss, \nTrue
Plant SubClassOf MarinePlant and Moss and VegetationCover and VegetationSpecies, \nTrue
Plant SubClassOf Vertebrate, \nFalse
Plant SubClassOf Radiolarian, \nFalse
Plant SubClassOf Human, \nFalse
Plant SubClassOf MarineMicrobiota, \nFalse
Plant SubClassOf Animal, \nFalse
Plant SubClassOf Flagellate, False
Plant SubClassOf Poultry, \nFalse
Plant SubClassOf MarineMammal, \nFalse
Plant SubClassOf Amphibian, \nFalse
Plant SubClassOf Millipede, \nFalse
Plant SubClassOf Plankton, False
Plant SubClassOf Roundworm, \nFalse
Plant SubClassOf Microphyte, \nFalse
Plant SubClassOf SlimeMold, \nFalse
Plant SubClassOf Microbiota, \nFalse
Plant SubClassOf MicrobiotaTaxonomy, \nTrue
Plant SubClassOf MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nTrue
Plant SubClassOf Coccolithophore, \nFalse
Plant SubClassOf Lichen, \nFalse
Plant SubClassOf Leaf, \nTrue
Plant SubClassOf Leaf and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Pollen, \nFalse
Plant SubClassOf Mushroom, \nTrue
Plant SubClassOf MarinePlant and MicrobiotaTaxonomy and Moss and Mushroom and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Fish, \nFalse
Plant SubClassOf Reptile, \nFalse
Plant SubClassOf MarineAnimal, \nFalse
Plant SubClassOf Macroalgae, \nTrue
Plant SubClassOf Macroalgae and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Foraminifer, \nFalse
Plant SubClassOf Dairy, \nFalse
Plant SubClassOf Liverwort, \nFalse
Plant SubClassOf Crustacean, \nFalse
Plant SubClassOf Canopy, \nTrue
Plant SubClassOf Canopy and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Coral, False
Plant SubClassOf ExoticVegetation, \nTrue
Plant SubClassOf ExoticVegetation and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Macrophyte, \nTrue
Plant SubClassOf Macrophyte and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf SegmentedWorm, \nFalse
Plant SubClassOf LivingThing, True
Plant SubClassOf LivingThing and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Bird, \nFalse
Plant SubClassOf Fern, \nTrue
Plant SubClassOf Fern and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf DominantSpecies, False
Plant SubClassOf BlueGreenAlgae, False
Plant SubClassOf EvergreenVegetation, True
Plant SubClassOf EvergreenVegetation and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf TreeRing, False
Plant SubClassOf Vegetation, \nTrue
Plant SubClassOf MarinePlant and MicrobiotaTaxonomy and Moss and Vegetation and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf ExoticSpecies, \nFalse
Plant SubClassOf Litter, False
Plant SubClassOf Crown, \nTrue
Plant SubClassOf Crown and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Jellyfish, \nFalse
Plant SubClassOf Invertebrate, False
Plant SubClassOf Anemone, \nTrue
Plant SubClassOf Anemone and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Ciliate, \nTrue
Plant SubClassOf Ciliate and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Zooplankton, \nFalse
Plant SubClassOf FloweringPlant, \nTrue
Plant SubClassOf FloweringPlant and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Sporozoan, \nFalse
Plant SubClassOf IndigenousVegetation, \nTrue
Plant SubClassOf IndigenousVegetation and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Nutrient, \nTrue
Plant SubClassOf MarinePlant and MicrobiotaTaxonomy and Moss and Nutrient and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf IndigenousSpecies, \nTrue
Plant SubClassOf IndigenousSpecies and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf MarineInvertebrate, \nFalse
Plant SubClassOf Conifer, \nTrue
Plant SubClassOf Conifer and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nTrue
Plant SubClassOf Yeast, False
Plant SubClassOf Mammal, \nFalse
Plant SubClassOf Protist, \nFalse
Plant SubClassOf Centipede, False
Plant SubClassOf Crop, True
Plant SubClassOf Conifer and Crop and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Algae, False
Plant SubClassOf Arthropod, \nFalse
Plant SubClassOf MarineBird, \nFalse
Plant SubClassOf Chlorophyll, \nTrue
Plant SubClassOf Chlorophyll and Conifer and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Mollusk, \nFalse
Plant SubClassOf Echinoderm, \nFalse
Plant SubClassOf Amoebae, \nFalse
Plant SubClassOf Insect, False
Plant SubClassOf Mold, False
Plant SubClassOf Bacteria, False
Plant SubClassOf DeciduousVegetation, \nTrue
Plant SubClassOf Conifer and DeciduousVegetation and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Phytoplankton, \nTrue
Plant SubClassOf Conifer and MarinePlant and MicrobiotaTaxonomy and Moss and Phytoplankton and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Conifer and Leaf and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Conifer and MarinePlant and MicrobiotaTaxonomy and Moss and Mushroom and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Conifer and Macroalgae and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nTrue
Plant SubClassOf Canopy and Conifer and ExoticVegetation and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Macrophyte and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and LivingThing and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Fern and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and EvergreenVegetation and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and MarinePlant and MicrobiotaTaxonomy and Moss and Vegetation and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Crown and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nTrue
Plant SubClassOf Anemone and Canopy and Conifer and Crown and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Ciliate and Conifer and Crown and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Crown and FloweringPlant and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Crown and IndigenousVegetation and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Crown and MarinePlant and MicrobiotaTaxonomy and Moss and Nutrient and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Crown and IndigenousSpecies and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Crop and Crown and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Chlorophyll and Conifer and Crown and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Crown and DeciduousVegetation and MarinePlant and MicrobiotaTaxonomy and Moss and VegetationCover and VegetationSpecies, \nHere
Plant SubClassOf Canopy and Conifer and Crown and MarinePlant and MicrobiotaTaxonomy and Moss and Phytoplankton and VegetationCover and VegetationSpecies, \nHere
FloweringPlant and Leaf SubClassOf Livestock, \nFalse
Pollen and Radiolarian SubClassOf Coral, \nFalse
Crown and MarineInvertebrate SubClassOf Mushroom, \nFalse
Fern and Fungi SubClassOf ExoticSpecies, \nTrue
Fern and Fungi SubClassOf VegetationCover, \nTrue
Fern SubClassOf VegetationCover, \nTrue
Fern SubClassOf Microalgae, \nFalse
Fern SubClassOf Fungi, \nTrue
Fern SubClassOf Fungi and VegetationCover, \nTrue
Fern SubClassOf Arachnid, True
Fern SubClassOf Arachnid and Fungi and VegetationCover, \nTrue
Fern SubClassOf VegetationSpecies, \nTrue
Fern SubClassOf Arachnid and Fungi and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Livestock, False
Fern SubClassOf Sponge, False
Fern SubClassOf Flatworm, \nTrue
Fern SubClassOf Arachnid and Flatworm and Fungi and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Diatom, True
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf FungiTaxonomy, \nTrue
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and FungiTaxonomy and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf MarinePlant, True
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and MarinePlant and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Moss, \nFalse
Fern SubClassOf Vertebrate, False
Fern SubClassOf Radiolarian, \nFalse
Fern SubClassOf Human, \nTrue
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and Human and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf MarineMicrobiota, \nFalse
Fern SubClassOf Animal, True
Fern SubClassOf Animal and Arachnid and Diatom and Flatworm and Fungi and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Flagellate, \nTrue
Fern SubClassOf Arachnid and Diatom and Flagellate and Flatworm and Fungi and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Poultry, False
Fern SubClassOf MarineMammal, False
Fern SubClassOf Amphibian, \nTrue
Fern SubClassOf Amphibian and Arachnid and Diatom and Flatworm and Fungi and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Millipede, \nTrue
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and Millipede and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Plankton, False
Fern SubClassOf Roundworm, False
Fern SubClassOf Microphyte, False
Fern SubClassOf SlimeMold, False
Fern SubClassOf Microbiota, False
Fern SubClassOf MicrobiotaTaxonomy, \nFalse
Fern SubClassOf Coccolithophore, False
Fern SubClassOf Lichen, False
Fern SubClassOf Leaf, True
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and Leaf and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Pollen, False
Fern SubClassOf Mushroom, True
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and Mushroom and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Fish, False
Fern SubClassOf Reptile, \nTrue
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and Mushroom and Reptile and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf MarineAnimal, \nTrue
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Macroalgae, \nFalse
Fern SubClassOf Foraminifer, False
Fern SubClassOf Dairy, False
Fern SubClassOf Liverwort, False
Fern SubClassOf Crustacean, False
Fern SubClassOf Canopy, False
Fern SubClassOf Coral, \nFalse
Fern SubClassOf ExoticVegetation, \nTrue
Fern SubClassOf Arachnid and Diatom and ExoticVegetation and Flatworm and Fungi and MarineAnimal and Mushroom and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Macrophyte, False
Fern SubClassOf SegmentedWorm, True
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf LivingThing, True
Fern SubClassOf Arachnid and Diatom and Flatworm and Fungi and LivingThing and MarineAnimal and Mushroom and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Bird, True
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf DominantSpecies, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and DominantSpecies and Flatworm and Fungi and MarineAnimal and Mushroom and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf BlueGreenAlgae, False
Fern SubClassOf EvergreenVegetation, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and EvergreenVegetation and Flatworm and Fungi and MarineAnimal and Mushroom and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf TreeRing, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and TreeRing and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Vegetation, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf ExoticSpecies, \nFalse
Fern SubClassOf Litter, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Litter and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Crown, \nTrue
Fern SubClassOf Arachnid and Bird and Crown and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Jellyfish, \nFalse
Fern SubClassOf Invertebrate, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Invertebrate and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone, \nTrue
Fern SubClassOf Anemone and Arachnid and Bird and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Ciliate, \nTrue
Fern SubClassOf Arachnid and Bird and Ciliate and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Zooplankton, \nFalse
Fern SubClassOf FloweringPlant, True
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and FloweringPlant and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Sporozoan, False
Fern SubClassOf IndigenousVegetation, True
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and IndigenousVegetation and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Nutrient, False
Fern SubClassOf IndigenousSpecies, \nFalse
Fern SubClassOf MarineInvertebrate, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and MarineAnimal and MarineInvertebrate and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Conifer, \nTrue
Fern SubClassOf Arachnid and Bird and Conifer and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Yeast, False
Fern SubClassOf Mammal, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Mammal and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Protist, False
Fern SubClassOf Centipede, \nFalse
Fern SubClassOf Crop, \nTrue
Fern SubClassOf Arachnid and Bird and Crop and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Algae, False
Fern SubClassOf Arthropod, True
Fern SubClassOf Arachnid and Arthropod and Bird and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf MarineBird, False
Fern SubClassOf Chlorophyll, \nTrue
Fern SubClassOf Arachnid and Bird and Chlorophyll and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Mollusk, False
Fern SubClassOf Echinoderm, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and Echinoderm and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Plant, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Plant and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Amoebae, False
Fern SubClassOf Insect, True
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Insect and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Mold, \nFalse
Fern SubClassOf Bacteria, False
Fern SubClassOf DeciduousVegetation, True
Fern SubClassOf Arachnid and Bird and DeciduousVegetation and Diatom and Flatworm and Fungi and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Phytoplankton, False
