Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, True
Can Carnivore be considered a subcategory of 'Egg that is also Meat that is also Water'?, True
Can Carnivore be considered a subcategory of 'Animal'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Water'?, True
Can Carnivore be considered a subcategory of 'Reptile'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Reptile that is also Water'?, True
Can Carnivore be considered a subcategory of 'Plant'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Plant that is also Reptile that is also Water'?, True
Can Carnivore be considered a subcategory of 'Vertebrate'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Cat'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Meat that is also Plant that is also Reptile that is also Water'?, True
Can Carnivore be considered a subcategory of 'Fish'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Fish that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Mammal'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Herbivore'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Herbivore that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Leg'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Leg that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Elephant'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Elephant that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Bird'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Bird that is also Cat that is also Egg that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Backbone'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Backbone that is also Cat that is also Egg that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Wing'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Meat that is also Plant that is also Reptile that is also Water that is also Wing'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water'?, \nFalse
Can something that has_part some Reptile be considered a subcategory of 'Egg'?, True
Can Reptile be considered a subcategory of 'Egg'?, True
Can Reptile be considered a subcategory of 'Meat'?, True
Can Reptile be considered a subcategory of 'Egg that is also Meat'?, True
Can Reptile be considered a subcategory of 'Carnivore'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Meat'?, True
Can Reptile be considered a subcategory of 'Water'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Meat that is also Water'?, True
Can Reptile be considered a subcategory of 'Animal'?, True
Can Reptile be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Meat that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Plant'?, \nFalse
Can Reptile be considered a subcategory of 'Vertebrate'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Meat that is also Vertebrate that is also Water'?, \nTrue
Can Reptile be considered a subcategory of 'Cat'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Fish'?, \nFalse
Can Reptile be considered a subcategory of 'Mammal'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Mammal that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Herbivore'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Herbivore that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Leg'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Leg that is also Meat that is also Vertebrate that is also Water'?, True
Can Reptile be considered a subcategory of 'Elephant'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Elephant that is also Leg that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Bird'?, True
Can Reptile be considered a subcategory of 'Bird that is also Carnivore that is also Egg that is also Leg that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Backbone'?, True
Can Reptile be considered a subcategory of 'Backbone that is also Carnivore that is also Egg that is also Leg that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Wing'?, True
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Leg that is also Meat that is also Vertebrate that is also Water that is also Wing'?, \nFalse
Can Reptile be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Leg that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Leg that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Reptile be considered a subcategory of 'Carnivore that is also Egg that is also Herbivore that is also Leg that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Meat be considered a subcategory of 'Water'?, False
Can something that lives_in some Backbone be considered a subcategory of 'Reptile'?, True
Can something that lives_in some Backbone be considered a subcategory of 'Egg'?, True
Can Backbone be considered a subcategory of 'Egg'?, True
Can Backbone be considered a subcategory of 'Meat'?, True
Can Backbone be considered a subcategory of 'Egg that is also Meat'?, True
Can Backbone be considered a subcategory of 'Carnivore'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Meat'?, \nTrue
Can Backbone be considered a subcategory of 'Water'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Meat that is also Water'?, \nFalse
Can Backbone be considered a subcategory of 'Animal'?, True
Can Backbone be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Reptile'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Meat that is also Reptile'?, \nFalse
Can Backbone be considered a subcategory of 'Plant'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Meat that is also Plant'?, \nFalse
Can Backbone be considered a subcategory of 'Vertebrate'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Cat'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Meat'?, True
Can Backbone be considered a subcategory of 'Fish'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Fish that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Mammal'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Mammal that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Herbivore'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Herbivore that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Leg'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Leg that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Elephant'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Elephant that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Bird'?, True
Can Backbone be considered a subcategory of 'Bird that is also Carnivore that is also Cat that is also Egg that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Wing'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Meat that is also Wing'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Meat that is also Water'?, \nFalse
Can Backbone be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Egg that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Meat that is also Reptile'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Meat that is also Plant'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Meat that is also Vertebrate'?, \nFalse
Can something that eats some Bird be considered a subcategory of 'Cat'?, True
Can something that eats some Bird be considered a subcategory of 'Egg'?, True
Can Bird be considered a subcategory of 'Egg'?, True
Can Bird be considered a subcategory of 'Meat'?, True
Can Bird be considered a subcategory of 'Egg that is also Meat'?, True
Can Bird be considered a subcategory of 'Carnivore'?, True
Can Bird be considered a subcategory of 'Carnivore that is also Egg that is also Meat'?, True
Can Bird be considered a subcategory of 'Water'?, False
Can Bird be considered a subcategory of 'Animal'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Meat'?, True
Can Bird be considered a subcategory of 'Reptile'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Meat that is also Reptile'?, \nFalse
Can Bird be considered a subcategory of 'Plant'?, False
Can Bird be considered a subcategory of 'Vertebrate'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Meat that is also Vertebrate'?, \nFalse
Can Bird be considered a subcategory of 'Cat'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Egg that is also Meat'?, \nFalse
Can Bird be considered a subcategory of 'Fish'?, False
Can Bird be considered a subcategory of 'Mammal'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Mammal that is also Meat'?, \nTrue
Can Bird be considered a subcategory of 'Herbivore'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Herbivore that is also Mammal that is also Meat'?, True
Can Bird be considered a subcategory of 'Leg'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Herbivore that is also Leg that is also Mammal that is also Meat'?, \nFalse
Can Bird be considered a subcategory of 'Elephant'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Elephant that is also Herbivore that is also Mammal that is also Meat'?, \nFalse
Can Bird be considered a subcategory of 'Backbone'?, True
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Egg that is also Herbivore that is also Mammal that is also Meat'?, \nFalse
Can Bird be considered a subcategory of 'Wing'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Herbivore that is also Mammal that is also Meat that is also Wing'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Herbivore that is also Mammal that is also Meat that is also Reptile'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Herbivore that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, True
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Egg that is also Herbivore that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Elephant that is also Herbivore that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Egg that is also Herbivore that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Herbivore that is also Mammal that is also Meat that is also Reptile that is also Vertebrate that is also Wing'?, \nFalse
Can Backbone be considered a subcategory of 'something that has_part some Leg'?, True
Can Backbone be considered a subcategory of 'Egg that is also Fish'?, True
Can Backbone be considered a subcategory of 'Egg that is also Fish that is also Meat'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Meat'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Meat that is also Water'?, \nFalse
Can Backbone be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Fish that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Meat that is also Reptile'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Meat that is also Plant'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Meat that is also Vertebrate'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Fish that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Mammal that is also Meat that is also Vertebrate'?, True
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Elephant that is also Fish that is also Mammal that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Bird that is also Carnivore that is also Egg that is also Fish that is also Mammal that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Mammal that is also Meat that is also Vertebrate that is also Wing'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Fish that is also Mammal that is also Meat that is also Vertebrate that is also Water'?, \nFalse
Can Backbone be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Mammal that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Fish that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Fish that is also Mammal that is also Meat that is also Plant that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Mammal that is also Meat that is also Vertebrate'?, True
Can Backbone be considered a subcategory of 'Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Mammal that is also Meat that is also Vertebrate'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Mammal that is also Meat that is also Vertebrate that is also Wing'?, \nFalse
Can Carnivore that is also Herbivore be considered a subcategory of 'Fish'?, True
Can Carnivore be considered a subcategory of 'Egg that is also Fish'?, \nFalse
Can Carnivore be considered a subcategory of 'Fish that is also Meat'?, True
Can Carnivore be considered a subcategory of 'Fish that is also Meat that is also Water'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Fish that is also Meat that is also Water'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Fish that is also Meat that is also Reptile that is also Water'?, \nTrue
Can Carnivore be considered a subcategory of 'Animal that is also Fish that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Fish that is also Meat that is also Reptile that is also Vertebrate that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Meat that is also Reptile that is also Water'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Mammal that is also Meat that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Herbivore that is also Meat that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Leg that is also Meat that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Elephant that is also Fish that is also Meat that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Bird that is also Cat that is also Fish that is also Meat that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Backbone that is also Cat that is also Fish that is also Meat that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Meat that is also Reptile that is also Water that is also Wing'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Fish that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Fish that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Meat that is also Plant that is also Reptile that is also Water'?, \nTrue
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Meat that is also Plant that is also Reptile that is also Water'?, \nTrue
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Meat that is also Plant that is also Reptile that is also Water'?, True
Can Carnivore be considered a subcategory of 'Animal that is also Bird that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Backbone that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Meat that is also Plant that is also Reptile that is also Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Meat that is also Plant that is also Reptile that is also Water that is also Wing'?, \nFalse
Can Cat that is also Water be considered a subcategory of 'Leg'?, True.
Can Cat that is also Water be considered a subcategory of 'Egg'?, True.
Can Cat be considered a subcategory of 'Egg'?, True
Can Cat be considered a subcategory of 'Meat'?, True
Can Cat be considered a subcategory of 'Egg that is also Meat'?, \nFalse
Can Cat be considered a subcategory of 'Carnivore'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg'?, True
Can Cat be considered a subcategory of 'Water'?, False
Can Cat be considered a subcategory of 'Animal'?, True
Can Cat be considered a subcategory of 'Animal that is also Carnivore that is also Egg'?, \nFalse
Can Cat be considered a subcategory of 'Reptile'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Reptile'?, True
Can Cat be considered a subcategory of 'Plant'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Plant that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Vertebrate'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Reptile that is also Vertebrate'?, \nFalse
Can Cat be considered a subcategory of 'Fish'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Reptile'?, True
Can Cat be considered a subcategory of 'Mammal'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Mammal that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Herbivore'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Herbivore that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Leg'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Leg that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Elephant'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Elephant that is also Fish that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Bird'?, False
Can Cat be considered a subcategory of 'Backbone'?, True
Can Cat be considered a subcategory of 'Backbone that is also Carnivore that is also Egg that is also Fish that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Wing'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Reptile that is also Wing'?, \nFalse
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Meat that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Fish that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Plant that is also Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Reptile that is also Vertebrate'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Mammal that is also Reptile that is also Vertebrate'?, True
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Reptile that is also Vertebrate'?, \nFalse
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also Leg that is also Mammal that is also Reptile that is also Vertebrate'?, \nFalse
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Elephant that is also Fish that is also Mammal that is also Reptile that is also Vertebrate'?, True
Can Cat be considered a subcategory of 'Backbone that is also Carnivore that is also Egg that is also Elephant that is also Fish that is also Mammal that is also Reptile that is also Vertebrate'?, \nFalse
Can Cat be considered a subcategory of 'Carnivore that is also Egg that is also Elephant that is also Fish that is also Mammal that is also Reptile that is also Vertebrate that is also Wing'?, \nFalse
Can Meat be considered a subcategory of 'Egg'?, False.
Can Meat that is also Plant be considered a subcategory of 'Backbone'?, True.
Can Meat that is also Plant be considered a subcategory of 'Egg'?, True.
Can Plant be considered a subcategory of 'Egg'?, False
Can something that eats some Water be considered a subcategory of 'Carnivore'?, True
Can something that eats some Water be considered a subcategory of 'Egg'?, True
Can Water be considered a subcategory of 'Egg'?, False.
Can Thing be considered a subcategory of 'something that eats some Water'?, True
Can Water be considered a subcategory of 'Meat'?, True
Can Thing be considered a subcategory of 'Meat'?, True
Can Meat be considered a subcategory of 'Elephant'?, \nFalse
Can Meat that is also Thing be considered a subcategory of 'Meat that is also Thing that is also something that (lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing))'?, True
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing be considered a subcategory of 'Bird'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing be considered a subcategory of 'Wing'?, \nFalse
Can Meat that is also Thing that is also something that (lives_in some Animal) that is also something that (lives_in some (Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Meat that is also Thing that is also something that (lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing))'?, True.
Can Meat that is also Thing that is also something that (lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Meat that is also Thing that is also something that (lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing))'?, True.
Can Thing that is also something that (lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Meat that is also Thing that is also something that (lives_in some (Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, True
