teaches some Researcher SubClassOf Professor,  True.
Can Thing be considered a subcategory of 'Person'?,  False.
Can Thing be considered a subcategory of 'Researcher'?,  False.
Can Researcher be considered a subcategory of 'Project'?,  False.
Can Researcher be considered a subcategory of 'Module'?,  False.
Can Researcher be considered a subcategory of 'Professor'?,  False.
Can Researcher be considered a subcategory of 'Teacher'?,  False.
Can Researcher be considered a subcategory of 'Person'?,  True.
Can Module that is also Project be considered a subcategory of 'Researcher'?,  False.
Can Person that is also Teacher be considered a subcategory of 'University'?,  False.
Can Person be considered a subcategory of 'something that teaches some Project'?,  False.
Can Researcher that is also University be considered a subcategory of 'Teacher'?,  False.
Can something that manages some University be considered a subcategory of 'Person'?,  False.
Can Person be considered a subcategory of 'Module'?,  False.
Can Person that is also Researcher be considered a subcategory of 'Teacher'?,  False.
Can Researcher be considered a subcategory of 'something that teaches some Teacher'?,  False.
Can University be considered a subcategory of 'something that teaches some Professor'?,  False.
Can something that manages some Module be considered a subcategory of 'Teacher'?,  False.
Can something that teaches some University be considered a subcategory of 'Project'?,  False.
Can Professor that is also University be considered a subcategory of 'Module'?,  False.
Can Teacher be considered a subcategory of 'something that manages some Researcher'?,  False.
Can Project that is also Teacher be considered a subcategory of 'University'?,  False.
Can something that teaches some Module be considered a subcategory of 'Researcher'?,  False.
Can Professor be considered a subcategory of 'something that employed_by some Professor'?,  False.
Can something that employed_by some Professor be considered a subcategory of 'Project'?,  False.
Can something that employed_by some Researcher be considered a subcategory of 'Module'?,  False.
Can Person be considered a subcategory of 'something that teaches some Researcher'?,  False.
Can University be considered a subcategory of 'something that teaches some Project'?,  False.
Can something that employed_by some Module be considered a subcategory of 'Module'?,  False.
Can Project be considered a subcategory of 'something that manages some Person'?,  False.
Can Person that is also University be considered a subcategory of 'Researcher'?,  True.
Can Person that is also University be considered a subcategory of 'Project'?,  False.
Can Person that is also University be considered a subcategory of 'Module'?,  False.
Can Person that is also University be considered a subcategory of 'Professor'?,  False.
Can Person that is also University be considered a subcategory of 'Teacher'?,  False.
Can University be considered a subcategory of 'Researcher'?,  False.
Can Person be considered a subcategory of 'Researcher'?,  False.
Can something that manages some Teacher be considered a subcategory of 'Module'?,  False.
Can Professor that is also University be considered a subcategory of 'Project'?,  False.
Can Professor be considered a subcategory of 'something that teaches some Researcher'?,  True.
Can University be considered a subcategory of 'something that teaches some Researcher'?,  True.
Can something that teaches some (Person that is also Researcher) be considered a subcategory of 'something that teaches some (Person that is also Researcher)'?,  False.
Can University be considered a subcategory of 'University'?,  False.
Can University be considered a subcategory of 'Project'?,  False.
Can University be considered a subcategory of 'Module'?,  False.
Can University be considered a subcategory of 'Teacher'?,  False.
Can University be considered a subcategory of 'Person'?,  False.
Can University be considered a subcategory of 'Person that is also Researcher'?,  False.
Can Project be considered a subcategory of 'Person that is also Researcher'?,  False.
Can Module be considered a subcategory of 'Person that is also Researcher'?,  False.
Can Person be considered a subcategory of 'Person that is also Researcher'?,  False.
Can something that manages some Researcher be considered a subcategory of 'Professor'?,  False.
Can Module that is also Researcher be considered a subcategory of 'University'?,  False.
Can Teacher be considered a subcategory of 'something that teaches some Teacher'?,  False.
Can something that employed_by some Module be considered a subcategory of 'Person'?,  False.
Can something that employed_by some Project be considered a subcategory of 'Researcher'?,  False.
Can something that manages some Module be considered a subcategory of 'Project'?,  False.
Can Project that is also Researcher be considered a subcategory of 'University'?,  False.
Can something that teaches some Researcher be considered a subcategory of 'Researcher'?,  False.
Can Professor that is also Researcher be considered a subcategory of 'Module'?,  False.
Can University be considered a subcategory of 'something that employed_by some Module'?,  False.
Can something that teaches some Professor be considered a subcategory of 'Project'?,  False.
Can Person that is also Professor be considered a subcategory of 'Module'?,  False.
Can something that employed_by some Researcher be considered a subcategory of 'Project'?,  False.
Can Teacher be considered a subcategory of 'something that teaches some University'?,  True.
Can University be considered a subcategory of 'something that teaches some University'?,  False.
Can Project be considered a subcategory of 'something that teaches some University'?,  False.
Can Module be considered a subcategory of 'something that teaches some University'?,  False.
Can Professor be considered a subcategory of 'something that teaches some University'?,  True.
Can something that teaches some University be considered a subcategory of 'something that teaches some University'?,  False.
Can Professor be considered a subcategory of 'Professor'?,  False.
Can Person be considered a subcategory of 'Professor'?,  False.
Can Person be considered a subcategory of 'something that teaches some University'?,  False.
Can Researcher be considered a subcategory of 'something that teaches some University'?,  False.
Can Project be considered a subcategory of 'University'?,  False.
Can Module be considered a subcategory of 'University'?,  False.
Can Person be considered a subcategory of 'University'?,  False.
Can Professor be considered a subcategory of 'Teacher that is also something that (teaches some University)'?,  True.
Can Professor be considered a subcategory of 'Person that is also Teacher that is also something that (teaches some University)'?,  True.
Can Professor be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also something that (teaches some University)'?,  True.
Can Professor be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also something that (teaches some (Teacher that is also University))'?,  True.
Can Professor be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also something that (teaches some (Person that is also Teacher that is also University))'?,  True.
Can Professor be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also something that (teaches some (Person that is also Researcher that is also Teacher that is also University))'?,  True.
Can Person that is also Professor that is also Researcher that is also Teacher that is also something that (teaches some (Person that is also Researcher that is also Teacher that is also University)) be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also something that (teaches some (Person that is also Researcher that is also Teacher that is also University))'?,  True.
Can University be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also University'?,  False.
Can Project be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also University'?,  False.
Can Module be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also University'?,  False.
Can Professor be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also University'?,  False.
Can Teacher be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also University'?,  False.
Can Person be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also University'?,  False.
Can Researcher be considered a subcategory of 'Person that is also Researcher that is also Teacher that is also University'?,  False.
Can Person that is also Professor that is also Researcher that is also Teacher that is also something that (teaches some (Person that is also Professor that is also Researcher that is also Teacher that is also University)) be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also something that (teaches some (Person that is also Professor that is also Researcher that is also Teacher that is also University))'?,  True.
Can University be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also University'?,  False.
Can Project be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also University'?,  False.
Can Module be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also University'?,  False.
Can Professor be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also University'?,  False.
Can Teacher be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also University'?,  False.
Can Person be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also University'?,  False.
Can Researcher be considered a subcategory of 'Person that is also Professor that is also Researcher that is also Teacher that is also University'?,  False.
Can Person be considered a subcategory of 'something that manages some Researcher'?,  False.
Can something that employed_by some Project be considered a subcategory of 'Professor'?,  False.
Can Person that is also Researcher be considered a subcategory of 'Project'?,  False.
Can something that manages some University be considered a subcategory of 'Teacher'?,  False.
Can Project that is also University be considered a subcategory of 'Researcher'?,  False.
Can Person be considered a subcategory of 'something that manages some Person'?,  False.
Can something that manages some Professor be considered a subcategory of 'Professor'?,  False.
Can Person be considered a subcategory of 'something that employed_by some Person'?,  False.
Can something that manages some Module be considered a subcategory of 'Researcher'?,  False.
Can Module that is also University be considered a subcategory of 'Professor'?,  False.
Can something that teaches some Researcher be considered a subcategory of 'Teacher'?,  True.
Can Thing be considered a subcategory of 'something that teaches some (Person that is also Researcher)'?,  False.
Can Person that is also Researcher be considered a subcategory of 'University'?,  False.
Can Person that is also Researcher be considered a subcategory of 'Module'?,  False.
Can Person that is also Researcher be considered a subcategory of 'Professor'?,  True.
Can Module that is also Person be considered a subcategory of 'University'?,  False.
Can something that employed_by some Module be considered a subcategory of 'Teacher'?,  False.
Can Researcher be considered a subcategory of 'something that teaches some Module'?,  False.
Can Professor be considered a subcategory of 'something that employed_by some Teacher'?,  False.
Can Module that is also University be considered a subcategory of 'Project'?,  False.
Can Module that is also Person be considered a subcategory of 'Project'?,  False.
Can something that employed_by some Project be considered a subcategory of 'Teacher'?,  False.
Can Project that is also University be considered a subcategory of 'Person'?,  False.
Can Teacher be considered a subcategory of 'something that manages some Project'?,  True.
Can University be considered a subcategory of 'something that manages some Project'?,  False.
Can Project be considered a subcategory of 'something that manages some Project'?,  False.
Can Module be considered a subcategory of 'something that manages some Project'?,  True.
Can something that manages some Project be considered a subcategory of 'something that manages some Project'?,  False.
Can Module be considered a subcategory of 'Project'?,  False.
Can Module be considered a subcategory of 'Module'?,  False.
Can Module be considered a subcategory of 'Professor'?,  False.
Can Module be considered a subcategory of 'Teacher'?,  False.
Can Module be considered a subcategory of 'Person'?,  False.
Can Module be considered a subcategory of 'Researcher'?,  False.
Can Person be considered a subcategory of 'Project'?,  False.
Can University be considered a subcategory of 'something that manages some University'?,  False.
Can something that manages some Project be considered a subcategory of 'Teacher'?,  False.
Can Module that is also University be considered a subcategory of 'Teacher'?,  False.
Can Person that is also Teacher be considered a subcategory of 'Project'?,  False.
Can Person that is also Project be considered a subcategory of 'Teacher'?,  False.
Can something that employed_by some Teacher be considered a subcategory of 'University'?,  False.
Can Researcher that is also Teacher be considered a subcategory of 'Module'?,  False.
Can something that manages some Person be considered a subcategory of 'Researcher'?,  False.
Can Teacher be considered a subcategory of 'something that employed_by some Researcher'?,  False.
Can Project be considered a subcategory of 'something that manages some Researcher'?,  False.
Can something that employed_by some University be considered a subcategory of 'University'?,  False.
Can something that teaches some Professor be considered a subcategory of 'Teacher'?,  True.
Can something that teaches some Professor be considered a subcategory of 'University'?,  True,
Can Thing be considered a subcategory of 'something that teaches some (Person that is also Professor that is also Researcher that is also Teacher)'?,  False.
Can Person that is also Professor that is also Researcher that is also Teacher be considered a subcategory of 'University'?,  False.
Can Person that is also Professor that is also Researcher that is also Teacher be considered a subcategory of 'Project'?,  False.
Can Person that is also Professor that is also Researcher that is also Teacher be considered a subcategory of 'Module'?,  False.
Can something that (teaches some Person) that is also something that (teaches some (Professor that is also Researcher that is also Teacher)) be considered a subcategory of 'something that teaches some (Person that is also Professor that is also Researcher that is also Teacher)'?,  True.
Can something that teaches some (Person that is also Professor that is also Researcher that is also Teacher) be considered a subcategory of 'something that teaches some (Person that is also Professor that is also Researcher that is also Teacher)'?,  True.
Can something that teaches some (Professor that is also Researcher that is also Teacher) be considered a subcategory of 'University'?,  True.
Can something that teaches some (Researcher that is also Teacher) be considered a subcategory of 'University'?,  True,
Can something that teaches some Teacher be considered a subcategory of 'University'?,  False.
