BallGame and FootballTeam SubClassOf Player,  False.
Thing and (plays some (BallGame and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  True.
Thing and (plays some (BallGame and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  True.
Thing and (plays some (BallGame and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  True.
Thing and (plays some (BallGame and Person and Player and Team and Thing)) SubClassOf Manager,  False.
Thing and (plays some (BallGame and Manager and Player and Team and Thing)) SubClassOf Manager,  False.
Thing and (plays some (BallGame and Manager and Person and Team and Thing)) SubClassOf Manager,  True.
Thing and (plays some (BallGame and Manager and Person and Thing)) SubClassOf Manager,  False.
FootballTeam SubClassOf managed_by some Team,  True.
Thing SubClassOf managed_by some Team,  True.
Thing and (managed_by some Team) SubClassOf Thing and (managed_by some Team),  True.
Person SubClassOf Team,  False.
Thing SubClassOf Thing,  True.
Thing SubClassOf Thing and (managed_by some (Team and Thing)),  True.
Thing and (managed_by some (Manager and Team and Thing)) SubClassOf Thing and (managed_by some (Manager and Team and Thing)),  True.
Thing SubClassOf Manager and Team and Thing,  False.
Manager SubClassOf Manager and Team and Thing,  False.
Person SubClassOf Manager and Team and Thing,  False.
Thing and (managed_by some (Manager and Player and Team and Thing)) SubClassOf Thing and (managed_by some (Manager and Player and Team and Thing)),  False.
Thing SubClassOf Manager and Player and Team and Thing,  False.
Manager SubClassOf Manager and Player and Team and Thing,  False.
Person SubClassOf Manager and Player and Team and Thing,  False.
Thing and (managed_by some (FootballTeam and Manager and Player and Team and Thing)) SubClassOf Thing and (managed_by some (FootballTeam and Manager and Player and Team and Thing)),  False.
Thing SubClassOf FootballTeam and Manager and Player and Team and Thing,  False,
Manager SubClassOf FootballTeam and Manager and Player and Team and Thing,  False.
Person SubClassOf FootballTeam and Manager and Player and Team and Thing,  False.
managed_by some Person SubClassOf FootballTeam,  False.
managed_by some Team SubClassOf Player,  False.
plays some Football SubClassOf FootballPlayer,  False.
managed_by some Team SubClassOf FootballTeam,  True.
managed_by some Team SubClassOf Manager,  True.
Thing SubClassOf Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True
Thing and (managed_by some BallGame) and (managed_by some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True.
Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True.
Thing and (managed_by some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  True.
Thing and (managed_by some (FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  True.
Thing and (managed_by some (FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  True.
Thing and (managed_by some (Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  False.
Thing and (managed_by some (FootballTeam and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  True.
Thing and (managed_by some (FootballTeam and Person and Player and Team and Thing)) SubClassOf Manager,  True.
Thing and (managed_by some (FootballTeam and Player and Team and Thing)) SubClassOf Manager,  False.
Thing and (managed_by some (FootballTeam and Person and Team and Thing)) SubClassOf Manager,  False.
Thing and (managed_by some (FootballTeam and Person and Player and Thing)) SubClassOf Manager,  True.
Player SubClassOf plays some Football,  True\n
Thing SubClassOf plays some Football,  False.
Manager SubClassOf plays some Football,  False.
Team SubClassOf plays some Football,  True\n
Thing and (plays some Football) SubClassOf Thing and (plays some Football),  True.
Person SubClassOf Football,  False.
Team SubClassOf Manager and Thing and (plays some Football),  True.
Team SubClassOf Manager and Player and Thing and (plays some Football),  True.
Team SubClassOf FootballTeam and Manager and Player and Thing and (plays some Football),  True.
Team SubClassOf FootballTeam and Game and Manager and Player and Thing and (plays some Football),  True.
Team SubClassOf FootballPlayer and FootballTeam and Game and Manager and Player and Thing and (plays some Football),  True\n
Team SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Player and Thing and (plays some Football),  True\n
Team SubClassOf Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some Football),  True\n
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some Football),  True
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (Football and Thing)),  True
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (Football and Manager and Thing)),  True
Team SubClassOf Team,  True.
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (Football and Manager and Team and Thing)),  True
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (Football and Manager and Player and Team and Thing)),  True.
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (Football and FootballTeam and Manager and Player and Team and Thing)),  True.
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (Football and FootballTeam and Game and Manager and Player and Team and Thing)),  True.
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (Football and FootballPlayer and FootballTeam and Game and Manager and Player and Team and Thing)),  True.
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True
BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True.
Thing SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing,  False.
Manager SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing,  False.
Person SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing,  False.
Person SubClassOf plays some BallGame,  False.
Manager SubClassOf plays some BallGame,  False.
Person SubClassOf BallGame,  False.
managed_by some FootballTeam SubClassOf Team,  True.
Manager and Person and Thing SubClassOf Manager and Person and Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  False.
Manager and Person and Thing SubClassOf Team,  False.
Manager and Person and Thing SubClassOf Player,  False.
Manager and Person and Thing SubClassOf FootballTeam,  False.
Manager and Person and Thing SubClassOf Game,  False.
Manager and Person and Thing SubClassOf FootballPlayer,  False.
Manager and Person and Thing SubClassOf Football,  False.
Manager and Person and Thing SubClassOf BallGame,  False.
Manager and Person and Thing and (managed_by some BallGame) and (managed_by some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager and Person and Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True.
Manager and Person and Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager and Person and Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True.
Person and Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Team,  True.
Thing and (managed_by some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Team,  True.
Thing and (managed_by some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Team,  True.
Thing and (managed_by some (FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Team,  True.
Thing and (managed_by some (FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Team,  True.
Thing and (managed_by some (Game and Manager and Person and Player and Team and Thing)) SubClassOf Team,  False.
Thing and (managed_by some (FootballTeam and Manager and Person and Player and Team and Thing)) SubClassOf Team,  True.
Thing and (managed_by some (FootballTeam and Person and Player and Team and Thing)) SubClassOf Team,  True.
Thing and (managed_by some (FootballTeam and Player and Team and Thing)) SubClassOf Team,  False.
Thing and (managed_by some (FootballTeam and Person and Team and Thing)) SubClassOf Team,  False.
Thing and (managed_by some (FootballTeam and Person and Player and Thing)) SubClassOf Team,  True.
Person SubClassOf plays_for some Player,  True.
Thing SubClassOf plays_for some Player,  True.
Thing and (plays_for some Player) SubClassOf Thing and (plays_for some Player),  True.
Thing SubClassOf Thing and (plays_for some (Player and Thing)),  True.
Manager and Thing and (plays_for some (Player and Thing)) SubClassOf Manager and Thing and (plays_for some (Player and Thing)),  True.
Manager and Player and Thing and (managed_by some (FootballTeam and Manager and Player and Team and Thing)) SubClassOf Manager and Player and Thing and (managed_by some (FootballTeam and Manager and Player and Team and Thing)) and (plays_for some (Player and Thing)),  True.
Manager and Player and Team and Thing and (managed_by some (FootballTeam and Manager and Player and Team and Thing)) SubClassOf Manager and Player and Team and Thing and (managed_by some (FootballTeam and Manager and Player and Team and Thing)) and (plays_for some (Player and Thing)),  True
Can BallGame that is also FootballTeam be considered a subcategory of 'Player'?,  False.
Can something that plays_for some BallGame be considered a subcategory of 'Team'?,  False.
Can BallGame that is also FootballTeam be considered a subcategory of 'Person'?,  False.
Can FootballPlayer that is also Person be considered a subcategory of 'Game'?,  False.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Football'?,  True.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Manager'?,  False.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Team'?,  False.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Player'?,  True.
Can FootballPlayer be considered a subcategory of 'Player'?,  True,
Can FootballPlayer be considered a subcategory of 'Thing'?,  True.
Can FootballPlayer be considered a subcategory of 'Player that is also Thing'?,  True,
Can FootballPlayer be considered a subcategory of 'Manager'?,  False.
Can FootballPlayer be considered a subcategory of 'Team'?,  False.
Can FootballPlayer be considered a subcategory of 'FootballTeam'?,  False.
Can FootballPlayer be considered a subcategory of 'Game'?,  False.
Can FootballPlayer be considered a subcategory of 'Football'?,  False.
Can FootballPlayer be considered a subcategory of 'Person'?,  True.
Can FootballPlayer be considered a subcategory of 'Person that is also Player that is also Thing'?,  True,
Can FootballPlayer be considered a subcategory of 'BallGame'?,  True.
Can FootballPlayer be considered a subcategory of 'BallGame that is also Person that is also Player that is also Thing'?,  True,
Can something that managed_by some BallGame be considered a subcategory of 'FootballPlayer'?,  False.
Can FootballTeam that is also Team be considered a subcategory of 'FootballPlayer'?,  False.
Can BallGame that is also Manager be considered a subcategory of 'Game'?,  True.
Can BallGame that is also Manager be considered a subcategory of 'Team'?,  False.
Can BallGame that is also Manager be considered a subcategory of 'Player'?,  False.
Can BallGame that is also Manager be considered a subcategory of 'FootballTeam'?,  True,
Can Manager be considered a subcategory of 'FootballTeam'?,  False.
Can BallGame be considered a subcategory of 'FootballTeam'?,  False.
Can FootballTeam that is also Player be considered a subcategory of 'FootballPlayer'?,  False.
Can Game be considered a subcategory of 'something that plays some BallGame'?,  False.
Can Game that is also Person be considered a subcategory of 'Football'?,  False.
Can Game that is also Person be considered a subcategory of 'BallGame'?,  False.
Can something that plays some Team be considered a subcategory of 'FootballPlayer'?,  False.
Can Football that is also Player be considered a subcategory of 'Person'?,  False.
Can FootballTeam that is also Team be considered a subcategory of 'Football'?,  True.
Can FootballTeam that is also Team be considered a subcategory of 'Manager'?,  False.
Can FootballTeam that is also Team be considered a subcategory of 'Player'?,  False.
Can FootballTeam that is also Team be considered a subcategory of 'Game'?,  True.
Can Team be considered a subcategory of 'Game'?,  False.
Can FootballTeam be considered a subcategory of 'Game'?,  True,
Can FootballTeam be considered a subcategory of 'Thing'?,  True,
Can FootballTeam be considered a subcategory of 'Game that is also Thing'?,  True,
Can FootballTeam be considered a subcategory of 'Manager'?,  False.
Can FootballTeam be considered a subcategory of 'Team'?,  True,
Can FootballTeam be considered a subcategory of 'Game that is also Team that is also Thing'?,  True,
Can FootballTeam be considered a subcategory of 'Player'?,  False.
Can FootballTeam be considered a subcategory of 'FootballPlayer'?,  False.
Can FootballTeam be considered a subcategory of 'Football'?,  False.
Can FootballTeam be considered a subcategory of 'Person'?,  False.
Can FootballTeam be considered a subcategory of 'BallGame'?,  True,
Can FootballTeam be considered a subcategory of 'BallGame that is also Game that is also Team that is also Thing'?,  True,
Can Person be considered a subcategory of 'FootballPlayer'?,  False.
Can something that plays_for some Manager be considered a subcategory of 'Football'?,  False.
Can something that plays some FootballTeam be considered a subcategory of 'BallGame'?,  True.
Can something that plays some FootballTeam be considered a subcategory of 'Manager'?,  False.
Can something that plays some FootballTeam be considered a subcategory of 'Team'?,  True.
Can Thing be considered a subcategory of 'Thing that is also something that (plays some (BallGame that is also FootballTeam that is also Game that is also Team that is also Thing))'?,  True\n
Can BallGame that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'Manager'?,  False.
Can BallGame that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'Player'?,  False.
Can BallGame that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'FootballPlayer'?,  False.
Can BallGame that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'Football'?,  True.
Can FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'Football'?,  True.
Can Game that is also Team that is also Thing be considered a subcategory of 'Football'?,  False.
Can FootballTeam that is also Team that is also Thing be considered a subcategory of 'Football'?,  True.
Can FootballTeam that is also Thing be considered a subcategory of 'Football'?,  True.
Can Person that is also Team be considered a subcategory of 'Football'?,  False.
Can BallGame that is also Team be considered a subcategory of 'FootballTeam'?,  False.
Can Manager that is also Person be considered a subcategory of 'Player'?,  False.
Can something that plays some Person be considered a subcategory of 'Manager'?,  False.
Can something that plays_for some BallGame be considered a subcategory of 'Game'?,  False.
Can BallGame that is also Team be considered a subcategory of 'Player'?,  False.
Can FootballPlayer that is also FootballTeam be considered a subcategory of 'Manager'?,  False.
Can Manager be considered a subcategory of 'Person'?,  True.
Can Manager be considered a subcategory of 'Team'?,  False.
Can Manager be considered a subcategory of 'Player'?,  False.
Can Manager be considered a subcategory of 'Game'?,  False.
Can Manager be considered a subcategory of 'FootballPlayer'?,  False.
Can Manager be considered a subcategory of 'Football'?,  False.
Can Manager be considered a subcategory of 'Thing'?,  True.
Can Manager be considered a subcategory of 'Person that is also Thing'?,  False.
Can Manager be considered a subcategory of 'BallGame'?,  False.
Can Football that is also Manager be considered a subcategory of 'Game'?,  True,
Can Football that is also Manager be considered a subcategory of 'Team'?,  True,
Can Football be considered a subcategory of 'Team'?,  True.
Can Football be considered a subcategory of 'Thing'?,  True.
Can Football be considered a subcategory of 'Team that is also Thing'?,  True.
Can Football be considered a subcategory of 'Manager'?,  False.
Can Football be considered a subcategory of 'Player'?,  False.
Can Football be considered a subcategory of 'FootballTeam'?,  False.
Can Football be considered a subcategory of 'Game'?,  True.
Can Football be considered a subcategory of 'Game that is also Team that is also Thing'?,  True.
Can Football be considered a subcategory of 'FootballPlayer'?,  False.
Can Football be considered a subcategory of 'Person'?,  False.
Can Football be considered a subcategory of 'BallGame'?,  True.
Can Football be considered a subcategory of 'BallGame that is also Game that is also Team that is also Thing'?,  True.
Can something that plays some Team be considered a subcategory of 'Manager'?,  False.
Can Football that is also Team be considered a subcategory of 'FootballTeam'?,  True.
Can Football that is also Team be considered a subcategory of 'Manager'?,  False.
Can Football that is also Team be considered a subcategory of 'Player'?,  False.
Can Team be considered a subcategory of 'FootballTeam'?,  False.
Can FootballTeam be considered a subcategory of 'something that managed_by some Team'?,  True,
Can Thing be considered a subcategory of 'something that managed_by some Team'?,  False.
Can Manager be considered a subcategory of 'something that managed_by some Team'?,  False.
Can Team be considered a subcategory of 'something that managed_by some Team'?,  False.
Can Player be considered a subcategory of 'something that managed_by some Team'?,  True,
Can Thing that is also something that (managed_by some Team) be considered a subcategory of 'Thing that is also something that (managed_by some Team)'?,  False.
Can Player be considered a subcategory of 'Thing'?,  True.
Can Thing be considered a subcategory of 'Player'?,  False.
Can Thing be considered a subcategory of 'Thing that is also something that (managed_by some Team)'?,  False.
Can Player be considered a subcategory of 'Manager'?,  False.
Can Player be considered a subcategory of 'Team'?,  False.
Can Player be considered a subcategory of 'Player'?,  False.
Can Player be considered a subcategory of 'FootballTeam'?,  False.
Can Player be considered a subcategory of 'Game'?,  False.
Can Player be considered a subcategory of 'FootballPlayer'?,  True,
Can Player be considered a subcategory of 'Football'?,  False.
Can Player be considered a subcategory of 'Person'?,  True.
Can Person be considered a subcategory of 'Player'?,  False.
Can Person be considered a subcategory of 'Thing that is also something that (managed_by some Team)'?,  False.
Can Player be considered a subcategory of 'BallGame'?,  False.
Can Thing be considered a subcategory of 'Team'?,  False.
Can Game be considered a subcategory of 'Team'?,  False.
Can Person be considered a subcategory of 'Team'?,  False.
Can BallGame be considered a subcategory of 'Team'?,  False.
Can Player be considered a subcategory of 'FootballPlayer that is also Thing that is also something that (managed_by some Team)'?,  True.
Can Player be considered a subcategory of 'FootballPlayer that is also Person that is also Thing that is also something that (managed_by some Team)'?,  False.
Can Player be considered a subcategory of 'FootballPlayer that is also Thing that is also something that (managed_by some (Team that is also Thing))'?,  True.
Can Player be considered a subcategory of 'FootballPlayer that is also Thing that is also something that (managed_by some (FootballPlayer that is also Team that is also Thing))'?,  False.
Can Player be considered a subcategory of 'FootballPlayer that is also Thing that is also something that (managed_by some (Person that is also Team that is also Thing))'?,  True.
Can FootballPlayer that is also Player that is also Thing that is also something that (managed_by some (Person that is also Team that is also Thing)) be considered a subcategory of 'FootballPlayer that is also Player that is also Thing that is also something that (managed_by some (Person that is also Team that is also Thing))'?,  True.
Can Thing be considered a subcategory of 'Person that is also Team that is also Thing'?,  True.
Can Thing be considered a subcategory of 'Manager'?,  False.
Can Thing be considered a subcategory of 'FootballTeam'?,  False.
Can Thing be considered a subcategory of 'Game'?,  False.
Can Thing be considered a subcategory of 'FootballPlayer'?,  False.
Can Thing be considered a subcategory of 'Football'?,  False.
Can Thing be considered a subcategory of 'BallGame'?,  False.
Can something that plays_for some Football be considered a subcategory of 'Football'?,  False.
Can FootballPlayer be considered a subcategory of 'something that managed_by some Player'?,  False.
Can Football that is also Game be considered a subcategory of 'Manager'?,  False.
Can FootballTeam that is also Player be considered a subcategory of 'Manager'?,  False.
Can something that managed_by some Person be considered a subcategory of 'FootballTeam'?,  False.
Can something that managed_by some Team be considered a subcategory of 'Player'?,  False.
Can Football be considered a subcategory of 'something that managed_by some FootballTeam'?,  False.
Can something that plays some Football be considered a subcategory of 'FootballPlayer'?,  False.
Can Game be considered a subcategory of 'something that managed_by some FootballPlayer'?,  False.
Can Football be considered a subcategory of 'something that managed_by some Player'?,  False.
Can Manager be considered a subcategory of 'something that managed_by some Football'?,  False.
Can something that managed_by some Team be considered a subcategory of 'FootballTeam'?,  False.
Can Player be considered a subcategory of 'something that managed_by some FootballPlayer'?,  False.
