Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
InMatureCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CirculatingCell, True
InMatureCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf PlantCell, True
InMatureCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CellByClass, True
InMatureCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf MatureCell, True
InMatureCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf AnimalCell, True
InMatureCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Cell, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Miocyte, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Osteocyte, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf ChondroBlast, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf MioBlast, \nTrue
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CellByDevelopmentStage, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf PhotoreceptorCell, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CellByOrganism, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf ElectricallyActiveCell, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf StructuralCell, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
InMatureCell SubClassOf Neuron, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf ChondroCyte, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Miocyte and StructuralCell SubClassOf LeafCell, True
Miocyte and StructuralCell SubClassOf SclerenchymaCell, \nTrue
Miocyte SubClassOf SclerenchymaCell, True
Miocyte SubClassOf LeafCell, True
Miocyte SubClassOf LeafCell and SclerenchymaCell, True
Miocyte SubClassOf Erythrocyte, True
Miocyte SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf PhotosyntheticCell, True
Miocyte SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf CirculatingCell, True
Miocyte SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf PlantCell, True
Miocyte SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf CellByClass, True
Miocyte SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf MatureCell, True
Miocyte SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf AnimalCell, True
Miocyte SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf Cell, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf InMatureCell, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf Osteocyte, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
Miocyte SubClassOf ChondroBlast, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf MioBlast, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf CellByDevelopmentStage, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf PhotoreceptorCell, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf CellByOrganism, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
Miocyte SubClassOf ElectricallyActiveCell, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf StructuralCell, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Miocyte SubClassOf Neuron, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Miocyte SubClassOf ChondroCyte, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, True.
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage and LeafCell SubClassOf AnimalCell, \nTrue
CellByDevelopmentStage and LeafCell SubClassOf SclerenchymaCell, \nTrue
LeafCell SubClassOf SclerenchymaCell, True
LeafCell SubClassOf Erythrocyte, True
LeafCell SubClassOf Erythrocyte and SclerenchymaCell, True
LeafCell SubClassOf PhotosyntheticCell, True
LeafCell SubClassOf Erythrocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf CirculatingCell, True
LeafCell SubClassOf CirculatingCell and Erythrocyte and PhotosyntheticCell and SclerenchymaCell, True.
LeafCell SubClassOf PlantCell, True
LeafCell SubClassOf CirculatingCell and Erythrocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf CellByClass, True
LeafCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf MatureCell, True
LeafCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf AnimalCell, True
LeafCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf Cell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf Miocyte, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf InMatureCell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf Osteocyte, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf ChondroBlast, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf MioBlast, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf CellByDevelopmentStage, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf PhotoreceptorCell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf CellByOrganism, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf ElectricallyActiveCell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
LeafCell SubClassOf StructuralCell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf Neuron, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf ChondroCyte, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage and ChondroBlast SubClassOf Osteocyte, \nTrue
CellByDevelopmentStage and ChondroBlast SubClassOf SclerenchymaCell, \nTrue
ChondroBlast SubClassOf SclerenchymaCell, True
ChondroBlast SubClassOf LeafCell, True
ChondroBlast SubClassOf LeafCell and SclerenchymaCell, True
ChondroBlast SubClassOf Erythrocyte, True
ChondroBlast SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nFalse
ChondroBlast SubClassOf PhotosyntheticCell, \nFalse
ChondroBlast SubClassOf CirculatingCell, True
ChondroBlast SubClassOf CirculatingCell and LeafCell and SclerenchymaCell, True
ChondroBlast SubClassOf PlantCell, True
ChondroBlast SubClassOf CirculatingCell and LeafCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf CellByClass, True
ChondroBlast SubClassOf CellByClass and CirculatingCell and LeafCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf MatureCell, True
ChondroBlast SubClassOf CellByClass and CirculatingCell and LeafCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf AnimalCell, True
ChondroBlast SubClassOf AnimalCell and CellByClass and CirculatingCell and LeafCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf Cell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and LeafCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf Miocyte, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and LeafCell and MatureCell and Miocyte and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf InMatureCell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and InMatureCell and LeafCell and MatureCell and Miocyte and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf Osteocyte, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf MioBlast, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf CellByDevelopmentStage, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf PhotoreceptorCell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf CellByOrganism, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf ElectricallyActiveCell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nHere
ChondroBlast SubClassOf StructuralCell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ChondroBlast SubClassOf Neuron, \nFalse
ChondroBlast SubClassOf ChondroCyte, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell and MatureCell SubClassOf Osteocyte, True
Cell and MatureCell SubClassOf SclerenchymaCell, \nTrue
Cell SubClassOf SclerenchymaCell, True
Cell SubClassOf LeafCell, True
Cell SubClassOf LeafCell and SclerenchymaCell, \nTrue
Cell SubClassOf Erythrocyte, True
