Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
CellByOrganism SubClassOf Cell and CellByClass and Erythrocyte and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf Miocyte, False
CellByOrganism SubClassOf InMatureCell, \nFalse
CellByOrganism SubClassOf Osteocyte, \nFalse
CellByOrganism SubClassOf ChondroBlast, \nFalse
CellByOrganism SubClassOf MioBlast, \nFalse
CellByOrganism SubClassOf CellByDevelopmentStage, \nTrue
CellByOrganism SubClassOf Cell and CellByClass and CellByDevelopmentStage and Erythrocyte and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf PhotoreceptorCell, \nFalse
CellByOrganism SubClassOf ElectricallyActiveCell, \nFalse
CellByOrganism SubClassOf StructuralCell, \nFalse
CellByOrganism SubClassOf Neuron, \nTrue
CellByOrganism SubClassOf Cell and CellByClass and CellByDevelopmentStage and Erythrocyte and MatureCell and Neuron and PhotosyntheticCell and SclerenchymaCell, \nHere
CellByOrganism SubClassOf ChondroCyte, \nTrue
CellByOrganism SubClassOf Cell and CellByClass and CellByDevelopmentStage and ChondroCyte and Erythrocyte and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nHere
Osteocyte and SclerenchymaCell SubClassOf AnimalCell, \nFalse
InMatureCell and Miocyte SubClassOf PhotosyntheticCell, \nTrue
InMatureCell and Miocyte SubClassOf SclerenchymaCell, \nFalse
InMatureCell and Miocyte SubClassOf LeafCell, \nFalse
InMatureCell and Miocyte SubClassOf Erythrocyte, \nTrue
Miocyte SubClassOf Erythrocyte, \nFalse
InMatureCell and StructuralCell SubClassOf ChondroCyte, \nFalse
AnimalCell and InMatureCell SubClassOf ChondroCyte, \nTrue
AnimalCell and InMatureCell SubClassOf SclerenchymaCell, \nFalse
AnimalCell and InMatureCell SubClassOf LeafCell, \nFalse
AnimalCell and InMatureCell SubClassOf Erythrocyte, \nTrue
AnimalCell SubClassOf Erythrocyte, \nFalse
CellByClass and ChondroBlast SubClassOf ElectricallyActiveCell, \nTrue
CellByClass and ChondroBlast SubClassOf SclerenchymaCell, \nFalse
CellByClass and ChondroBlast SubClassOf LeafCell, \nFalse
CellByClass and ChondroBlast SubClassOf Erythrocyte, \nFalse
CellByClass and ChondroBlast SubClassOf PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf SclerenchymaCell, \nFalse
ChondroBlast SubClassOf LeafCell, \nTrue
ChondroBlast SubClassOf LeafCell and PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf Erythrocyte, \nFalse
ChondroBlast SubClassOf CirculatingCell, \nTrue
ChondroBlast SubClassOf CirculatingCell and LeafCell and PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf PlantCell, \nTrue
ChondroBlast SubClassOf CirculatingCell and LeafCell and PhotosyntheticCell and PlantCell, \nTrue
ChondroBlast SubClassOf CellByClass, False
ChondroBlast SubClassOf MatureCell, \nTrue
ChondroBlast SubClassOf CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
ChondroBlast SubClassOf AnimalCell, \nFalse
ChondroBlast SubClassOf Cell, \nTrue
ChondroBlast SubClassOf Cell and CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
ChondroBlast SubClassOf Miocyte, \nFalse
ChondroBlast SubClassOf InMatureCell, False
ChondroBlast SubClassOf Osteocyte, \nFalse
ChondroBlast SubClassOf MioBlast, \nTrue
ChondroBlast SubClassOf Cell and CirculatingCell and LeafCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell, \nHere
ChondroBlast SubClassOf CellByDevelopmentStage, \nTrue
ChondroBlast SubClassOf Cell and CellByDevelopmentStage and CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nHere
ChondroBlast SubClassOf PhotoreceptorCell, \nFalse
ChondroBlast SubClassOf CellByOrganism, \nTrue
ChondroBlast SubClassOf Cell and CellByOrganism and CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nHere
ChondroBlast SubClassOf ElectricallyActiveCell, \nTrue
ChondroBlast SubClassOf Cell and CirculatingCell and ElectricallyActiveCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nHere
ChondroBlast SubClassOf StructuralCell, \nTrue
ChondroBlast SubClassOf Cell and CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and StructuralCell, \nHere
ChondroBlast SubClassOf Neuron, \nFalse
ChondroBlast SubClassOf ChondroCyte, \nTrue
ChondroBlast SubClassOf Cell and ChondroCyte and CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
ChondroBlast SubClassOf Cell and ChondroCyte and CirculatingCell and LeafCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell, \nTrue
ChondroBlast SubClassOf Cell and CellByDevelopmentStage and ChondroCyte and CirculatingCell and LeafCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell, \nHere
ChondroBlast SubClassOf Cell and CellByOrganism and ChondroCyte and CirculatingCell and LeafCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell, \nHere
ChondroBlast SubClassOf Cell and ChondroCyte and CirculatingCell and ElectricallyActiveCell and LeafCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell, \nHere
ChondroBlast SubClassOf Cell and ChondroCyte and CirculatingCell and LeafCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and StructuralCell, \nHere
CellByDevelopmentStage and Miocyte SubClassOf SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf LeafCell, \nTrue
CellByDevelopmentStage SubClassOf LeafCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf PhotosyntheticCell, \nTrue
CellByDevelopmentStage SubClassOf LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CirculatingCell, \nFalse
CellByDevelopmentStage SubClassOf PlantCell, \nTrue
CellByDevelopmentStage SubClassOf LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CellByClass, \nFalse
CellByDevelopmentStage SubClassOf MatureCell, \nTrue
CellByDevelopmentStage SubClassOf LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell, \nFalse
CellByDevelopmentStage SubClassOf Cell, False
CellByDevelopmentStage SubClassOf Miocyte, \nTrue
CellByDevelopmentStage SubClassOf LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf InMatureCell, \nFalse
CellByDevelopmentStage SubClassOf Osteocyte, \nTrue
CellByDevelopmentStage SubClassOf LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf ChondroBlast, \nFalse
CellByDevelopmentStage SubClassOf MioBlast, \nFalse
CellByDevelopmentStage SubClassOf PhotoreceptorCell, \nTrue
CellByDevelopmentStage SubClassOf LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CellByOrganism, False
CellByDevelopmentStage SubClassOf ElectricallyActiveCell, \nTrue
CellByDevelopmentStage SubClassOf ElectricallyActiveCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf StructuralCell, \nFalse
CellByDevelopmentStage SubClassOf Neuron, \nFalse
CellByDevelopmentStage SubClassOf ChondroCyte, \nTrue
CellByDevelopmentStage SubClassOf ChondroCyte and ElectricallyActiveCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
Cell and PhotoreceptorCell SubClassOf ElectricallyActiveCell, \nTrue
Cell and PhotoreceptorCell SubClassOf SclerenchymaCell, \nFalse
Cell and PhotoreceptorCell SubClassOf LeafCell, \nFalse
Cell and PhotoreceptorCell SubClassOf Erythrocyte, \nFalse
Cell and PhotoreceptorCell SubClassOf PhotosyntheticCell, \nTrue
Cell SubClassOf PhotosyntheticCell, \nFalse
PhotoreceptorCell SubClassOf PhotosyntheticCell, \nFalse
CirculatingCell and SclerenchymaCell SubClassOf LeafCell, \nTrue
SclerenchymaCell SubClassOf LeafCell, \nTrue
SclerenchymaCell SubClassOf Erythrocyte, \nFalse
SclerenchymaCell SubClassOf PhotosyntheticCell, \nFalse
SclerenchymaCell SubClassOf CirculatingCell, \nFalse
SclerenchymaCell SubClassOf PlantCell, \nTrue
SclerenchymaCell SubClassOf LeafCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf CellByClass, \nTrue
SclerenchymaCell SubClassOf CellByClass and LeafCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf MatureCell, \nTrue
SclerenchymaCell SubClassOf CellByClass and LeafCell and MatureCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf AnimalCell, \nFalse
SclerenchymaCell SubClassOf Cell, \nTrue
SclerenchymaCell SubClassOf Cell and CellByClass and LeafCell and MatureCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf Miocyte, \nFalse
SclerenchymaCell SubClassOf InMatureCell, \nTrue
SclerenchymaCell SubClassOf Cell and CellByClass and InMatureCell and LeafCell and MatureCell and PlantCell, \nHere
SclerenchymaCell SubClassOf Osteocyte, \nFalse
SclerenchymaCell SubClassOf ChondroBlast, \nTrue
SclerenchymaCell SubClassOf Cell and CellByClass and ChondroBlast and LeafCell and MatureCell and PlantCell, \nHere
SclerenchymaCell SubClassOf MioBlast, \nFalse
SclerenchymaCell SubClassOf CellByDevelopmentStage, \nTrue
SclerenchymaCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and LeafCell and MatureCell and PlantCell, \nHere
SclerenchymaCell SubClassOf PhotoreceptorCell, \nFalse
SclerenchymaCell SubClassOf CellByOrganism, \nTrue
SclerenchymaCell SubClassOf Cell and CellByClass and CellByOrganism and LeafCell and MatureCell and PlantCell, \nHere
SclerenchymaCell SubClassOf ElectricallyActiveCell, \nFalse
SclerenchymaCell SubClassOf StructuralCell, \nFalse
SclerenchymaCell SubClassOf Neuron, \nFalse
SclerenchymaCell SubClassOf ChondroCyte, \nFalse
LeafCell and PhotosyntheticCell SubClassOf PhotoreceptorCell, \nFalse
ChondroCyte SubClassOf PhotoreceptorCell, \nFalse
Neuron and PlantCell SubClassOf LeafCell, \nTrue
Neuron and PlantCell SubClassOf SclerenchymaCell, \nTrue
PlantCell SubClassOf SclerenchymaCell, \nTrue
PlantCell SubClassOf LeafCell, False
PlantCell SubClassOf Erythrocyte, \nFalse
PlantCell SubClassOf PhotosyntheticCell, \nTrue
PlantCell SubClassOf PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf CirculatingCell, \nFalse
PlantCell SubClassOf CellByClass, \nTrue
PlantCell SubClassOf CellByClass and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf MatureCell, \nFalse
PlantCell SubClassOf AnimalCell, \nFalse
PlantCell SubClassOf Cell, \nTrue
PlantCell SubClassOf Cell and CellByClass and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf Miocyte, \nFalse
PlantCell SubClassOf InMatureCell, \nTrue
PlantCell SubClassOf Cell and CellByClass and InMatureCell and PhotosyntheticCell and SclerenchymaCell, \nHere
PlantCell SubClassOf Osteocyte, \nFalse
PlantCell SubClassOf ChondroBlast, False
PlantCell SubClassOf MioBlast, \nFalse
PlantCell SubClassOf CellByDevelopmentStage, \nTrue
PlantCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and PhotosyntheticCell and SclerenchymaCell, \nHere
PlantCell SubClassOf PhotoreceptorCell, \nFalse
PlantCell SubClassOf CellByOrganism, \nTrue
PlantCell SubClassOf Cell and CellByClass and CellByOrganism and PhotosyntheticCell and SclerenchymaCell, \nHere
PlantCell SubClassOf ElectricallyActiveCell, \nTrue
PlantCell SubClassOf Cell and CellByClass and ElectricallyActiveCell and PhotosyntheticCell and SclerenchymaCell, \nHere
PlantCell SubClassOf StructuralCell, \nFalse
PlantCell SubClassOf Neuron, \nFalse
PlantCell SubClassOf ChondroCyte, \nFalse
LeafCell and SclerenchymaCell SubClassOf PhotoreceptorCell, \nFalse
CellByClass and Osteocyte SubClassOf LeafCell, \nFalse
CellByOrganism and Osteocyte SubClassOf StructuralCell, \nTrue
CellByOrganism and Osteocyte SubClassOf CirculatingCell, \nTrue
Osteocyte SubClassOf CirculatingCell, \nTrue
Osteocyte SubClassOf SclerenchymaCell, \nFalse
Osteocyte SubClassOf LeafCell, \nFalse
Osteocyte SubClassOf Erythrocyte, \nFalse
Osteocyte SubClassOf PhotosyntheticCell, \nFalse
Osteocyte SubClassOf PlantCell, \nFalse
Osteocyte SubClassOf CellByClass, \nTrue
Osteocyte SubClassOf CellByClass and CirculatingCell, \nTrue
Osteocyte SubClassOf MatureCell, \nTrue
Osteocyte SubClassOf CellByClass and CirculatingCell and MatureCell, \nTrue
Osteocyte SubClassOf AnimalCell, \nFalse
Osteocyte SubClassOf Cell, \nTrue
Osteocyte SubClassOf Cell and CellByClass and CirculatingCell and MatureCell, \nHere
Osteocyte SubClassOf Miocyte, \nFalse
Osteocyte SubClassOf InMatureCell, \nFalse
Osteocyte SubClassOf ChondroBlast, \nFalse
Osteocyte SubClassOf MioBlast, \nFalse
Osteocyte SubClassOf CellByDevelopmentStage, \nFalse
Osteocyte SubClassOf PhotoreceptorCell, \nFalse
Osteocyte SubClassOf CellByOrganism, \nTrue
Osteocyte SubClassOf CellByClass and CellByOrganism and CirculatingCell and MatureCell, \nTrue
Osteocyte SubClassOf ElectricallyActiveCell, \nTrue
Osteocyte SubClassOf CellByClass and CellByOrganism and CirculatingCell and ElectricallyActiveCell and MatureCell, \nTrue
Osteocyte SubClassOf StructuralCell, \nTrue
Osteocyte SubClassOf CellByClass and CellByOrganism and CirculatingCell and ElectricallyActiveCell and MatureCell and StructuralCell, \nHere
Osteocyte SubClassOf Neuron, \nFalse
Osteocyte SubClassOf ChondroCyte, \nFalse
Osteocyte SubClassOf Cell and CellByClass and CellByOrganism and CirculatingCell and ElectricallyActiveCell and MatureCell, \nHere
MatureCell and MioBlast SubClassOf CirculatingCell, \nFalse
ChondroBlast and Neuron SubClassOf StructuralCell, \nFalse
ChondroBlast and SclerenchymaCell SubClassOf StructuralCell, \nTrue
ChondroBlast and SclerenchymaCell SubClassOf Erythrocyte, \nFalse
ChondroBlast and SclerenchymaCell SubClassOf AnimalCell, \nFalse
ChondroBlast and SclerenchymaCell SubClassOf Miocyte, \nTrue
Erythrocyte and StructuralCell SubClassOf CirculatingCell, \nTrue
Erythrocyte SubClassOf CirculatingCell, \nTrue
Erythrocyte SubClassOf SclerenchymaCell, \nFalse
Erythrocyte SubClassOf LeafCell, \nFalse
Erythrocyte SubClassOf PhotosyntheticCell, \nFalse
Erythrocyte SubClassOf PlantCell, \nFalse
Erythrocyte SubClassOf CellByClass, \nTrue
Erythrocyte SubClassOf CellByClass and CirculatingCell, \nTrue
Erythrocyte SubClassOf MatureCell, \nTrue
Erythrocyte SubClassOf CellByClass and CirculatingCell and MatureCell, \nTrue
Erythrocyte SubClassOf AnimalCell, \nTrue
Erythrocyte SubClassOf AnimalCell and CellByClass and CirculatingCell and MatureCell, \nTrue
Erythrocyte SubClassOf Cell, \nTrue
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and MatureCell, \nTrue
Erythrocyte SubClassOf Miocyte, \nFalse
Erythrocyte SubClassOf InMatureCell, \nTrue
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and InMatureCell and MatureCell, \nHere
Erythrocyte SubClassOf Osteocyte, \nFalse
Erythrocyte SubClassOf ChondroBlast, \nFalse
Erythrocyte SubClassOf MioBlast, \nFalse
Erythrocyte SubClassOf CellByDevelopmentStage, \nTrue
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell, \nHere
Erythrocyte SubClassOf PhotoreceptorCell, \nFalse
Erythrocyte SubClassOf CellByOrganism, \nFalse
Erythrocyte SubClassOf ElectricallyActiveCell, \nFalse
Erythrocyte SubClassOf StructuralCell, \nFalse
Erythrocyte SubClassOf Neuron, \nFalse
Erythrocyte SubClassOf ChondroCyte, \nFalse
AnimalCell SubClassOf Cell, \nTrue
AnimalCell SubClassOf SclerenchymaCell, \nFalse
AnimalCell SubClassOf LeafCell, \nFalse
AnimalCell SubClassOf PhotosyntheticCell, \nFalse
AnimalCell SubClassOf CirculatingCell, \nTrue
AnimalCell SubClassOf PlantCell, \nFalse
AnimalCell SubClassOf CellByClass, \nTrue
AnimalCell SubClassOf CellByClass and CirculatingCell, \nTrue
AnimalCell SubClassOf MatureCell, \nTrue
AnimalCell SubClassOf CellByClass and CirculatingCell and MatureCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and MatureCell, \nTrue
AnimalCell SubClassOf Miocyte, \nFalse
AnimalCell SubClassOf InMatureCell, \nFalse
AnimalCell SubClassOf Osteocyte, \nFalse
AnimalCell SubClassOf ChondroBlast, \nFalse
AnimalCell SubClassOf MioBlast, \nFalse
AnimalCell SubClassOf CellByDevelopmentStage, \nTrue
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell, \nHere
AnimalCell SubClassOf PhotoreceptorCell, \nFalse
AnimalCell SubClassOf CellByOrganism, True
AnimalCell SubClassOf Cell and CellByClass and CellByOrganism and CirculatingCell and MatureCell, \nHere
AnimalCell SubClassOf ElectricallyActiveCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell, \nHere
AnimalCell SubClassOf StructuralCell, False
AnimalCell SubClassOf Neuron, \nFalse
AnimalCell SubClassOf ChondroCyte, \nFalse
ElectricallyActiveCell and LeafCell SubClassOf Cell, \nTrue
ElectricallyActiveCell and LeafCell SubClassOf SclerenchymaCell, \nFalse
ElectricallyActiveCell and LeafCell SubClassOf Erythrocyte, \nFalse
ElectricallyActiveCell and LeafCell SubClassOf PhotosyntheticCell, \nTrue
LeafCell SubClassOf PhotosyntheticCell, \nTrue
LeafCell SubClassOf SclerenchymaCell, \nFalse
LeafCell SubClassOf CirculatingCell, \nTrue
LeafCell SubClassOf CirculatingCell and PhotosyntheticCell, \nTrue
LeafCell SubClassOf PlantCell, \nTrue
LeafCell SubClassOf CirculatingCell and PhotosyntheticCell and PlantCell, \nTrue
LeafCell SubClassOf CellByClass, \nTrue
LeafCell SubClassOf CellByClass and CirculatingCell and PhotosyntheticCell and PlantCell, \nTrue
LeafCell SubClassOf MatureCell, \nTrue
LeafCell SubClassOf CellByClass and CirculatingCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
LeafCell SubClassOf AnimalCell, False
LeafCell SubClassOf Cell, \nTrue
LeafCell SubClassOf Cell and CellByClass and CirculatingCell and MatureCell and PhotosyntheticCell and PlantCell, \nHere
LeafCell SubClassOf Miocyte, \nFalse
LeafCell SubClassOf InMatureCell, \nTrue
LeafCell SubClassOf CellByClass and CirculatingCell and InMatureCell and MatureCell and PhotosyntheticCell and PlantCell, \nHere
LeafCell SubClassOf Osteocyte, \nFalse
LeafCell SubClassOf ChondroBlast, \nFalse
LeafCell SubClassOf MioBlast, \nTrue
LeafCell SubClassOf CellByClass and CirculatingCell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell, \nTrue
LeafCell SubClassOf CellByDevelopmentStage, False
LeafCell SubClassOf PhotoreceptorCell, \nTrue
LeafCell SubClassOf CellByClass and CirculatingCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nTrue
LeafCell SubClassOf CellByOrganism, \nTrue
LeafCell SubClassOf CellByClass and CellByOrganism and CirculatingCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nHere
LeafCell SubClassOf ElectricallyActiveCell, \nTrue
LeafCell SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nTrue
LeafCell SubClassOf StructuralCell, \nTrue
LeafCell SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell and StructuralCell, \nHere
LeafCell SubClassOf Neuron, \nFalse
LeafCell SubClassOf ChondroCyte, False
LeafCell SubClassOf Cell and CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nHere
LeafCell SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and InMatureCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nHere
LeafCell SubClassOf CellByClass and CellByOrganism and CirculatingCell and ElectricallyActiveCell and MatureCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nHere
CellByOrganism and PhotoreceptorCell SubClassOf ChondroBlast, \nFalse
Cell and PhotosyntheticCell SubClassOf MatureCell, \nTrue
Cell and PhotosyntheticCell SubClassOf SclerenchymaCell, \nFalse
Cell and PhotosyntheticCell SubClassOf LeafCell, \nTrue
Cell SubClassOf LeafCell, \nFalse
PhotosyntheticCell SubClassOf LeafCell, False
CirculatingCell and Neuron SubClassOf PhotosyntheticCell, \nFalse
MioBlast and StructuralCell SubClassOf InMatureCell, \nTrue
MioBlast and StructuralCell SubClassOf Erythrocyte, \nTrue
MioBlast SubClassOf Erythrocyte, \nTrue
MioBlast SubClassOf SclerenchymaCell, \nTrue
MioBlast SubClassOf Erythrocyte and SclerenchymaCell, \nFalse
MioBlast SubClassOf LeafCell, \nFalse
MioBlast SubClassOf PhotosyntheticCell, \nTrue
MioBlast SubClassOf Erythrocyte and PhotosyntheticCell, \nTrue
MioBlast SubClassOf CirculatingCell, \nFalse
MioBlast SubClassOf PlantCell, \nTrue
MioBlast SubClassOf Erythrocyte and PhotosyntheticCell and PlantCell, \nTrue
MioBlast SubClassOf CellByClass, False
MioBlast SubClassOf MatureCell, False
MioBlast SubClassOf AnimalCell, \nFalse
MioBlast SubClassOf Cell, \nTrue
