Crop and MarinePlant SubClassOf Arthropod,  False.
MicrobiotaTaxonomy SubClassOf Sponge,  False.
MicrobiotaTaxonomy SubClassOf Flatworm,  False.
MicrobiotaTaxonomy SubClassOf Diatom,  False.
MicrobiotaTaxonomy SubClassOf FungiTaxonomy,  False.
MicrobiotaTaxonomy SubClassOf MarinePlant,  False.
MicrobiotaTaxonomy SubClassOf Moss,  False.
MicrobiotaTaxonomy SubClassOf Vertebrate,  False.
MicrobiotaTaxonomy SubClassOf Radiolarian,  False.
MicrobiotaTaxonomy SubClassOf Human,  False.
MicrobiotaTaxonomy SubClassOf MarineMicrobiota,  False.
MicrobiotaTaxonomy SubClassOf Animal,  False.
MicrobiotaTaxonomy SubClassOf Flagellate,  False.
MicrobiotaTaxonomy SubClassOf Poultry,  False.
MicrobiotaTaxonomy SubClassOf MarineMammal,  False.
MicrobiotaTaxonomy SubClassOf Amphibian,  False.
MicrobiotaTaxonomy SubClassOf Millipede,  False.
MicrobiotaTaxonomy SubClassOf Plankton,  False.
MicrobiotaTaxonomy SubClassOf Roundworm,  False.
MicrobiotaTaxonomy SubClassOf Microphyte,  False.
MicrobiotaTaxonomy SubClassOf SlimeMold,  False.
MicrobiotaTaxonomy SubClassOf Coccolithophore,  False.
MicrobiotaTaxonomy SubClassOf Lichen,  False.
MicrobiotaTaxonomy SubClassOf Leaf,  False.
MicrobiotaTaxonomy SubClassOf Pollen,  False.
MicrobiotaTaxonomy SubClassOf Mushroom,  False.
MicrobiotaTaxonomy SubClassOf Fish,  False.
MicrobiotaTaxonomy SubClassOf Reptile,  False.
MicrobiotaTaxonomy SubClassOf MarineAnimal,  False.
MicrobiotaTaxonomy SubClassOf Macroalgae,  False.
MicrobiotaTaxonomy SubClassOf Foraminifer,  False.
MicrobiotaTaxonomy SubClassOf Dairy,  False.
MicrobiotaTaxonomy SubClassOf Liverwort,  False.
MicrobiotaTaxonomy SubClassOf Crustacean,  False.
MicrobiotaTaxonomy SubClassOf Canopy,  False.
MicrobiotaTaxonomy SubClassOf Coral,  False.
MicrobiotaTaxonomy SubClassOf ExoticVegetation,  False.
MicrobiotaTaxonomy SubClassOf Macrophyte,  False.
MicrobiotaTaxonomy SubClassOf SegmentedWorm,  False.
MicrobiotaTaxonomy SubClassOf LivingThing,  True.
MicrobiotaTaxonomy SubClassOf Livestock and LivingThing and Microbiota,  True for
MicrobiotaTaxonomy SubClassOf Bird,  False.
MicrobiotaTaxonomy SubClassOf Fern,  False.
MicrobiotaTaxonomy SubClassOf DominantSpecies,  False.
MicrobiotaTaxonomy SubClassOf BlueGreenAlgae,  False.
MicrobiotaTaxonomy SubClassOf EvergreenVegetation,  False.
MicrobiotaTaxonomy SubClassOf TreeRing,  False.
MicrobiotaTaxonomy SubClassOf Vegetation,  False.
MicrobiotaTaxonomy SubClassOf ExoticSpecies,  False.
MicrobiotaTaxonomy SubClassOf Litter,  False.
MicrobiotaTaxonomy SubClassOf Crown,  False.
MicrobiotaTaxonomy SubClassOf Jellyfish,  False.
MicrobiotaTaxonomy SubClassOf Invertebrate,  False.
MicrobiotaTaxonomy SubClassOf Anemone,  False.
MicrobiotaTaxonomy SubClassOf Ciliate,  False.
MicrobiotaTaxonomy SubClassOf Zooplankton,  False.
MicrobiotaTaxonomy SubClassOf FloweringPlant,  False.
MicrobiotaTaxonomy SubClassOf Sporozoan,  False.
MicrobiotaTaxonomy SubClassOf IndigenousVegetation,  False.
MicrobiotaTaxonomy SubClassOf Nutrient,  False.
MicrobiotaTaxonomy SubClassOf IndigenousSpecies,  False.
MicrobiotaTaxonomy SubClassOf MarineInvertebrate,  False.
MicrobiotaTaxonomy SubClassOf Conifer,  False.
MicrobiotaTaxonomy SubClassOf Yeast,  False.
MicrobiotaTaxonomy SubClassOf Mammal,  False.
MicrobiotaTaxonomy SubClassOf Protist,  False.
MicrobiotaTaxonomy SubClassOf Centipede,  False.
MicrobiotaTaxonomy SubClassOf Crop,  False.
MicrobiotaTaxonomy SubClassOf Algae,  False.
MicrobiotaTaxonomy SubClassOf Arthropod,  False.
MicrobiotaTaxonomy SubClassOf MarineBird,  False.
MicrobiotaTaxonomy SubClassOf Chlorophyll,  False.
MicrobiotaTaxonomy SubClassOf Mollusk,  False.
MicrobiotaTaxonomy SubClassOf Echinoderm,  False.
MicrobiotaTaxonomy SubClassOf Plant,  False.
MicrobiotaTaxonomy SubClassOf Amoebae,  False.
MicrobiotaTaxonomy SubClassOf Insect,  False.
MicrobiotaTaxonomy SubClassOf Mold,  False.
MicrobiotaTaxonomy SubClassOf Bacteria,  False.
MicrobiotaTaxonomy SubClassOf DeciduousVegetation,  False.
MicrobiotaTaxonomy SubClassOf Phytoplankton,  False.
Coccolithophore and Litter SubClassOf MicrobiotaTaxonomy,  True for
Crop and Plant SubClassOf Reptile,  False.
Fern and Flatworm SubClassOf Animal,  True for
Anemone and MarineMicrobiota SubClassOf DominantSpecies,  False.
Arachnid and Conifer SubClassOf Vertebrate,  False.
Animal and Crustacean SubClassOf Sporozoan,  False.
Animal and Dairy SubClassOf BlueGreenAlgae,  False.
Yeast and Zooplankton SubClassOf VegetationCover,  False.
EvergreenVegetation and MarineInvertebrate SubClassOf Sponge,  False.
Fungi and Millipede SubClassOf Phytoplankton,  False.
Algae and Fish SubClassOf VegetationSpecies,  False.
Fern and Plankton SubClassOf Lichen,  False.
MarineMicrobiota and Nutrient SubClassOf Flatworm,  False.
Insect and Poultry SubClassOf Yeast,  False.
Coccolithophore and ExoticVegetation SubClassOf Algae,  True for
MarineMammal and VegetationSpecies SubClassOf Fern,  False.
Algae and Fungi SubClassOf Dairy,  False.
Mollusk and Sporozoan SubClassOf Amphibian,  False.
DominantSpecies and Plant SubClassOf Centipede,  False.
Microalgae and Radiolarian SubClassOf Reptile,  False.
Human and Mushroom SubClassOf SlimeMold,  False.
Conifer and MarineBird SubClassOf DominantSpecies,  False.
DeciduousVegetation and Microphyte SubClassOf MicrobiotaTaxonomy,  False.
Arachnid and Crop SubClassOf FloweringPlant,  False.
Microbiota and Millipede SubClassOf SegmentedWorm,  False.
Animal and Liverwort SubClassOf Millipede,  False.
Diatom and Roundworm SubClassOf Fungi,  False.
Coral and Fern SubClassOf Mammal,  False.
Insect and Zooplankton SubClassOf Poultry,  False.
Algae and Coccolithophore SubClassOf Radiolarian,  False.
MarineInvertebrate and Roundworm SubClassOf Insect,  False.
Invertebrate and Pollen SubClassOf Vegetation,  False.
Plankton and Vegetation SubClassOf Mold,  False.
Amphibian and Centipede SubClassOf Leaf,  False.
DominantSpecies and Vegetation SubClassOf MarineAnimal,  False.
Bacteria and Sponge SubClassOf Centipede,  False.
Arthropod and SegmentedWorm SubClassOf Fern,  False.
Bird and Coral SubClassOf ExoticSpecies,  Bird is
Livestock and SlimeMold SubClassOf Conifer,  False.
Moss and Vertebrate SubClassOf Microalgae,  False.
EvergreenVegetation and Microbiota SubClassOf MarineInvertebrate,  False.
ExoticVegetation and Nutrient SubClassOf DeciduousVegetation,  False.
Anemone and Macroalgae SubClassOf MarineMammal,  False.
Arachnid and Centipede SubClassOf Diatom,  False.
Liverwort and Microphyte SubClassOf Animal,  False.
MicrobiotaTaxonomy and Yeast SubClassOf Invertebrate,  False for
IndigenousVegetation and Protist SubClassOf Arthropod,  False.
MarineAnimal and Reptile SubClassOf Amphibian,  False.
Fish and Microphyte SubClassOf Flatworm,  False.
Poultry and Roundworm SubClassOf Lichen,  False.
Foraminifer and Litter SubClassOf Echinoderm,  False.
Arthropod and Radiolarian SubClassOf Fern,  False.
Human and MarinePlant SubClassOf IndigenousVegetation,  True for
DeciduousVegetation and MarineBird SubClassOf IndigenousSpecies,  Decid
Crustacean and FungiTaxonomy SubClassOf Dairy,  False.
Crop and SegmentedWorm SubClassOf Chlorophyll,  False.
IndigenousSpecies and Microbiota SubClassOf Pollen,  False.
Liverwort and Reptile SubClassOf MarineAnimal,  False.
Flagellate and VegetationSpecies SubClassOf Mollusk,  False.
Coral and Livestock SubClassOf Nutrient,  False.
TreeRing and Zooplankton SubClassOf Ciliate,  False.
Plankton and Vegetation SubClassOf MarineMammal,  False.
Flatworm and Mollusk SubClassOf Microalgae,  False.
Fungi and MarineBird SubClassOf Microphyte,  False.
Crustacean and Lichen SubClassOf Crown,  False.
DominantSpecies and Reptile SubClassOf Macrophyte,  False.
Microphyte and VegetationSpecies SubClassOf Livestock,  False.
Leaf and Liverwort SubClassOf ExoticVegetation,  False.
Diatom and Foraminifer SubClassOf Mushroom,  False.
Bacteria and Radiolarian SubClassOf Amoebae,  False.
Human and Mammal SubClassOf Crustacean,  False.
Invertebrate and Plankton SubClassOf Phytoplankton,  False.
BlueGreenAlgae and FloweringPlant SubClassOf Vertebrate,  False.
Crop and ExoticSpecies SubClassOf Human,  False.
Amoebae and Microbiota SubClassOf BlueGreenAlgae,  False.
Bird and BlueGreenAlgae SubClassOf VegetationCover,  False.
Flatworm and Vegetation SubClassOf Flagellate,  False.
Coral and MicrobiotaTaxonomy SubClassOf Plant,  False.
VegetationCover and Zooplankton SubClassOf Canopy,  False.
Jellyfish and Zooplankton SubClassOf Mold,  False.
Fern and IndigenousVegetation SubClassOf Crop,  False.
Amoebae and Millipede SubClassOf Poultry,  False.
Echinoderm and IndigenousSpecies SubClassOf EvergreenVegetation,  False.
Crown and Sponge SubClassOf Coccolithophore,  False.
MarineInvertebrate and Microalgae SubClassOf ExoticSpecies,  False.
Insect and Phytoplankton SubClassOf Livestock,  False.
Chlorophyll and Pollen SubClassOf Macrophyte,  False.
Canopy and Centipede SubClassOf Crustacean,  False.
Human and Lichen SubClassOf Crown,  False.
DominantSpecies and FungiTaxonomy SubClassOf Coral,  False.
Mammal and Pollen SubClassOf Macroalgae,  False.
Leaf and VegetationCover SubClassOf Phytoplankton,  False.
Litter and MarineBird SubClassOf Invertebrate,  False.
Bacteria and Vertebrate SubClassOf Human,  False.
Diatom and Phytoplankton SubClassOf Animal,  False.
Chlorophyll and Vertebrate SubClassOf Diatom,  False.
BlueGreenAlgae and Coral SubClassOf MarineInvertebrate,  True for
ExoticVegetation and Mammal SubClassOf Moss,  False.
Lichen and Radiolarian SubClassOf MarineMicrobiota,  False.
Centipede and FungiTaxonomy SubClassOf Arachnid,  centip
SlimeMold and Sponge SubClassOf Jellyfish,  False.
Macrophyte and Yeast SubClassOf DominantSpecies,  Macro
Litter and Microphyte SubClassOf Sponge,  False.
Microalgae and Vertebrate SubClassOf Bird,  False.
Centipede and Mold SubClassOf SlimeMold,  False.
Conifer and Sporozoan SubClassOf FloweringPlant,  False.
Roundworm and TreeRing SubClassOf Anemone,  False.
Echinoderm and Plant SubClassOf Vegetation,  False.
Mushroom and Pollen SubClassOf Algae,  False.
Jellyfish and VegetationCover SubClassOf Radiolarian,  False.
Flagellate and MarineMammal SubClassOf Microalgae,  False.
Algae and SegmentedWorm SubClassOf MarineInvertebrate,  True for
Phytoplankton and Pollen SubClassOf Fish,  False.
Bird and Reptile SubClassOf TreeRing,  False.
Animal and Mollusk SubClassOf ExoticVegetation,  False.
Coccolithophore and Leaf SubClassOf Animal,  True for
IndigenousSpecies and Invertebrate SubClassOf Ciliate,  False.
Amphibian and EvergreenVegetation SubClassOf FungiTaxonomy,  False.
ExoticVegetation and Fungi SubClassOf MarinePlant,  False.
DeciduousVegetation and Diatom SubClassOf Vertebrate,  Decid
Reptile and TreeRing SubClassOf DominantSpecies,  False.
Conifer and Nutrient SubClassOf Jellyfish,  False.
Lichen and Poultry SubClassOf Bird,  False.
Diatom and Radiolarian SubClassOf Sponge,  False.
Radiolarian and Vertebrate SubClassOf Arachnid,  False.
MarineInvertebrate and SlimeMold SubClassOf Fungi,  False for
Amoebae and Moss SubClassOf Canopy,  False.
IndigenousSpecies and Moss SubClassOf Microbiota,  False.
Foraminifer and TreeRing SubClassOf VegetationSpecies,  False.
Echinoderm and MarineMammal SubClassOf VegetationCover,  False.
Arachnid and VegetationCover SubClassOf Flatworm,  False.
Bird and Chlorophyll SubClassOf Amphibian,  False.
BlueGreenAlgae and Jellyfish SubClassOf Millipede,  False.
IndigenousVegetation and MarineMicrobiota SubClassOf Lichen,  False.
Lichen and Liverwort SubClassOf Dairy,  False.
FungiTaxonomy and MarineAnimal SubClassOf Litter,  False.
Flatworm and Sponge SubClassOf Protist,  False.
Microalgae and Poultry SubClassOf Zooplankton,  False.
Crustacean and Litter SubClassOf Insect,  False.
Arthropod and Vertebrate SubClassOf Chlorophyll,  False.
Centipede and Macrophyte SubClassOf IndigenousVegetation,  centip
DeciduousVegetation and DominantSpecies SubClassOf Conifer,  False.
IndigenousVegetation and Millipede SubClassOf SegmentedWorm,  False.
ExoticSpecies and Foraminifer SubClassOf Yeast,  False.
Amphibian and MicrobiotaTaxonomy SubClassOf Fungi,  False.
Livestock and Mammal SubClassOf Bird,  False.
Bacteria and Moss SubClassOf Poultry,  False.
Arthropod and BlueGreenAlgae SubClassOf Vegetation,  False.
MarineMammal and SegmentedWorm SubClassOf Algae,  False.
Amoebae and Mushroom SubClassOf Bacteria,  False.
Bird and MarineAnimal SubClassOf Leaf,  False.
Protist and SlimeMold SubClassOf MarineAnimal,  False.
Canopy and Microbiota SubClassOf Fern,  False.
MarineAnimal and Nutrient SubClassOf Crown,  False.
Anemone and Macrophyte SubClassOf ExoticSpecies,  False.
Crown and Poultry SubClassOf Livestock,  True.
Crown and Poultry SubClassOf VegetationCover,  False.
Crown and Poultry SubClassOf Microalgae,  False.
Crown and Poultry SubClassOf Fungi,  False.
Crown and Poultry SubClassOf Arachnid,  False.
Crown and Poultry SubClassOf VegetationSpecies,  False.
Crown SubClassOf Livestock,  False.
Poultry SubClassOf Livestock,  True.
Poultry SubClassOf VegetationCover,  False.
Poultry SubClassOf Microalgae,  False.
Poultry SubClassOf Fungi,  False.
Poultry SubClassOf Arachnid,  False.
Poultry SubClassOf VegetationSpecies,  False.
Poultry SubClassOf Sponge,  False.
Poultry SubClassOf Flatworm,  False.
Poultry SubClassOf Diatom,  False.
Poultry SubClassOf FungiTaxonomy,  False.
Poultry SubClassOf MarinePlant,  False.
Poultry SubClassOf Moss,  False.
Poultry SubClassOf Vertebrate,  True.
Poultry SubClassOf Livestock and Vertebrate,  True for
Poultry SubClassOf Radiolarian,  False.
Poultry SubClassOf Human,  False.
Poultry SubClassOf MarineMicrobiota,  False.
Poultry SubClassOf Animal,  True.
Poultry SubClassOf Animal and Livestock,  True,
Poultry SubClassOf Flagellate,  False.
Poultry SubClassOf MarineMammal,  False.
Poultry SubClassOf Amphibian,  False.
Poultry SubClassOf Millipede,  False.
Poultry SubClassOf Plankton,  False.
Poultry SubClassOf Roundworm,  False.
Poultry SubClassOf Microphyte,  False.
Poultry SubClassOf SlimeMold,  False.
Poultry SubClassOf Microbiota,  False.
Poultry SubClassOf MicrobiotaTaxonomy,  False.
Poultry SubClassOf Coccolithophore,  False.
Poultry SubClassOf Lichen,  False.
Poultry SubClassOf Leaf,  False.
Poultry SubClassOf Pollen,  False.
Poultry SubClassOf Mushroom,  False.
Poultry SubClassOf Fish,  False.
Poultry SubClassOf Reptile,  False.
Poultry SubClassOf MarineAnimal,  False.
Poultry SubClassOf Macroalgae,  False.
Poultry SubClassOf Foraminifer,  False.
Poultry SubClassOf Dairy,  False.
Poultry SubClassOf Liverwort,  False.
Poultry SubClassOf Crustacean,  False.
Poultry SubClassOf Canopy,  False.
Poultry SubClassOf Coral,  False.
Poultry SubClassOf ExoticVegetation,  False.
Poultry SubClassOf Macrophyte,  False.
Poultry SubClassOf SegmentedWorm,  False.
Poultry SubClassOf LivingThing,  True.
Poultry SubClassOf Animal and Livestock and LivingThing,  True for
Poultry SubClassOf Bird,  True.
Poultry SubClassOf Animal and Bird and Livestock,  True for
Poultry SubClassOf Fern,  False.
Poultry SubClassOf DominantSpecies,  False.
Poultry SubClassOf BlueGreenAlgae,  False.
Poultry SubClassOf EvergreenVegetation,  False.
Poultry SubClassOf TreeRing,  False.
Poultry SubClassOf Vegetation,  False.
Poultry SubClassOf ExoticSpecies,  False.
Poultry SubClassOf Litter,  False.
Poultry SubClassOf Crown,  False.
Poultry SubClassOf Jellyfish,  False.
Poultry SubClassOf Invertebrate,  False.
Poultry SubClassOf Anemone,  False.
Poultry SubClassOf Ciliate,  False.
Poultry SubClassOf Zooplankton,  False.
Poultry SubClassOf FloweringPlant,  False.
Poultry SubClassOf Sporozoan,  False.
Poultry SubClassOf IndigenousVegetation,  False.
Poultry SubClassOf Nutrient,  False.
Poultry SubClassOf IndigenousSpecies,  False.
Poultry SubClassOf MarineInvertebrate,  False.
Poultry SubClassOf Conifer,  False.
Poultry SubClassOf Yeast,  False.
Poultry SubClassOf Mammal,  False.
Poultry SubClassOf Protist,  False.
Poultry SubClassOf Centipede,  False.
Poultry SubClassOf Crop,  False.
Poultry SubClassOf Algae,  False.
Poultry SubClassOf Arthropod,  False.
Poultry SubClassOf MarineBird,  False.
Poultry SubClassOf Mollusk,  False.
Poultry SubClassOf Echinoderm,  False.
Poultry SubClassOf Plant,  False.
Poultry SubClassOf Amoebae,  False.
Poultry SubClassOf Insect,  False.
Poultry SubClassOf Mold,  False.
Poultry SubClassOf Bacteria,  False.
Poultry SubClassOf DeciduousVegetation,  False.
Poultry SubClassOf Phytoplankton,  False.
Poultry SubClassOf Animal and Livestock and Vertebrate,  True for
Liverwort and Protist SubClassOf Microphyte,  False.
Plant and SegmentedWorm SubClassOf Chlorophyll,  False.
Millipede and Mushroom SubClassOf Fish,  False.
Arachnid and Jellyfish SubClassOf Conifer,  False.
ExoticSpecies and Roundworm SubClassOf Pollen,  False.
Fern and Mold SubClassOf MarineInvertebrate,  False.
Canopy and Crop SubClassOf Invertebrate,  False.
Bacteria and Echinoderm SubClassOf TreeRing,  False.
Anemone and Arthropod SubClassOf Microalgae,  False.
Crown and MarineInvertebrate SubClassOf Animal,  True.
Crown and MarineInvertebrate SubClassOf VegetationCover,  False.
Crown and MarineInvertebrate SubClassOf Microalgae,  False.
Crown and MarineInvertebrate SubClassOf Fungi,  False.
Crown and MarineInvertebrate SubClassOf Arachnid,  False.
Crown and MarineInvertebrate SubClassOf VegetationSpecies,  False.
Crown and MarineInvertebrate SubClassOf Livestock,  False.
Crown and MarineInvertebrate SubClassOf Sponge,  False.
Crown and MarineInvertebrate SubClassOf Flatworm,  False.
Crown and MarineInvertebrate SubClassOf Diatom,  False.
Crown and MarineInvertebrate SubClassOf FungiTaxonomy,  False.
Crown and MarineInvertebrate SubClassOf MarinePlant,  False.
Crown and MarineInvertebrate SubClassOf Moss,  False.
Crown and MarineInvertebrate SubClassOf Vertebrate,  False.
Crown and MarineInvertebrate SubClassOf Radiolarian,  False.
Crown and MarineInvertebrate SubClassOf Human,  False.
Crown and MarineInvertebrate SubClassOf MarineMicrobiota,  False.
Crown SubClassOf Animal,  False.
MarineInvertebrate SubClassOf Animal,  True.
MarineInvertebrate SubClassOf VegetationCover,  False.
MarineInvertebrate SubClassOf Microalgae,  False.
MarineInvertebrate SubClassOf Fungi,  False.
MarineInvertebrate SubClassOf Arachnid,  False.
MarineInvertebrate SubClassOf VegetationSpecies,  False.
MarineInvertebrate SubClassOf Livestock,  False.
MarineInvertebrate SubClassOf Sponge,  False.
MarineInvertebrate SubClassOf Flatworm,  False.
MarineInvertebrate SubClassOf Diatom,  False.
