Neuron and StructuralCell SubClassOf Erythrocyte, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf ElectricallyActiveCell, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf StructuralCell, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
InMatureCell SubClassOf Neuron, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
InMatureCell SubClassOf ChondroCyte, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage and LeafCell SubClassOf AnimalCell, \nTrue
CellByDevelopmentStage and LeafCell SubClassOf SclerenchymaCell, \nTrue
LeafCell SubClassOf SclerenchymaCell, True
LeafCell SubClassOf Erythrocyte, True
LeafCell SubClassOf Erythrocyte and SclerenchymaCell, True
LeafCell SubClassOf PhotosyntheticCell, True
LeafCell SubClassOf Erythrocyte and PhotosyntheticCell and SclerenchymaCell, True
LeafCell SubClassOf CirculatingCell, True
LeafCell SubClassOf CirculatingCell and Erythrocyte and PhotosyntheticCell and SclerenchymaCell, True
LeafCell SubClassOf PlantCell, True
LeafCell SubClassOf CirculatingCell and Erythrocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
LeafCell SubClassOf CellByClass, True
LeafCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
LeafCell SubClassOf MatureCell, True
LeafCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf AnimalCell, True
LeafCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
LeafCell SubClassOf Cell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
LeafCell SubClassOf Miocyte, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
LeafCell SubClassOf InMatureCell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
LeafCell SubClassOf Osteocyte, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf ChondroBlast, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf MioBlast, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf CellByDevelopmentStage, \nTrue
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
LeafCell SubClassOf PhotoreceptorCell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
LeafCell SubClassOf CellByOrganism, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
LeafCell SubClassOf ElectricallyActiveCell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nMan
LeafCell SubClassOf StructuralCell, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, True
LeafCell SubClassOf Neuron, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf ChondroCyte, True
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
LeafCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage and ChondroBlast SubClassOf Osteocyte, True
CellByDevelopmentStage and ChondroBlast SubClassOf SclerenchymaCell, \nTrue
ChondroBlast SubClassOf SclerenchymaCell, True
ChondroBlast SubClassOf LeafCell, True
ChondroBlast SubClassOf LeafCell and SclerenchymaCell, True
ChondroBlast SubClassOf Erythrocyte, \nFalse
ChondroBlast SubClassOf PhotosyntheticCell, True
ChondroBlast SubClassOf LeafCell and PhotosyntheticCell and SclerenchymaCell, True
ChondroBlast SubClassOf CirculatingCell, \nTrue
ChondroBlast SubClassOf CirculatingCell and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
ChondroBlast SubClassOf PlantCell, True
ChondroBlast SubClassOf CirculatingCell and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf CellByClass, True
ChondroBlast SubClassOf CellByClass and CirculatingCell and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
ChondroBlast SubClassOf MatureCell, True
ChondroBlast SubClassOf CellByClass and CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf AnimalCell, True
ChondroBlast SubClassOf AnimalCell and CellByClass and CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
ChondroBlast SubClassOf Cell, \nTrue
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf Miocyte, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf InMatureCell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf Osteocyte, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf MioBlast, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf CellByDevelopmentStage, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf PhotoreceptorCell, \nTrue
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf CellByOrganism, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf ElectricallyActiveCell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroBlast SubClassOf StructuralCell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ChondroBlast SubClassOf Neuron, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ChondroBlast SubClassOf ChondroCyte, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, True.
Cell and MatureCell SubClassOf Osteocyte, True
Cell and MatureCell SubClassOf SclerenchymaCell, True
Cell SubClassOf SclerenchymaCell, True
Cell SubClassOf LeafCell, True
Cell SubClassOf LeafCell and SclerenchymaCell, True
Cell SubClassOf Erythrocyte, True
Cell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
Cell SubClassOf PhotosyntheticCell, True
Cell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Cell SubClassOf CirculatingCell, True
Cell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Cell SubClassOf PlantCell, True
Cell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
Cell SubClassOf CellByClass, True
Cell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf MatureCell, True
Cell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf AnimalCell, True
Cell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf Miocyte, True
Cell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf InMatureCell, True
Cell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf Osteocyte, True
Cell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
Cell SubClassOf ChondroBlast, \nTrue
Cell SubClassOf AnimalCell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
Cell SubClassOf MioBlast, True
Cell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf CellByDevelopmentStage, True
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf PhotoreceptorCell, True
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
Cell SubClassOf CellByOrganism, True
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
Cell SubClassOf ElectricallyActiveCell, True
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Cell SubClassOf StructuralCell, True
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell SubClassOf Neuron, \nTrue
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell SubClassOf ChondroCyte, \nTrue
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
