Neuron and StructuralCell SubClassOf Erythrocyte,  False.
AnimalCell SubClassOf Erythrocyte,  False.
AnimalCell SubClassOf PhotosyntheticCell,  False.
AnimalCell SubClassOf CirculatingCell,  False.
AnimalCell SubClassOf PlantCell,  False.
AnimalCell SubClassOf CellByClass,  False.
AnimalCell SubClassOf MatureCell,  False.
AnimalCell SubClassOf Miocyte,  False.
AnimalCell SubClassOf InMatureCell,  False.
AnimalCell SubClassOf Osteocyte,  False.
AnimalCell SubClassOf ChondroBlast,  False.
AnimalCell SubClassOf MioBlast,  False.
AnimalCell SubClassOf CellByDevelopmentStage,  False.
AnimalCell SubClassOf PhotoreceptorCell,  False.
AnimalCell SubClassOf CellByOrganism,  False.
AnimalCell SubClassOf ElectricallyActiveCell,  False.
AnimalCell SubClassOf StructuralCell,  False.
AnimalCell SubClassOf Neuron,  False.
AnimalCell SubClassOf ChondroCyte,  False.
ElectricallyActiveCell and LeafCell SubClassOf Cell,  True.
ElectricallyActiveCell and LeafCell SubClassOf SclerenchymaCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and LeafCell SubClassOf PhotosyntheticCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf CirculatingCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf PlantCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf CellByClass,  False.
ElectricallyActiveCell and LeafCell SubClassOf MatureCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf AnimalCell,  False.
LeafCell SubClassOf Cell,  True.
LeafCell SubClassOf SclerenchymaCell,  The given
LeafCell SubClassOf Erythrocyte,  False.
LeafCell SubClassOf PhotosyntheticCell,  False.
LeafCell SubClassOf CirculatingCell,  False.
LeafCell SubClassOf PlantCell,  False.
LeafCell SubClassOf CellByClass,  False.
LeafCell SubClassOf MatureCell,  False.
LeafCell SubClassOf AnimalCell,  False.
LeafCell SubClassOf Miocyte,  False.
LeafCell SubClassOf InMatureCell,  False.
LeafCell SubClassOf Osteocyte,  False.
LeafCell SubClassOf ChondroBlast,  False.
LeafCell SubClassOf MioBlast,  False.
LeafCell SubClassOf CellByDevelopmentStage,  False.
LeafCell SubClassOf PhotoreceptorCell,  True.
LeafCell SubClassOf Cell and PhotoreceptorCell,  The given
LeafCell SubClassOf CellByOrganism,  False.
LeafCell SubClassOf ElectricallyActiveCell,  Based on
LeafCell SubClassOf StructuralCell,  The statement
LeafCell SubClassOf Neuron,  False.
LeafCell SubClassOf ChondroCyte,  False.
CellByDevelopmentStage and PhotoreceptorCell SubClassOf MatureCell,  False.
InMatureCell and PlantCell SubClassOf CellByClass,  False.
CellByOrganism and PhotoreceptorCell SubClassOf ChondroBlast,  False.
AnimalCell and ElectricallyActiveCell SubClassOf MatureCell,  False.
Cell and PhotosyntheticCell SubClassOf MatureCell,  False.
StructuralCell SubClassOf PlantCell,  False.
CirculatingCell and Neuron SubClassOf PhotosyntheticCell,  False.
Erythrocyte and Miocyte SubClassOf PhotosyntheticCell,  False.
MioBlast and StructuralCell SubClassOf InMatureCell,  False.
LeafCell and MioBlast SubClassOf Miocyte,  False.
ElectricallyActiveCell and MatureCell SubClassOf InMatureCell,  False.
ChondroBlast and MatureCell SubClassOf PlantCell,  False.
AnimalCell and PhotoreceptorCell SubClassOf Miocyte,  False.
ChondroCyte and Erythrocyte SubClassOf Miocyte,  False.
CellByDevelopmentStage and ElectricallyActiveCell SubClassOf Miocyte,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf PlantCell,  False.
PhotoreceptorCell and PhotosyntheticCell SubClassOf StructuralCell,  False.
CellByClass and PlantCell SubClassOf CellByOrganism,  False.
AnimalCell and Cell SubClassOf CellByOrganism,  False.
AnimalCell and PhotosyntheticCell SubClassOf CellByOrganism,  False.
CellByOrganism and MatureCell SubClassOf ChondroCyte,  False.
ChondroBlast and Osteocyte SubClassOf ElectricallyActiveCell,  False.
CirculatingCell and LeafCell SubClassOf ElectricallyActiveCell,  False.
ChondroBlast and MatureCell SubClassOf SclerenchymaCell,  False.
ChondroCyte and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
SclerenchymaCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and ChondroCyte SubClassOf SclerenchymaCell,  False.
ChondroCyte and CirculatingCell SubClassOf SclerenchymaCell,  False.
Erythrocyte and Osteocyte SubClassOf PhotoreceptorCell,  False.
MioBlast and Neuron SubClassOf LeafCell,  False.
CellByClass and LeafCell SubClassOf SclerenchymaCell,  False.
Miocyte and Osteocyte SubClassOf PhotoreceptorCell,  False.
ElectricallyActiveCell and Miocyte SubClassOf LeafCell,  The given
MatureCell and StructuralCell SubClassOf LeafCell,  False.
InMatureCell and StructuralCell SubClassOf LeafCell,  False.
InMatureCell and Neuron SubClassOf Erythrocyte,  False.
MatureCell and Osteocyte SubClassOf CellByClass,  False.
MatureCell and MioBlast SubClassOf ChondroBlast,  False.
CellByOrganism and ChondroBlast SubClassOf MatureCell,  False.
CirculatingCell and Miocyte SubClassOf CellByClass,  False.
ElectricallyActiveCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
CellByClass and ElectricallyActiveCell SubClassOf ChondroBlast,  False.
ChondroBlast and CirculatingCell SubClassOf CellByDevelopmentStage,  False.
MioBlast and PhotosyntheticCell SubClassOf CellByDevelopmentStage,  False.
AnimalCell and CellByDevelopmentStage SubClassOf MioBlast,  False.
AnimalCell and StructuralCell SubClassOf ChondroCyte,  False.
PhotoreceptorCell and PlantCell SubClassOf CellByDevelopmentStage,  False.
Erythrocyte SubClassOf MioBlast,  False.
CellByOrganism and InMatureCell SubClassOf ChondroCyte,  False.
AnimalCell and PhotosyntheticCell SubClassOf MioBlast,  False.
ElectricallyActiveCell and PlantCell SubClassOf MioBlast,  False.
CellByDevelopmentStage and LeafCell SubClassOf InMatureCell,  False.
CellByDevelopmentStage and ChondroCyte SubClassOf PlantCell,  False.
Cell and MatureCell SubClassOf PhotosyntheticCell,  False.
CellByClass and PlantCell SubClassOf PhotosyntheticCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf InMatureCell,  False.
Cell and LeafCell SubClassOf PlantCell,  False.
CellByOrganism and ChondroCyte SubClassOf PlantCell,  False.
AnimalCell and SclerenchymaCell SubClassOf InMatureCell,  False.
ChondroBlast and InMatureCell SubClassOf CellByOrganism,  False.
InMatureCell and Osteocyte SubClassOf Miocyte,  False.
Neuron and PhotoreceptorCell SubClassOf Miocyte,  False.
Cell and CirculatingCell SubClassOf CellByOrganism,  False.
Cell and Neuron SubClassOf StructuralCell,  False.
MioBlast and StructuralCell SubClassOf CellByOrganism,  False.
CellByClass and CellByDevelopmentStage SubClassOf Osteocyte,  False.
CellByDevelopmentStage and CellByOrganism SubClassOf AnimalCell,  False.
Cell and InMatureCell SubClassOf Erythrocyte,  False.
Cell and LeafCell SubClassOf Osteocyte,  False.
Cell and SclerenchymaCell SubClassOf AnimalCell,  False.
LeafCell and PhotosyntheticCell SubClassOf AnimalCell,  False.
AnimalCell and ChondroCyte SubClassOf Erythrocyte,  False.
ChondroCyte SubClassOf Osteocyte,  False.
Miocyte and Neuron SubClassOf AnimalCell,  False.
Erythrocyte and InMatureCell SubClassOf Neuron,  False.
Osteocyte and PhotoreceptorCell SubClassOf Neuron,  False.
CellByClass and Osteocyte SubClassOf Neuron,  False.
Neuron and StructuralCell SubClassOf InMatureCell,  False.
Cell and SclerenchymaCell SubClassOf Neuron,  False.
InMatureCell and MioBlast SubClassOf Neuron,  False.
CirculatingCell and Miocyte SubClassOf PhotosyntheticCell,  False.
ChondroBlast and LeafCell SubClassOf StructuralCell,  False.
CellByOrganism and Osteocyte SubClassOf CirculatingCell,  False.
InMatureCell and SclerenchymaCell SubClassOf CellByOrganism,  False.
LeafCell and SclerenchymaCell SubClassOf CellByOrganism,  False.
CirculatingCell and InMatureCell SubClassOf StructuralCell,  False.
Miocyte and PhotosyntheticCell SubClassOf CirculatingCell,  False.
Neuron and Osteocyte SubClassOf CirculatingCell,  False.
ChondroCyte and Neuron SubClassOf StructuralCell,  False.
Cell and Miocyte SubClassOf MatureCell,  False.
CellByClass and Erythrocyte SubClassOf Cell,  True.
CellByClass and Erythrocyte SubClassOf SclerenchymaCell,  False.
CellByClass and Erythrocyte SubClassOf LeafCell,  False.
CellByClass and Erythrocyte SubClassOf PhotosyntheticCell,  False.
CellByClass and Erythrocyte SubClassOf CirculatingCell,  True.
Erythrocyte SubClassOf CirculatingCell,  The statement
CellByClass SubClassOf CirculatingCell,  False.
Miocyte and SclerenchymaCell SubClassOf Cell,  True.
Miocyte and SclerenchymaCell SubClassOf LeafCell,  False.
Miocyte and SclerenchymaCell SubClassOf Erythrocyte,  False.
Miocyte and SclerenchymaCell SubClassOf PhotosyntheticCell,  False.
Miocyte and SclerenchymaCell SubClassOf CirculatingCell,  False.
Miocyte and SclerenchymaCell SubClassOf PlantCell,  False.
Miocyte and SclerenchymaCell SubClassOf CellByClass,  False.
Miocyte and SclerenchymaCell SubClassOf MatureCell,  False.
Miocyte and SclerenchymaCell SubClassOf AnimalCell,  False.
SclerenchymaCell SubClassOf Cell,  The given
Miocyte SubClassOf Cell,  True.
Miocyte SubClassOf SclerenchymaCell,  False.
Miocyte SubClassOf LeafCell,  False.
Miocyte SubClassOf Erythrocyte,  False.
Miocyte SubClassOf PhotosyntheticCell,  False.
Miocyte SubClassOf CirculatingCell,  False.
Miocyte SubClassOf PlantCell,  False.
Miocyte SubClassOf CellByClass,  True.
Miocyte SubClassOf Cell and CellByClass,  False.
Miocyte SubClassOf MatureCell,  The given
Miocyte SubClassOf AnimalCell,  False.
Miocyte SubClassOf InMatureCell,  The given
Miocyte SubClassOf Osteocyte,  False.
Miocyte SubClassOf ChondroBlast,  False.
Miocyte SubClassOf MioBlast,  False.
Miocyte SubClassOf CellByDevelopmentStage,  False.
Miocyte SubClassOf PhotoreceptorCell,  False.
Miocyte SubClassOf CellByOrganism,  True.
Miocyte SubClassOf Cell and CellByOrganism,  False.
Miocyte SubClassOf ElectricallyActiveCell,  True.
Miocyte SubClassOf Cell and ElectricallyActiveCell,  True.
Miocyte SubClassOf StructuralCell,  True.
Miocyte SubClassOf Cell and ElectricallyActiveCell and StructuralCell,  False.
Miocyte SubClassOf Neuron,  False.
Miocyte SubClassOf ChondroCyte,  False.
Miocyte SubClassOf Cell and CellByClass and ElectricallyActiveCell,  False.
Miocyte SubClassOf Cell and CellByOrganism and ElectricallyActiveCell,  False.
CellByClass and StructuralCell SubClassOf Cell,  False.
ChondroCyte and Neuron SubClassOf MatureCell,  False.
ElectricallyActiveCell and SclerenchymaCell SubClassOf CellByClass,  False.
CellByClass and MioBlast SubClassOf Cell,  True.
CellByClass and MioBlast SubClassOf SclerenchymaCell,  False.
CellByClass and MioBlast SubClassOf LeafCell,  False.
CellByClass and MioBlast SubClassOf Erythrocyte,  False.
CellByClass and MioBlast SubClassOf PhotosyntheticCell,  False.
CellByClass and MioBlast SubClassOf CirculatingCell,  False.
CellByClass and MioBlast SubClassOf PlantCell,  False.
CellByClass and MioBlast SubClassOf MatureCell,  False.
CellByClass and MioBlast SubClassOf AnimalCell,  False.
MioBlast SubClassOf Cell,  False.
CellByClass SubClassOf Cell,  False.
CellByDevelopmentStage and StructuralCell SubClassOf MatureCell,  False.
Miocyte and PhotoreceptorCell SubClassOf InMatureCell,  False.
Erythrocyte and Osteocyte SubClassOf PlantCell,  False.
ElectricallyActiveCell and PhotoreceptorCell SubClassOf PhotosyntheticCell,  False.
ChondroBlast and PhotoreceptorCell SubClassOf InMatureCell,  False.
PhotosyntheticCell SubClassOf PlantCell,  The statement
AnimalCell and MioBlast SubClassOf PhotosyntheticCell,  False.
CirculatingCell and PhotosyntheticCell SubClassOf InMatureCell,  False.
CirculatingCell and Erythrocyte SubClassOf PlantCell,  False.
CellByDevelopmentStage and MatureCell SubClassOf Miocyte,  False.
CellByClass and CellByOrganism SubClassOf Miocyte,  False.
CirculatingCell and PlantCell SubClassOf InMatureCell,  False.
ElectricallyActiveCell and MioBlast SubClassOf StructuralCell,  False.
Cell and ChondroCyte SubClassOf Miocyte,  False.
ChondroBlast and StructuralCell SubClassOf Miocyte,  False.
AnimalCell and ChondroBlast SubClassOf CellByOrganism,  False.
Osteocyte and PlantCell SubClassOf SclerenchymaCell,  False.
LeafCell and Neuron SubClassOf ChondroCyte,  False.
LeafCell and SclerenchymaCell SubClassOf ElectricallyActiveCell,  False.
MatureCell and Osteocyte SubClassOf ElectricallyActiveCell,  False.
AnimalCell and Miocyte SubClassOf SclerenchymaCell,  False.
ChondroCyte and StructuralCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and InMatureCell SubClassOf ElectricallyActiveCell,  False.
CellByOrganism and Miocyte SubClassOf SclerenchymaCell,  False.
CellByDevelopmentStage and ChondroBlast SubClassOf PhotoreceptorCell,  False.
Cell SubClassOf PhotoreceptorCell,  The statement
CellByClass and InMatureCell SubClassOf SclerenchymaCell,  False.
MioBlast and SclerenchymaCell SubClassOf Erythrocyte,  False.
ChondroCyte and Miocyte SubClassOf LeafCell,  False.
Osteocyte and SclerenchymaCell SubClassOf Erythrocyte,  False.
LeafCell and Osteocyte SubClassOf CellByClass,  True.
LeafCell and Osteocyte SubClassOf SclerenchymaCell,  False.
LeafCell and Osteocyte SubClassOf Erythrocyte,  False.
LeafCell and Osteocyte SubClassOf PhotosyntheticCell,  False.
LeafCell and Osteocyte SubClassOf CirculatingCell,  False.
LeafCell and Osteocyte SubClassOf PlantCell,  False.
Osteocyte SubClassOf CellByClass,  True.
Osteocyte SubClassOf SclerenchymaCell,  False.
Osteocyte SubClassOf LeafCell,  The given
Osteocyte SubClassOf Erythrocyte,  False.
Osteocyte SubClassOf PhotosyntheticCell,  False.
Osteocyte SubClassOf CirculatingCell,  False.
Osteocyte SubClassOf PlantCell,  False.
Osteocyte SubClassOf MatureCell,  False.
Osteocyte SubClassOf AnimalCell,  The given
Osteocyte SubClassOf Cell,  True.
Osteocyte SubClassOf Cell and CellByClass,  False.
Osteocyte SubClassOf Miocyte,  False.
Osteocyte SubClassOf InMatureCell,  False.
Osteocyte SubClassOf ChondroBlast,  False.
Osteocyte SubClassOf MioBlast,  False.
Osteocyte SubClassOf CellByDevelopmentStage,  True.
Osteocyte SubClassOf CellByClass and CellByDevelopmentStage,  False.
Osteocyte SubClassOf PhotoreceptorCell,  False.
Osteocyte SubClassOf CellByOrganism,  True.
Osteocyte SubClassOf CellByClass and CellByOrganism,  The given
Osteocyte SubClassOf ElectricallyActiveCell,  The statement
Osteocyte SubClassOf StructuralCell,  True.
Osteocyte SubClassOf CellByClass and StructuralCell,  True.
Osteocyte SubClassOf Neuron,  False.
Osteocyte SubClassOf ChondroCyte,  False.
Osteocyte SubClassOf Cell and CellByClass and StructuralCell,  False.
Osteocyte SubClassOf CellByClass and CellByDevelopmentStage and StructuralCell,  False.
Osteocyte SubClassOf CellByClass and CellByOrganism and StructuralCell,  False.
MatureCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
InMatureCell and LeafCell SubClassOf MatureCell,  False.
ChondroCyte and Miocyte SubClassOf CellByDevelopmentStage,  False.
Cell and Miocyte SubClassOf ChondroBlast,  False.
CellByOrganism and Neuron SubClassOf ChondroBlast,  False.
AnimalCell and InMatureCell SubClassOf CellByDevelopmentStage,  False.
CellByClass SubClassOf MioBlast,  False.
CellByClass and Miocyte SubClassOf MioBlast,  False.
PhotosyntheticCell and StructuralCell SubClassOf CellByDevelopmentStage,  False.
Cell and PhotoreceptorCell SubClassOf CellByDevelopmentStage,  False.
CirculatingCell and SclerenchymaCell SubClassOf MioBlast,  False.
Neuron and SclerenchymaCell SubClassOf ChondroCyte,  False.
CellByDevelopmentStage and Erythrocyte SubClassOf ChondroCyte,  False.
CellByClass and PlantCell SubClassOf InMatureCell,  False.
CirculatingCell and Erythrocyte SubClassOf Neuron,  False.
CirculatingCell and MioBlast SubClassOf InMatureCell,  False.
MatureCell and StructuralCell SubClassOf PlantCell,  False.
CellByOrganism and Erythrocyte SubClassOf PlantCell,  False.
MatureCell and MioBlast SubClassOf Miocyte,  False.
InMatureCell and MioBlast SubClassOf CellByOrganism,  False.
MatureCell and Neuron SubClassOf PlantCell,  False.
ChondroBlast and ElectricallyActiveCell SubClassOf Miocyte,  False.
Erythrocyte and Osteocyte SubClassOf CellByOrganism,  False.
ElectricallyActiveCell and LeafCell SubClassOf Miocyte,  False.
ChondroBlast and PhotoreceptorCell SubClassOf Miocyte,  False.
AnimalCell and CellByClass SubClassOf Osteocyte,  False.
PhotosyntheticCell and PlantCell SubClassOf Osteocyte,  False.
Neuron and Osteocyte SubClassOf LeafCell,  False.
CellByOrganism and StructuralCell SubClassOf Osteocyte,  False.
CellByDevelopmentStage and PlantCell SubClassOf Erythrocyte,  False.
ChondroBlast and InMatureCell SubClassOf AnimalCell,  False.
MioBlast and PhotoreceptorCell SubClassOf AnimalCell,  False.
ElectricallyActiveCell and MatureCell SubClassOf AnimalCell,  False.
Cell and MatureCell SubClassOf Neuron,  False.
Osteocyte and PhotoreceptorCell SubClassOf PhotosyntheticCell,  False.
ChondroCyte and Erythrocyte SubClassOf InMatureCell,  False.
ChondroBlast and ElectricallyActiveCell SubClassOf Neuron,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf Neuron,  False.
Cell and InMatureCell SubClassOf ChondroBlast,  False.
Miocyte and PhotosyntheticCell SubClassOf CellByDevelopmentStage,  False.
AnimalCell and PhotosyntheticCell SubClassOf CellByClass,  False.
ChondroCyte and PlantCell SubClassOf ChondroBlast,  False.
Cell and Miocyte SubClassOf CellByDevelopmentStage,  False.
CellByClass and Osteocyte SubClassOf CellByDevelopmentStage,  False.
PhotoreceptorCell and StructuralCell SubClassOf CellByClass,  False.
ChondroCyte and Neuron SubClassOf CellByDevelopmentStage,  False.
SclerenchymaCell SubClassOf MioBlast,  False.
CellByDevelopmentStage and CirculatingCell SubClassOf ChondroBlast,  False.
Erythrocyte and Osteocyte SubClassOf ElectricallyActiveCell,  False.
CellByDevelopmentStage and Neuron SubClassOf MioBlast,  False.
LeafCell and MatureCell SubClassOf MioBlast,  False.
LeafCell and PlantCell SubClassOf ChondroCyte,  False.
PhotosyntheticCell and PlantCell SubClassOf CellByOrganism,  False.
PhotoreceptorCell and PlantCell SubClassOf StructuralCell,  False.
AnimalCell and ChondroCyte SubClassOf StructuralCell,  False.
Cell and PhotosyntheticCell SubClassOf CirculatingCell,  False.
Erythrocyte and MatureCell SubClassOf Cell,  True.
Erythrocyte and MatureCell SubClassOf SclerenchymaCell,  False.
Erythrocyte and MatureCell SubClassOf LeafCell,  False.
Erythrocyte and MatureCell SubClassOf PhotosyntheticCell,  False.
Erythrocyte and MatureCell SubClassOf CirculatingCell,  True.
MatureCell SubClassOf CirculatingCell,  False.
MatureCell and MioBlast SubClassOf Cell,  False.
CellByClass and CellByOrganism SubClassOf CirculatingCell,  False.
MioBlast and SclerenchymaCell SubClassOf Cell,  True.
MioBlast and SclerenchymaCell SubClassOf LeafCell,  False.
MioBlast and SclerenchymaCell SubClassOf PhotosyntheticCell,  False.
MioBlast and SclerenchymaCell SubClassOf CirculatingCell,  False.
MioBlast and SclerenchymaCell SubClassOf PlantCell,  False.
MioBlast and SclerenchymaCell SubClassOf CellByClass,  False.
MioBlast and SclerenchymaCell SubClassOf MatureCell,  False.
MioBlast and SclerenchymaCell SubClassOf AnimalCell,  False.
ChondroBlast and StructuralCell SubClassOf CirculatingCell,  False.
MioBlast and Neuron SubClassOf Cell,  False.
CellByDevelopmentStage and Erythrocyte SubClassOf MatureCell,  False.
AnimalCell and CellByOrganism SubClassOf MatureCell,  False.
PhotoreceptorCell and PlantCell SubClassOf MatureCell,  False.
Erythrocyte and LeafCell SubClassOf CellByClass,  False.
ChondroBlast and PhotosyntheticCell SubClassOf ElectricallyActiveCell,  False.
ChondroBlast and SclerenchymaCell SubClassOf ChondroCyte,  False.
CirculatingCell and MatureCell SubClassOf ElectricallyActiveCell,  False.
ElectricallyActiveCell and Erythrocyte SubClassOf SclerenchymaCell,  False.
CellByDevelopmentStage and PhotoreceptorCell SubClassOf SclerenchymaCell,  False.
CellByClass and MioBlast SubClassOf ChondroCyte,  False.
AnimalCell and ElectricallyActiveCell SubClassOf SclerenchymaCell,  False.
MatureCell and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
Erythrocyte and StructuralCell SubClassOf PhotoreceptorCell,  False.
AnimalCell and Neuron SubClassOf SclerenchymaCell,  False.
CellByOrganism and ChondroBlast SubClassOf Erythrocyte,  False.
CellByOrganism and CirculatingCell SubClassOf PhotoreceptorCell,  False.
InMatureCell and PlantCell SubClassOf PhotoreceptorCell,  False.
ChondroBlast and MatureCell SubClassOf CellByClass,  False.
CellByOrganism and CirculatingCell SubClassOf CellByClass,  False.
CirculatingCell and Neuron SubClassOf ChondroBlast,  False.
PhotoreceptorCell and StructuralCell SubClassOf CellByDevelopmentStage,  False.
Erythrocyte and MioBlast SubClassOf ChondroBlast,  False.
AnimalCell and Cell SubClassOf CellByDevelopmentStage,  False.
AnimalCell and InMatureCell SubClassOf MioBlast,  False.
AnimalCell and PhotoreceptorCell SubClassOf ChondroBlast,  False.
ElectricallyActiveCell and Erythrocyte SubClassOf CellByDevelopmentStage,  False.
CellByOrganism SubClassOf MioBlast,  False.
CellByOrganism and Osteocyte SubClassOf MioBlast,  False.
PhotoreceptorCell and PhotosyntheticCell SubClassOf ChondroCyte,  False.
ChondroBlast and PlantCell SubClassOf ChondroCyte,  False.
CellByDevelopmentStage and ChondroCyte SubClassOf PhotosyntheticCell,  False.
Cell and ChondroCyte SubClassOf InMatureCell,  False.
Cell and CellByOrganism SubClassOf InMatureCell,  False.
AnimalCell and CellByClass SubClassOf Neuron,  False.
ChondroBlast and LeafCell SubClassOf PlantCell,  False.
Miocyte and Osteocyte SubClassOf InMatureCell,  False.
ChondroCyte and PhotosyntheticCell SubClassOf InMatureCell,  False.
PhotoreceptorCell and SclerenchymaCell SubClassOf PlantCell,  False.
CirculatingCell and InMatureCell SubClassOf Miocyte,  False.
MioBlast and Neuron SubClassOf PlantCell,  False.
Cell and PlantCell SubClassOf Miocyte,  False.
Cell and LeafCell SubClassOf CellByOrganism,  False.
Miocyte and SclerenchymaCell SubClassOf CellByOrganism,  False.
MatureCell and StructuralCell SubClassOf Miocyte,  False.
Cell and ChondroBlast SubClassOf Erythrocyte,  False.
MioBlast and PhotosyntheticCell SubClassOf Osteocyte,  False.
MatureCell and Osteocyte SubClassOf LeafCell,  False.
ChondroBlast and ChondroCyte SubClassOf LeafCell,  False.
Miocyte and PhotoreceptorCell SubClassOf Osteocyte,  False.
Erythrocyte SubClassOf Osteocyte,  False.
ElectricallyActiveCell and PhotoreceptorCell SubClassOf Osteocyte,  False.
CellByClass and ElectricallyActiveCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and PlantCell SubClassOf AnimalCell,  False.
LeafCell and StructuralCell SubClassOf Neuron,  False.
Cell and CellByDevelopmentStage SubClassOf PhotosyntheticCell,  False.
CellByOrganism and MatureCell SubClassOf AnimalCell,  False.
Miocyte and PlantCell SubClassOf Neuron,  False.
ChondroCyte and StructuralCell SubClassOf ChondroBlast,  False.
AnimalCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
CellByDevelopmentStage and ChondroCyte SubClassOf CellByClass,  False.
InMatureCell and Osteocyte SubClassOf ChondroBlast,  False.
LeafCell and Neuron SubClassOf CellByDevelopmentStage,  False.
Miocyte and Osteocyte SubClassOf CellByDevelopmentStage,  False.
ChondroCyte and StructuralCell SubClassOf CellByDevelopmentStage,  False.
ChondroBlast and InMatureCell SubClassOf CellByDevelopmentStage,  False.
CellByOrganism and InMatureCell SubClassOf MioBlast,  False.
MatureCell and PhotoreceptorCell SubClassOf ChondroCyte,  False.
Cell and CirculatingCell SubClassOf MioBlast,  False.
Cell and PhotosyntheticCell SubClassOf MioBlast,  False.
AnimalCell and ChondroCyte SubClassOf CirculatingCell,  False.
ChondroCyte and ElectricallyActiveCell SubClassOf CellByOrganism,  False.
CellByClass and CellByDevelopmentStage SubClassOf StructuralCell,  False.
Osteocyte and PhotoreceptorCell SubClassOf CirculatingCell,  False.
ChondroBlast and Osteocyte SubClassOf Cell,  False.
Cell and SclerenchymaCell SubClassOf StructuralCell,  False.
InMatureCell and LeafCell SubClassOf CirculatingCell,  False.
ChondroCyte and InMatureCell SubClassOf Cell,  True.
ChondroCyte and InMatureCell SubClassOf SclerenchymaCell,  False.
ChondroCyte and InMatureCell SubClassOf LeafCell,  False.
ChondroCyte and InMatureCell SubClassOf Erythrocyte,  False.
ChondroCyte and InMatureCell SubClassOf PhotosyntheticCell,  False.
ChondroCyte and InMatureCell SubClassOf CirculatingCell,  False.
ChondroCyte and InMatureCell SubClassOf PlantCell,  False.
ChondroCyte and InMatureCell SubClassOf CellByClass,  False.
