Neuron and StructuralCell SubClassOf Erythrocyte,  False.
PhotosyntheticCell SubClassOf Cell and CellByOrganism and LeafCell,  1
PhotosyntheticCell SubClassOf Cell and LeafCell and StructuralCell,  True for
PhotosyntheticCell SubClassOf Cell and CellByClass and LeafCell and PlantCell,  True for
PhotosyntheticCell SubClassOf Cell and LeafCell and MatureCell and PlantCell,  True for
PhotosyntheticCell SubClassOf Cell and InMatureCell and LeafCell and PlantCell,  True for
PhotosyntheticCell SubClassOf Cell and CellByDevelopmentStage and LeafCell and PlantCell,  1
PhotosyntheticCell SubClassOf Cell and CellByOrganism and LeafCell and PlantCell,  True for
PhotosyntheticCell SubClassOf Cell and LeafCell and PlantCell and StructuralCell,  True for
CellByOrganism and MatureCell SubClassOf ChondroCyte,  I cannot
ChondroBlast and Osteocyte SubClassOf ElectricallyActiveCell,  False.
ChondroBlast and MatureCell SubClassOf SclerenchymaCell,  False.
ChondroCyte and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and ChondroCyte SubClassOf SclerenchymaCell,  False.
ChondroCyte and CirculatingCell SubClassOf SclerenchymaCell,  False.
Erythrocyte and Osteocyte SubClassOf PhotoreceptorCell,  False.
MioBlast and Neuron SubClassOf LeafCell,  False.
CellByClass and LeafCell SubClassOf SclerenchymaCell,  I cannot
Miocyte and Osteocyte SubClassOf PhotoreceptorCell,  False.
ElectricallyActiveCell and Miocyte SubClassOf LeafCell,  False.
MatureCell and StructuralCell SubClassOf LeafCell,  False.
InMatureCell and StructuralCell SubClassOf LeafCell,  False.
InMatureCell and Neuron SubClassOf Erythrocyte,  False.
MatureCell and MioBlast SubClassOf ChondroBlast,  False.
CellByOrganism and ChondroBlast SubClassOf MatureCell,  False.
CirculatingCell and Miocyte SubClassOf CellByClass,  True.
CirculatingCell and Miocyte SubClassOf SclerenchymaCell,  False.
CirculatingCell and Miocyte SubClassOf LeafCell,  False.
CirculatingCell and Miocyte SubClassOf Erythrocyte,  False.
CirculatingCell and Miocyte SubClassOf PhotosyntheticCell,  False.
CirculatingCell and Miocyte SubClassOf PlantCell,  False.
Miocyte SubClassOf CellByClass,  True.
Miocyte SubClassOf SclerenchymaCell,  False.
Miocyte SubClassOf LeafCell,  False.
Miocyte SubClassOf Erythrocyte,  False.
Miocyte SubClassOf PhotosyntheticCell,  False.
Miocyte SubClassOf CirculatingCell,  False.
Miocyte SubClassOf PlantCell,  False.
Miocyte SubClassOf MatureCell,  True.
Miocyte SubClassOf CellByClass and MatureCell,  True for
Miocyte SubClassOf AnimalCell,  True.
Miocyte SubClassOf AnimalCell and CellByClass,  True for
Miocyte SubClassOf Cell,  True.
Miocyte SubClassOf Cell and CellByClass,  True for
Miocyte SubClassOf InMatureCell,  True.
Miocyte SubClassOf CellByClass and InMatureCell,  True for
Miocyte SubClassOf Osteocyte,  False.
Miocyte SubClassOf ChondroBlast,  False.
Miocyte SubClassOf MioBlast,  False.
Miocyte SubClassOf CellByDevelopmentStage,  True.
Miocyte SubClassOf CellByClass and CellByDevelopmentStage,  True for
Miocyte SubClassOf PhotoreceptorCell,  False.
Miocyte SubClassOf CellByOrganism,  True.
Miocyte SubClassOf CellByClass and CellByOrganism,  True for
Miocyte SubClassOf ElectricallyActiveCell,  True.
Miocyte SubClassOf CellByClass and ElectricallyActiveCell,  True for
Miocyte SubClassOf StructuralCell,  True.
Miocyte SubClassOf CellByClass and StructuralCell,  True for
Miocyte SubClassOf Neuron,  False.
Miocyte SubClassOf ChondroCyte,  False.
ElectricallyActiveCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
CellByClass and ElectricallyActiveCell SubClassOf ChondroBlast,  False.
ChondroBlast and CirculatingCell SubClassOf CellByDevelopmentStage,  I cannot
MioBlast and PhotosyntheticCell SubClassOf CellByDevelopmentStage,  True for
AnimalCell and CellByDevelopmentStage SubClassOf MioBlast,  False.
AnimalCell and StructuralCell SubClassOf ChondroCyte,  False.
PhotoreceptorCell and PlantCell SubClassOf CellByDevelopmentStage,  True for
CellByOrganism and InMatureCell SubClassOf ChondroCyte,  I cannot
AnimalCell and PhotosyntheticCell SubClassOf MioBlast,  False.
ElectricallyActiveCell and PlantCell SubClassOf MioBlast,  False.
CellByDevelopmentStage and LeafCell SubClassOf InMatureCell,  I cannot
CellByDevelopmentStage and ChondroCyte SubClassOf PlantCell,  False.
Cell and MatureCell SubClassOf PhotosyntheticCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf InMatureCell,  False.
CellByOrganism and ChondroCyte SubClassOf PlantCell,  False.
ChondroBlast and InMatureCell SubClassOf CellByOrganism,  True.
ChondroBlast and InMatureCell SubClassOf SclerenchymaCell,  False.
ChondroBlast and InMatureCell SubClassOf LeafCell,  I cannot
ChondroBlast and InMatureCell SubClassOf Erythrocyte,  False.
ChondroBlast and InMatureCell SubClassOf PhotosyntheticCell,  False.
ChondroBlast and InMatureCell SubClassOf CirculatingCell,  False.
ChondroBlast and InMatureCell SubClassOf PlantCell,  False.
ChondroBlast and InMatureCell SubClassOf CellByClass,  True.
InMatureCell SubClassOf CellByClass,  I cannot
ChondroBlast SubClassOf CellByClass,  True.
ChondroBlast SubClassOf SclerenchymaCell,  False.
ChondroBlast SubClassOf LeafCell,  False.
ChondroBlast SubClassOf Erythrocyte,  False.
ChondroBlast SubClassOf PhotosyntheticCell,  False.
ChondroBlast SubClassOf CirculatingCell,  False.
ChondroBlast SubClassOf PlantCell,  False.
ChondroBlast SubClassOf MatureCell,  False.
ChondroBlast SubClassOf AnimalCell,  False.
ChondroBlast SubClassOf Cell,  True.
ChondroBlast SubClassOf Cell and CellByClass,  True for
ChondroBlast SubClassOf Miocyte,  False.
ChondroBlast SubClassOf InMatureCell,  True.
ChondroBlast SubClassOf CellByClass and InMatureCell,  True for
ChondroBlast SubClassOf Osteocyte,  False.
ChondroBlast SubClassOf MioBlast,  False.
ChondroBlast SubClassOf CellByDevelopmentStage,  True.
ChondroBlast SubClassOf CellByClass and CellByDevelopmentStage,  True for
ChondroBlast SubClassOf PhotoreceptorCell,  False.
ChondroBlast SubClassOf CellByOrganism,  False.
ChondroBlast SubClassOf ElectricallyActiveCell,  False.
ChondroBlast SubClassOf StructuralCell,  True.
ChondroBlast SubClassOf CellByClass and StructuralCell,  True for
ChondroBlast SubClassOf Neuron,  False.
ChondroBlast SubClassOf ChondroCyte,  True.
ChondroBlast SubClassOf CellByClass and ChondroCyte,  True,
ChondroBlast SubClassOf Cell and CellByClass and ChondroCyte,  True for
ChondroBlast SubClassOf CellByClass and ChondroCyte and InMatureCell,  True for
ChondroBlast SubClassOf CellByClass and CellByDevelopmentStage and ChondroCyte,  True for
ChondroBlast SubClassOf CellByClass and ChondroCyte and StructuralCell,  True for
InMatureCell and Osteocyte SubClassOf Miocyte,  False.
Neuron and PhotoreceptorCell SubClassOf Miocyte,  False.
Cell and CirculatingCell SubClassOf CellByOrganism,  I cannot
Cell and Neuron SubClassOf StructuralCell,  True.
Cell and Neuron SubClassOf SclerenchymaCell,  False.
Cell and Neuron SubClassOf LeafCell,  False.
Cell and Neuron SubClassOf PhotosyntheticCell,  False.
Cell and Neuron SubClassOf PlantCell,  False.
Cell and Neuron SubClassOf CellByClass,  False.
Cell and Neuron SubClassOf MatureCell,  True.
Cell SubClassOf MatureCell and SclerenchymaCell,  True for
Cell SubClassOf Erythrocyte and MatureCell,  True,
Cell SubClassOf Erythrocyte and MatureCell and PhotosyntheticCell,  1
Cell SubClassOf CellByClass and Erythrocyte and MatureCell,  True for
Cell SubClassOf AnimalCell and Erythrocyte and MatureCell,  True:
Cell SubClassOf Erythrocyte and MatureCell and Osteocyte,  Cell is
Cell SubClassOf Erythrocyte and MatureCell and PhotoreceptorCell,  Cell is
Cell SubClassOf CellByOrganism and Erythrocyte and MatureCell,  True:
Cell SubClassOf ElectricallyActiveCell and Erythrocyte and MatureCell,  True for
Cell SubClassOf Erythrocyte and MatureCell and StructuralCell,  1
Cell SubClassOf Erythrocyte and MatureCell and Neuron,  Cell is
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and MatureCell and SclerenchymaCell,  Here are
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and MatureCell and PhotosyntheticCell,  Cell is
Cell SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and Erythrocyte and MatureCell,  Here are
