BallGame and FootballTeam SubClassOf Player,  False.
plays some Player SubClassOf Team,  False.
plays some Player SubClassOf Player,  True.
Player SubClassOf Player,  False.
Thing SubClassOf plays some Player,  False.
Player SubClassOf Manager,  False.
Player SubClassOf Team,  False.
Player SubClassOf FootballTeam,  False.
Player SubClassOf Game,  False.
Player SubClassOf FootballPlayer,  True.
Game and Player SubClassOf BallGame,  False.
Game SubClassOf plays some Football,  False.
Manager SubClassOf plays some BallGame,  False.
Manager SubClassOf managed_by some Game,  False.
Game and Manager SubClassOf Team,  False.
FootballPlayer and Person SubClassOf Manager,  False.
Person SubClassOf BallGame,  False.
Football and Team SubClassOf Player,  False.
BallGame SubClassOf managed_by some Person,  False.
FootballPlayer and Team SubClassOf Football,  False.
plays_for some Football SubClassOf BallGame,  False.
Football SubClassOf plays some FootballPlayer,  False.
Football and Manager SubClassOf Person,  False.
plays_for some Team SubClassOf Game,  False.
Game and Team SubClassOf FootballTeam,  False.
Football and Player SubClassOf Manager,  False.
FootballPlayer SubClassOf managed_by some FootballTeam,  False.
BallGame SubClassOf plays some BallGame,  False.
managed_by some FootballPlayer SubClassOf Person,  False.
plays_for some Game SubClassOf Football,  True.
plays_for some Game SubClassOf Manager,  False.
plays_for some Game SubClassOf Team,  False.
plays_for some Game SubClassOf Player,  False.
plays_for some Game SubClassOf FootballTeam,  False.
plays_for some Game SubClassOf Game,  False.
plays_for some Game SubClassOf FootballPlayer,  False.
Game SubClassOf Football,  False.
Thing SubClassOf plays_for some Game,  False.
Game SubClassOf Manager,  False.
Game SubClassOf Team,  False.
Game SubClassOf Player,  False.
Game SubClassOf FootballTeam,  False.
Game SubClassOf FootballPlayer,  False.
Game SubClassOf Person,  False.
Game SubClassOf BallGame,  False.
plays_for some Thing SubClassOf Football,  I.
Football and FootballTeam SubClassOf FootballPlayer,  False.
FootballTeam and Team SubClassOf Game,  False.
BallGame SubClassOf plays some Manager,  False.
managed_by some Game SubClassOf Manager,  False.
plays_for some FootballPlayer SubClassOf BallGame,  False.
managed_by some FootballTeam SubClassOf Team,  False.
Game SubClassOf plays some FootballTeam,  False.
FootballPlayer and Game SubClassOf FootballTeam,  False.
managed_by some FootballPlayer SubClassOf Game,  False.
plays some Football SubClassOf Player,  True.
Thing SubClassOf plays some (Football and Game),  False.
Football and Game SubClassOf Team,  False.
Football and Game SubClassOf Player,  False.
Football and Game SubClassOf FootballTeam,  False.
Football and Game SubClassOf FootballPlayer,  False.
Football and Game SubClassOf Person,  False.
Football and Game SubClassOf BallGame,  False.
(plays some Football) and (plays some Game) SubClassOf plays some (Football and Game),  False.
(plays some Football) and (plays some Game) SubClassOf Team,  False.
plays some (Football and Game) SubClassOf plays some (Football and Game),  True.
plays some Game SubClassOf Team,  False.
Person SubClassOf plays some FootballPlayer,  False.
Person SubClassOf plays some Game,  False.
Game and Manager SubClassOf Player,  False.
plays some FootballPlayer SubClassOf FootballTeam,  False.
Person and Team SubClassOf Player,  False.
FootballPlayer and FootballTeam SubClassOf Game,  False.
FootballTeam SubClassOf plays some Team,  False.
Football and Manager SubClassOf BallGame,  False.
FootballTeam and Game SubClassOf Person,  False.
Game and Team SubClassOf Person,  False.
Player SubClassOf plays some FootballPlayer,  False.
BallGame and FootballPlayer SubClassOf Team,  False.
Game and Player SubClassOf Football,  False.
FootballPlayer and Person SubClassOf Football,  False.
plays_for some FootballTeam SubClassOf Person,  False.
Team SubClassOf managed_by some Football,  False.
FootballPlayer and Person SubClassOf BallGame,  False.
Person SubClassOf plays some Manager,  False.
Game and Manager SubClassOf FootballTeam,  False.
managed_by some Player SubClassOf FootballPlayer,  False.
BallGame SubClassOf managed_by some BallGame,  False.
BallGame and Team SubClassOf Football,  True.
BallGame and Team SubClassOf Manager,  False.
BallGame and Team SubClassOf FootballPlayer,  False.
Team SubClassOf Football,  False.
FootballTeam SubClassOf plays some Manager,  False.
Football SubClassOf managed_by some Game,  False.
Manager and Player SubClassOf Football,  False.
FootballPlayer and Team SubClassOf Game,  False.
FootballTeam and Game SubClassOf Manager,  False.
Game and Person SubClassOf FootballPlayer,  False.
plays_for some FootballPlayer SubClassOf FootballTeam,  False.
Game SubClassOf plays some Team,  False.
managed_by some FootballPlayer SubClassOf Team,  False.
Manager SubClassOf managed_by some Manager,  False.
BallGame and Game SubClassOf Player,  False.
plays_for some Player SubClassOf BallGame,  False.
Football and Person SubClassOf Manager,  False.
Person SubClassOf plays_for some Player,  False.
FootballTeam SubClassOf plays some FootballPlayer,  False.
Manager and Team SubClassOf FootballTeam,  False.
FootballTeam SubClassOf plays some Football,  False.
Manager SubClassOf plays some Football,  False.
Manager and Team SubClassOf Football,  False.
plays_for some FootballTeam SubClassOf Football,  False.
Football and FootballTeam SubClassOf BallGame,  False.
Game and Person SubClassOf Manager,  False.
Manager SubClassOf plays_for some FootballTeam,  False.
FootballTeam SubClassOf plays_for some Football,  False.
Team SubClassOf plays_for some Football,  False.
Person SubClassOf plays_for some Football,  False.
FootballPlayer and Player SubClassOf Manager,  False.
Manager and Team SubClassOf BallGame,  False.
Player and Team SubClassOf Manager,  False.
Game SubClassOf managed_by some Team,  False.
FootballTeam SubClassOf plays_for some BallGame,  False.
Football SubClassOf plays some Player,  False.
FootballTeam and Game SubClassOf BallGame,  False.
plays_for some Player SubClassOf Person,  False.
Football SubClassOf plays_for some Manager,  False.
Manager and Person SubClassOf Football,  False.
Person and Player SubClassOf Manager,  False.
Game SubClassOf plays_for some Team,  False.
BallGame and Manager SubClassOf FootballPlayer,  False.
plays some Manager SubClassOf Game,  False.
Person SubClassOf plays_for some FootballPlayer,  False.
Manager and Player SubClassOf FootballTeam,  False.
BallGame and Game SubClassOf Manager,  False.
Football and FootballTeam SubClassOf Person,  False.
BallGame and Person SubClassOf FootballTeam,  False.
managed_by some Person SubClassOf Manager,  False.
plays some BallGame SubClassOf Game,  True.
plays some BallGame SubClassOf Manager,  False.
plays some BallGame SubClassOf Player,  False.
plays some BallGame SubClassOf FootballTeam,  False.
Team SubClassOf Team and (plays some (BallGame and Football and Game)),  False.
Team SubClassOf Manager,  False.
Team SubClassOf Player,  False.
Team SubClassOf FootballTeam,  False.
Team SubClassOf Game,  False.
Team SubClassOf FootballPlayer,  False.
Team SubClassOf Person,  False.
Team SubClassOf BallGame,  False.
BallGame and Football and Game SubClassOf Manager,  False.
BallGame and Football and Game SubClassOf Team,  False.
BallGame and Football and Game SubClassOf Player,  False.
BallGame and Football and Game SubClassOf FootballTeam,  False.
BallGame and Football and Game SubClassOf FootballPlayer,  False.
BallGame and Football and Game SubClassOf Person,  False.
Team and (plays some BallGame) and (plays some (Football and Game)) SubClassOf Team and (plays some (BallGame and Football and Game)),  False.
Team and (plays some BallGame) and (plays some (Football and Game)) SubClassOf Game,  False.
Team and (plays some (BallGame and Football and Game)) SubClassOf Team and (plays some (BallGame and Football and Game)),  False.
Team and (plays some (BallGame and Football and Game)) SubClassOf Game,  False.
plays some (BallGame and Football and Game) SubClassOf Game,  True.
plays some (Football and Game) SubClassOf Game,  True.
plays some Game SubClassOf Game,  True.
plays some Thing SubClassOf Game,  False.
FootballTeam and Person SubClassOf Player,  False.
Football and Person SubClassOf Player,  False.
plays some FootballTeam SubClassOf Team,  True.
plays some FootballTeam SubClassOf Manager,  False.
FootballTeam SubClassOf Team,  True.
FootballTeam SubClassOf Thing,  False.
FootballTeam SubClassOf Manager,  False.
FootballTeam SubClassOf Player,  False.
FootballTeam SubClassOf Game,  False.
FootballTeam SubClassOf FootballPlayer,  False.
FootballTeam SubClassOf Football,  False.
FootballTeam SubClassOf Person,  False.
FootballTeam SubClassOf BallGame,  False.
Manager and Person SubClassOf Team,  False.
Football and Person SubClassOf FootballPlayer,  False.
Player and Team SubClassOf Game,  False.
FootballPlayer SubClassOf plays_for some Game,  False.
FootballTeam and Manager SubClassOf Player,  False.
BallGame SubClassOf plays_for some Player,  False.
managed_by some Player SubClassOf Football,  False.
Game and Manager SubClassOf BallGame,  False.
FootballTeam and Person SubClassOf Game,  False.
plays_for some Player SubClassOf Manager,  False.
FootballPlayer and Player SubClassOf BallGame,  False.
BallGame SubClassOf managed_by some Player,  False.
Player SubClassOf plays some BallGame,  False.
plays some Game SubClassOf FootballPlayer,  False.
plays_for some Manager SubClassOf Team,  False.
FootballPlayer SubClassOf plays_for some Manager,  False.
FootballPlayer and Game SubClassOf BallGame,  False.
Football SubClassOf plays_for some BallGame,  False.
FootballPlayer SubClassOf managed_by some BallGame,  False.
BallGame and FootballTeam SubClassOf FootballPlayer,  False.
Person and Player SubClassOf FootballTeam,  False.
Game SubClassOf plays_for some Game,  False.
Football and Player SubClassOf BallGame,  False.
managed_by some Manager SubClassOf Manager,  True.
Manager SubClassOf Manager,  False.
Thing SubClassOf managed_by some Manager,  False.
Manager SubClassOf Team,  False.
Manager SubClassOf Player,  False.
Manager SubClassOf FootballTeam,  False.
Manager SubClassOf Game,  False.
Manager SubClassOf FootballPlayer,  False.
Manager SubClassOf Football,  False.
Manager SubClassOf BallGame,  False.
managed_by some Thing SubClassOf Manager,  False.
plays some Player SubClassOf Game,  False.
Manager SubClassOf plays_for some Person,  False.
Football and Manager SubClassOf FootballPlayer,  False.
Person and Team SubClassOf FootballPlayer,  False.
FootballTeam and Player SubClassOf Game,  False.
managed_by some Person SubClassOf BallGame,  False.
managed_by some BallGame SubClassOf Player,  False.
Person and Player SubClassOf Team,  False.
plays some FootballTeam SubClassOf FootballPlayer,  False.
BallGame and Football SubClassOf FootballPlayer,  False.
Game and Team SubClassOf Player,  False.
Football SubClassOf plays some Game,  False.
BallGame SubClassOf plays_for some FootballTeam,  False.
Team SubClassOf plays_for some FootballPlayer,  False.
Game SubClassOf plays some Manager,  False.
BallGame SubClassOf plays_for some BallGame,  False.
Game SubClassOf plays_for some Football,  False.
plays_for some Football SubClassOf Person,  True.
plays_for some Football SubClassOf Manager,  False.
plays_for some Football SubClassOf Team,  True.
Football and Game SubClassOf Football and Game and (plays_for some (Football and Game)),  False.
Football and Game and (plays_for some Football) and (plays_for some Game) SubClassOf Football and Game and (plays_for some (Football and Game)),  False.
Football and Game and (plays_for some Football) and (plays_for some Game) SubClassOf Team,  False.
Football and Game and (plays_for some (Football and Game)) SubClassOf Football and Game and (plays_for some (Football and Game)),  False.
Football and Game and (plays_for some (Football and Game)) SubClassOf Team,  False.
Game and (plays_for some (Football and Game)) SubClassOf Team,  False.
Football and (plays_for some (Football and Game)) SubClassOf Team, False.
Football and Game and (plays_for some Game) SubClassOf Team,  False.
Football and Game and (plays_for some Football) SubClassOf Team, False.
FootballTeam and Player SubClassOf Football,  FootballTeam
Team SubClassOf plays_for some Player,  False.
FootballTeam and Team SubClassOf Player,  False.
FootballPlayer and Player SubClassOf Football,  False.
Can BallGame that is also FootballTeam be considered a subcategory of 'Player'?,  False.
Can something that plays_for some BallGame be considered a subcategory of 'Team'?,  False.
Can BallGame that is also FootballTeam be considered a subcategory of 'Person'?,  False.
Can FootballPlayer that is also Person be considered a subcategory of 'Game'?,  False.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Football'?,  I.
Can something that managed_by some BallGame be considered a subcategory of 'FootballPlayer'?,  I.
Can FootballTeam that is also Team be considered a subcategory of 'FootballPlayer'?,  False.
Can BallGame that is also Manager be considered a subcategory of 'Game'?,  I.
Can FootballTeam that is also Player be considered a subcategory of 'FootballPlayer'?,  False.
Can Game be considered a subcategory of 'something that plays some BallGame'?,  I.
Can Game that is also Person be considered a subcategory of 'Football'?,  False.
Can Game that is also Person be considered a subcategory of 'BallGame'?,  False.
Can something that plays some Team be considered a subcategory of 'FootballPlayer'?,  I.
Can FootballPlayer that is also Manager be considered a subcategory of 'Person'?,  True.
Can FootballPlayer that is also Manager be considered a subcategory of 'Team'?,  False.
Can FootballPlayer that is also Manager be considered a subcategory of 'Player'?,  Based on
Can FootballPlayer that is also Manager be considered a subcategory of 'FootballTeam'?,  False.
Can FootballPlayer that is also Manager be considered a subcategory of 'Game'?,  False.
Can FootballPlayer that is also Manager be considered a subcategory of 'Football'?,  False.
Can Manager be considered a subcategory of 'Person'?,  False.
Can FootballPlayer be considered a subcategory of 'Person'?,  True.
Can FootballPlayer be considered a subcategory of 'Thing'?,  True.
Can FootballPlayer be considered a subcategory of 'Person that is also Thing'?,  I.
Can FootballPlayer be considered a subcategory of 'Manager'?,  False.
Can FootballPlayer be considered a subcategory of 'Team'?,  False.
Can FootballPlayer be considered a subcategory of 'Player'?,  I.
Can FootballPlayer be considered a subcategory of 'FootballTeam'?,  False.
Can FootballPlayer be considered a subcategory of 'Game'?,  False.
Can FootballPlayer be considered a subcategory of 'Football'?,  False.
Can FootballPlayer be considered a subcategory of 'BallGame'?,  False.
Can Football that is also Player be considered a subcategory of 'Person'?,  False.
Can FootballTeam that is also Team be considered a subcategory of 'Football'?,  False.
Can Person be considered a subcategory of 'FootballPlayer'?,  False.
Can something that plays_for some Manager be considered a subcategory of 'Football'?,  False.
Can FootballPlayer that is also FootballTeam be considered a subcategory of 'BallGame'?,  False.
Can something that plays some FootballTeam be considered a subcategory of 'BallGame'?,  False.
Can Person that is also Team be considered a subcategory of 'Football'?,  False.
Can BallGame that is also Team be considered a subcategory of 'FootballTeam'?,  I.
Can Manager that is also Person be considered a subcategory of 'Player'?,  I.
Can something that plays some Person be considered a subcategory of 'Manager'?,  I.
Can something that plays_for some BallGame be considered a subcategory of 'Game'?,  False.
Can BallGame that is also Team be considered a subcategory of 'Player'?,  False.
Can FootballPlayer that is also FootballTeam be considered a subcategory of 'Manager'?,  False.
Can Football that is also FootballTeam be considered a subcategory of 'Team'?,  I.
Can Football that is also Manager be considered a subcategory of 'Game'?,  False.
Can something that plays some Team be considered a subcategory of 'Manager'?,  I.
Can Football that is also Team be considered a subcategory of 'FootballTeam'?,  False.
Can Football that is also FootballPlayer be considered a subcategory of 'FootballTeam'?,  False.
Can FootballTeam be considered a subcategory of 'something that managed_by some Team'?,  I.
Can FootballTeam that is also Team be considered a subcategory of 'Person'?,  False.
Can something that plays_for some Football be considered a subcategory of 'Football'?,  False.
Can Football that is also Manager be considered a subcategory of 'Team'?,  I.
Can FootballPlayer be considered a subcategory of 'something that managed_by some Player'?,  I.
Can Person be considered a subcategory of 'Team'?,  False.
Can Football that is also Game be considered a subcategory of 'Manager'?,  False.
Can FootballTeam that is also Player be considered a subcategory of 'Manager'?,  False.
Can something that managed_by some Person be considered a subcategory of 'FootballTeam'?,  False.
Can something that managed_by some Team be considered a subcategory of 'Player'?,  I.
Can Football be considered a subcategory of 'something that managed_by some FootballTeam'?,  False.
Can Player that is also Team be considered a subcategory of 'Person'?,  False.
Can something that plays some Football be considered a subcategory of 'FootballPlayer'?,  False.
Can Game be considered a subcategory of 'something that managed_by some FootballPlayer'?,  I.
Can Football be considered a subcategory of 'something that managed_by some Player'?,  I.
Can FootballTeam that is also Game be considered a subcategory of 'Football'?,  False.
Can Manager be considered a subcategory of 'something that managed_by some Football'?,  I.
Can something that managed_by some Team be considered a subcategory of 'FootballTeam'?,  False.
Can BallGame that is also Football be considered a subcategory of 'Team'?,  I.
Can Player be considered a subcategory of 'something that managed_by some FootballPlayer'?,  I.
Can Player be considered a subcategory of 'something that plays some Football'?,  True (
Can Person be considered a subcategory of 'something that plays some BallGame'?,  False.
Can Football be considered a subcategory of 'something that plays some Person'?,  I.
Can something that plays some Player be considered a subcategory of 'Person'?,  False.
Can Game that is also Player be considered a subcategory of 'BallGame'?,  False.
Can Game be considered a subcategory of 'something that plays some Football'?,  I.
Can Manager be considered a subcategory of 'something that plays some BallGame'?,  I.
Can Manager be considered a subcategory of 'something that managed_by some Game'?,  I.
Can Game that is also Manager be considered a subcategory of 'Team'?,  False.
Can FootballPlayer that is also Person be considered a subcategory of 'Manager'?,  False.
Can Person be considered a subcategory of 'BallGame'?,  False.
Can Football that is also Team be considered a subcategory of 'Player'?,  False.
Can BallGame be considered a subcategory of 'something that managed_by some Person'?,  I.
Can Player be considered a subcategory of 'FootballPlayer'?,  I.
Can FootballPlayer that is also Team be considered a subcategory of 'Football'?,  False.
Can something that plays_for some Football be considered a subcategory of 'BallGame'?,  I.
Can Football be considered a subcategory of 'something that plays some FootballPlayer'?,  False.
Can BallGame that is also Team be considered a subcategory of 'Game'?,  I.
Can Football that is also Manager be considered a subcategory of 'Person'?,  False.
Can something that plays_for some Team be considered a subcategory of 'Game'?,  False.
Can Game that is also Team be considered a subcategory of 'FootballTeam'?,  I.
Can Football that is also Player be considered a subcategory of 'Manager'?,  False.
Can FootballPlayer be considered a subcategory of 'something that managed_by some FootballTeam'?,  I.
Can BallGame be considered a subcategory of 'something that plays some BallGame'?,  I.
Can something that managed_by some FootballPlayer be considered a subcategory of 'Person'?,  False.
Can something that plays_for some Game be considered a subcategory of 'Football'?,  False.
Can Football that is also FootballTeam be considered a subcategory of 'FootballPlayer'?,  False.
Can FootballTeam that is also Team be considered a subcategory of 'Game'?,  False.
Can BallGame be considered a subcategory of 'something that plays some Manager'?,  False.
Can something that managed_by some Game be considered a subcategory of 'Manager'?,  I.
Can something that plays_for some FootballPlayer be considered a subcategory of 'BallGame'?,  False.
Can something that managed_by some FootballTeam be considered a subcategory of 'Team'?,  I.
Can Game be considered a subcategory of 'something that plays some FootballTeam'?,  False.
Can FootballPlayer that is also Game be considered a subcategory of 'FootballTeam'?,  False.
Can something that managed_by some FootballPlayer be considered a subcategory of 'Game'?,  False.
Can something that plays some Football be considered a subcategory of 'Player'?,  I.
Can Person be considered a subcategory of 'something that plays some FootballPlayer'?,  False.
Can Person be considered a subcategory of 'something that plays some Game'?, False.
Can Game that is also Manager be considered a subcategory of 'Player'?,  I.
Can something that plays some FootballPlayer be considered a subcategory of 'FootballTeam'?,  False.
Can Person that is also Team be considered a subcategory of 'Player'?,  I.
Can FootballPlayer that is also FootballTeam be considered a subcategory of 'Game'?,  False.
Can FootballTeam be considered a subcategory of 'something that plays some Team'?,  I.
Can something that plays_for some Game be considered a subcategory of 'FootballPlayer'?,  False.
Can Football that is also Manager be considered a subcategory of 'BallGame'?,  I.
Can FootballTeam that is also Game be considered a subcategory of 'Person'?,  False.
Can Game that is also Team be considered a subcategory of 'Person'?,  False.
Can Player be considered a subcategory of 'something that plays some FootballPlayer'?,  I.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Game'?,  False.
Can FootballPlayer that is also Game be considered a subcategory of 'Player'?,  I.
Can BallGame that is also FootballPlayer be considered a subcategory of 'Team'?,  I cannot
Can Game that is also Player be considered a subcategory of 'Football'?,  False.
Can FootballPlayer that is also Person be considered a subcategory of 'Football'?,  False.
Can something that plays_for some FootballTeam be considered a subcategory of 'Person'?,  False.
Can Team be considered a subcategory of 'something that managed_by some Football'?,  I.
Can something that plays_for some BallGame be considered a subcategory of 'Football'?,  I.
Can FootballPlayer that is also Person be considered a subcategory of 'BallGame'?,  False.
Can Person be considered a subcategory of 'something that plays some Manager'?,  False.
Can Game that is also Manager be considered a subcategory of 'FootballTeam'?,  I.
Can something that managed_by some Player be considered a subcategory of 'FootballPlayer'?,  I.
Can BallGame be considered a subcategory of 'something that managed_by some BallGame'?,  I.
Can BallGame that is also Team be considered a subcategory of 'Football'?,  I.
Can FootballTeam be considered a subcategory of 'something that plays some Manager'?,  False.
Can Football be considered a subcategory of 'something that managed_by some Game'?,  I.
Can BallGame that is also Team be considered a subcategory of 'Manager'?,  False.
Can Football that is also Player be considered a subcategory of 'FootballPlayer'?,  I.
Can Manager that is also Player be considered a subcategory of 'Football'?,  I.
Can FootballPlayer that is also Person be considered a subcategory of 'Player'?,  I.
Can BallGame that is also Football be considered a subcategory of 'Game'?,  True.
Can BallGame that is also Football be considered a subcategory of 'Manager'?,  False.
Can BallGame that is also Football be considered a subcategory of 'Player'?,  False.
Can BallGame that is also Football be considered a subcategory of 'FootballTeam'?,  I.
Can Football be considered a subcategory of 'Game'?,  True.
Can Football be considered a subcategory of 'Thing'?,  False.
Can Football be considered a subcategory of 'Manager'?,  False.
Can Football be considered a subcategory of 'Team'?,  I.
Can Football be considered a subcategory of 'Player'?,  False.
Can Football be considered a subcategory of 'FootballTeam'?,  False.
Can Football be considered a subcategory of 'FootballPlayer'?,  False.
Can Football be considered a subcategory of 'Person'?,  False.
Can Football be considered a subcategory of 'BallGame'?,  True.
Can Football be considered a subcategory of 'BallGame that is also Game'?,  True.
Can FootballPlayer that is also Team be considered a subcategory of 'Game'?,  False.
Can FootballTeam that is also Game be considered a subcategory of 'Manager'?,  False.
Can Game that is also Person be considered a subcategory of 'FootballPlayer'?,  I.
Can something that plays_for some FootballPlayer be considered a subcategory of 'FootballTeam'?,  False.
Can Game be considered a subcategory of 'something that plays some Team'?,  I.
Can BallGame that is also Player be considered a subcategory of 'Football'?,  I.
Can something that managed_by some FootballPlayer be considered a subcategory of 'Team'?,  I.
Can Manager be considered a subcategory of 'something that managed_by some Manager'?,  I.
Can BallGame that is also Game be considered a subcategory of 'Player'?,  False.
Can something that plays_for some Player be considered a subcategory of 'BallGame'?,  False.
Can Football that is also Person be considered a subcategory of 'Manager'?,  False.
Can Game be considered a subcategory of 'Person'?,  False.
Can Person be considered a subcategory of 'something that plays_for some Player'?,  False.
Can Football that is also Game be considered a subcategory of 'Team'?,  False.
Can FootballTeam be considered a subcategory of 'something that plays some FootballPlayer'?,  I.
Can Manager that is also Team be considered a subcategory of 'FootballTeam'?,  I.
Can FootballTeam be considered a subcategory of 'something that plays some Football'?,  I.
Can Manager be considered a subcategory of 'something that plays some Football'?,  I.
Can Manager that is also Team be considered a subcategory of 'Football'?,  I.
Can something that plays_for some FootballTeam be considered a subcategory of 'Football'?,  False.
Can Game that is also Person be considered a subcategory of 'Manager'?,  I.
Can Manager be considered a subcategory of 'something that plays_for some FootballTeam'?,  I.
Can FootballTeam be considered a subcategory of 'something that plays_for some Football'?,  I.
Can Team be considered a subcategory of 'something that plays_for some Football'?,  I.
Can Person be considered a subcategory of 'something that plays_for some Football'?,  False.
Can FootballPlayer that is also Player be considered a subcategory of 'Manager'?,  False.
Can BallGame be considered a subcategory of 'Game'?,  I.
Can Manager that is also Team be considered a subcategory of 'BallGame'?,  I.
Can Player that is also Team be considered a subcategory of 'Manager'?,  False.
Can Game be considered a subcategory of 'something that managed_by some Team'?,  I.
Can FootballTeam be considered a subcategory of 'something that plays_for some BallGame'?,  I.
Can Football be considered a subcategory of 'something that plays some Player'?,  I.
Can FootballTeam that is also Game be considered a subcategory of 'BallGame'?,  I.
Can something that plays_for some Player be considered a subcategory of 'Person'?,  I.
Can Football be considered a subcategory of 'something that plays_for some Manager'?,  I.
Can Manager that is also Person be considered a subcategory of 'Football'?,  False.
Can Person that is also Player be considered a subcategory of 'Manager'?,  False.
Can Game be considered a subcategory of 'something that plays_for some Team'?,  I.
Can BallGame that is also Manager be considered a subcategory of 'FootballPlayer'?,  False.
Can something that plays some Manager be considered a subcategory of 'Game'?,  False.
Can something that plays some Player be considered a subcategory of 'Team'?,  False.
Can Person be considered a subcategory of 'something that plays_for some FootballPlayer'?,  False.
Can Manager that is also Player be considered a subcategory of 'FootballTeam'?,  False.
Can BallGame that is also Game be considered a subcategory of 'Manager'?,  False.
Can Football that is also FootballTeam be considered a subcategory of 'Person'?,  False.
Can BallGame that is also Person be considered a subcategory of 'FootballTeam'?,  False.
Can something that managed_by some Person be considered a subcategory of 'Manager'?,  I.
Can something that plays some BallGame be considered a subcategory of 'Game'?,  True.
Can something that plays some BallGame be considered a subcategory of 'Manager'?,  False.
