Can Parent that is also Person be considered a subcategory of 'Father'?, True.
Can Child be considered a subcategory of 'Man'?, False
Can Child be considered a subcategory of 'Mother'?, False
Can Child be considered a subcategory of 'GrandParent'?, False
Can Child be considered a subcategory of 'Sex'?, False
Can Child be considered a subcategory of 'Sister'?, False
Can Child be considered a subcategory of 'OffSpring'?, False
Can Child be considered a subcategory of 'Woman'?, False
Can Child be considered a subcategory of 'Male'?, False
Can Child be considered a subcategory of 'Sibling'?, False
Can Child be considered a subcategory of 'GrandFather'?, False.
Can Mother be considered a subcategory of 'something that hasChild some Son'?, False
Can GrandMother that is also Woman be considered a subcategory of 'Parent'?, True \n\n
Can GrandMother that is also Woman be considered a subcategory of 'Son'?, False
Can GrandMother that is also Woman be considered a subcategory of 'Female'?, True.
Can GrandMother be considered a subcategory of 'Female'?, True
Can GrandMother be considered a subcategory of 'Thing'?, True
Can GrandMother be considered a subcategory of 'Female that is also Thing'?, True
Can GrandMother be considered a subcategory of 'Son'?, False.
Can GrandMother be considered a subcategory of 'Father'?, False.
Can GrandMother be considered a subcategory of 'Person'?, True.
Can GrandMother be considered a subcategory of 'Female that is also Person that is also Thing'?, True
Can GrandMother be considered a subcategory of 'Brother'?, False
Can GrandMother be considered a subcategory of 'Parent'?, True
Can GrandMother be considered a subcategory of 'Female that is also Parent that is also Person that is also Thing'?, True.
Can GrandMother be considered a subcategory of 'Daughter'?, False
Can GrandMother be considered a subcategory of 'Man'?, False.
Can GrandMother be considered a subcategory of 'Mother'?, False
Can GrandMother be considered a subcategory of 'GrandParent'?, True
Can GrandMother be considered a subcategory of 'Female that is also GrandParent that is also Parent that is also Person that is also Thing'?, True
Can GrandMother be considered a subcategory of 'Sex'?, False
Can GrandMother be considered a subcategory of 'Sister'?, False.
Can GrandMother be considered a subcategory of 'OffSpring'?, False
Can GrandMother be considered a subcategory of 'Woman'?, True
Can GrandMother be considered a subcategory of 'Female that is also GrandParent that is also Parent that is also Person that is also Woman that is also Thing'?, False
Can GrandMother be considered a subcategory of 'Male'?, False.
Can GrandMother be considered a subcategory of 'Sibling'?, False
Can GrandMother be considered a subcategory of 'GrandFather'?, False
Can Father be considered a subcategory of 'something that hasSibling some Parent'?, False
Can Parent that is also Sex be considered a subcategory of 'OffSpring'?, False
Can something that hasParent some Brother be considered a subcategory of 'OffSpring'?, False
Can GrandParent that is also Sex be considered a subcategory of 'Child'?, False
Can Brother that is also OffSpring be considered a subcategory of 'Son'?, False.
Can GrandParent that is also Sister be considered a subcategory of 'Male'?, False
Can Man that is also Sibling be considered a subcategory of 'Child'?, False
Can Father that is also Female be considered a subcategory of 'Sister'?, False
Can GrandFather that is also Man be considered a subcategory of 'Woman'?, False
Can Child that is also Woman be considered a subcategory of 'Sex'?, False
Can Brother that is also OffSpring be considered a subcategory of 'Mother'?, False
Can Father that is also GrandParent be considered a subcategory of 'Woman'?, False
Can something that hasChild some Sister be considered a subcategory of 'Female'?, False
Can GrandMother that is also Man be considered a subcategory of 'Woman'?, True
Can GrandMother that is also Man be considered a subcategory of 'Son'?, False.
Can GrandMother that is also Man be considered a subcategory of 'Child'?, False
Can GrandMother that is also Man be considered a subcategory of 'Brother'?, False
Can GrandMother that is also Man be considered a subcategory of 'Daughter'?, False
Can GrandMother that is also Man be considered a subcategory of 'Mother'?, False
Can GrandMother that is also Man be considered a subcategory of 'Sex'?, False
Can GrandMother that is also Man be considered a subcategory of 'Sister'?, False
Can GrandMother that is also Man be considered a subcategory of 'OffSpring'?, False.
Can GrandMother be considered a subcategory of 'Woman that is also Thing'?, False.
Can GrandMother be considered a subcategory of 'Female that is also Woman'?, False
Can GrandMother be considered a subcategory of 'Person that is also Woman'?, False
Can GrandMother be considered a subcategory of 'Parent that is also Woman'?, True
Can GrandMother be considered a subcategory of 'GrandParent that is also Parent that is also Woman'?, True.
Can Brother be considered a subcategory of 'something that hasSex some Mother'?, False
Can GrandFather that is also Son be considered a subcategory of 'Child'?, False
Can Sibling that is also Son be considered a subcategory of 'Brother'?, True
Can Sibling that is also Son be considered a subcategory of 'GrandMother'?, False.
Can Sibling that is also Son be considered a subcategory of 'Female'?, False
Can Sibling that is also Son be considered a subcategory of 'Father'?, False
Can Sibling that is also Son be considered a subcategory of 'Child'?, True
Can Male that is also Sex be considered a subcategory of 'Brother'?, False.
Can something that hasSibling some Sex be considered a subcategory of 'Son'?, False
Can Father that is also Parent be considered a subcategory of 'Woman'?, False
Can Male that is also Person be considered a subcategory of 'Child'?, False
Can something that hasParent some Daughter be considered a subcategory of 'Son'?, False
Can something that hasSibling some GrandFather be considered a subcategory of 'Father'?, False
Can Father that is also Person be considered a subcategory of 'Sister'?, False
Can Male that is also Parent be considered a subcategory of 'Man'?, True
Can Male that is also Parent be considered a subcategory of 'GrandMother'?, False
Can Male that is also Parent be considered a subcategory of 'Son'?, False
Can Male that is also Parent be considered a subcategory of 'Female'?, False
Can Male that is also Parent be considered a subcategory of 'Father'?, True.
Can Male be considered a subcategory of 'Father'?, False
Can something that hasParent some Father be considered a subcategory of 'Father'?, False
Can Female that is also Parent be considered a subcategory of 'GrandParent'?, False
Can Brother be considered a subcategory of 'something that hasParent some GrandParent'?, False.
Can Daughter that is also GrandFather be considered a subcategory of 'Sibling'?, False
Can something that hasSex some Female be considered a subcategory of 'Female'?, False
Can something that hasSibling some Mother be considered a subcategory of 'Daughter'?, False
Can Woman be considered a subcategory of 'something that hasSibling some GrandFather'?, False
Can Male that is also Sibling be considered a subcategory of 'GrandFather'?, False
Can Daughter that is also Father be considered a subcategory of 'Brother'?, False
Can Sister be considered a subcategory of 'something that hasSex some Daughter'?, False.
Can Man be considered a subcategory of 'something that hasChild some Sibling'?, False.
Can something that hasSex some Sibling be considered a subcategory of 'Brother'?, False
Can something that hasChild some Female be considered a subcategory of 'Mother'?, False
Can Woman be considered a subcategory of 'something that hasParent some OffSpring'?, False
Can Child that is also GrandParent be considered a subcategory of 'OffSpring'?, False
Can Person be considered a subcategory of 'something that hasChild some Child'?, False
Can Daughter that is also GrandMother be considered a subcategory of 'Son'?, False
Can Man be considered a subcategory of 'something that hasSex some Child'?, False
Can Brother that is also Son be considered a subcategory of 'OffSpring'?, True
Can Brother that is also Son be considered a subcategory of 'GrandMother'?, False
Can Brother that is also Son be considered a subcategory of 'Female'?, False
Can Brother that is also Son be considered a subcategory of 'Father'?, False
Can Brother that is also Son be considered a subcategory of 'Child'?, True
Can OffSpring that is also Sex be considered a subcategory of 'Woman'?, False
Can Father that is also Man be considered a subcategory of 'Male'?, True.
Can Father that is also Man be considered a subcategory of 'GrandMother'?, False
Can Father that is also Man be considered a subcategory of 'Son'?, False.
Can Father that is also Man be considered a subcategory of 'Female'?, False
Can Father that is also Man be considered a subcategory of 'Child'?, False.
Can Father that is also Man be considered a subcategory of 'Person'?, True
Can Father be considered a subcategory of 'Person'?, True
Can Father be considered a subcategory of 'GrandMother'?, False
Can Father be considered a subcategory of 'Thing'?, True.
Can Father be considered a subcategory of 'Person that is also Thing'?, False.
Can Father be considered a subcategory of 'Son'?, False
Can Father be considered a subcategory of 'Female'?, False.
Can Father be considered a subcategory of 'Brother'?, False
Can Father be considered a subcategory of 'Parent'?, True.
Can Father be considered a subcategory of 'Parent that is also Person'?, False
Can Father be considered a subcategory of 'Daughter'?, False
Can Father be considered a subcategory of 'Man'?, True
Can Father be considered a subcategory of 'Man that is also Person'?, True
Can Father be considered a subcategory of 'Mother'?, False
Can Father be considered a subcategory of 'GrandParent'?, False
Can Father be considered a subcategory of 'Sex'?, False
Can Father be considered a subcategory of 'Sister'?, False
Can Father be considered a subcategory of 'OffSpring'?, False
Can Father be considered a subcategory of 'Woman'?, False
Can Father be considered a subcategory of 'Male'?, False
Can Father be considered a subcategory of 'Sibling'?, False
Can Father be considered a subcategory of 'GrandFather'?, False
Can Father be considered a subcategory of 'Man that is also Person that is also Thing'?, False
Can Father be considered a subcategory of 'Man that is also Parent that is also Person'?, False.
Can Female that is also GrandMother be considered a subcategory of 'Sibling'?, False
Can GrandMother that is also Sister be considered a subcategory of 'Male'?, False
Can Man be considered a subcategory of 'something that hasSex some GrandFather'?, False
Can GrandParent be considered a subcategory of 'something that hasChild some Man'?, False
Can something that hasChild some Female be considered a subcategory of 'GrandParent'?, False
Can GrandMother that is also Mother be considered a subcategory of 'GrandFather'?, False
Can Brother that is also Sex be considered a subcategory of 'Sibling'?, True
Can Brother that is also Sex be considered a subcategory of 'GrandMother'?, False
Can Brother that is also Sex be considered a subcategory of 'Son'?, False
Can Brother that is also Sex be considered a subcategory of 'Female'?, False
Can Brother that is also Sex be considered a subcategory of 'Father'?, False
Can Brother that is also Sex be considered a subcategory of 'Child'?, False
Can Brother that is also Sex be considered a subcategory of 'Person'?, False
Can Brother that is also Sex be considered a subcategory of 'Parent'?, False
Can Brother that is also Sex be considered a subcategory of 'Daughter'?, False
Can Brother that is also Sex be considered a subcategory of 'Man'?, True
Can Sex be considered a subcategory of 'Man'?, False
Can Brother be considered a subcategory of 'Man'?, False.
Can Brother that is also Son be considered a subcategory of 'Sibling'?, True
Can Brother that is also Son be considered a subcategory of 'Parent'?, False
Can Brother that is also Son be considered a subcategory of 'Daughter'?, False
Can Brother that is also Son be considered a subcategory of 'Man'?, False
Can Brother that is also Son be considered a subcategory of 'Mother'?, False
Can Brother that is also Son be considered a subcategory of 'GrandParent'?, False
Can Brother that is also Son be considered a subcategory of 'Sex'?, False
Can Brother that is also Son be considered a subcategory of 'Sister'?, False.
Can Son be considered a subcategory of 'OffSpring'?, True
Can Son be considered a subcategory of 'GrandMother'?, False
Can Son be considered a subcategory of 'Thing'?, True
Can Son be considered a subcategory of 'OffSpring that is also Thing'?, True
Can Son be considered a subcategory of 'Female'?, False.
Can Son be considered a subcategory of 'Father'?, False
Can Son be considered a subcategory of 'Person'?, True
Can Son be considered a subcategory of 'OffSpring that is also Person that is also Thing'?, True.
Can Son be considered a subcategory of 'Brother'?, False
Can Son be considered a subcategory of 'Parent'?, False.
Can Son be considered a subcategory of 'Daughter'?, False
Can Son be considered a subcategory of 'Man'?, True
Can Son be considered a subcategory of 'Man that is also OffSpring that is also Person that is also Thing'?, True
Can Son be considered a subcategory of 'Mother'?, False
Can Son be considered a subcategory of 'GrandParent'?, False.
Can Son be considered a subcategory of 'Sex'?, True.
Can Son be considered a subcategory of 'Man that is also OffSpring that is also Person that is also Sex that is also Thing'?, True
Can Son be considered a subcategory of 'Sister'?, False
Can Son be considered a subcategory of 'Woman'?, False
Can Son be considered a subcategory of 'Male'?, True.
Can Son be considered a subcategory of 'Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Thing'?, True
Can Son be considered a subcategory of 'Sibling'?, False
Can Father that is also Sex be considered a subcategory of 'Daughter'?, False
Can something that hasSibling some Sister be considered a subcategory of 'Mother'?, False
Can Father that is also Man be considered a subcategory of 'Sex'?, False
Can Male that is also Woman be considered a subcategory of 'Person'?, False
Can something that hasParent some Child be considered a subcategory of 'Brother'?, False
Can Female that is also Son be considered a subcategory of 'Daughter'?, False.
Can Brother that is also Parent be considered a subcategory of 'Woman'?, False.
Can GrandFather that is also GrandParent be considered a subcategory of 'Sex'?, False.
Can OffSpring that is also Sibling be considered a subcategory of 'Female'?, False.
Can GrandParent be considered a subcategory of 'something that hasSex some Sibling'?, False
Can Brother that is also Daughter be considered a subcategory of 'GrandParent'?, False
Can Man that is also Parent be considered a subcategory of 'Father'?, True.
Can Man that is also Parent be considered a subcategory of 'GrandMother'?, False
Can Man that is also Parent be considered a subcategory of 'Son'?, False
Can Man that is also Parent be considered a subcategory of 'Female'?, False
Can Man be considered a subcategory of 'Father'?, False
Can Sex that is also Woman be considered a subcategory of 'GrandFather'?, False
Can Child that is also OffSpring be considered a subcategory of 'Man'?, False
Can GrandFather that is also Male be considered a subcategory of 'Person'?, True
Can GrandFather that is also Male be considered a subcategory of 'GrandMother'?, False
Can GrandFather that is also Male be considered a subcategory of 'Son'?, False
Can GrandFather that is also Male be considered a subcategory of 'Female'?, False
Can GrandFather that is also Male be considered a subcategory of 'Father'?, True
Can GrandFather be considered a subcategory of 'Father'?, False
Can something that hasParent some GrandParent be considered a subcategory of 'Father'?, False.
Can something that hasSibling some Sibling be considered a subcategory of 'Sibling'?, False.
Can Brother that is also Person be considered a subcategory of 'GrandFather'?, False.
Can Sibling be considered a subcategory of 'something that hasSex some GrandParent'?, False.
Can Female be considered a subcategory of 'something that hasChild some GrandFather'?, False.
Can GrandFather that is also Parent be considered a subcategory of 'Sibling'?, False.
Can GrandParent that is also Person be considered a subcategory of 'Brother'?, False
Can OffSpring that is also Sibling be considered a subcategory of 'Son'?, True
Can OffSpring that is also Sibling be considered a subcategory of 'GrandMother'?, False
Can OffSpring be considered a subcategory of 'Son'?, False
Can Sibling be considered a subcategory of 'Son'?, False
Can Female that is also Woman be considered a subcategory of 'Sibling'?, False
Can something that hasSibling some Daughter be considered a subcategory of 'Parent'?, False
Can Child that is also Sister be considered a subcategory of 'GrandMother'?, False
Can Female that is also Sibling be considered a subcategory of 'Parent'?, False
Can something that hasSex some Person be considered a subcategory of 'Parent'?, False
Can Daughter that is also Sex be considered a subcategory of 'Parent'?, False
Can Female that is also Woman be considered a subcategory of 'Sister'?, False
Can Person be considered a subcategory of 'something that hasSex some OffSpring'?, True.
Can Person be considered a subcategory of 'GrandMother'?, False.
Can Person be considered a subcategory of 'Son'?, False
Can Person be considered a subcategory of 'Female'?, False
Can Person be considered a subcategory of 'Brother'?, False
Can Person be considered a subcategory of 'Parent'?, False
Can Person be considered a subcategory of 'Daughter'?, False
Can Person be considered a subcategory of 'Man'?, False
Can Person be considered a subcategory of 'Mother'?, False
Can Person be considered a subcategory of 'GrandParent'?, False
Can Person be considered a subcategory of 'Sex'?, False
Can Person be considered a subcategory of 'Sister'?, False.
Can Person be considered a subcategory of 'OffSpring'?, False.
Can Person be considered a subcategory of 'Woman'?, False.
Can Person be considered a subcategory of 'Male'?, False
Can Person be considered a subcategory of 'Sibling'?, False
Can Person be considered a subcategory of 'GrandFather'?, False
Can GrandMother be considered a subcategory of 'something that hasSex some OffSpring'?, False
Can Thing be considered a subcategory of 'something that hasSex some OffSpring'?, False
Can Son be considered a subcategory of 'something that hasSex some OffSpring'?, True
Can Thing that is also something that (hasSex some OffSpring) be considered a subcategory of 'Thing that is also something that (hasSex some OffSpring)'?, False
Can Thing be considered a subcategory of 'Thing that is also something that (hasSex some OffSpring)'?, False
Can Son be considered a subcategory of 'Son'?, False
Can Person be considered a subcategory of 'Thing that is also something that (hasSex some OffSpring)'?, False
Can Man be considered a subcategory of 'Thing that is also something that (hasSex some OffSpring)'?, True
Can Man be considered a subcategory of 'GrandMother'?, False
Can Man be considered a subcategory of 'Thing'?, True
Can Man be considered a subcategory of 'Female'?, False.
Can Man be considered a subcategory of 'Person'?, True
Can Man be considered a subcategory of 'Brother'?, False
Can Man be considered a subcategory of 'Parent'?, False
Can Man be considered a subcategory of 'Daughter'?, False
Can Man be considered a subcategory of 'Man'?, False
Can Man be considered a subcategory of 'Mother'?, False
Can Man be considered a subcategory of 'GrandParent'?, False.
Can Man be considered a subcategory of 'Sex'?, False
Can Man be considered a subcategory of 'Sister'?, False
Can Man be considered a subcategory of 'OffSpring'?, False
Can Man be considered a subcategory of 'Woman'?, False
Can Man be considered a subcategory of 'Male'?, False
Can Man be considered a subcategory of 'Sibling'?, False.
Can Man be considered a subcategory of 'GrandFather'?, False.
Can Female be considered a subcategory of 'OffSpring'?, False
Can Brother be considered a subcategory of 'OffSpring'?, False
Can Parent be considered a subcategory of 'OffSpring'?, False
Can Mother be considered a subcategory of 'OffSpring'?, False
Can GrandParent be considered a subcategory of 'OffSpring'?, False
Can Sex be considered a subcategory of 'OffSpring'?, False
