HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure,  False.
HighHamiltonDepressionScore SubClassOf ASAAMeasure and ChildDepressionMeasure and ChildDepressionScore and ClinicalOutcomeMeasure and DepressionMeasure and HamiltonDepressionScore,  True.
HighHamiltonDepressionScore SubClassOf HamiltonDepressionScoreDifference,  False.
HighHamiltonDepressionScore SubClassOf HighRemissionOddsRatio,  False.
HighHamiltonDepressionScore SubClassOf LowDrugEfficacy,  False.
HighHamiltonDepressionScore SubClassOf ErythromycinClearanceMeasure,  False.
HighHamiltonDepressionScore SubClassOf LowReductionInMontgomeryAsbergDepressionRating,  False.
HighHamiltonDepressionScore SubClassOf ModerateReductionInChildDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf ASAAConcentration,  False.
HighHamiltonDepressionScore SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf SimilarRemissionOddsRatio,  False.
HighHamiltonDepressionScore SubClassOf EventFreeSurvivalTime,  False.
HighHamiltonDepressionScore SubClassOf LowRemissionOddsRatio,  False.
HighHamiltonDepressionScore SubClassOf HomocysteineLevel,  False.
HighHamiltonDepressionScore SubClassOf SideEffectMeasure,  True.
HighHamiltonDepressionScore SubClassOf ASAAMeasure and ChildDepressionMeasure and ChildDepressionScore and ClinicalOutcomeMeasure and DepressionMeasure and HamiltonDepressionScore and SideEffectMeasure,  True\n
HighHamiltonDepressionScore SubClassOf RemissionOddsRatio,  False.
HighHamiltonDepressionScore SubClassOf ASAAMeasure and ChildDepressionMeasure and ChildDepressionScore and ClinicalOutcomeMeasure and DepressionMeasure and HamiltonDepressionMeasure and HamiltonDepressionScore and SideEffectMeasure,  True\n
HighHamiltonDepressionScore SubClassOf ASAAMeasure and BiologicalMeasure and ChildDepressionMeasure and ChildDepressionScore and ClinicalOutcomeMeasure and DepressionMeasure and HamiltonDepressionMeasure and HamiltonDepressionScore and SideEffectMeasure,  True.
HighReductionInChildDepressionScore and MontgomeryAsbergDepressionRatingDifference SubClassOf BloodSerumProteinCount,  False.
DepressionMeasure and HighReductionInHamiltonAnxietyScore SubClassOf ElectrocardiogramQTInterval,  False.
BodyMassIndexDecrease and ModerateMontgomeryAsbergDepressionRating SubClassOf LowRemissionOddsRatio,  False.
AirwayResponsivenessUsingMethacholine and HamiltonDepressionMeasure SubClassOf ErythromycinClearanceMeasure,  False.
HamiltonDepressionScoreDifference and IncreasedGeneExpression SubClassOf QualityOfLife,  False.
HighReductionInChildDepressionScore and SatietyFrequency SubClassOf CoagulationProfile,  False.
HigherDiseaseSusceptibiltyOdds and ModerateReductionInMontgomeryAsbergDepressionRating SubClassOf BodyMassIndexIncrease,  False.
BodyMassIndexIncrease and Race SubClassOf AsthmaFrequency,  False.
DiseaseSusceptibilityOdds and SatietyMeasure SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
PharmacokineticMeasure and TaxonomicMeasure SubClassOf HomocysteineLevel,  False.
LowReductionInHamiltonAnxietyScore and _24HourBloodPressure SubClassOf BodyMassIndexMeasure,  False.
DrugClearance and SatietyDecrease SubClassOf HighReductionInChildDepressionScore,  False.
GeneExpressionMeasure and SideEffectFrequency SubClassOf LowReductionInHamiltonDepressionScore,  False.
DrugEfficacyMeasure and SideEffectRate SubClassOf ForcedExperiatoryVolume,  False.
ClinicalOutcomeMeasure and WeigthDifference SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
DiseaseSusceptibilityOdds and DrugEfficacy SubClassOf LowDrugEfficacy,  False.
ASAAConcentration and ModerateReductionInHamiltonAnxietyScore SubClassOf PulmonaryFunctionMeasure,  False.
HamiltonDepressionScore and PathogenCount SubClassOf LipidProfile,  False.
BoneMineralDensity and HighHamiltonDepressionScore SubClassOf ExerciseResponse,  False.
GeneExpression and ModerateReductionInChildDepressionScore SubClassOf NormalGeneExpression,  False.
DrugClearance and HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure,  True for
MolecularMeasure and SimilarRemissionOddsRatio SubClassOf HamiltonDepressionScoreDifference,  False.
DrugEfficacyMeasure and LowRemissionOddsRatio SubClassOf SimilarRemissionOddsRatio,  False.
SideEffectFrequency and _24HourBloodPressure SubClassOf HighRemission,  False.
NormalGeneExpression and WeigthDifference SubClassOf BiophysicalMeasure,  True.
NormalGeneExpression and WeigthDifference SubClassOf ChildDepressionScore,  False.
NormalGeneExpression and WeigthDifference SubClassOf MolecularMeasure,  True.
NormalGeneExpression SubClassOf MolecularMeasure,  True\n
NormalGeneExpression SubClassOf ChildDepressionScore,  False.
NormalGeneExpression SubClassOf RemissionFrequency,  False.
NormalGeneExpression SubClassOf SatietyFrequency,  False.
NormalGeneExpression SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
NormalGeneExpression SubClassOf ASAAConcentrationIncrease,  False.
NormalGeneExpression SubClassOf ERVisitFrequency,  False.
NormalGeneExpression SubClassOf ForcedExperiatoryVolume,  False.
NormalGeneExpression SubClassOf DailyBloodPressure,  False.
NormalGeneExpression SubClassOf HighRemission,  False.
NormalGeneExpression SubClassOf WeigthDifference,  False.
NormalGeneExpression SubClassOf GeneExpressionDifference,  False.
NormalGeneExpression SubClassOf ExerciseResponse,  False.
NormalGeneExpression SubClassOf NeoplasmFrequency,  False.
NormalGeneExpression SubClassOf GenotypeMeasure,  False.
NormalGeneExpression SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
NormalGeneExpression SubClassOf QualityOfLife,  False.
NormalGeneExpression SubClassOf AirwayResponsivenessUsingMethacholine,  False.
NormalGeneExpression SubClassOf HighReductionInHamiltonAnxietyScore,  False.
NormalGeneExpression SubClassOf ModerateHamiltonDepressionScore,  False.
NormalGeneExpression SubClassOf LowReductionInChildDepressionScore,  False.
NormalGeneExpression SubClassOf BodyMassIndexDifference,  False.
NormalGeneExpression SubClassOf HighHamiltonDepressionScore,  False.
NormalGeneExpression SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
NormalGeneExpression SubClassOf ForcedVitalCapacity,  False.
NormalGeneExpression SubClassOf HamiltonDepressionMeasure,  False.
NormalGeneExpression SubClassOf PlasmaDrugConcentration,  False.
NormalGeneExpression SubClassOf ElectrocardiogramQTInterval,  False.
NormalGeneExpression SubClassOf PharmacokineticMeasure,  False.
NormalGeneExpression SubClassOf LowMontgomeryAsbergDepressionRating,  False.
NormalGeneExpression SubClassOf RemissionMeasure,  False.
NormalGeneExpression SubClassOf BiologicalMeasure,  True\n
NormalGeneExpression SubClassOf BiologicalMeasure and MolecularMeasure,  False.
NormalGeneExpression SubClassOf GeneExpressionMeasure,  True.
NormalGeneExpression SubClassOf GeneExpressionMeasure and MolecularMeasure,  True,
NormalGeneExpression SubClassOf CellCount,  False.
NormalGeneExpression SubClassOf ASAAMeasure,  False.
NormalGeneExpression SubClassOf PopulationVariation,  False.
NormalGeneExpression SubClassOf MetabolicMeasure,  False.
NormalGeneExpression SubClassOf TaxonomicMeasure,  False.
NormalGeneExpression SubClassOf LowRemission,  False.
NormalGeneExpression SubClassOf DrugClearance,  False.
NormalGeneExpression SubClassOf ASAAConcentrationDifference,  False.
NormalGeneExpression SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
NormalGeneExpression SubClassOf ASAAConcentrationDecrease,  False.
NormalGeneExpression SubClassOf ModerateMontgomeryAsbergDepressionRating,  False.
NormalGeneExpression SubClassOf BodyMassIndexMeasure,  False.
NormalGeneExpression SubClassOf IncreasedGeneExpression,  False.
NormalGeneExpression SubClassOf PathogenCount,  False.
NormalGeneExpression SubClassOf SimilarDiseaseSusceptibilityOdds,  False.
NormalGeneExpression SubClassOf SatietyDifference,  False.
NormalGeneExpression SubClassOf DiseaseFrequency,  False.
NormalGeneExpression SubClassOf MontgomeryAsbergDepressionMeasure,  False.
NormalGeneExpression SubClassOf CognitiveMeasure,  False.
NormalGeneExpression SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
NormalGeneExpression SubClassOf HighMontgomeryAsbergDepressionRating,  False.
NormalGeneExpression SubClassOf WeightLoss,  False.
NormalGeneExpression SubClassOf Gender,  False.
NormalGeneExpression SubClassOf HamiltonAnxietyScore,  False.
NormalGeneExpression SubClassOf SatietyDecrease,  False.
NormalGeneExpression SubClassOf Weigth,  False.
NormalGeneExpression SubClassOf Race,  False.
NormalGeneExpression SubClassOf WeigthGain,  False.
NormalGeneExpression SubClassOf AsthmaFrequency,  False.
NormalGeneExpression SubClassOf DecreasedGeneExpression,  False.
NormalGeneExpression SubClassOf PharmacodynamicMeasure,  False.
NormalGeneExpression SubClassOf ModerateRemission,  False.
NormalGeneExpression SubClassOf TissueMeasure,  False.
NormalGeneExpression SubClassOf MontgomeryAsbergDepressionRating,  False.
NormalGeneExpression SubClassOf HighReductionInChildDepressionScore,  False.
NormalGeneExpression SubClassOf ZeroRemission,  False.
NormalGeneExpression SubClassOf DoseFrequency,  False.
NormalGeneExpression SubClassOf HamiltonAnxietyScoreDifference,  False.
NormalGeneExpression SubClassOf DrugEfficacy,  False.
NormalGeneExpression SubClassOf WeightMeasure,  False.
NormalGeneExpression SubClassOf CoagulationProfile,  False.
NormalGeneExpression SubClassOf LowReductionInHamiltonDepressionScore,  False.
NormalGeneExpression SubClassOf BloodPressure,  False.
NormalGeneExpression SubClassOf PulmonaryFunctionMeasure,  False.
NormalGeneExpression SubClassOf SatietyIncrease,  False.
NormalGeneExpression SubClassOf DiseaseSusceptibilityOdds,  False.
NormalGeneExpression SubClassOf LowHamiltonDepressionScore,  False.
NormalGeneExpression SubClassOf BoneMineralDensity,  False.
NormalGeneExpression SubClassOf ReninAngiotensinSystemMeasure,  False.
NormalGeneExpression SubClassOf BloodSerumProteinCount,  False.
NormalGeneExpression SubClassOf AnxietyMeasure,  False.
NormalGeneExpression SubClassOf HamiltonDepressionScore,  False.
NormalGeneExpression SubClassOf SideEffectRate,  False.
NormalGeneExpression SubClassOf DepressionMeasure,  False.
NormalGeneExpression SubClassOf GeneExpression,  True.
NormalGeneExpression SubClassOf GeneExpression and GeneExpressionMeasure and MolecularMeasure,  False.
NormalGeneExpression SubClassOf Dose,  False.
NormalGeneExpression SubClassOf SatietyMeasure,  False.
NormalGeneExpression SubClassOf LowerDiseaseSusceptibilityOdds,  False.
NormalGeneExpression SubClassOf SideEffectFrequency,  False.
NormalGeneExpression SubClassOf MyocardialInfarctionFrequency,  False.
NormalGeneExpression SubClassOf ZeroDrugEfficacy,  False.
NormalGeneExpression SubClassOf Satiety,  False.
NormalGeneExpression SubClassOf ClinicalOutcomeMeasure,  False.
NormalGeneExpression SubClassOf LipidProfile,  False.
NormalGeneExpression SubClassOf BodyMassIndexDecrease,  False.
NormalGeneExpression SubClassOf HighDrugEfficacy,  False.
NormalGeneExpression SubClassOf BodyMassIndexIncrease,  False.
NormalGeneExpression SubClassOf _24HourBloodPressure,  False.
NormalGeneExpression SubClassOf HighReductionInHamiltonDepressionScore,  False.
NormalGeneExpression SubClassOf BodyMassIndex,  False.
NormalGeneExpression SubClassOf DrugEfficacyMeasure,  False.
NormalGeneExpression SubClassOf BiophysicalMeasure,  False.
NormalGeneExpression SubClassOf ChildDepressionScoreDifference,  False.
NormalGeneExpression SubClassOf LowReductionInHamiltonAnxietyScore,  False.
NormalGeneExpression SubClassOf ChildDepressionMeasure,  False.
NormalGeneExpression SubClassOf HamiltonDepressionScoreDifference,  False.
NormalGeneExpression SubClassOf HighRemissionOddsRatio,  False.
NormalGeneExpression SubClassOf LowDrugEfficacy,  False.
NormalGeneExpression SubClassOf ErythromycinClearanceMeasure,  False.
NormalGeneExpression SubClassOf LowReductionInMontgomeryAsbergDepressionRating,  False.
NormalGeneExpression SubClassOf ModerateReductionInChildDepressionScore,  False.
NormalGeneExpression SubClassOf ASAAConcentration,  False.
NormalGeneExpression SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
NormalGeneExpression SubClassOf SimilarRemissionOddsRatio,  False.
NormalGeneExpression SubClassOf EventFreeSurvivalTime,  False.
NormalGeneExpression SubClassOf LowRemissionOddsRatio,  False.
NormalGeneExpression SubClassOf HomocysteineLevel,  False.
NormalGeneExpression SubClassOf SideEffectMeasure,  False.
NormalGeneExpression SubClassOf RemissionOddsRatio,  False.
NormalGeneExpression SubClassOf BiologicalMeasure and GeneExpressionMeasure and MolecularMeasure,  False.
MontgomeryAsbergDepressionRating and SatietyDecrease SubClassOf NormalGeneExpression,  False.
Gender and LowHamiltonDepressionScore SubClassOf BiologicalMeasure,  False.
AnxietyMeasure and MontgomeryAsbergDepressionMeasure SubClassOf ForcedExperiatoryVolume,  False.
SimilarDiseaseSusceptibilityOdds and Weigth SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False\n
DrugEfficacy and MontgomeryAsbergDepressionRatingDifference SubClassOf HighRemission,  False.
ChildDepressionMeasure and SideEffectMeasure SubClassOf BiophysicalMeasure,  False.
ASAAConcentrationDifference and PharmacokineticMeasure SubClassOf ZeroRemission,  False.
HighRemission and LowReductionInMontgomeryAsbergDepressionRating SubClassOf BodyMassIndexDecrease,  False.
SimilarRemissionOddsRatio and TissueMeasure SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
HighReductionInHamiltonDepressionScore and ReninAngiotensinSystemMeasure SubClassOf LowRemission,  False.
EventFreeSurvivalTime and SideEffectRate SubClassOf HamiltonDepressionScoreDifference,  False.
GeneExpression and MontgomeryAsbergDepressionMeasure SubClassOf SimilarRemissionOddsRatio,  False.
BodyMassIndexDecrease and LipidProfile SubClassOf ChildDepressionScore,  False.
DoseFrequency and WeigthDifference SubClassOf BloodSerumProteinCount,  False.
Gender and HighRemission SubClassOf GenotypeMeasure,  False.
ASAAConcentrationDifference and BoneMineralDensity SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
IncreasedGeneExpression and PharmacodynamicMeasure SubClassOf DepressionMeasure,  False.
BiophysicalMeasure and _24HourBloodPressure SubClassOf HighDrugEfficacy,  False.
ElectrocardiogramQTInterval and HamiltonDepressionScoreDifference SubClassOf BoneMineralDensity,  False.
ChildDepressionScoreDifference and ERVisitFrequency SubClassOf MyocardialInfarctionFrequency,  False.
HighReductionInHamiltonDepressionScore and MontgomeryAsbergDepressionMeasure SubClassOf HighMontgomeryAsbergDepressionRating,  True.
HighReductionInHamiltonDepressionScore and MontgomeryAsbergDepressionMeasure SubClassOf ChildDepressionScore,  True.
HighReductionInHamiltonDepressionScore SubClassOf ChildDepressionScore,  True.
HighReductionInHamiltonDepressionScore SubClassOf MolecularMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf RemissionFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf SatietyFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf ASAAConcentrationIncrease,  False.
HighReductionInHamiltonDepressionScore SubClassOf ERVisitFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf ForcedExperiatoryVolume,  False.
HighReductionInHamiltonDepressionScore SubClassOf DailyBloodPressure,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighRemission,  False.
HighReductionInHamiltonDepressionScore SubClassOf WeigthDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf GeneExpressionDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf ExerciseResponse,  False.
HighReductionInHamiltonDepressionScore SubClassOf NeoplasmFrequency,  False.
HighReductionInHamiltonDepressionScore SubClassOf GenotypeMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
HighReductionInHamiltonDepressionScore SubClassOf QualityOfLife,  False.
HighReductionInHamiltonDepressionScore SubClassOf AirwayResponsivenessUsingMethacholine,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighReductionInHamiltonAnxietyScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf ModerateHamiltonDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowReductionInChildDepressionScore,  False.
HighReductionInHamiltonDepressionScore SubClassOf BodyMassIndexDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf HighHamiltonDepressionScore,  True.
HighReductionInHamiltonDepressionScore SubClassOf ChildDepressionScore and HighHamiltonDepressionScore,  True,
HighReductionInHamiltonDepressionScore SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
HighReductionInHamiltonDepressionScore SubClassOf ForcedVitalCapacity,  False.
HighReductionInHamiltonDepressionScore SubClassOf HamiltonDepressionMeasure,  True\n
HighReductionInHamiltonDepressionScore SubClassOf ChildDepressionScore and HamiltonDepressionMeasure and HighHamiltonDepressionScore,  True,
HighReductionInHamiltonDepressionScore SubClassOf PlasmaDrugConcentration,  False.
HighReductionInHamiltonDepressionScore SubClassOf ElectrocardiogramQTInterval,  False.
HighReductionInHamiltonDepressionScore SubClassOf PharmacokineticMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowMontgomeryAsbergDepressionRating,  False.
HighReductionInHamiltonDepressionScore SubClassOf RemissionMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf BiologicalMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf GeneExpressionMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf CellCount,  False.
HighReductionInHamiltonDepressionScore SubClassOf ASAAMeasure,  True.
HighReductionInHamiltonDepressionScore SubClassOf ASAAMeasure and ChildDepressionScore and HamiltonDepressionMeasure and HighHamiltonDepressionScore,  True,
HighReductionInHamiltonDepressionScore SubClassOf PopulationVariation,  False.
HighReductionInHamiltonDepressionScore SubClassOf MetabolicMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf TaxonomicMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf LowRemission,  False.
HighReductionInHamiltonDepressionScore SubClassOf DrugClearance,  False.
HighReductionInHamiltonDepressionScore SubClassOf ASAAConcentrationDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
HighReductionInHamiltonDepressionScore SubClassOf ASAAConcentrationDecrease,  False.
HighReductionInHamiltonDepressionScore SubClassOf ModerateMontgomeryAsbergDepressionRating,  False.
HighReductionInHamiltonDepressionScore SubClassOf BodyMassIndexMeasure,  False.
HighReductionInHamiltonDepressionScore SubClassOf IncreasedGeneExpression,  False.
