teaches some Researcher SubClassOf Professor, True
Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
employed_by some Professor SubClassOf Project, \nTrue
employed_by some Professor SubClassOf University, True
Thing SubClassOf Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Thing and (employed_by some Module) and (employed_by some (Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Thing and (employed_by some (Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (employed_by some (Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (employed_by some (Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (employed_by some (Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (employed_by some (Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (employed_by some (University and Thing)) SubClassOf University, \nTrue
Thing and (employed_by some Thing) SubClassOf University, \nTrue
Can something that teaches some Researcher be considered a subcategory of 'Professor'?, True
Can something that teaches some Researcher be considered a subcategory of 'University'?, True.
Can Researcher be considered a subcategory of 'University'?, True
Can Researcher be considered a subcategory of 'Project'?, True
Can Researcher be considered a subcategory of 'Project that is also University'?, True
Can Researcher be considered a subcategory of 'Module'?, True
Can Researcher be considered a subcategory of 'Module that is also Project that is also University'?, True
Can Researcher be considered a subcategory of 'Professor'?, True
Can Researcher be considered a subcategory of 'Module that is also Professor that is also Project that is also University'?, \nTrue
Can Researcher be considered a subcategory of 'Teacher'?, True
Can Researcher be considered a subcategory of 'Module that is also Professor that is also Project that is also Teacher that is also University'?, True
Can Researcher be considered a subcategory of 'Person'?, True
Can Researcher be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University'?, \nTrue
Can something that manages some Project be considered a subcategory of 'Person'?, True.
Can something that manages some Project be considered a subcategory of 'University'?, True
Can Project be considered a subcategory of 'University'?, True
Can Project be considered a subcategory of 'Module'?, True
Can Project be considered a subcategory of 'Module that is also University'?, True
Can Project be considered a subcategory of 'Professor'?, True
Can Project be considered a subcategory of 'Module that is also Professor that is also University'?, True
Can Project be considered a subcategory of 'Teacher'?, True
Can Project be considered a subcategory of 'Module that is also Professor that is also Teacher that is also University'?, True
Can Project be considered a subcategory of 'Person'?, True
Can Project be considered a subcategory of 'Module that is also Person that is also Professor that is also Teacher that is also University'?, \nFalse
Can Project be considered a subcategory of 'Researcher'?, True
Can Project be considered a subcategory of 'Module that is also Professor that is also Researcher that is also Teacher that is also University'?, True
Can Project be considered a subcategory of 'Module that is also Person that is also Professor that is also Researcher that is also Teacher that is also University'?, \nFalse
Can something that teaches some Project be considered a subcategory of 'University'?, True
Can Thing be considered a subcategory of 'something that teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University)'?, \nTrue
Can something that (teaches some Module) that is also something that (teaches some (Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University)) be considered a subcategory of 'something that teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University)'?, \nTrue
Can something that teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University) be considered a subcategory of 'something that teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University)'?, \nTrue
Can something that teaches some (Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University) be considered a subcategory of 'University'?, \nTrue
Can something that teaches some (Professor that is also Project that is also Researcher that is also Teacher that is also University) be considered a subcategory of 'University'?, True
Can something that teaches some (Project that is also Researcher that is also Teacher that is also University) be considered a subcategory of 'University'?, \nTrue
Can something that teaches some (Researcher that is also Teacher that is also University) be considered a subcategory of 'University'?, True
Can something that teaches some (Teacher that is also University) be considered a subcategory of 'University'?, True
Can something that teaches some University be considered a subcategory of 'University'?, True
Can something that teaches some Thing be considered a subcategory of 'University'?, True
Can Teacher that is also University be considered a subcategory of 'Researcher'?, True
Can Teacher that is also University be considered a subcategory of 'Project'?, True
Can University be considered a subcategory of 'Project'?, True
Can University be considered a subcategory of 'Module'?, True
Can University be considered a subcategory of 'Module that is also Project'?, True
Can University be considered a subcategory of 'Professor'?, True
Can University be considered a subcategory of 'Module that is also Professor that is also Project'?, \nFalse
Can University be considered a subcategory of 'Teacher'?, True
Can University be considered a subcategory of 'Module that is also Project that is also Teacher'?, True
Can University be considered a subcategory of 'Person'?, True
Can University be considered a subcategory of 'Module that is also Person that is also Project that is also Teacher'?, \nFalse
Can University be considered a subcategory of 'Researcher'?, True
Can University be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher'?, \nTrue
Can University be considered a subcategory of 'Module that is also Professor that is also Project that is also Researcher that is also Teacher'?, True
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher'?, \nFalse
Can Professor that is also Teacher be considered a subcategory of 'Researcher'?, True
Can Professor that is also Teacher be considered a subcategory of 'University'?, True
Can Professor be considered a subcategory of 'University'?, True
Can Professor be considered a subcategory of 'Project'?, True
Can Professor be considered a subcategory of 'Project that is also University'?, True
Can Professor be considered a subcategory of 'Module'?, True
Can Professor be considered a subcategory of 'Module that is also Project that is also University'?, True
Can Professor be considered a subcategory of 'Teacher'?, True
Can Professor be considered a subcategory of 'Module that is also Project that is also Teacher that is also University'?, \nTrue
Can Professor be considered a subcategory of 'Person'?, True
Can Professor be considered a subcategory of 'Module that is also Person that is also Project that is also Teacher that is also University'?, \nTrue
Can Professor be considered a subcategory of 'Researcher'?, True
Can Professor be considered a subcategory of 'Module that is also Person that is also Project that is also Researcher that is also Teacher that is also University'?, \nTrue
Can Person that is also Teacher be considered a subcategory of 'University'?, True
Can Teacher be considered a subcategory of 'University'?, True
Can Teacher be considered a subcategory of 'Project'?, True
Can Teacher be considered a subcategory of 'Project that is also University'?, True
Can Teacher be considered a subcategory of 'Module'?, True
Can Teacher be considered a subcategory of 'Module that is also Project that is also University'?, \nTrue
Can Teacher be considered a subcategory of 'Professor'?, True
Can Teacher be considered a subcategory of 'Module that is also Professor that is also Project that is also University'?, \nTrue
Can Teacher be considered a subcategory of 'Person'?, True
Can Teacher be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also University'?, \nFalse
Can Teacher be considered a subcategory of 'Researcher'?, True
Can Teacher be considered a subcategory of 'Module that is also Professor that is also Project that is also Researcher that is also University'?, \nFalse
Can Person be considered a subcategory of 'something that teaches some Project'?, True
Can Person be considered a subcategory of 'University'?, True
Can Person be considered a subcategory of 'Project'?, True
Can Person be considered a subcategory of 'Project that is also University'?, True
Can Person be considered a subcategory of 'Module'?, True
Can Person be considered a subcategory of 'Module that is also Project that is also University'?, \nTrue
Can Person be considered a subcategory of 'Professor'?, True
Can Person be considered a subcategory of 'Module that is also Professor that is also Project that is also University'?, True
Can Person be considered a subcategory of 'Teacher'?, True
Can Person be considered a subcategory of 'Module that is also Professor that is also Project that is also Teacher that is also University'?, \nFalse
Can Person be considered a subcategory of 'Researcher'?, True
Can Person be considered a subcategory of 'Module that is also Professor that is also Project that is also Researcher that is also University'?, True
Can Person be considered a subcategory of 'Module that is also Professor that is also Project that is also Researcher that is also Teacher that is also University'?, \nFalse
Can something that manages some University be considered a subcategory of 'Person'?, True
Can something that manages some University be considered a subcategory of 'University'?, True
Can University be considered a subcategory of 'University'?, True
Can Thing be considered a subcategory of 'Thing that is also something that (manages some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing))'?, \nFalse
Can Thing be considered a subcategory of 'University'?, True
Can Researcher be considered a subcategory of 'something that teaches some Teacher'?, True
Can University be considered a subcategory of 'something that teaches some Teacher'?, True
Can University that is also something that (teaches some Teacher) be considered a subcategory of 'University that is also something that (teaches some Teacher)'?, \nTrue
Can University be considered a subcategory of 'Project that is also University that is also something that (teaches some Teacher)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Project that is also University that is also something that (teaches some Teacher)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Professor that is also Project that is also University that is also something that (teaches some Teacher)'?, \nFalse
Can University be considered a subcategory of 'Module that is also Project that is also Teacher that is also University that is also something that (teaches some Teacher)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also Project that is also Teacher that is also University that is also something that (teaches some Teacher)'?, \nFalse
Can University be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher that is also University that is also something that (teaches some Teacher)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher that is also University that is also something that (teaches some (Teacher that is also University))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher that is also University that is also something that (teaches some (Project that is also Teacher that is also University))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher that is also University that is also something that (teaches some (Module that is also Project that is also Teacher that is also University))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher that is also University that is also something that (teaches some (Module that is also Professor that is also Project that is also Teacher that is also University))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher that is also University that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Teacher that is also University))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher that is also University that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University))'?, \nTrue
Can Module that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University)) be considered a subcategory of 'Module that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University))'?, True
Can Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University)) be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University))'?, \nTrue
Can Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing)) be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing))'?, True.
Can Teacher be considered a subcategory of 'something that manages some Researcher'?, True
Can University be considered a subcategory of 'something that manages some Researcher'?, True
Can University that is also something that (manages some Researcher) be considered a subcategory of 'University that is also something that (manages some Researcher)'?, True
Can University be considered a subcategory of 'Project that is also University that is also something that (manages some Researcher)'?, True
Can University be considered a subcategory of 'Module that is also Project that is also University that is also something that (manages some Researcher)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Professor that is also Project that is also University that is also something that (manages some Researcher)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Professor that is also Project that is also Teacher that is also University that is also something that (manages some Researcher)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also something that (manages some Researcher)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also something that (manages some Researcher)'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also something that (manages some (Researcher that is also University))'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also something that (manages some (Project that is also Researcher))'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also something that (manages some (Module that is also Researcher))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also something that (manages some (Module that is also Professor that is also Researcher))'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also something that (manages some (Module that is also Researcher that is also Teacher))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also something that (manages some (Module that is also Person that is also Researcher that is also Teacher))'?, \nFalse
Can Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Researcher that is also Teacher)) be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Researcher that is also Teacher))'?, \nTrue
Can Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Researcher that is also Teacher that is also University)) be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Researcher that is also Teacher that is also University)) that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Project that is also Researcher that is also Teacher that is also University)) that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing))'?, True.
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Professor that is also Project that is also Researcher that is also Teacher that is also University)) that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing))'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Person that is also Project that is also Researcher that is also Teacher that is also University)) that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing))'?, \nTrue
Can Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Person that is also Project that is also Researcher that is also Teacher that is also University that is also Thing)) be considered a subcategory of 'Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing that is also something that (manages some (Module that is also Person that is also Project that is also Researcher that is also Teacher that is also University that is also Thing)) that is also something that (teaches some (Module that is also Person that is also Professor that is also Project that is also Researcher that is also Teacher that is also University that is also Thing))'?, True.
Can Professor be considered a subcategory of 'something that employed_by some Professor'?, \nTrue
Can University be considered a subcategory of 'something that employed_by some Professor'?, True
Can University that is also something that (employed_by some Professor) be considered a subcategory of 'University that is also something that (employed_by some Professor)'?, \nTrue
Can University be considered a subcategory of 'Project that is also University that is also something that (employed_by some Professor)'?, \nFalse
Can University be considered a subcategory of 'Module that is also University that is also something that (employed_by some Professor)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Professor that is also University that is also something that (employed_by some Professor)'?, \nFalse
Can University be considered a subcategory of 'Module that is also Teacher that is also University that is also something that (employed_by some Professor)'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also University that is also something that (employed_by some Professor)'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also Researcher that is also University that is also something that (employed_by some Professor)'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also University that is also something that (employed_by some (Professor that is also University))'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also University that is also something that (employed_by some (Professor that is also Project))'?, \nFalse
Can University be considered a subcategory of 'Module that is also Person that is also University that is also something that (employed_by some (Module that is also Professor))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also University that is also something that (employed_by some (Module that is also Professor that is also Teacher))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also University that is also something that (employed_by some (Module that is also Person that is also Professor that is also Teacher))'?, \nTrue
Can University be considered a subcategory of 'Module that is also Person that is also University that is also something that (employed_by some (Module that is also Person that is also Professor that is also Researcher that is also Teacher))'?, \nFalse
Can Module that is also Person that is also University that is also Thing that is also something that (employed_by some (Module that is also Person that is also Professor that is also Teacher)) be considered a subcategory of 'Module that is also Person that is also University that is also Thing that is also something that (employed_by some (Module that is also Person that is also Professor that is also Teacher))'?, \nTrue
